NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CELL CYCLE - CAULOBACTER	CELL CYCLE - CAULOBACTER	Details ...	13	0.54059833	2.3871806	0.0	0.00168954	0.021	967	tags=85%, list=31%, signal=122%	
RNA DEGRADATION	RNA DEGRADATION	Details ...	16	0.49478665	2.350646	0.0	0.0022423542	0.029	613	tags=69%, list=19%, signal=85%	
HISTIDINE METABOLISM	HISTIDINE METABOLISM	Details ...	19	0.45487761	2.3151653	0.0	0.002764016	0.038	1391	tags=89%, list=44%, signal=159%	
"VALINE, LEUCINE AND ISOLEUCINE BIOSYNTHESIS"	"VALINE, LEUCINE AND ISOLEUCINE BIOSYNTHESIS"	Details ...	13	0.5198203	2.2830255	0.0	0.0033395858	0.049	1274	tags=92%, list=41%, signal=155%	
PROTEIN EXPORT	PROTEIN EXPORT	Details ...	18	0.44089118	2.2655008	0.0	0.0034027868	0.052	717	tags=67%, list=23%, signal=86%	
"PHENYLALANINE, TYROSINE AND TRYPTOPHAN BIOSYNTHESIS"	"PHENYLALANINE, TYROSINE AND TRYPTOPHAN BIOSYNTHESIS"		34	0.3241723	2.2273557	0.0	0.0039517754	0.063	1673	tags=85%, list=53%, signal=180%	
DRUG METABOLISM - OTHER ENZYMES	DRUG METABOLISM - OTHER ENZYMES		9	0.5881874	2.2028792	0.0021141649	0.0045411917	0.075	950	tags=89%, list=30%, signal=127%	
STREPTOMYCIN BIOSYNTHESIS	STREPTOMYCIN BIOSYNTHESIS		10	0.554067	2.1164465	0.011741683	0.0075781127	0.123	1407	tags=100%, list=45%, signal=180%	
2-OXOCARBOXYLIC ACID METABOLISM	2-OXOCARBOXYLIC ACID METABOLISM		29	0.32786286	2.0966058	0.0	0.00835845	0.14	821	tags=59%, list=26%, signal=79%	
BASE EXCISION REPAIR	BASE EXCISION REPAIR		13	0.47745362	2.05039	0.008048289	0.010342353	0.178	439	tags=62%, list=14%, signal=71%	
THIAMINE METABOLISM	THIAMINE METABOLISM		13	0.46269283	2.0229905	0.007936508	0.011383567	0.202	1211	tags=85%, list=39%, signal=137%	
TERPENOID BACKBONE BIOSYNTHESIS	TERPENOID BACKBONE BIOSYNTHESIS		21	0.35298154	1.9732752	0.0040241447	0.01480816	0.264	1592	tags=86%, list=51%, signal=172%	
FATTY ACID BIOSYNTHESIS	FATTY ACID BIOSYNTHESIS		15	0.3816827	1.8343158	0.015779093	0.031504106	0.5	1530	tags=87%, list=49%, signal=168%	
AMINO SUGAR AND NUCLEOTIDE SUGAR METABOLISM	AMINO SUGAR AND NUCLEOTIDE SUGAR METABOLISM		60	0.19394924	1.7533492	0.02004008	0.047225356	0.651	2336	tags=93%, list=74%, signal=356%	
CARBON METABOLISM	CARBON METABOLISM		126	0.13480765	1.7367202	0.024856597	0.049316254	0.674	1489	tags=60%, list=47%, signal=110%	
BIOTIN METABOLISM	BIOTIN METABOLISM		12	0.40975106	1.6953769	0.02534113	0.05905953	0.758	1074	tags=75%, list=34%, signal=113%	
RNA POLYMERASE	RNA POLYMERASE		5	0.59076434	1.6866769	0.027237354	0.059453964	0.775	1289	tags=100%, list=41%, signal=169%	
PANTOTHENATE AND COA BIOSYNTHESIS	PANTOTHENATE AND COA BIOSYNTHESIS		20	0.31384	1.677493	0.022774328	0.060529888	0.794	748	tags=55%, list=24%, signal=72%	
VANCOMYCIN RESISTANCE	VANCOMYCIN RESISTANCE		7	0.5103342	1.6733042	0.031982943	0.060030635	0.804	644	tags=71%, list=20%, signal=90%	
D-GLUTAMINE AND D-GLUTAMATE METABOLISM	D-GLUTAMINE AND D-GLUTAMATE METABOLISM		5	0.58598727	1.6648076	0.030364372	0.060856376	0.815	675	tags=80%, list=21%, signal=102%	
RIBOFLAVIN METABOLISM	RIBOFLAVIN METABOLISM		8	0.47904047	1.6589944	0.023762377	0.060854707	0.824	855	tags=75%, list=27%, signal=103%	
FATTY ACID METABOLISM	FATTY ACID METABOLISM		18	0.31910244	1.6149671	0.040733196	0.07437849	0.881	1622	tags=83%, list=52%, signal=171%	
PEPTIDOGLYCAN BIOSYNTHESIS	PEPTIDOGLYCAN BIOSYNTHESIS		29	0.25265592	1.6013539	0.038535647	0.0776042	0.906	730	tags=48%, list=23%, signal=62%	
PYRUVATE METABOLISM	PYRUVATE METABOLISM		54	0.17988905	1.5702469	0.046121594	0.08706813	0.935	2355	tags=93%, list=75%, signal=362%	
CENTRAL CARBON METABOLISM IN CANCER	CENTRAL CARBON METABOLISM IN CANCER		8	0.4469238	1.5433017	0.05490196	0.09568461	0.953	1742	tags=100%, list=55%, signal=224%	
NICOTINATE AND NICOTINAMIDE METABOLISM	NICOTINATE AND NICOTINAMIDE METABOLISM		22	0.27197042	1.4990964	0.081871346	0.11485806	0.971	1151	tags=64%, list=37%, signal=100%	
CARBON FIXATION IN PHOTOSYNTHETIC ORGANISMS	CARBON FIXATION IN PHOTOSYNTHETIC ORGANISMS		19	0.2646732	1.3839544	0.11984283	0.18507797	0.998	1489	tags=74%, list=47%, signal=139%	
C5-BRANCHED DIBASIC ACID METABOLISM	C5-BRANCHED DIBASIC ACID METABOLISM		8	0.39835033	1.369091	0.1237721	0.19162391	0.999	715	tags=63%, list=23%, signal=81%	
GLYCOLYSIS / GLUCONEOGENESIS	GLYCOLYSIS / GLUCONEOGENESIS		46	0.16849056	1.3683624	0.11553785	0.18805206	0.999	2280	tags=89%, list=72%, signal=319%	
CYANOAMINO ACID METABOLISM	CYANOAMINO ACID METABOLISM		7	0.41719022	1.3510357	0.13305613	0.19717567	1.0	487	tags=57%, list=15%, signal=67%	
BACTERIAL SECRETION SYSTEM	BACTERIAL SECRETION SYSTEM		30	0.2070091	1.346094	0.138	0.19690333	1.0	717	tags=43%, list=23%, signal=56%	
BETA-LACTAM RESISTANCE	BETA-LACTAM RESISTANCE		15	0.28264117	1.31293	0.15900382	0.21926385	1.0	1840	tags=87%, list=59%, signal=208%	
PENTOSE PHOSPHATE PATHWAY	PENTOSE PHOSPHATE PATHWAY		31	0.19756767	1.2926924	0.16759777	0.23206016	1.0	1007	tags=52%, list=32%, signal=75%	
STARCH AND SUCROSE METABOLISM	STARCH AND SUCROSE METABOLISM		45	0.16014336	1.2531061	0.19123507	0.26264	1.0	2368	tags=91%, list=75%, signal=364%	
HIF-1 SIGNALING PATHWAY	HIF-1 SIGNALING PATHWAY		5	0.4464968	1.2297736	0.2238193	0.28171185	1.0	1742	tags=100%, list=55%, signal=224%	
CARBON FIXATION PATHWAYS IN PROKARYOTES	CARBON FIXATION PATHWAYS IN PROKARYOTES		53	0.13959946	1.2089738	0.20980392	0.29671472	1.0	2475	tags=92%, list=79%, signal=427%	
LYSOSOME	LYSOSOME		8	0.32825947	1.1856399	0.23379175	0.31512636	1.0	1328	tags=75%, list=42%, signal=129%	
CYSTEINE AND METHIONINE METABOLISM	CYSTEINE AND METHIONINE METABOLISM		38	0.15656498	1.1561549	0.25940594	0.34282368	1.0	754	tags=39%, list=24%, signal=51%	
CITRATE CYCLE (TCA CYCLE)	CITRATE CYCLE (TCA CYCLE)		38	0.15865703	1.155771	0.254	0.33680943	1.0	2320	tags=89%, list=74%, signal=337%	
VIBRIO CHOLERAE PATHOGENIC CYCLE	VIBRIO CHOLERAE PATHOGENIC CYCLE		5	0.4156051	1.1360292	0.272	0.3519529	1.0	581	tags=60%, list=18%, signal=73%	
OTHER GLYCAN DEGRADATION	OTHER GLYCAN DEGRADATION		9	0.30413833	1.1135638	0.3140496	0.37297022	1.0	443	tags=44%, list=14%, signal=52%	
NOVOBIOCIN BIOSYNTHESIS	NOVOBIOCIN BIOSYNTHESIS		7	0.3408905	1.1098667	0.31092438	0.3709025	1.0	1625	tags=86%, list=52%, signal=177%	
GLYCEROPHOSPHOLIPID METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM		24	0.17742713	1.0245199	0.39250493	0.47430578	1.0	1804	tags=75%, list=57%, signal=175%	
SPHINGOLIPID METABOLISM	SPHINGOLIPID METABOLISM		7	0.31170905	1.0026642	0.43274853	0.49509913	1.0	818	tags=57%, list=26%, signal=77%	
GLYCEROLIPID METABOLISM	GLYCEROLIPID METABOLISM		18	0.19598123	0.9905152	0.43145162	0.503478	1.0	2007	tags=83%, list=64%, signal=229%	
"VALINE, LEUCINE AND ISOLEUCINE DEGRADATION"	"VALINE, LEUCINE AND ISOLEUCINE DEGRADATION"		16	0.19295299	0.9280127	0.5433884	0.5835221	1.0	1754	tags=75%, list=56%, signal=169%	
VITAMIN B6 METABOLISM	VITAMIN B6 METABOLISM		9	0.23118624	0.8715875	0.63179076	0.6600459	1.0	2419	tags=100%, list=77%, signal=432%	
INSULIN SIGNALING PATHWAY	INSULIN SIGNALING PATHWAY		5	0.30445862	0.8518138	0.6517691	0.6787155	1.0	1559	tags=80%, list=50%, signal=158%	
FATTY ACID DEGRADATION	FATTY ACID DEGRADATION		11	0.20551725	0.84528553	0.6453608	0.67789906	1.0	2214	tags=91%, list=70%, signal=306%	
D-ALANINE METABOLISM	D-ALANINE METABOLISM		5	0.29745224	0.82513773	0.67330676	0.6977436	1.0	1581	tags=80%, list=50%, signal=161%	
"TROPANE, PIPERIDINE AND PYRIDINE ALKALOID BIOSYNTHESIS"	"TROPANE, PIPERIDINE AND PYRIDINE ALKALOID BIOSYNTHESIS"		7	0.19771469	0.65473825	0.910387	0.9091168	1.0	1625	tags=71%, list=52%, signal=147%	
UBIQUINONE AND OTHER TERPENOID-QUINONE BIOSYNTHESIS	UBIQUINONE AND OTHER TERPENOID-QUINONE BIOSYNTHESIS		17	0.121483386	0.6042534	0.9385475	0.93819225	1.0	1839	tags=71%, list=58%, signal=169%	
