NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
METHANE METABOLISM	METHANE METABOLISM	Details ...	40	0.17536688	1.3046316	0.16470589	0.3622574	1.0	803	tags=45%, list=28%, signal=61%	
"GLYCINE, SERINE AND THREONINE METABOLISM"	"GLYCINE, SERINE AND THREONINE METABOLISM"	Details ...	32	0.19113678	1.2805492	0.18110237	0.37684104	1.0	1899	tags=84%, list=65%, signal=241%	
CHLOROALKANE AND CHLOROALKENE DEGRADATION	CHLOROALKANE AND CHLOROALKENE DEGRADATION	Details ...	10	0.32095435	1.2294755	0.24158415	0.43013892	1.0	812	tags=60%, list=28%, signal=83%	
TWO-COMPONENT SYSTEM	TWO-COMPONENT SYSTEM		107	0.10121211	1.2109121	0.2202729	0.43600717	1.0	584	tags=30%, list=20%, signal=36%	
LIPOPOLYSACCHARIDE BIOSYNTHESIS	LIPOPOLYSACCHARIDE BIOSYNTHESIS		20	0.21568358	1.1743139	0.23625255	0.47174713	1.0	1699	tags=80%, list=59%, signal=192%	
"ALANINE, ASPARTATE AND GLUTAMATE METABOLISM"	"ALANINE, ASPARTATE AND GLUTAMATE METABOLISM"		34	0.16666667	1.1637903	0.2630522	0.4664944	1.0	972	tags=50%, list=33%, signal=74%	
LYSINE BIOSYNTHESIS	LYSINE BIOSYNTHESIS		21	0.21166591	1.1590455	0.27254903	0.4541916	1.0	2153	tags=95%, list=74%, signal=366%	
SULFUR RELAY SYSTEM	SULFUR RELAY SYSTEM		12	0.25767013	1.0486108	0.3754717	0.62390125	1.0	1189	tags=67%, list=41%, signal=112%	
D-GLUTAMINE AND D-GLUTAMATE METABOLISM	D-GLUTAMINE AND D-GLUTAMATE METABOLISM		5	0.36955473	1.026202	0.4027505	0.64069974	1.0	1250	tags=80%, list=43%, signal=140%	
AMINO SUGAR AND NUCLEOTIDE SUGAR METABOLISM	AMINO SUGAR AND NUCLEOTIDE SUGAR METABOLISM		58	0.1142393	1.0212226	0.43243244	0.6259267	1.0	975	tags=45%, list=34%, signal=66%	
BETA-LACTAM RESISTANCE	BETA-LACTAM RESISTANCE		16	0.20790023	0.9963663	0.41165414	0.6492845	1.0	2301	tags=100%, list=79%, signal=480%	
CYANOAMINO ACID METABOLISM	CYANOAMINO ACID METABOLISM		7	0.2948927	0.9746431	0.46548325	0.66525716	1.0	389	tags=43%, list=13%, signal=49%	
SULFUR METABOLISM	SULFUR METABOLISM		22	0.16991794	0.959878	0.5	0.67004246	1.0	1884	tags=82%, list=65%, signal=231%	
PORPHYRIN AND CHLOROPHYLL METABOLISM	PORPHYRIN AND CHLOROPHYLL METABOLISM		38	0.13095416	0.9466671	0.50097466	0.67238736	1.0	1915	tags=79%, list=66%, signal=229%	
RIBOFLAVIN METABOLISM	RIBOFLAVIN METABOLISM		7	0.28541824	0.9153393	0.53968257	0.7057218	1.0	831	tags=57%, list=29%, signal=80%	
BASE EXCISION REPAIR	BASE EXCISION REPAIR		13	0.20520811	0.90885097	0.5555556	0.6960234	1.0	1192	tags=62%, list=41%, signal=104%	
VANCOMYCIN RESISTANCE	VANCOMYCIN RESISTANCE		7	0.26178142	0.8619426	0.61770624	0.7542751	1.0	1314	tags=71%, list=45%, signal=130%	
FATTY ACID BIOSYNTHESIS	FATTY ACID BIOSYNTHESIS		15	0.18499026	0.85322726	0.6196319	0.74721783	1.0	1980	tags=87%, list=68%, signal=271%	
FOLATE BIOSYNTHESIS	FOLATE BIOSYNTHESIS		21	0.15123717	0.8163163	0.7104723	0.78738505	1.0	807	tags=43%, list=28%, signal=59%	
GLYOXYLATE AND DICARBOXYLATE METABOLISM	GLYOXYLATE AND DICARBOXYLATE METABOLISM		30	0.122864455	0.8027167	0.7163561	0.7871402	1.0	420	tags=27%, list=14%, signal=31%	
FATTY ACID METABOLISM	FATTY ACID METABOLISM		18	0.15164122	0.7891149	0.71705425	0.78647935	1.0	1980	tags=83%, list=68%, signal=261%	
DRUG METABOLISM - OTHER ENZYMES	DRUG METABOLISM - OTHER ENZYMES		9	0.16803011	0.6115367	0.9408284	0.9801023	1.0	1770	tags=78%, list=61%, signal=199%	
CARBON METABOLISM	CARBON METABOLISM		118	0.046945013	0.59957665	0.9585799	0.9646725	1.0	975	tags=38%, list=34%, signal=55%	
LYSINE DEGRADATION	LYSINE DEGRADATION		9	0.16176979	0.58561003	0.94351465	0.9509017	1.0	2433	tags=100%, list=84%, signal=617%	
