NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
"GLYCINE, SERINE AND THREONINE METABOLISM"	71	37		
GLYCOLYSIS / GLUCONEOGENESIS	72	49		
GLYCOSAMINOGLYCAN BIOSYNTHESIS - CHONDROITIN SULFATE / DERMATAN SULFATE	2		Rejected!	
GLYCOSAMINOGLYCAN DEGRADATION	10		Rejected!	
GLYCOSPHINGOLIPID BIOSYNTHESIS - GLOBO SERIES	3		Rejected!	
GLYCOSYLPHOSPHATIDYLINOSITOL(GPI)-ANCHOR BIOSYNTHESIS	2		Rejected!	
GLYOXYLATE AND DICARBOXYLATE METABOLISM	65	38		
GNRH SIGNALING PATHWAY	3		Rejected!	
HEPATITIS B	2		Rejected!	
HEPATITIS C	2		Rejected!	
HERPES SIMPLEX INFECTION	4		Rejected!	
HIF-1 SIGNALING PATHWAY	8		Rejected!	
HIPPO SIGNALING PATHWAY	2		Rejected!	
HIPPO SIGNALING PATHWAY - FLY	2		Rejected!	
HISTIDINE METABOLISM	30	21		
HOMOLOGOUS RECOMBINATION	32	28		
HTLV-I INFECTION	5		Rejected!	
HUNTINGTON'S DISEASE	23		Rejected!	
HYPERTROPHIC CARDIOMYOPATHY (HCM)	3		Rejected!	
INDOLE ALKALOID BIOSYNTHESIS	2		Rejected!	
INFLAMMATORY MEDIATOR REGULATION OF TRP CHANNELS	2		Rejected!	
INFLUENZA A	7		Rejected!	
INOSITOL PHOSPHATE METABOLISM	20	9		
INSULIN SECRETION	3		Rejected!	
INSULIN SIGNALING PATHWAY	11		Rejected!	
ISOQUINOLINE ALKALOID BIOSYNTHESIS	12	5		
LEGIONELLOSIS	10		Rejected!	
LEISHMANIASIS	2		Rejected!	
LIMONENE AND PINENE DEGRADATION	13	5		
LINOLEIC ACID METABOLISM	6		Rejected!	
LIPOIC ACID METABOLISM	3		Rejected!	
LIPOPOLYSACCHARIDE BIOSYNTHESIS	32	29		
LONG-TERM DEPRESSION	2		Rejected!	
LONG-TERM POTENTIATION	2		Rejected!	
LYSINE BIOSYNTHESIS	34	22		
LYSINE DEGRADATION	27	14		
LYSOSOME	20	7		
MEASLES	2		Rejected!	
MEIOSIS - YEAST	3		Rejected!	
MELANOGENESIS	3		Rejected!	
METABOLISM OF XENOBIOTICS BY CYTOCHROME P450	10		Rejected!	
METHANE METABOLISM	122	41		
MICRORNAS IN CANCER	5		Rejected!	
MINERAL ABSORPTION	4		Rejected!	
MISMATCH REPAIR	28	23		
MRNA SURVEILLANCE PATHWAY	5		Rejected!	
N-GLYCAN BIOSYNTHESIS	9		Rejected!	
NAPHTHALENE DEGRADATION	21	5		
NEUROACTIVE LIGAND-RECEPTOR INTERACTION	3		Rejected!	
NEUROTROPHIN SIGNALING PATHWAY	2		Rejected!	
NICOTINATE AND NICOTINAMIDE METABOLISM	35	25		
NITROGEN METABOLISM	44	27		
NITROTOLUENE DEGRADATION	17	14		
NOD-LIKE RECEPTOR SIGNALING PATHWAY	5		Rejected!	
NON-ALCOHOLIC FATTY LIVER DISEASE (NAFLD)	14		Rejected!	
NON-HOMOLOGOUS END-JOINING	3		Rejected!	
NOVOBIOCIN BIOSYNTHESIS	9	7		
NUCLEOTIDE EXCISION REPAIR	14	7		
OLFACTORY TRANSDUCTION	2		Rejected!	
ONE CARBON POOL BY FOLATE	23	19		
OOCYTE MEIOSIS	3		Rejected!	
OTHER GLYCAN DEGRADATION	11	10		
OVARIAN STEROIDOGENESIS	3		Rejected!	
OXIDATIVE PHOSPHORYLATION	109	50		
OXYTOCIN SIGNALING PATHWAY	9		Rejected!	
P53 SIGNALING PATHWAY	3		Rejected!	
PANCREATIC SECRETION	8		Rejected!	
PANTOTHENATE AND COA BIOSYNTHESIS	30	22		
PARKINSON'S DISEASE	19		Rejected!	
PATHOGENIC ESCHERICHIA COLI INFECTION	13		Rejected!	
PATHWAYS IN CANCER	7		Rejected!	
PENICILLIN AND CEPHALOSPORIN BIOSYNTHESIS	8		Rejected!	
PENTOSE AND GLUCURONATE INTERCONVERSIONS	45	23		
PENTOSE PHOSPHATE PATHWAY	51	35		
PEPTIDOGLYCAN BIOSYNTHESIS	37	33		
PEROXISOME	27	7		
PERTUSSIS	21	6		
PHAGOSOME	4		Rejected!	
PHENYLALANINE METABOLISM	49	36		
"PHENYLALANINE, TYROSINE AND TRYPTOPHAN BIOSYNTHESIS"	52	34		
PHENYLPROPANOID BIOSYNTHESIS	10		Rejected!	
PHOSPHATIDYLINOSITOL SIGNALING SYSTEM	6		Rejected!	
PHOSPHONATE AND PHOSPHINATE METABOLISM	17	11		
PHOSPHOTRANSFERASE SYSTEM (PTS)	75	51		
PHOTOSYNTHESIS	56	8		
PHOTOSYNTHESIS - ANTENNA PROTEINS	29		Rejected!	
PHOTOTRANSDUCTION - FLY	3		Rejected!	
PI3K-AKT SIGNALING PATHWAY	8		Rejected!	
PLANT-PATHOGEN INTERACTION	15		Rejected!	
PLATELET ACTIVATION	2		Rejected!	
POLYCYCLIC AROMATIC HYDROCARBON DEGRADATION	22		Rejected!	
POLYKETIDE SUGAR UNIT BIOSYNTHESIS	7		Rejected!	
PORPHYRIN AND CHLOROPHYLL METABOLISM	89	43		
PPAR SIGNALING PATHWAY	9		Rejected!	
PRIMARY BILE ACID BIOSYNTHESIS	4		Rejected!	
PRIMARY IMMUNODEFICIENCY	2		Rejected!	
PROPANOATE METABOLISM	63	46		
PROSTATE CANCER	2		Rejected!	
PROTEASOME	4		Rejected!	
PROTEIN DIGESTION AND ABSORPTION	8		Rejected!	
PROTEIN EXPORT	24	20		
PROTEIN PROCESSING IN ENDOPLASMIC RETICULUM	12		Rejected!	
PROTEOGLYCANS IN CANCER	6		Rejected!	
PROXIMAL TUBULE BICARBONATE RECLAMATION	5		Rejected!	
PURINE METABOLISM	155	95		
PYRIMIDINE METABOLISM	110	66		
PYRUVATE METABOLISM	78	63		
RAP1 SIGNALING PATHWAY	2		Rejected!	
RAS SIGNALING PATHWAY	3		Rejected!	
REGULATION OF ACTIN CYTOSKELETON	3		Rejected!	
RENIN-ANGIOTENSIN SYSTEM	4		Rejected!	
RETINOL METABOLISM	9		Rejected!	
RETROGRADE ENDOCANNABINOID SIGNALING	3		Rejected!	
RIBOFLAVIN METABOLISM	21	10		
RIBOSOME	96	55		
RIBOSOME BIOGENESIS IN EUKARYOTES	11		Rejected!	
RIG-I-LIKE RECEPTOR SIGNALING PATHWAY	2		Rejected!	
RNA DEGRADATION	24	17		
RNA POLYMERASE	25	5		
RNA TRANSPORT	18		Rejected!	
SALIVARY SECRETION	5		Rejected!	
SALMONELLA INFECTION	16	9		
SEROTONERGIC SYNAPSE	6		Rejected!	
SESQUITERPENOID AND TRITERPENOID BIOSYNTHESIS	7		Rejected!	
SHIGELLOSIS	19		Rejected!	
SMALL CELL LUNG CANCER	3		Rejected!	
SPHINGOLIPID METABOLISM	18	6		
SPHINGOLIPID SIGNALING PATHWAY	7		Rejected!	
SPLICEOSOME	4		Rejected!	
STAPHYLOCOCCUS AUREUS INFECTION	26	6		
STARCH AND SUCROSE METABOLISM	74	46		
STEROID BIOSYNTHESIS	13		Rejected!	
STEROID DEGRADATION	4		Rejected!	
STEROID HORMONE BIOSYNTHESIS	13		Rejected!	
"STILBENOID, DIARYLHEPTANOID AND GINGEROL BIOSYNTHESIS"	2		Rejected!	
STREPTOMYCIN BIOSYNTHESIS	16	9		
STYRENE DEGRADATION	14		Rejected!	
SULFUR METABOLISM	44	31		
SULFUR RELAY SYSTEM	17	17		
SYNAPTIC VESICLE CYCLE	2		Rejected!	
SYNTHESIS AND DEGRADATION OF KETONE BODIES	8		Rejected!	
TAURINE AND HYPOTAURINE METABOLISM	15	8		
TERPENOID BACKBONE BIOSYNTHESIS	33	21		
TETRACYCLINE BIOSYNTHESIS	6		Rejected!	
THIAMINE METABOLISM	22	14		
THYROID HORMONE SIGNALING PATHWAY	3		Rejected!	
THYROID HORMONE SYNTHESIS	3		Rejected!	
TIGHT JUNCTION	2		Rejected!	
TOLUENE DEGRADATION	21		Rejected!	
TOXOPLASMOSIS	4		Rejected!	
"TROPANE, PIPERIDINE AND PYRIDINE ALKALOID BIOSYNTHESIS"	13	8		
TRYPTOPHAN METABOLISM	35	12		
TUBERCULOSIS	8		Rejected!	
TWO-COMPONENT SYSTEM	355	178		
TYPE I DIABETES MELLITUS	2		Rejected!	
TYPE I POLYKETIDE STRUCTURES	10		Rejected!	
TYPE II DIABETES MELLITUS	2		Rejected!	
TYROSINE METABOLISM	44	16		
UBIQUINONE AND OTHER TERPENOID-QUINONE BIOSYNTHESIS	32	21		
"VALINE, LEUCINE AND ISOLEUCINE BIOSYNTHESIS"	16	14		
"VALINE, LEUCINE AND ISOLEUCINE DEGRADATION"	53	17		
VANCOMYCIN RESISTANCE	7	7		
VARIOUS TYPES OF N-GLYCAN BIOSYNTHESIS	5		Rejected!	
VASCULAR SMOOTH MUSCLE CONTRACTION	2		Rejected!	
VASOPRESSIN-REGULATED WATER REABSORPTION	3		Rejected!	
VEGF SIGNALING PATHWAY	2		Rejected!	
VIBRIO CHOLERAE INFECTION	16		Rejected!	
VIBRIO CHOLERAE PATHOGENIC CYCLE	42	6		
VIRAL CARCINOGENESIS	6		Rejected!	
VIRAL MYOCARDITIS	2		Rejected!	
VITAMIN B6 METABOLISM	13	10		
WNT SIGNALING PATHWAY	2		Rejected!	
XYLENE DEGRADATION	23	5		
ZEATIN BIOSYNTHESIS	2		Rejected!	
