Pathway,feature,value,coef,stderr,L2,L2A,L2B,L3
tRNA charging,TRNA-CHARGING-PWY,COLON,0,0,Aminoacyl-tRNA Charging (4 instances),,,Biosynthesis (1993 instances)
colanic acid building blocks biosynthesis,COLANSYN-PWY,SI,-0.06777903407,0.02160857897,Carbohydrate Biosynthesis (228 instances),,,Biosynthesis (1993 instances)
colanic acid building blocks biosynthesis,COLANSYN-PWY,COLON,0,0,Carbohydrate Biosynthesis (228 instances),,,Biosynthesis (1993 instances)
preQ0 biosynthesis,PWY-6703,SI,-0.09585835632,0.03266832989,Secondary Metabolite Biosynthesis (911 instances),,,Biosynthesis (1993 instances)
preQ0 biosynthesis,PWY-6703,COLON,0,0,Secondary Metabolite Biosynthesis (911 instances),,,Biosynthesis (1993 instances)
formaldehyde assimilation II (assimilatory RuMP Cycle),PWY-1861,SI,0.05477816695,0.01965068831,Formaldehyde Assimilation (3 instances),,,C1 Compound Utilization and Assimilation (39 instances)
formaldehyde assimilation II (assimilatory RuMP Cycle),PWY-1861,COLON,0,0,Formaldehyde Assimilation (3 instances),,,C1 Compound Utilization and Assimilation (39 instances)
formaldehyde oxidation I,RUMP-PWY,SI,0.1099518615,0.02551976898,Formaldehyde Oxidation (7 instances),Generation of Precursor Metabolites and Energy (240 instances),,C1 Compound Utilization and Assimilation (39 instances)
formaldehyde oxidation I,RUMP-PWY,COLON,0,0,Formaldehyde Oxidation (7 instances),,,C1 Compound Utilization and Assimilation (39 instances)
Bifidobacterium shunt,P124-PWY,SI,0.09099216812,0.01125169262,Sugar Degradation (77 instances),Fermentation to Acetate (21 instances),Fermentation to Lactate (8 instances),Carbohydrate Degradation (134 instances)
superpathway of glucose and xylose degradation,PWY-6901,SI,-0.2824644734,0.04568182911,Sugar Degradation (77 instances),,,Carbohydrate Degradation (134 instances)
Bifidobacterium shunt,P124-PWY,COLON,0,0,Sugar Degradation (77 instances),,,Carbohydrate Degradation (134 instances)
superpathway of glucose and xylose degradation,PWY-6901,COLON,0,0,Sugar Degradation (77 instances),,,Carbohydrate Degradation (134 instances)
acetylene degradation (anaerobic),P161-PWY,SI,0.09355469824,0.009913976201,Fermentation to Acetate (21 instances),Pyruvate Fermentation to Ethanol (7 instances),,Carboxylate Degradation (101 instances)
"hexitol fermentation to lactate, formate, ethanol and acetate",P461-PWY,SI,0.158186845,0.01912234075,Fermentation to Acetate (21 instances),Sugar Alcohol Degradation (20 instances),Pyruvate Fermentation to Ethanol (7 instances),Carboxylate Degradation (101 instances)
acetylene degradation (anaerobic),P161-PWY,COLON,0,0,Fermentation to Acetate (21 instances),,,Carboxylate Degradation (101 instances)
"hexitol fermentation to lactate, formate, ethanol and acetate",P461-PWY,COLON,0,0,Fermentation to Acetate (21 instances),,,Carboxylate Degradation (101 instances)
D-fructuronate degradation,PWY-7242,SI,-0.105804545,0.02342820069,Sugar Acid Degradation (19 instances),,,Carboxylate Degradation (101 instances)
D-fructuronate degradation,PWY-7242,COLON,0,0,Sugar Acid Degradation (19 instances),,,Carboxylate Degradation (101 instances)
coenzyme A biosynthesis I (prokaryotic),COA-PWY,SI,0.06689096153,0.007483968467,Coenzyme A Biosynthesis (8 instances),,,Carrier Biosynthesis (137 instances)
superpathway of coenzyme A biosynthesis I (bacteria),PANTOSYN-PWY,SI,-0.04343204894,0.01383103171,Coenzyme A Biosynthesis (8 instances),Vitamin Biosynthesis (66 instances),,Carrier Biosynthesis (137 instances)
coenzyme A biosynthesis I (prokaryotic),COA-PWY,COLON,0,0,Coenzyme A Biosynthesis (8 instances),,,Carrier Biosynthesis (137 instances)
superpathway of coenzyme A biosynthesis I (bacteria),PANTOSYN-PWY,COLON,0,0,Coenzyme A Biosynthesis (8 instances),,,Carrier Biosynthesis (137 instances)
peptidoglycan biosynthesis I (meso-diaminopimelate containing),PEPTIDOGLYCANSYN-PWY,SI,0.06236398152,0.007145285382,Cell Wall Biosynthesis (26 instances),,,Cell Structure Biosynthesis (104 instances)
peptidoglycan biosynthesis I (meso-diaminopimelate containing),PEPTIDOGLYCANSYN-PWY,COLON,0,0,Cell Wall Biosynthesis (26 instances),,,Cell Structure Biosynthesis (104 instances)
peptidoglycan biosynthesis III (mycobacteria),PWY-6385,SI,0.06150447056,0.007139827349,Peptidoglycan Biosynthesis (6 instances),,,Cell Wall Biosynthesis (26 instances)
peptidoglycan biosynthesis IV (Enterococcus faecium),PWY-6471,SI,0.07886281341,0.009493241088,Peptidoglycan Biosynthesis (6 instances),Antibiotic Resistance (8 instances),,Cell Wall Biosynthesis (26 instances)
peptidoglycan maturation (meso-diaminopimelate containing),PWY0-1586,SI,0.06164397835,0.008460286509,Peptidoglycan Biosynthesis (6 instances),,,Cell Wall Biosynthesis (26 instances)
peptidoglycan biosynthesis II (staphylococci),PWY-5265,SI,0.3618566936,0.08735694291,Peptidoglycan Biosynthesis (6 instances),,,Cell Wall Biosynthesis (26 instances)
peptidoglycan biosynthesis III (mycobacteria),PWY-6385,COLON,0,0,Peptidoglycan Biosynthesis (6 instances),,,Cell Wall Biosynthesis (26 instances)
peptidoglycan biosynthesis IV (Enterococcus faecium),PWY-6471,COLON,0,0,Peptidoglycan Biosynthesis (6 instances),,,Cell Wall Biosynthesis (26 instances)
peptidoglycan maturation (meso-diaminopimelate containing),PWY0-1586,COLON,0,0,Peptidoglycan Biosynthesis (6 instances),,,Cell Wall Biosynthesis (26 instances)
peptidoglycan biosynthesis II (staphylococci),PWY-5265,COLON,0,0,Peptidoglycan Biosynthesis (6 instances),,,Cell Wall Biosynthesis (26 instances)
poly(glycerol phosphate) wall teichoic acid biosynthesis,TEICHOICACID-PWY,SI,0.1925261731,0.02114562925,Teichoic Acid Biosynthesis (7 instances),,,Cell Wall Biosynthesis (26 instances)
poly(glycerol phosphate) wall teichoic acid biosynthesis,TEICHOICACID-PWY,COLON,0,0,Teichoic Acid Biosynthesis (7 instances),,,Cell Wall Biosynthesis (26 instances)
UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),PWY-6387,SI,0.06232314934,0.007131151824,UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances),,,Cell Wall Biosynthesis (26 instances)
UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),PWY-6386,SI,0.06092638675,0.007104989411,UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances),,,Cell Wall Biosynthesis (26 instances)
UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),PWY-6387,COLON,0,0,UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances),,,Cell Wall Biosynthesis (26 instances)
UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),PWY-6386,COLON,0,0,UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances),,,Cell Wall Biosynthesis (26 instances)
phosphopantothenate biosynthesis I,PANTO-PWY,SI,-0.0669863691,0.02021077139,Phosphopantothenate Biosynthesis (3 instances),,,Coenzyme A Biosynthesis (8 instances)
phosphopantothenate biosynthesis I,PANTO-PWY,COLON,0,0,Phosphopantothenate Biosynthesis (3 instances),,,Coenzyme A Biosynthesis (8 instances)
"(S)-propane-1,2-diol degradation",PWY-7013,SI,0.2918561787,0.04551575741,Alcohol Degradation (20 instances),Fermentation to Propanoate (7 instances),,Degradation/Utilization/Assimilation (1104 instances)
"(S)-propane-1,2-diol degradation",PWY-7013,COLON,0,0,Alcohol Degradation (20 instances),,,Degradation/Utilization/Assimilation (1104 instances)
"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",GLCMANNANAUT-PWY,SI,0.06207910391,0.008379315522,Amine and Polyamine Degradation (62 instances),,,Degradation/Utilization/Assimilation (1104 instances)
"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",GLCMANNANAUT-PWY,COLON,0,0,Amine and Polyamine Degradation (62 instances),,,Degradation/Utilization/Assimilation (1104 instances)
superpathway of N-acetylneuraminate degradation,P441-PWY,SI,0.06992457015,0.009283286799,Carboxylate Degradation (101 instances),,,Degradation/Utilization/Assimilation (1104 instances)
superpathway of N-acetylneuraminate degradation,P441-PWY,COLON,0,0,Carboxylate Degradation (101 instances),,,Degradation/Utilization/Assimilation (1104 instances)
superpathway of purine deoxyribonucleosides degradation,PWY0-1297,SI,0.07891170235,0.008218255201,Nucleoside and Nucleotide Degradation (40 instances),,,Degradation/Utilization/Assimilation (1104 instances)
superpathway of purine deoxyribonucleosides degradation,PWY0-1297,COLON,0,0,Nucleoside and Nucleotide Degradation (40 instances),,,Degradation/Utilization/Assimilation (1104 instances)
"cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)",PWY-7377,SI,0.3618471762,0.047798249,"cob(II)yrinate a,c-diamide biosynthesis (2 instances)",,,Enzyme Cofactor Biosynthesis (137 instances)
"cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)",PWY-7377,COLON,0,0,"cob(II)yrinate a,c-diamide biosynthesis (2 instances)",,,Enzyme Cofactor Biosynthesis (137 instances)
S-adenosyl-L-methionine salvage I,PWY-6151,SI,0.06723206493,0.007689601917,S-adenosyl-L-methionine Biosynthesis (3 instances),,,Enzyme Cofactor Biosynthesis (137 instances)
S-adenosyl-L-methionine salvage I,PWY-6151,COLON,0,0,S-adenosyl-L-methionine Biosynthesis (3 instances),,,Enzyme Cofactor Biosynthesis (137 instances)
superpathway of thiamine diphosphate biosynthesis I,THISYN-PWY,SI,-0.07690632735,0.02758560286,Thiamine Biosynthesis (20 instances),,,Enzyme Cofactor Biosynthesis (137 instances)
superpathway of thiamine diphosphate biosynthesis I,THISYN-PWY,COLON,0,0,Thiamine Biosynthesis (20 instances),,,Enzyme Cofactor Biosynthesis (137 instances)
fatty acid elongation -- saturated,FASYN-ELONG-PWY,SI,0.06418228735,0.007522886529,Fatty Acid Biosynthesis (92 instances),,,Fatty Acid and Lipid Biosynthesis (224 instances)
fatty acid elongation -- saturated,FASYN-ELONG-PWY,COLON,0,0,Fatty Acid Biosynthesis (92 instances),,,Fatty Acid and Lipid Biosynthesis (224 instances)
superpathway of phospholipid biosynthesis I (bacteria),PHOSLIPSYN-PWY,SI,0.0623196554,0.00711476956,Phospholipid Biosynthesis (38 instances),,,Fatty Acid and Lipid Biosynthesis (224 instances)
superpathway of phospholipid biosynthesis I (bacteria),PHOSLIPSYN-PWY,COLON,0,0,Phospholipid Biosynthesis (38 instances),,,Fatty Acid and Lipid Biosynthesis (224 instances)
gondoate biosynthesis (anaerobic),PWY-7663,SI,0.04896396525,0.006075368706,Unsaturated Fatty Acid Biosynthesis (60 instances),,,Fatty Acid Biosynthesis (92 instances)
cis-vaccenate biosynthesis,PWY-5973,SI,0.04536461155,0.006060245891,Unsaturated Fatty Acid Biosynthesis (60 instances),,,Fatty Acid Biosynthesis (92 instances)
gondoate biosynthesis (anaerobic),PWY-7663,COLON,0,0,Unsaturated Fatty Acid Biosynthesis (60 instances),,,Fatty Acid Biosynthesis (92 instances)
cis-vaccenate biosynthesis,PWY-5973,COLON,0,0,Unsaturated Fatty Acid Biosynthesis (60 instances),,,Fatty Acid Biosynthesis (92 instances)
glycerol degradation to butanol,PWY-7003,SI,-0.2633230624,0.05377049793,Fermentation to Alcohols (17 instances),,,Fermentation (81 instances)
glycerol degradation to butanol,PWY-7003,COLON,0,0,Fermentation to Alcohols (17 instances),,,Fermentation (81 instances)
heterolactic fermentation,P122-PWY,SI,0.1020138743,0.01310623158,Pyruvate Fermentation to Ethanol (7 instances),Fermentation to Lactate (8 instances),,Fermentation of Pyruvate (37 instances)
heterolactic fermentation,P122-PWY,COLON,0,0,Pyruvate Fermentation to Ethanol (7 instances),,,Fermentation of Pyruvate (37 instances)
pyruvate fermentation to propanoate I,P108-PWY,SI,-0.1356052463,0.03340481387,Pyruvate Fermentation to Propanoate (2 instances),,,Fermentation of Pyruvate (37 instances)
pyruvate fermentation to propanoate I,P108-PWY,COLON,0,0,Pyruvate Fermentation to Propanoate (2 instances),,,Fermentation of Pyruvate (37 instances)
pyruvate fermentation to acetate and lactate II,PWY-5100,SI,0.06393442047,0.006967687346,Pyruvate Fermentation to Acetate (11 instances),pyruvate fermentation to lactate (4 instances),,Fermentation to Acetate (21 instances)
pyruvate fermentation to acetate and lactate II,PWY-5100,COLON,0,0,Pyruvate Fermentation to Acetate (11 instances),,,Fermentation to Acetate (21 instances)
homolactic fermentation,ANAEROFRUCAT-PWY,SI,0.04657290117,0.005549784165,Fermentation to Lactate (8 instances),,,Fermentation to Short-Chain Fatty Acids (40 instances)
homolactic fermentation,ANAEROFRUCAT-PWY,COLON,0,0,Fermentation to Lactate (8 instances),,,Fermentation to Short-Chain Fatty Acids (40 instances)
aerobic respiration I (cytochrome c),PWY-3781,SI,0.2794558292,0.05490512785,Electron Transfer Chains (43 instances),Aerobic Respiration (23 instances),,Generation of Precursor Metabolites and Energy (240 instances)
aerobic respiration I (cytochrome c),PWY-3781,COLON,0,0,Electron Transfer Chains (43 instances),,,Generation of Precursor Metabolites and Energy (240 instances)
glycolysis III (from glucose),ANAGLYCOLYSIS-PWY,SI,0.05804864924,0.006573528568,Glycolysis (5 instances),,,Generation of Precursor Metabolites and Energy (240 instances)
glycolysis II (from fructose 6-phosphate),PWY-5484,SI,0.04923695266,0.005647158866,Glycolysis (5 instances),,,Generation of Precursor Metabolites and Energy (240 instances)
glycolysis I (from glucose 6-phosphate),GLYCOLYSIS,SI,0.04515158456,0.005345722155,Glycolysis (5 instances),,,Generation of Precursor Metabolites and Energy (240 instances)
glycolysis V (Pyrococcus),P341-PWY,SI,0.256773617,0.07344565275,Glycolysis (5 instances),,,Generation of Precursor Metabolites and Energy (240 instances)
glycolysis III (from glucose),ANAGLYCOLYSIS-PWY,COLON,0,0,Glycolysis (5 instances),,,Generation of Precursor Metabolites and Energy (240 instances)
glycolysis II (from fructose 6-phosphate),PWY-5484,COLON,0,0,Glycolysis (5 instances),,,Generation of Precursor Metabolites and Energy (240 instances)
glycolysis I (from glucose 6-phosphate),GLYCOLYSIS,COLON,0,0,Glycolysis (5 instances),,,Generation of Precursor Metabolites and Energy (240 instances)
glycolysis V (Pyrococcus),P341-PWY,COLON,0,0,Glycolysis (5 instances),,,Generation of Precursor Metabolites and Energy (240 instances)
pentose phosphate pathway (non-oxidative branch) I,NONOXIPENT-PWY,SI,0.02437837951,0.005566859886,Pentose Phosphate Pathways (6 instances),,,Generation of Precursor Metabolites and Energy (240 instances)
pentose phosphate pathway,PENTOSE-P-PWY,SI,-0.02822173938,0.0113623145,Pentose Phosphate Pathways (6 instances),,,Generation of Precursor Metabolites and Energy (240 instances)
pentose phosphate pathway (non-oxidative branch) I,NONOXIPENT-PWY,COLON,0,0,Pentose Phosphate Pathways (6 instances),,,Generation of Precursor Metabolites and Energy (240 instances)
pentose phosphate pathway,PENTOSE-P-PWY,COLON,0,0,Pentose Phosphate Pathways (6 instances),,,Generation of Precursor Metabolites and Energy (240 instances)
TCA cycle I (prokaryotic),TCA,SI,-0.1039190732,0.02201809246,TCA cycle (9 instances),,,Generation of Precursor Metabolites and Energy (240 instances)
partial TCA cycle (obligate autotrophs),PWY-5913,SI,0.07189841508,0.02119502603,TCA cycle (9 instances),,,Generation of Precursor Metabolites and Energy (240 instances)
TCA cycle I (prokaryotic),TCA,COLON,0,0,TCA cycle (9 instances),,,Generation of Precursor Metabolites and Energy (240 instances)
partial TCA cycle (obligate autotrophs),PWY-5913,COLON,0,0,TCA cycle (9 instances),,,Generation of Precursor Metabolites and Energy (240 instances)
heme b biosynthesis II (oxygen-independent),HEMESYN2-PWY,SI,0.07030319487,0.020220368,Heme b Biosynthesis (8 instances),,,Heme Biosynthesis (13 instances)
heme b biosynthesis II (oxygen-independent),HEMESYN2-PWY,COLON,0,0,Heme b Biosynthesis (8 instances),,,Heme Biosynthesis (13 instances)
urea cycle,PWY-4984,SI,0.1787484247,0.04708595419,Nitrogen Compound Metabolism (33 instances),,,Inorganic Nutrient Metabolism (142 instances)
urea cycle,PWY-4984,COLON,0,0,Nitrogen Compound Metabolism (33 instances),,,Inorganic Nutrient Metabolism (142 instances)
superpathway of sulfate assimilation and cysteine biosynthesis,SULFATE-CYS-PWY,SI,0.09918870678,0.03735234964,Sulfur Compound Metabolism (87 instances),,,Inorganic Nutrient Metabolism (142 instances)
superpathway of sulfate assimilation and cysteine biosynthesis,SULFATE-CYS-PWY,COLON,0,0,Sulfur Compound Metabolism (87 instances),,,Inorganic Nutrient Metabolism (142 instances)
mevalonate pathway I (eukaryotes and bacteria),PWY-922,SI,0.1670960449,0.02112106493,Mevalonate Pathways (4 instances),,,Isopentenyl Diphosphate Biosynthesis (6 instances)
mevalonate pathway I (eukaryotes and bacteria),PWY-922,COLON,0,0,Mevalonate Pathways (4 instances),,,Isopentenyl Diphosphate Biosynthesis (6 instances)
superpathway of L-methionine biosynthesis (transsulfuration),PWY-5347,SI,-0.09797861813,0.03735384537,L-methionine De Novo Biosynthesis (7 instances),,,L-methionine Biosynthesis (14 instances)
superpathway of L-methionine biosynthesis (transsulfuration),PWY-5347,COLON,0,0,L-methionine De Novo Biosynthesis (7 instances),,,L-methionine Biosynthesis (14 instances)
superpathway of glycolysis and the Entner-Doudoroff pathway,GLYCOLYSIS-E-D,SI,0.09086522354,0.009962617686,Generation of Precursor Metabolites and Energy (240 instances),,,NA
glyoxylate cycle,GLYOXYLATE-BYPASS,SI,0.5279957636,0.1065381708,Generation of Precursor Metabolites and Energy (240 instances),,,NA
superpathway of glycolysis and the Entner-Doudoroff pathway,GLYCOLYSIS-E-D,COLON,0,0,Generation of Precursor Metabolites and Energy (240 instances),,,NA
glyoxylate cycle,GLYOXYLATE-BYPASS,COLON,0,0,Generation of Precursor Metabolites and Energy (240 instances),,,NA
"superpathway of histidine, purine, and pyrimidine biosynthesis",PRPP-PWY,SI,-0.171417973,0.02741865736,Superpathways (382 instances),,,NA
superpathway of hexuronide and hexuronate degradation,GALACT-GLUCUROCAT-PWY,SI,-0.1242344236,0.03307392265,Superpathways (382 instances),,,NA
superpathway of S-adenosyl-L-methionine biosynthesis,MET-SAM-PWY,SI,-0.1527896744,0.04683642027,Superpathways (382 instances),,,NA
"superpathway of histidine, purine, and pyrimidine biosynthesis",PRPP-PWY,COLON,0,0,Superpathways (382 instances),,,NA
superpathway of hexuronide and hexuronate degradation,GALACT-GLUCUROCAT-PWY,COLON,0,0,Superpathways (382 instances),,,NA
superpathway of S-adenosyl-L-methionine biosynthesis,MET-SAM-PWY,COLON,0,0,Superpathways (382 instances),,,NA
NAD salvage pathway I (PNC VI cycle),PYRIDNUCSAL-PWY,SI,-0.1429622892,0.02373989905,NAD Biosynthesis (12 instances),,,NAD Metabolism (19 instances)
NAD salvage pathway I (PNC VI cycle),PYRIDNUCSAL-PWY,COLON,0,0,NAD Biosynthesis (12 instances),,,NAD Metabolism (19 instances)
nitrate reduction VI (assimilatory),PWY490-3,SI,0.1791494599,0.03622424861,Nitrate Reduction (11 instances),,,Nitrogen Compound Metabolism (33 instances)
nitrate reduction VI (assimilatory),PWY490-3,COLON,0,0,Nitrate Reduction (11 instances),,,Nitrogen Compound Metabolism (33 instances)
queuosine biosynthesis I (de novo),PWY-6700,SI,-0.04894953476,0.01935603521,Queuosine Biosynthesis and Salvage (3 instances),,,Nucleic Acid Processing (21 instances)
queuosine biosynthesis I (de novo),PWY-6700,COLON,0,0,Queuosine Biosynthesis and Salvage (3 instances),,,Nucleic Acid Processing (21 instances)
purine ribonucleosides degradation,PWY0-1296,SI,0.05860870204,0.007171070157,Purine Nucleotide Degradation (16 instances),,,Nucleoside and Nucleotide Degradation (40 instances)
inosine 5'-phosphate degradation,PWY-5695,SI,0.04228990475,0.008001939079,Purine Nucleotide Degradation (16 instances),,,Nucleoside and Nucleotide Degradation (40 instances)
purine nucleotides degradation II (aerobic),PWY-6353,SI,-0.1586487831,0.03207690161,Purine Nucleotide Degradation (16 instances),,,Nucleoside and Nucleotide Degradation (40 instances)
purine ribonucleosides degradation,PWY0-1296,COLON,0,0,Purine Nucleotide Degradation (16 instances),,,Nucleoside and Nucleotide Degradation (40 instances)
inosine 5'-phosphate degradation,PWY-5695,COLON,0,0,Purine Nucleotide Degradation (16 instances),,,Nucleoside and Nucleotide Degradation (40 instances)
purine nucleotides degradation II (aerobic),PWY-6353,COLON,0,0,Purine Nucleotide Degradation (16 instances),,,Nucleoside and Nucleotide Degradation (40 instances)
superpathway of pyrimidine deoxyribonucleosides degradation,PWY0-1298,SI,0.06870740267,0.008462006041,Pyrimidine Nucleotide Degradation (13 instances),,,Nucleoside and Nucleotide Degradation (40 instances)
superpathway of pyrimidine deoxyribonucleosides degradation,PWY0-1298,COLON,0,0,Pyrimidine Nucleotide Degradation (13 instances),,,Nucleoside and Nucleotide Degradation (40 instances)
L-ornithine biosynthesis I,GLUTORN-PWY,SI,-0.0607996074,0.0157211898,L-Ornithine Biosynthesis (3 instances),,,Other Amino Acid Biosynthesis (24 instances)
L-ornithine biosynthesis I,GLUTORN-PWY,COLON,0,0,L-Ornithine Biosynthesis (3 instances),,,Other Amino Acid Biosynthesis (24 instances)
CDP-diacylglycerol biosynthesis I,PWY-5667,SI,0.0584665573,0.00682060622,CDP-diacylglycerol Biosynthesis (3 instances),,,Phospholipid Biosynthesis (38 instances)
CDP-diacylglycerol biosynthesis II,PWY0-1319,SI,0.0584665573,0.00682060622,CDP-diacylglycerol Biosynthesis (3 instances),,,Phospholipid Biosynthesis (38 instances)
CDP-diacylglycerol biosynthesis I,PWY-5667,COLON,0,0,CDP-diacylglycerol Biosynthesis (3 instances),,,Phospholipid Biosynthesis (38 instances)
