NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GLYOXYLATE AND DICARBOXYLATE METABOLISM	GLYOXYLATE AND DICARBOXYLATE METABOLISM		34	-0.23312713	-1.5942593	0.055445544	0.09417128	0.899	1259	tags=65%, list=42%, signal=110%	
NITROTOLUENE DEGRADATION	NITROTOLUENE DEGRADATION		13	-0.3691387	-1.5908576	0.052742615	0.09242955	0.905	1911	tags=100%, list=63%, signal=271%	
NITROGEN METABOLISM	NITROGEN METABOLISM		23	-0.2615514	-1.5134437	0.06029106	0.12902693	0.967	1318	tags=70%, list=44%, signal=122%	
RIBOFLAVIN METABOLISM	RIBOFLAVIN METABOLISM		7	-0.43250677	-1.4296905	0.102970295	0.17910364	0.997	855	tags=71%, list=28%, signal=99%	
PANTOTHENATE AND COA BIOSYNTHESIS	PANTOTHENATE AND COA BIOSYNTHESIS		18	-0.2777778	-1.4295899	0.07514451	0.1727071	0.997	1516	tags=78%, list=50%, signal=155%	
PHOSPHONATE AND PHOSPHINATE METABOLISM	PHOSPHONATE AND PHOSPHINATE METABOLISM		12	-0.34386078	-1.4258319	0.09311741	0.16924495	0.997	980	tags=67%, list=32%, signal=98%	
UBIQUINONE AND OTHER TERPENOID-QUINONE BIOSYNTHESIS	UBIQUINONE AND OTHER TERPENOID-QUINONE BIOSYNTHESIS		17	-0.28741845	-1.4064612	0.11222445	0.17756869	0.998	1092	tags=65%, list=36%, signal=101%	
FATTY ACID BIOSYNTHESIS	FATTY ACID BIOSYNTHESIS		14	-0.3170326	-1.373582	0.125	0.19577025	0.999	2068	tags=100%, list=68%, signal=316%	
BACTERIAL SECRETION SYSTEM	BACTERIAL SECRETION SYSTEM		28	-0.21695952	-1.3579292	0.124	0.2021332	1.0	2264	tags=96%, list=75%, signal=382%	
GLUTATHIONE METABOLISM	GLUTATHIONE METABOLISM		13	-0.31042948	-1.3468649	0.12190083	0.20542902	1.0	926	tags=62%, list=31%, signal=88%	
BIOTIN METABOLISM	BIOTIN METABOLISM		11	-0.31735095	-1.2802327	0.15643564	0.26060244	1.0	1517	tags=82%, list=50%, signal=164%	
VITAMIN B6 METABOLISM	VITAMIN B6 METABOLISM		9	-0.3325953	-1.2464937	0.18875502	0.28669798	1.0	1684	tags=89%, list=56%, signal=200%	
NOVOBIOCIN BIOSYNTHESIS	NOVOBIOCIN BIOSYNTHESIS		7	-0.3782182	-1.2234815	0.23449612	0.30386275	1.0	1450	tags=86%, list=48%, signal=164%	
FOLATE BIOSYNTHESIS	FOLATE BIOSYNTHESIS		20	-0.22799999	-1.220518	0.22243714	0.2984964	1.0	374	tags=35%, list=12%, signal=40%	
HISTIDINE METABOLISM	HISTIDINE METABOLISM		19	-0.22941478	-1.189847	0.22336066	0.32417136	1.0	902	tags=53%, list=30%, signal=75%	
FATTY ACID DEGRADATION	FATTY ACID DEGRADATION		11	-0.28145865	-1.1339679	0.29958677	0.38124385	1.0	1625	tags=82%, list=54%, signal=176%	
"TROPANE, PIPERIDINE AND PYRIDINE ALKALOID BIOSYNTHESIS"	"TROPANE, PIPERIDINE AND PYRIDINE ALKALOID BIOSYNTHESIS"		6	-0.35998672	-1.0904565	0.32177263	0.42825305	1.0	1936	tags=100%, list=64%, signal=278%	
TYROSINE METABOLISM	TYROSINE METABOLISM		14	-0.23557644	-1.0627588	0.36511156	0.45503917	1.0	1450	tags=71%, list=48%, signal=137%	
AMINOBENZOATE DEGRADATION	AMINOBENZOATE DEGRADATION		10	-0.27940196	-1.0501226	0.396728	0.46172622	1.0	368	tags=40%, list=12%, signal=45%	
PEROXISOME	PEROXISOME		7	-0.31008488	-1.0269382	0.41386554	0.48300636	1.0	361	tags=43%, list=12%, signal=49%	
PHENYLALANINE METABOLISM	PHENYLALANINE METABOLISM		15	-0.21430945	-1.0022476	0.42322835	0.5064729	1.0	1169	tags=60%, list=39%, signal=97%	
PENTOSE AND GLUCURONATE INTERCONVERSIONS	PENTOSE AND GLUCURONATE INTERCONVERSIONS		22	-0.1530111	-0.8712827	0.60792077	0.6944676	1.0	915	tags=45%, list=30%, signal=65%	
INOSITOL PHOSPHATE METABOLISM	INOSITOL PHOSPHATE METABOLISM		10	-0.22491692	-0.85497195	0.642562	0.70574963	1.0	1740	tags=80%, list=58%, signal=188%	
VIBRIO CHOLERAE PATHOGENIC CYCLE	VIBRIO CHOLERAE PATHOGENIC CYCLE		5	-0.29187396	-0.8058881	0.70987654	0.76624537	1.0	329	tags=40%, list=11%, signal=45%	
DEGRADATION OF AROMATIC COMPOUNDS	DEGRADATION OF AROMATIC COMPOUNDS		8	-0.21032539	-0.7209323	0.8485437	0.8700259	1.0	1255	tags=63%, list=42%, signal=107%	
"VALINE, LEUCINE AND ISOLEUCINE DEGRADATION"	"VALINE, LEUCINE AND ISOLEUCINE DEGRADATION"		13	-0.16175078	-0.70194733	0.85714287	0.8765811	1.0	2070	tags=85%, list=69%, signal=268%	
THIAMINE METABOLISM	THIAMINE METABOLISM		13	-0.14174615	-0.62025523	0.90873784	0.94301814	1.0	504	tags=31%, list=17%, signal=37%	
TRYPTOPHAN METABOLISM	TRYPTOPHAN METABOLISM		9	-0.14775452	-0.53946096	0.96525097	0.97470117	1.0	1905	tags=78%, list=63%, signal=210%	
