NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
STREPTOMYCIN BIOSYNTHESIS	STREPTOMYCIN BIOSYNTHESIS	Details ...	10	0.49235883	1.8743691	0.0042283298	0.045532193	0.408	1537	tags=100%, list=51%, signal=203%	
OTHER GLYCAN DEGRADATION	OTHER GLYCAN DEGRADATION	Details ...	9	0.50905937	1.8725848	0.010593221	0.042333037	0.412	144	tags=56%, list=5%, signal=58%	
AMINO SUGAR AND NUCLEOTIDE SUGAR METABOLISM	AMINO SUGAR AND NUCLEOTIDE SUGAR METABOLISM	Details ...	61	0.2035911	1.867427	0.009765625	0.04129381	0.429	1971	tags=85%, list=65%, signal=240%	
ONE CARBON POOL BY FOLATE	ONE CARBON POOL BY FOLATE	Details ...	18	0.36697757	1.8639928	0.0078125	0.03936523	0.434	1414	tags=83%, list=47%, signal=156%	
GLYCEROLIPID METABOLISM	GLYCEROLIPID METABOLISM	Details ...	19	0.3549343	1.8398662	0.013916501	0.041472957	0.476	1477	tags=84%, list=49%, signal=164%	
BASE EXCISION REPAIR	BASE EXCISION REPAIR	Details ...	13	0.4039805	1.7894907	0.011764706	0.051319752	0.583	875	tags=69%, list=29%, signal=97%	
LYSOSOME	LYSOSOME	Details ...	7	0.52795035	1.695074	0.03515625	0.078116536	0.76	134	tags=57%, list=4%, signal=60%	
ARGININE AND PROLINE METABOLISM	ARGININE AND PROLINE METABOLISM	Details ...	56	0.18756026	1.6367188	0.029227557	0.10181302	0.862	252	tags=27%, list=8%, signal=29%	
CELL CYCLE - CAULOBACTER	CELL CYCLE - CAULOBACTER	Details ...	13	0.37880844	1.6346908	0.030927835	0.097629406	0.865	1183	tags=77%, list=39%, signal=126%	
SPHINGOLIPID METABOLISM	SPHINGOLIPID METABOLISM		6	0.52632165	1.6019183	0.05338809	0.11038818	0.918	426	tags=67%, list=14%, signal=77%	
PENTOSE PHOSPHATE PATHWAY	PENTOSE PHOSPHATE PATHWAY		31	0.24282582	1.5934452	0.05719921	0.109852694	0.926	1319	tags=68%, list=44%, signal=119%	
BETA-LACTAM RESISTANCE	BETA-LACTAM RESISTANCE		13	0.36404803	1.5665951	0.064386316	0.12041928	0.94	1692	tags=92%, list=56%, signal=209%	
RNA POLYMERASE	RNA POLYMERASE		5	0.54693204	1.5274317	0.053639848	0.13779618	0.958	766	tags=80%, list=25%, signal=107%	
"GLYCINE, SERINE AND THREONINE METABOLISM"	"GLYCINE, SERINE AND THREONINE METABOLISM"		33	0.22136329	1.5227984	0.052532833	0.13509162	0.961	619	tags=42%, list=20%, signal=53%	
BIOSYNTHESIS OF AMINO ACIDS	BIOSYNTHESIS OF AMINO ACIDS		141	0.10810486	1.4644785	0.071428575	0.16730699	0.989	2515	tags=94%, list=83%, signal=534%	
TAURINE AND HYPOTAURINE METABOLISM	TAURINE AND HYPOTAURINE METABOLISM		7	0.43696365	1.4514234	0.07302231	0.16995814	0.99	1271	tags=86%, list=42%, signal=148%	
FRUCTOSE AND MANNOSE METABOLISM	FRUCTOSE AND MANNOSE METABOLISM		43	0.18353109	1.4255803	0.098712444	0.18459016	0.993	1981	tags=84%, list=66%, signal=240%	
METHANE METABOLISM	METHANE METABOLISM		43	0.18353109	1.4149156	0.0967118	0.18661334	0.995	1981	tags=84%, list=66%, signal=240%	
CYANOAMINO ACID METABOLISM	CYANOAMINO ACID METABOLISM		7	0.4207008	1.4012991	0.0952381	0.190767	0.997	1320	tags=86%, list=44%, signal=152%	
DRUG METABOLISM - OTHER ENZYMES	DRUG METABOLISM - OTHER ENZYMES		9	0.3813794	1.401152	0.099403575	0.18470985	0.997	864	tags=67%, list=29%, signal=93%	
CARBON METABOLISM	CARBON METABOLISM		124	0.10810234	1.3929013	0.10816327	0.1853044	0.997	2024	tags=77%, list=67%, signal=225%	
STAPHYLOCOCCUS AUREUS INFECTION	STAPHYLOCOCCUS AUREUS INFECTION		6	0.44614026	1.3666303	0.13419913	0.20102559	1.0	1171	tags=83%, list=39%, signal=136%	
VANCOMYCIN RESISTANCE	VANCOMYCIN RESISTANCE		7	0.41173962	1.3403529	0.13492064	0.21617623	1.0	1347	tags=86%, list=45%, signal=154%	
TERPENOID BACKBONE BIOSYNTHESIS	TERPENOID BACKBONE BIOSYNTHESIS		21	0.246479	1.3372915	0.14876033	0.21284615	1.0	2136	tags=95%, list=71%, signal=323%	
CARBON FIXATION IN PHOTOSYNTHETIC ORGANISMS	CARBON FIXATION IN PHOTOSYNTHETIC ORGANISMS		19	0.23995508	1.2616118	0.192	0.27684602	1.0	1981	tags=89%, list=66%, signal=258%	
PYRUVATE METABOLISM	PYRUVATE METABOLISM		52	0.1447751	1.2025934	0.22519083	0.33177322	1.0	2357	tags=92%, list=78%, signal=413%	
GALACTOSE METABOLISM	GALACTOSE METABOLISM		37	0.16031386	1.1533247	0.2559524	0.3820841	1.0	337	tags=27%, list=11%, signal=30%	
CENTRAL CARBON METABOLISM IN CANCER	CENTRAL CARBON METABOLISM IN CANCER		8	0.33266932	1.1431729	0.27272728	0.38410577	1.0	2017	tags=100%, list=67%, signal=300%	
RNA DEGRADATION	RNA DEGRADATION		16	0.23551932	1.1215489	0.30020705	0.4015145	1.0	1179	tags=63%, list=39%, signal=102%	
GLYCEROPHOSPHOLIPID METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM		24	0.19170004	1.1095254	0.32924336	0.40812603	1.0	1438	tags=67%, list=48%, signal=126%	
PROPANOATE METABOLISM	PROPANOATE METABOLISM		38	0.14411028	1.0267875	0.42773438	0.5134447	1.0	364	tags=26%, list=12%, signal=30%	
"ALANINE, ASPARTATE AND GLUTAMATE METABOLISM"	"ALANINE, ASPARTATE AND GLUTAMATE METABOLISM"		34	0.14698003	1.015629	0.4131356	0.5182399	1.0	626	tags=35%, list=21%, signal=44%	
INSULIN SIGNALING PATHWAY	INSULIN SIGNALING PATHWAY		5	0.3655058	1.0148628	0.44246033	0.5073842	1.0	1313	tags=80%, list=43%, signal=141%	
PROTEIN EXPORT	PROTEIN EXPORT		18	0.19746095	1.008233	0.436	0.50547755	1.0	1084	tags=56%, list=36%, signal=86%	
D-ALANINE METABOLISM	D-ALANINE METABOLISM		5	0.35422885	0.9922965	0.43373495	0.5182055	1.0	1347	tags=80%, list=45%, signal=144%	
HIF-1 SIGNALING PATHWAY	HIF-1 SIGNALING PATHWAY		5	0.3323383	0.9374078	0.54457366	0.590001	1.0	2017	tags=100%, list=67%, signal=301%	
CHLOROALKANE AND CHLOROALKENE DEGRADATION	CHLOROALKANE AND CHLOROALKENE DEGRADATION		10	0.23089702	0.88276005	0.6004184	0.65943944	1.0	814	tags=50%, list=27%, signal=68%	
GLYCOLYSIS / GLUCONEOGENESIS	GLYCOLYSIS / GLUCONEOGENESIS		45	0.10969189	0.8572198	0.62671906	0.68410134	1.0	2290	tags=87%, list=76%, signal=353%	
STYRENE DEGRADATION	STYRENE DEGRADATION		5	0.31011608	0.8432622	0.64257026	0.6922267	1.0	272	tags=40%, list=9%, signal=44%	
CYSTEINE AND METHIONINE METABOLISM	CYSTEINE AND METHIONINE METABOLISM		39	0.09133055	0.6923796	0.8772277	0.88351864	1.0	2437	tags=90%, list=81%, signal=459%	
STARCH AND SUCROSE METABOLISM	STARCH AND SUCROSE METABOLISM		45	0.08739497	0.6858771	0.8507752	0.8743396	1.0	1551	tags=60%, list=51%, signal=122%	
NICOTINATE AND NICOTINAMIDE METABOLISM	NICOTINATE AND NICOTINAMIDE METABOLISM		21	0.1197066	0.650309	0.878	0.89446443	1.0	2660	tags=100%, list=88%, signal=833%	
