SampleID,SequenceDepth,Type,Site,Site_General,MouseID,Genotype,Sex,Litter,Description,Sequencing_Run
Mouse2B.DTT52,132436,Mucosal,Ileum,SI,Mouse2B,Tg,M,DOB_10_20_2017,Mouse2B.DTT52,One
Mouse3B.DTT58,61208,Mucosal,Ileum,SI,Mouse3B,Tg,M,DOB_10_20_2017,Mouse3B.DTT58,One
Mouse4B.DTT64,81049,Mucosal,Ileum,SI,Mouse4B,Tg,F,DOB_10_20_2017,Mouse4B.DTT64,One
Mouse5B.DTT70,105024,Mucosal,Ileum,SI,Mouse5B,Tg,F,DOB_10_24_2017,Mouse5B.DTT70,One
Mouse6B.DTT76,78796,Mucosal,Ileum,SI,Mouse6B,Tg,F,DOB_10_24_2017,Mouse6B.DTT76,One
Mouse7B.DTT82,119675,Mucosal,Ileum,SI,Mouse7B,Tg,F,DOB_10_24_2017,Mouse7B.DTT82,One
Mouse8B.DTT94,85998,Mucosal,Ileum,SI,Mouse8B,Tg,M,DOB_4_17_2018,Mouse8B.DTT94,Two
Mouse9B.DTT106,54767,Mucosal,Ileum,SI,Mouse9B,Tg,M,DOB_4_17_2018,Mouse9B.DTT106,Two
Mouse10B.DTT118,67107,Mucosal,Ileum,SI,Mouse10B,Tg,F,DOB_4_17_2018,Mouse10B.DTT118,Two
Mouse10B.FP118,169222,Luminal,Ileum,SI,Mouse10B,Tg,F,DOB_4_17_2018,Mouse10B.FP118,Two
Mouse1B.FP46,135826,Luminal,Ileum,SI,Mouse1B,Tg,F,DOB_10_11_2017,Mouse1B.FP46,One
Mouse2B.FP52,143831,Luminal,Ileum,SI,Mouse2B,Tg,M,DOB_10_20_2017,Mouse2B.FP52,One
Mouse3B.FP58,122688,Luminal,Ileum,SI,Mouse3B,Tg,M,DOB_10_20_2017,Mouse3B.FP58,One
Mouse4B.FP64,114143,Luminal,Ileum,SI,Mouse4B,Tg,F,DOB_10_20_2017,Mouse4B.FP64,One
Mouse5B.FP70,133942,Luminal,Ileum,SI,Mouse5B,Tg,F,DOB_10_24_2017,Mouse5B.FP70,One
Mouse6B.FP76,131123,Luminal,Ileum,SI,Mouse6B,Tg,F,DOB_10_24_2017,Mouse6B.FP76,One
Mouse7B.FP82,136339,Luminal,Ileum,SI,Mouse7B,Tg,F,DOB_10_24_2017,Mouse7B.FP82,One
Mouse8B.FP94,111350,Luminal,Ileum,SI,Mouse8B,Tg,M,DOB_4_17_2018,Mouse8B.FP94,Two
Mouse9B.FP106,66897,Luminal,Ileum,SI,Mouse9B,Tg,M,DOB_4_17_2018,Mouse9B.FP106,Two
Mouse1B.DTT47,110330,Mucosal,Jejunum,SI,Mouse1B,Tg,F,DOB_10_11_2017,Mouse1B.DTT47,One
Mouse2B.DTT53,111220,Mucosal,Jejunum,SI,Mouse2B,Tg,M,DOB_10_20_2017,Mouse2B.DTT53,One
Mouse3B.DTT59,97106,Mucosal,Jejunum,SI,Mouse3B,Tg,M,DOB_10_20_2017,Mouse3B.DTT59,One
Mouse4B.DTT65,89916,Mucosal,Jejunum,SI,Mouse4B,Tg,F,DOB_10_20_2017,Mouse4B.DTT65,One
Mouse5B.DTT71,89964,Mucosal,Jejunum,SI,Mouse5B,Tg,F,DOB_10_24_2017,Mouse5B.DTT71,One
Mouse6B.DTT77,77787,Mucosal,Jejunum,SI,Mouse6B,Tg,F,DOB_10_24_2017,Mouse6B.DTT77,One
Mouse7B.DTT83,100113,Mucosal,Jejunum,SI,Mouse7B,Tg,F,DOB_10_24_2017,Mouse7B.DTT83,One
Mouse8B.DTT95,73985,Mucosal,Jejunum,SI,Mouse8B,Tg,M,DOB_4_17_2018,Mouse8B.DTT95,Two
Mouse9B.DTT107,68580,Mucosal,Jejunum,SI,Mouse9B,Tg,M,DOB_4_17_2018,Mouse9B.DTT107,Two
Mouse10B.DTT119,57433,Mucosal,Jejunum,SI,Mouse10B,Tg,F,DOB_4_17_2018,Mouse10B.DTT119,Two
Mouse10B.FP119,184565,Luminal,Jejunum,SI,Mouse10B,Tg,F,DOB_4_17_2018,Mouse10B.FP119,Two
Mouse1B.FP47,149097,Luminal,Jejunum,SI,Mouse1B,Tg,F,DOB_10_11_2017,Mouse1B.FP47,One
Mouse2B.FP53,135131,Luminal,Jejunum,SI,Mouse2B,Tg,M,DOB_10_20_2017,Mouse2B.FP53,One
Mouse3B.FP59,133170,Luminal,Jejunum,SI,Mouse3B,Tg,M,DOB_10_20_2017,Mouse3B.FP59,One
Mouse4B.FP65,135486,Luminal,Jejunum,SI,Mouse4B,Tg,F,DOB_10_20_2017,Mouse4B.FP65,One
Mouse5B.FP71,145602,Luminal,Jejunum,SI,Mouse5B,Tg,F,DOB_10_24_2017,Mouse5B.FP71,One
Mouse6B.FP77,116504,Luminal,Jejunum,SI,Mouse6B,Tg,F,DOB_10_24_2017,Mouse6B.FP77,One
Mouse7B.FP83,157754,Luminal,Jejunum,SI,Mouse7B,Tg,F,DOB_10_24_2017,Mouse7B.FP83,One
Mouse8B.FP95,125678,Luminal,Jejunum,SI,Mouse8B,Tg,M,DOB_4_17_2018,Mouse8B.FP95,Two
Mouse9B.FP107,118925,Luminal,Jejunum,SI,Mouse9B,Tg,M,DOB_4_17_2018,Mouse9B.FP107,Two
Mouse1B.DTT48,82567,Mucosal,Duodenum,SI,Mouse1B,Tg,F,DOB_10_11_2017,Mouse1B.DTT48,One
Mouse2B.DTT54,90602,Mucosal,Duodenum,SI,Mouse2B,Tg,M,DOB_10_20_2017,Mouse2B.DTT54,One
Mouse3B.DTT60,119529,Mucosal,Duodenum,SI,Mouse3B,Tg,M,DOB_10_20_2017,Mouse3B.DTT60,One
Mouse4B.DTT66,104064,Mucosal,Duodenum,SI,Mouse4B,Tg,F,DOB_10_20_2017,Mouse4B.DTT66,One
Mouse5B.DTT72,126130,Mucosal,Duodenum,SI,Mouse5B,Tg,F,DOB_10_24_2017,Mouse5B.DTT72,One
Mouse6B.DTT78,102993,Mucosal,Duodenum,SI,Mouse6B,Tg,F,DOB_10_24_2017,Mouse6B.DTT78,One
Mouse7B.DTT84,81589,Mucosal,Duodenum,SI,Mouse7B,Tg,F,DOB_10_24_2017,Mouse7B.DTT84,One
Mouse8B.DTT96,72949,Mucosal,Duodenum,SI,Mouse8B,Tg,M,DOB_4_17_2018,Mouse8B.DTT96,Two
Mouse9B.DTT108,50371,Mucosal,Duodenum,SI,Mouse9B,Tg,M,DOB_4_17_2018,Mouse9B.DTT108,Two
Mouse10B.DTT120,47696,Mucosal,Duodenum,SI,Mouse10B,Tg,F,DOB_4_17_2018,Mouse10B.DTT120,Two
Mouse10B.FP120,157589,Luminal,Duodenum,SI,Mouse10B,Tg,F,DOB_4_17_2018,Mouse10B.FP120,Two
Mouse1B.FP48,169266,Luminal,Duodenum,SI,Mouse1B,Tg,F,DOB_10_11_2017,Mouse1B.FP48,One
Mouse2B.FP54,52502,Luminal,Duodenum,SI,Mouse2B,Tg,M,DOB_10_20_2017,Mouse2B.FP54,One
Mouse3B.FP60,113389,Luminal,Duodenum,SI,Mouse3B,Tg,M,DOB_10_20_2017,Mouse3B.FP60,One
Mouse4B.FP66,147466,Luminal,Duodenum,SI,Mouse4B,Tg,F,DOB_10_20_2017,Mouse4B.FP66,One
Mouse5B.FP72,156865,Luminal,Duodenum,SI,Mouse5B,Tg,F,DOB_10_24_2017,Mouse5B.FP72,One
Mouse6B.FP78,111892,Luminal,Duodenum,SI,Mouse6B,Tg,F,DOB_10_24_2017,Mouse6B.FP78,One
Mouse7B.FP84,145863,Luminal,Duodenum,SI,Mouse7B,Tg,F,DOB_10_24_2017,Mouse7B.FP84,One
Mouse8B.FP96,201669,Luminal,Duodenum,SI,Mouse8B,Tg,M,DOB_4_17_2018,Mouse8B.FP96,Two
Mouse9B.FP108,73218,Luminal,Duodenum,SI,Mouse9B,Tg,M,DOB_4_17_2018,Mouse9B.FP108,Two
Mouse1B.DTT44,145669,Mucosal,Proximal_Colon,Colon,Mouse1B,Tg,F,DOB_10_11_2017,Mouse1B.DTT44,One
Mouse2B.DTT50,127263,Mucosal,Proximal_Colon,Colon,Mouse2B,Tg,M,DOB_10_20_2017,Mouse2B.DTT50,One
Mouse3B.DTT56,150245,Mucosal,Proximal_Colon,Colon,Mouse3B,Tg,M,DOB_10_20_2017,Mouse3B.DTT56,One
Mouse4B.DTT62,103906,Mucosal,Proximal_Colon,Colon,Mouse4B,Tg,F,DOB_10_20_2017,Mouse4B.DTT62,One
Mouse5B.DTT68,138499,Mucosal,Proximal_Colon,Colon,Mouse5B,Tg,F,DOB_10_24_2017,Mouse5B.DTT68,One
Mouse6B.DTT74,82625,Mucosal,Proximal_Colon,Colon,Mouse6B,Tg,F,DOB_10_24_2017,Mouse6B.DTT74,One
Mouse7B.DTT80,131124,Mucosal,Proximal_Colon,Colon,Mouse7B,Tg,F,DOB_10_24_2017,Mouse7B.DTT80,One
Mouse8B.DTT92,52904,Mucosal,Proximal_Colon,Colon,Mouse8B,Tg,M,DOB_4_17_2018,Mouse8B.DTT92,Two
Mouse9B.DTT104,38999,Mucosal,Proximal_Colon,Colon,Mouse9B,Tg,M,DOB_4_17_2018,Mouse9B.DTT104,Two
Mouse10B.DTT116,71213,Mucosal,Proximal_Colon,Colon,Mouse10B,Tg,F,DOB_4_17_2018,Mouse10B.DTT116,Two
Mouse10B.FP116,107107,Luminal,Proximal_Colon,Colon,Mouse10B,Tg,F,DOB_4_17_2018,Mouse10B.FP116,Two
Mouse1B.FP44,124371,Luminal,Proximal_Colon,Colon,Mouse1B,Tg,F,DOB_10_11_2017,Mouse1B.FP44,One
Mouse2B.FP50,130183,Luminal,Proximal_Colon,Colon,Mouse2B,Tg,M,DOB_10_20_2017,Mouse2B.FP50,One
Mouse3B.FP56,136675,Luminal,Proximal_Colon,Colon,Mouse3B,Tg,M,DOB_10_20_2017,Mouse3B.FP56,One
Mouse4B.FP62,140759,Luminal,Proximal_Colon,Colon,Mouse4B,Tg,F,DOB_10_20_2017,Mouse4B.FP62,One
Mouse5B.FP68,126342,Luminal,Proximal_Colon,Colon,Mouse5B,Tg,F,DOB_10_24_2017,Mouse5B.FP68,One
Mouse6B.FP74,105282,Luminal,Proximal_Colon,Colon,Mouse6B,Tg,F,DOB_10_24_2017,Mouse6B.FP74,One
Mouse7B.FP80,128334,Luminal,Proximal_Colon,Colon,Mouse7B,Tg,F,DOB_10_24_2017,Mouse7B.FP80,One
Mouse8B.FP92,148575,Luminal,Proximal_Colon,Colon,Mouse8B,Tg,M,DOB_4_17_2018,Mouse8B.FP92,Two
Mouse9B.FP104,92214,Luminal,Proximal_Colon,Colon,Mouse9B,Tg,M,DOB_4_17_2018,Mouse9B.FP104,Two
Mouse1A.DTT03,15645,Mucosal,Cecum,Colon,Mouse1A,WT,F,DOB_10_11_2017,Mouse1A.DTT03,One
Mouse2A.DTT09,18106,Mucosal,Cecum,Colon,Mouse2A,WT,M,DOB_10_20_2017,Mouse2A.DTT09,One
Mouse1B.DTT15,156056,Mucosal,Cecum,Colon,Mouse3A,WT,M,DOB_10_20_2017,Mouse3A.DTT15,One
Mouse4A.DTT21,106342,Mucosal,Cecum,Colon,Mouse4A,WT,F,DOB_10_20_2017,Mouse4A.DTT21,One
Mouse5A.DTT27,164667,Mucosal,Cecum,Colon,Mouse5A,WT,F,DOB_10_24_2017,Mouse5A.DTT27,One
Mouse6A.DTT33,122892,Mucosal,Cecum,Colon,Mouse6A,WT,F,DOB_10_24_2017,Mouse6A.DTT33,One
Mouse7A.DTT39,148402,Mucosal,Cecum,Colon,Mouse7A,WT,F,DOB_10_24_2017,Mouse7A.DTT39,One
Mouse8A.DTT87,104416,Mucosal,Cecum,Colon,Mouse8A,WT,M,DOB_4_17_2018,Mouse8A.DTT87,Two
Mouse9A.DTT99,109261,Mucosal,Cecum,Colon,Mouse9A,WT,M,DOB_4_17_2018,Mouse9A.DTT99,Two
Mouse10A.DTT111,89393,Mucosal,Cecum,Colon,Mouse10A,WT,F,DOB_4_17_2018,Mouse10A.DTT111,Two
Mouse10A.FP111,96748,Luminal,Cecum,Colon,Mouse10A,WT,F,DOB_4_17_2018,Mouse10A.FP111,Two
Mouse1A.FP03,123170,Luminal,Cecum,Colon,Mouse1A,WT,F,DOB_10_11_2017,Mouse1A.FP03,One
Mouse2A.FP09,121618,Luminal,Cecum,Colon,Mouse2A,WT,M,DOB_10_20_2017,Mouse2A.FP09,One
Mouse3A.FP15,157276,Luminal,Cecum,Colon,Mouse3A,WT,M,DOB_10_20_2017,Mouse3A.FP15,One
Mouse4A.FP21,115198,Luminal,Cecum,Colon,Mouse4A,WT,F,DOB_10_20_2017,Mouse4A.FP21,One
Mouse5A.FP27,134451,Luminal,Cecum,Colon,Mouse5A,WT,F,DOB_10_24_2017,Mouse5A.FP27,One
Mouse6A.FP33,118803,Luminal,Cecum,Colon,Mouse6A,WT,F,DOB_10_24_2017,Mouse6A.FP33,One
Mouse7A.FP39,115176,Luminal,Cecum,Colon,Mouse7A,WT,F,DOB_10_24_2017,Mouse7A.FP39,One
Mouse8A.FP87,80960,Luminal,Cecum,Colon,Mouse8A,WT,M,DOB_4_17_2018,Mouse8A.FP87,Two
Mouse9A.FP99,113828,Luminal,Cecum,Colon,Mouse9A,WT,M,DOB_4_17_2018,Mouse9A.FP99,Two
Mouse1A.DTT01,24058,Mucosal,Distal_Colon,Colon,Mouse1A,WT,F,DOB_10_11_2017,Mouse1A.DTT01,One
Mouse2A.DTT07,27671,Mucosal,Distal_Colon,Colon,Mouse2A,WT,M,DOB_10_20_2017,Mouse2A.DTT07,One
Mouse1B.DTT13,127997,Mucosal,Distal_Colon,Colon,Mouse3A,WT,M,DOB_10_20_2017,Mouse3A.DTT13,One
Mouse4A.DTT19,133028,Mucosal,Distal_Colon,Colon,Mouse4A,WT,F,DOB_10_20_2017,Mouse4A.DTT19,One
Mouse5A.DTT25,126196,Mucosal,Distal_Colon,Colon,Mouse5A,WT,F,DOB_10_24_2017,Mouse5A.DTT25,One
Mouse6A.DTT31,145241,Mucosal,Distal_Colon,Colon,Mouse6A,WT,F,DOB_10_24_2017,Mouse6A.DTT31,One
Mouse7A.DTT37,114368,Mucosal,Distal_Colon,Colon,Mouse7A,WT,F,DOB_10_24_2017,Mouse7A.DTT37,One
Mouse8A.DTT85,112364,Mucosal,Distal_Colon,Colon,Mouse8A,WT,M,DOB_4_17_2018,Mouse8A.DTT85,Two
Mouse9A.DTT97,139721,Mucosal,Distal_Colon,Colon,Mouse9A,WT,M,DOB_4_17_2018,Mouse9A.DTT97,Two
Mouse10A.DTT109,107070,Mucosal,Distal_Colon,Colon,Mouse10A,WT,F,DOB_4_17_2018,Mouse10A.DTT109,Two
Mouse10A.FP109,129410,Luminal,Distal_Colon,Colon,Mouse10A,WT,F,DOB_4_17_2018,Mouse10A.FP109,Two
Mouse1A.FP01,114850,Luminal,Distal_Colon,Colon,Mouse1A,WT,F,DOB_10_11_2017,Mouse1A.FP01,One
Mouse2A.FP07,123995,Luminal,Distal_Colon,Colon,Mouse2A,WT,M,DOB_10_20_2017,Mouse2A.FP07,One
Mouse3A.FP13,116135,Luminal,Distal_Colon,Colon,Mouse3A,WT,M,DOB_10_20_2017,Mouse3A.FP13,One
Mouse4A.FP19,114994,Luminal,Distal_Colon,Colon,Mouse4A,WT,F,DOB_10_20_2017,Mouse4A.FP19,One
Mouse5A.FP25,109979,Luminal,Distal_Colon,Colon,Mouse5A,WT,F,DOB_10_24_2017,Mouse5A.FP25,One
Mouse6A.FP31,93110,Luminal,Distal_Colon,Colon,Mouse6A,WT,F,DOB_10_24_2017,Mouse6A.FP31,One
Mouse7A.FP37,105851,Luminal,Distal_Colon,Colon,Mouse7A,WT,F,DOB_10_24_2017,Mouse7A.FP37,One
Mouse8A.FP85,67699,Luminal,Distal_Colon,Colon,Mouse8A,WT,M,DOB_4_17_2018,Mouse8A.FP85,Two
Mouse9A.FP97,125335,Luminal,Distal_Colon,Colon,Mouse9A,WT,M,DOB_4_17_2018,Mouse9A.FP97,Two
Mouse1A.DTT04,19399,Mucosal,Ileum,SI,Mouse1A,WT,F,DOB_10_11_2017,Mouse1A.DTT04,One
Mouse2A.DTT10,15319,Mucosal,Ileum,SI,Mouse2A,WT,M,DOB_10_20_2017,Mouse2A.DTT10,One
Mouse1B.DTT16,70594,Mucosal,Ileum,SI,Mouse3A,WT,M,DOB_10_20_2017,Mouse3A.DTT16,One
Mouse4A.DTT22,148695,Mucosal,Ileum,SI,Mouse4A,WT,F,DOB_10_20_2017,Mouse4A.DTT22,One
Mouse5A.DTT28,111216,Mucosal,Ileum,SI,Mouse5A,WT,F,DOB_10_24_2017,Mouse5A.DTT28,One
Mouse6A.DTT34,138463,Mucosal,Ileum,SI,Mouse6A,WT,F,DOB_10_24_2017,Mouse6A.DTT34,One
Mouse7A.DTT40,79251,Mucosal,Ileum,SI,Mouse7A,WT,F,DOB_10_24_2017,Mouse7A.DTT40,One
Mouse8A.DTT88,38101,Mucosal,Ileum,SI,Mouse8A,WT,M,DOB_4_17_2018,Mouse8A.DTT88,Two
Mouse9A.DTT100,95195,Mucosal,Ileum,SI,Mouse9A,WT,M,DOB_4_17_2018,Mouse9A.DTT100,Two
Mouse10A.DTT112,74691,Mucosal,Ileum,SI,Mouse10A,WT,F,DOB_4_17_2018,Mouse10A.DTT112,Two
Mouse10A.FP112,140932,Luminal,Ileum,SI,Mouse10A,WT,F,DOB_4_17_2018,Mouse10A.FP112,Two
Mouse1A.FP04,158401,Luminal,Ileum,SI,Mouse1A,WT,F,DOB_10_11_2017,Mouse1A.FP04,One
Mouse2A.FP10,113291,Luminal,Ileum,SI,Mouse2A,WT,M,DOB_10_20_2017,Mouse2A.FP10,One
Mouse3A.FP16,107460,Luminal,Ileum,SI,Mouse3A,WT,M,DOB_10_20_2017,Mouse3A.FP16,One
Mouse4A.FP22,160069,Luminal,Ileum,SI,Mouse4A,WT,F,DOB_10_20_2017,Mouse4A.FP22,One
Mouse5A.FP28,142094,Luminal,Ileum,SI,Mouse5A,WT,F,DOB_10_24_2017,Mouse5A.FP28,One
Mouse6A.FP34,110989,Luminal,Ileum,SI,Mouse6A,WT,F,DOB_10_24_2017,Mouse6A.FP34,One
Mouse7A.FP40,122900,Luminal,Ileum,SI,Mouse7A,WT,F,DOB_10_24_2017,Mouse7A.FP40,One
Mouse8A.FP88,80044,Luminal,Ileum,SI,Mouse8A,WT,M,DOB_4_17_2018,Mouse8A.FP88,Two
Mouse9A.FP100,145085,Luminal,Ileum,SI,Mouse9A,WT,M,DOB_4_17_2018,Mouse9A.FP100,Two
Mouse1A.DTT05,17828,Mucosal,Jejunum,SI,Mouse1A,WT,F,DOB_10_11_2017,Mouse1A.DTT05,One
Mouse2A.DTT11,7209,Mucosal,Jejunum,SI,Mouse2A,WT,M,DOB_10_20_2017,Mouse2A.DTT11,One
Mouse1B.DTT17,67619,Mucosal,Jejunum,SI,Mouse3A,WT,M,DOB_10_20_2017,Mouse3A.DTT17,One
Mouse4A.DTT23,141003,Mucosal,Jejunum,SI,Mouse4A,WT,F,DOB_10_20_2017,Mouse4A.DTT23,One
Mouse5A.DTT29,117717,Mucosal,Jejunum,SI,Mouse5A,WT,F,DOB_10_24_2017,Mouse5A.DTT29,One
Mouse6A.DTT35,66048,Mucosal,Jejunum,SI,Mouse6A,WT,F,DOB_10_24_2017,Mouse6A.DTT35,One
Mouse7A.DTT41,76186,Mucosal,Jejunum,SI,Mouse7A,WT,F,DOB_10_24_2017,Mouse7A.DTT41,One
Mouse8A.DTT89,80836,Mucosal,Jejunum,SI,Mouse8A,WT,M,DOB_4_17_2018,Mouse8A.DTT89,Two
Mouse9A.DTT101,63992,Mucosal,Jejunum,SI,Mouse9A,WT,M,DOB_4_17_2018,Mouse9A.DTT101,Two
Mouse10A.DTT113,79193,Mucosal,Jejunum,SI,Mouse10A,WT,F,DOB_4_17_2018,Mouse10A.DTT113,Two
Mouse10A.FP113,177966,Luminal,Jejunum,SI,Mouse10A,WT,F,DOB_4_17_2018,Mouse10A.FP113,Two
Mouse1A.FP05,149052,Luminal,Jejunum,SI,Mouse1A,WT,F,DOB_10_11_2017,Mouse1A.FP05,One
Mouse2A.FP11,151394,Luminal,Jejunum,SI,Mouse2A,WT,M,DOB_10_20_2017,Mouse2A.FP11,One
Mouse3A.FP17,180349,Luminal,Jejunum,SI,Mouse3A,WT,M,DOB_10_20_2017,Mouse3A.FP17,One
Mouse4A.FP23,177036,Luminal,Jejunum,SI,Mouse4A,WT,F,DOB_10_20_2017,Mouse4A.FP23,One
Mouse5A.FP29,143618,Luminal,Jejunum,SI,Mouse5A,WT,F,DOB_10_24_2017,Mouse5A.FP29,One
Mouse6A.FP35,138854,Luminal,Jejunum,SI,Mouse6A,WT,F,DOB_10_24_2017,Mouse6A.FP35,One
Mouse7A.FP41,117466,Luminal,Jejunum,SI,Mouse7A,WT,F,DOB_10_24_2017,Mouse7A.FP41,One
Mouse8A.FP89,143038,Luminal,Jejunum,SI,Mouse8A,WT,M,DOB_4_17_2018,Mouse8A.FP89,Two
Mouse9A.FP101,167121,Luminal,Jejunum,SI,Mouse9A,WT,M,DOB_4_17_2018,Mouse9A.FP101,Two
Mouse1A.DTT06,21952,Mucosal,Duodenum,SI,Mouse1A,WT,F,DOB_10_11_2017,Mouse1A.DTT06,One
Mouse2A.DTT12,22673,Mucosal,Duodenum,SI,Mouse2A,WT,M,DOB_10_20_2017,Mouse2A.DTT12,One
Mouse1B.DTT18,47025,Mucosal,Duodenum,SI,Mouse3A,WT,M,DOB_10_20_2017,Mouse3A.DTT18,One
Mouse4A.DTT24,130118,Mucosal,Duodenum,SI,Mouse4A,WT,F,DOB_10_20_2017,Mouse4A.DTT24,One
Mouse5A.DTT30,113587,Mucosal,Duodenum,SI,Mouse5A,WT,F,DOB_10_24_2017,Mouse5A.DTT30,One
Mouse6A.DTT36,98991,Mucosal,Duodenum,SI,Mouse6A,WT,F,DOB_10_24_2017,Mouse6A.DTT36,One
