NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
PHOSPHONATE AND PHOSPHINATE METABOLISM	PHOSPHONATE AND PHOSPHINATE METABOLISM	Details ...	6	-0.4864082	-1.4668484	0.073839664	0.20602927	0.984	1044	tags=83%, list=35%, signal=128%	
VITAMIN B6 METABOLISM	VITAMIN B6 METABOLISM	Details ...	9	-0.3959704	-1.4602246	0.071283095	0.19976446	0.986	483	tags=56%, list=16%, signal=66%	
"PHENYLALANINE, TYROSINE AND TRYPTOPHAN BIOSYNTHESIS"	"PHENYLALANINE, TYROSINE AND TRYPTOPHAN BIOSYNTHESIS"	Details ...	31	-0.2180219	-1.4234681	0.08730159	0.22200355	0.995	2062	tags=90%, list=69%, signal=286%	
ARGININE AND PROLINE METABOLISM	ARGININE AND PROLINE METABOLISM	Details ...	52	-0.16650997	-1.4145769	0.0831758	0.21726313	0.995	1586	tags=69%, list=53%, signal=144%	
BIOTIN METABOLISM	BIOTIN METABOLISM	Details ...	11	-0.34994066	-1.3991158	0.109126985	0.22116615	0.998	591	tags=55%, list=20%, signal=68%	
CITRATE CYCLE (TCA CYCLE)	CITRATE CYCLE (TCA CYCLE)		38	-0.18746445	-1.3884143	0.12195122	0.220095	0.998	1024	tags=53%, list=34%, signal=79%	
FOLATE BIOSYNTHESIS	FOLATE BIOSYNTHESIS		21	-0.24215814	-1.3478727	0.1330724	0.24695176	0.999	1136	tags=62%, list=38%, signal=99%	
PEROXISOME	PEROXISOME		7	-0.4041171	-1.3389939	0.1374502	0.24459013	1.0	1362	tags=86%, list=45%, signal=157%	
GLUTATHIONE METABOLISM	GLUTATHIONE METABOLISM		13	-0.30619764	-1.3388892	0.12974052	0.23449911	1.0	2085	tags=100%, list=70%, signal=327%	
CARBON FIXATION PATHWAYS IN PROKARYOTES	CARBON FIXATION PATHWAYS IN PROKARYOTES		49	-0.1588709	-1.2924099	0.17984189	0.27115667	1.0	1368	tags=61%, list=46%, signal=111%	
ABC TRANSPORTERS	ABC TRANSPORTERS		130	-0.097516365	-1.2912736	0.16603054	0.26189908	1.0	1474	tags=58%, list=49%, signal=110%	
TYROSINE METABOLISM	TYROSINE METABOLISM		14	-0.2871984	-1.2746322	0.18664047	0.26960045	1.0	2142	tags=100%, list=71%, signal=349%	
BETA-LACTAM RESISTANCE	BETA-LACTAM RESISTANCE		16	-0.26274312	-1.2409472	0.20348836	0.29307055	1.0	1466	tags=75%, list=49%, signal=146%	
NITROGEN METABOLISM	NITROGEN METABOLISM		22	-0.211663	-1.1908767	0.23742455	0.33899352	1.0	1824	tags=82%, list=61%, signal=207%	
OTHER GLYCAN DEGRADATION	OTHER GLYCAN DEGRADATION		9	-0.31575036	-1.1322703	0.2990099	0.40056202	1.0	1389	tags=78%, list=46%, signal=144%	
BUTANOATE METABOLISM	BUTANOATE METABOLISM		34	-0.15259585	-1.0408677	0.40944883	0.51518005	1.0	2194	tags=88%, list=73%, signal=325%	
GLYOXYLATE AND DICARBOXYLATE METABOLISM	GLYOXYLATE AND DICARBOXYLATE METABOLISM		33	-0.15027851	-1.0087832	0.41304347	0.54898715	1.0	1009	tags=48%, list=34%, signal=72%	
"TROPANE, PIPERIDINE AND PYRIDINE ALKALOID BIOSYNTHESIS"	"TROPANE, PIPERIDINE AND PYRIDINE ALKALOID BIOSYNTHESIS"		6	-0.33522728	-1.0085174	0.43930635	0.53265357	1.0	1996	tags=100%, list=67%, signal=299%	
FRUCTOSE AND MANNOSE METABOLISM	FRUCTOSE AND MANNOSE METABOLISM		43	-0.12552631	-0.96736896	0.4886598	0.5803725	1.0	397	tags=26%, list=13%, signal=29%	
PHENYLALANINE METABOLISM	PHENYLALANINE METABOLISM		16	-0.17366698	-0.8219055	0.6969697	0.7995358	1.0	1919	tags=81%, list=64%, signal=225%	
RIBOFLAVIN METABOLISM	RIBOFLAVIN METABOLISM		7	-0.2533314	-0.8162297	0.7008197	0.7863917	1.0	1813	tags=86%, list=60%, signal=216%	
"VALINE, LEUCINE AND ISOLEUCINE DEGRADATION"	"VALINE, LEUCINE AND ISOLEUCINE DEGRADATION"		13	-0.19131552	-0.8140126	0.7029703	0.7687489	1.0	583	tags=38%, list=19%, signal=48%	
INSULIN SIGNALING PATHWAY	INSULIN SIGNALING PATHWAY		5	-0.2804544	-0.7777716	0.76086956	0.8044347	1.0	1560	tags=80%, list=52%, signal=167%	
SPHINGOLIPID METABOLISM	SPHINGOLIPID METABOLISM		6	-0.25233957	-0.7682891	0.74545455	0.79727626	1.0	745	tags=50%, list=25%, signal=66%	
TAURINE AND HYPOTAURINE METABOLISM	TAURINE AND HYPOTAURINE METABOLISM		6	-0.20120321	-0.6279292	0.90335304	0.9412339	1.0	2397	tags=100%, list=80%, signal=498%	
NOVOBIOCIN BIOSYNTHESIS	NOVOBIOCIN BIOSYNTHESIS		6	-0.20075758	-0.6174991	0.91566265	0.92615324	1.0	1399	tags=67%, list=47%, signal=125%	
