"","L1...Terminal.Pathway","L2A","L2B","L2C","L2D","L2E","L2F","L2G"
"19","(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis I","(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"20","(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis II","(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"21","(3R)-linalool biosynthesis","Aroma Compound Biosynthesis (13 instances)","Linalool Biosynthesis (3 instances)","Linalool Biosynthesis (3 instances)",NA,NA,NA,NA
"22","(3S)-linalool biosynthesis","Aroma Compound Biosynthesis (13 instances)","Linalool Biosynthesis (3 instances)","Linalool Biosynthesis (3 instances)",NA,NA,NA,NA
"23","(4R)-carveol and (4R)-dihydrocarveol degradation","Carveol Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"24","(4R)-carvone biosynthesis","Monoterpenoid Biosynthesis (24 instances)",NA,NA,NA,NA,NA,NA
"25","(4S)-carveol and (4S)-dihydrocarveol degradation","Carveol Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"26","(4S)-carvone biosynthesis","Monoterpenoid Biosynthesis (24 instances)",NA,NA,NA,NA,NA,NA
"27","(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis II (4-desaturase)","Polyunsaturated Fatty Acid Biosynthesis (29 instances)",NA,NA,NA,NA,NA,NA
"28","(4Z,7Z,10Z,13Z,16Z)-docosapentaenoate biosynthesis (6-desaturase)","Polyunsaturated Fatty Acid Biosynthesis (29 instances)",NA,NA,NA,NA,NA,NA
"29","(5R)-carbapenem carboxylate biosynthesis","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"30","(5Z)-dodecenoate Biosynthesis (2 instances)","Unsaturated Fatty Acid Biosynthesis (60 instances)",NA,NA,NA,NA,NA,NA
"31","(5Z)-dodecenoate biosynthesis I","(5Z)-dodecenoate Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"32","(5Z)-dodecenoate biosynthesis II","(5Z)-dodecenoate Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"33","(5Z)-icosenoate biosynthesis","Unsaturated Fatty Acid Biosynthesis (60 instances)",NA,NA,NA,NA,NA,NA
"34","(7Z,10Z,13Z)-hexadecatrienoate biosynthesis","Polyunsaturated Fatty Acid Biosynthesis (29 instances)",NA,NA,NA,NA,NA,NA
"35","(8E,10E)-dodeca-8,10-dienol biosynthesis","Hormone Biosynthesis (68 instances)",NA,NA,NA,NA,NA,NA
"36","(9Z)-tricosene biosynthesis","Alkene Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"37","(aminomethyl)phosphonate degradation","Phosphonate Compound Degradation (9 instances)",NA,NA,NA,NA,NA,NA
"38","(E,E)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis","Terpenoid Biosynthesis (203 instances)",NA,NA,NA,NA,NA,NA
"39","(Kdo)2-lipid A biosynthesis (4 instances)","Fatty Acid and Lipid Biosynthesis (224 instances)","Lipopolysaccharide Biosynthesis (68 instances)",NA,NA,NA,NA,NA
"40","(Kdo)2-lipid A biosynthesis (E. coli)","(Kdo)2-lipid A biosynthesis (4 instances)","(Kdo)2-lipid A biosynthesis (4 instances)",NA,NA,NA,NA,NA
"41","(Kdo)2-lipid A biosynthesis (generic)","(Kdo)2-lipid A biosynthesis (4 instances)","(Kdo)2-lipid A biosynthesis (4 instances)",NA,NA,NA,NA,NA
"42","(Kdo)2-lipid A biosynthesis (P. gingivalis)","(Kdo)2-lipid A biosynthesis (4 instances)","(Kdo)2-lipid A biosynthesis (4 instances)",NA,NA,NA,NA,NA
"43","(Kdo)2-lipid A biosynthesis (P. putida)","(Kdo)2-lipid A biosynthesis (4 instances)","(Kdo)2-lipid A biosynthesis (4 instances)",NA,NA,NA,NA,NA
"44","(Kdo)2-lipid A biosynthesis I (Brucella)","Fatty Acid and Lipid Biosynthesis (224 instances)",NA,NA,NA,NA,NA,NA
"45","(R)- and (S)-3-hydroxybutanoate biosynthesis (engineered)","Storage Compound Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"46","(R)-canadine biosynthesis","Isoquinoline and Benzylisoquinoline Alkaloid Biosynthesis (14 instances)",NA,NA,NA,NA,NA,NA
"47","(R)-cysteate degradation","Sulfur Compound Metabolism (87 instances)",NA,NA,NA,NA,NA,NA
"48","(R,R)-butanediol biosynthesis","Butanediol Biosynthesis (6 instances)",NA,NA,NA,NA,NA,NA
"49","(R,R)-butanediol degradation","2,3-Butanediol Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"50","(S)-lactate fermentation to propanoate, acetate and hydrogen","Fermentation to Propanoate (7 instances)",NA,NA,NA,NA,NA,NA
"51","(S)-Malate Degradation (2 instances)","Carboxylate Degradation (101 instances)",NA,NA,NA,NA,NA,NA
"52","(S)-propane-1,2-diol degradation","Alcohol Degradation (20 instances)","Fermentation to Propanoate (7 instances)",NA,NA,NA,NA,NA
"53","(S)-reticuline biosynthesis (2 instances)","Isoquinoline and Benzylisoquinoline Alkaloid Biosynthesis (14 instances)",NA,NA,NA,NA,NA,NA
"54","(S)-reticuline biosynthesis I","(S)-reticuline biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"55","(S)-reticuline biosynthesis II","(S)-reticuline biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"56","(S,S)-butanediol biosynthesis","Butanediol Biosynthesis (6 instances)",NA,NA,NA,NA,NA,NA
"57","(S,S)-butanediol degradation","2,3-Butanediol Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"58","(Z)-butanethial-S-oxide biosynthesis","Sulfur-Containing Secondary Compound Biosynthesis (13 instances)",NA,NA,NA,NA,NA,NA
"59","(Z)-phenylmethanethial S-oxide biosynthesis","Sulfur-Containing Secondary Compound Biosynthesis (13 instances)",NA,NA,NA,NA,NA,NA
"60","[2Fe-2S] iron-sulfur cluster biosynthesis","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"61","1-butanol autotrophic biosynthesis (engineered)","Fermentation to Alcohols (17 instances)",NA,NA,NA,NA,NA,NA
"62","1-chloro-2-nitrobenzene degradation","Dinitrotoluene Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"63","1-tuberculosinyladenosine biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"64","1,2-dichlorobenzene degradation","Chlorobenzene Degradation (6 instances)","Chlorobenzene Degradation (6 instances)",NA,NA,NA,NA,NA
"65","1,2-dichloroethane degradation","Chlorinated Compound Degradation (44 instances)",NA,NA,NA,NA,NA,NA
"66","1,2-propanediol biosynthesis from lactate (engineered)","Fermentation to Alcohols (17 instances)",NA,NA,NA,NA,NA,NA
"67","1,2,4-trichlorobenzene degradation","Chlorobenzene Degradation (6 instances)","Chlorobenzene Degradation (6 instances)",NA,NA,NA,NA,NA
"68","1,2,4,5-tetrachlorobenzene degradation","Chlorobenzene Degradation (6 instances)","Chlorobenzene Degradation (6 instances)",NA,NA,NA,NA,NA
"69","1,3-beta-D-glucan biosynthesis","Polysaccharide Biosynthesis (73 instances)","Polysaccharide Biosynthesis (73 instances)",NA,NA,NA,NA,NA
"70","1,3-dichlorobenzene degradation","Chlorobenzene Degradation (6 instances)","Chlorobenzene Degradation (6 instances)",NA,NA,NA,NA,NA
"71","1,3-dimethylbenzene degradation to 3-methylbenzoate","Dimethylbenzene Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"72","1,3-propanediol biosynthesis (engineered)","Fermentation to Alcohols (17 instances)",NA,NA,NA,NA,NA,NA
"73","1,3,5-trimethoxybenzene biosynthesis","Aroma Compound Biosynthesis (13 instances)","Aromatic Compound Biosynthesis (51 instances)",NA,NA,NA,NA,NA
"74","1,4-dichlorobenzene degradation","Chlorobenzene Degradation (6 instances)","Chlorobenzene Degradation (6 instances)",NA,NA,NA,NA,NA
"75","1,4-Dihydroxy-2-Naphthoate Biosynthesis (1 instances)","Quinol and Quinone Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA
"76","1,4-dihydroxy-6-naphthoate biosynthesis (2 instances)","Quinol and Quinone Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA
"77","1,4-dihydroxy-6-naphthoate biosynthesis I","1,4-dihydroxy-6-naphthoate biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"78","1,4-dihydroxy-6-naphthoate biosynthesis II","1,4-dihydroxy-6-naphthoate biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"79","1,4-dimethylbenzene degradation to 4-methylbenzoate","Dimethylbenzene Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"80","1,5-anhydrofructose degradation","Sugar Degradation (77 instances)",NA,NA,NA,NA,NA,NA
"81","1,8-cineole degradation","Terpenoid Degradation (22 instances)",NA,NA,NA,NA,NA,NA
"82","10-cis-heptadecenoyl-CoA degradation (yeast)","Fatty Acid Degradation (20 instances)",NA,NA,NA,NA,NA,NA
"83","10-methylstearate biosynthesis","Branched Fatty Acid Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"84","10-trans-heptadecenoyl-CoA degradation (MFE-dependent, yeast)","Fatty Acid Degradation (20 instances)",NA,NA,NA,NA,NA,NA
"85","10-trans-heptadecenoyl-CoA degradation (reductase-dependent, yeast)","Fatty Acid Degradation (20 instances)",NA,NA,NA,NA,NA,NA
"86","10,13-epoxy-11-methyl-octadecadienoate biosynthesis","Branched Fatty Acid Biosynthesis (5 instances)","Unsaturated Fatty Acid Biosynthesis (60 instances)",NA,NA,NA,NA,NA
"87","11-cis-3-hydroxyretinal biosynthesis","Visual Cycles (4 instances)",NA,NA,NA,NA,NA,NA
"88","11-oxyandrogens biosynthesis","Hormone Biosynthesis (68 instances)",NA,NA,NA,NA,NA,NA
"89","12-epi-fischerindole biosynthesis","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA,NA,NA
"90","12-epi-hapalindole biosynthesis","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA,NA,NA
"91","15-epi-lipoxin biosynthesis","Hormone Biosynthesis (68 instances)",NA,NA,NA,NA,NA,NA
"92","1D-myo-inositol hexakisphosphate biosynthesis I (from Ins(1,4,5)P3)","Phytate Biosynthesis (6 instances)",NA,NA,NA,NA,NA,NA
"93","1D-myo-inositol hexakisphosphate biosynthesis II (mammalian)","Phytate Biosynthesis (6 instances)",NA,NA,NA,NA,NA,NA
"94","1D-myo-inositol hexakisphosphate biosynthesis III (Spirodela polyrrhiza)","Phytate Biosynthesis (6 instances)",NA,NA,NA,NA,NA,NA
"95","1D-myo-inositol hexakisphosphate biosynthesis IV (Dictyostelium)","Phytate Biosynthesis (6 instances)",NA,NA,NA,NA,NA,NA
"96","1D-myo-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)","Phytate Biosynthesis (6 instances)",NA,NA,NA,NA,NA,NA
"97","2'-deoxymugineic acid phytosiderophore biosynthesis","Siderophore and Metallophore Biosynthesis (29 instances)",NA,NA,NA,NA,NA,NA
"98","2'-Deoxyribonucleotide Biosynthesis (11 instances)","Nucleoside and Nucleotide Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA
"99","2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-galactosyl-diphospho-ditrans,octacis-undecaprenol biosynthesis","Teichoic Acid Biosynthesis (7 instances)",NA,NA,NA,NA,NA,NA
"100","2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate","Carboxylate Degradation (101 instances)",NA,NA,NA,NA,NA,NA
"101","2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA","Carboxylate Degradation (101 instances)",NA,NA,NA,NA,NA,NA
"102","2-amino-3-hydroxycyclopent-2-enone biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"103","2-Aminobenzoate Degradation (4 instances)","Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"104","2-aminoethylphosphonate biosynthesis","Phosphonate Compound Biosynthesis (3 instances)",NA,NA,NA,NA,NA,NA
"105","2-Aminoethylphosphonate Degradation (3 instances)","Phosphonate Compound Degradation (9 instances)",NA,NA,NA,NA,NA,NA
"106","2-aminoethylphosphonate degradation I","2-Aminoethylphosphonate Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"107","2-aminoethylphosphonate degradation II","2-Aminoethylphosphonate Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"108","2-aminoethylphosphonate degradation III","2-Aminoethylphosphonate Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"109","2-aminophenol degradation","Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"110","2-arachidonoylglycerol biosynthesis","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)",NA,NA,NA,NA,NA,NA
"111","2-carboxy-1,4-naphthoquinol biosynthesis","1,4-Dihydroxy-2-Naphthoate Biosynthesis (1 instances)",NA,NA,NA,NA,NA,NA
"112","2-Chloroacrylate-Degradation (2 instances)","Chlorinated Compound Degradation (44 instances)",NA,NA,NA,NA,NA,NA
"113","2-chloroacrylate degradation I","2-Chloroacrylate-Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"114","2-chloroacrylate degradation II","2-Chloroacrylate-Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"115","2-chlorobenzoate degradation","Chlorobenzoate Degradation (6 instances)","Chlorobenzoate Degradation (6 instances)",NA,NA,NA,NA,NA
"116","2-deoxy-alpha-D-ribose 1-phosphate degradation","Sugar Degradation (77 instances)",NA,NA,NA,NA,NA,NA
"117","2-deoxy-D-glucose 6-phosphate degradation","Sugar Degradation (77 instances)",NA,NA,NA,NA,NA,NA
"118","2-Deoxy-D-ribose Degradation (2 instances)","Sugar Degradation (77 instances)",NA,NA,NA,NA,NA,NA
"119","2-deoxy-D-ribose degradation I","2-Deoxy-D-ribose Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"120","2-deoxy-D-ribose degradation II","2-Deoxy-D-ribose Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"121","2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"122","2-hydroxybiphenyl degradation","Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"123","2-hydroxyparaconate and itatartarate biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"124","2-hydroxypenta-2,4-dienoate degradation","Carboxylate Degradation (101 instances)",NA,NA,NA,NA,NA,NA
"125","2-hydroxyphenazine biosynthesis","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"126","2-isopropylphenol degradation","Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"127","2-keto-L-gulonate biosynthesis","Carbohydrate Biosynthesis (228 instances)",NA,NA,NA,NA,NA,NA
"128","2-methyl-branched fatty acid beta-oxidation","Fatty Acid Degradation (20 instances)",NA,NA,NA,NA,NA,NA
"129","2-methyladeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP","Adenosylcobamide Biosynthesis (13 instances)",NA,NA,NA,NA,NA,NA
"130","2-Methylcitrate Cycle (2 instances)","Propanoate Degradation (4 instances)",NA,NA,NA,NA,NA,NA
"131","2-methylcitrate cycle I","2-Methylcitrate Cycle (2 instances)",NA,NA,NA,NA,NA,NA
"132","2-methylcitrate cycle II","2-Methylcitrate Cycle (2 instances)",NA,NA,NA,NA,NA,NA
"133","2-methylisoborneol biosynthesis","Terpenoid Biosynthesis (203 instances)",NA,NA,NA,NA,NA,NA
"134","2-methylketone biosynthesis","Plant Hormone Biosynthesis (37 instances)","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA,NA
"135","2-methylpropene degradation","Alkene Degradation (4 instances)",NA,NA,NA,NA,NA,NA
"136","2-Nitrobenzoate Degradation (2 instances)","Nitrobenzoate Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"137","2-nitrobenzoate degradation I","2-Nitrobenzoate Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"138","2-nitrobenzoate degradation II","2-Nitrobenzoate Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"139","2-nitrophenol degradation","2-Nitrophenol Degradation (1 instances)","2-Nitrophenol Degradation (1 instances)",NA,NA,NA,NA,NA
"140","2-Nitrophenol Degradation (1 instances)","Nitrophenol Degradation (4 instances)","Nitrophenol Degradation (4 instances)",NA,NA,NA,NA,NA
"141","2-nitrotoluene degradation","Nitrotoluene Degradation (4 instances)",NA,NA,NA,NA,NA,NA
"142","2-O-acetyl-3-O-trans-coutarate biosynthesis","Cinnamate Biosynthesis (14 instances)",NA,NA,NA,NA,NA,NA
"143","2-O-alpha-mannosyl-D-glycerate degradation","Sugar Degradation (77 instances)",NA,NA,NA,NA,NA,NA
"144","2-Oxobutanoate Degradation (2 instances)","Carboxylate Degradation (101 instances)",NA,NA,NA,NA,NA,NA
"145","2-oxobutanoate degradation I","2-Oxobutanoate Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"146","2-oxobutanoate degradation II","2-Oxobutanoate Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"147","2-oxoglutarate decarboxylation to succinyl-CoA","Respiration (65 instances)",NA,NA,NA,NA,NA,NA
"148","2-oxoisovalerate decarboxylation to isobutanoyl-CoA","Respiration (65 instances)",NA,NA,NA,NA,NA,NA
"149","2-propylphenol degradation","Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"150","2,2'-bis-(4-hydroxy-3-methybut-2-enyl)-beta,beta-carotene monoglucoside biosynthesis","C50 Carotenoid Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"151","2,2'-dihydroxybiphenyl degradation","Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"152","2,2'-dihydroxyketocarotenoids biosynthesis","C40 Carotenoid Biosynthesis (37 instances)","C40 Carotenoid Biosynthesis (37 instances)",NA,NA,NA,NA,NA
"153","2,3-Butanediol Degradation (2 instances)","Alcohol Degradation (20 instances)",NA,NA,NA,NA,NA,NA
"154","2,3-cis-flavanols biosynthesis","Flavonol Biosynthesis (32 instances)",NA,NA,NA,NA,NA,NA
"155","2,3-dihydroxybenzoate biosynthesis","Aromatic Compound Biosynthesis (51 instances)",NA,NA,NA,NA,NA,NA
"156","2,3-dihydroxybenzoate degradation","Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"157","2,3-trans-flavanols biosynthesis","Flavonoid Biosynthesis (128 instances)",NA,NA,NA,NA,NA,NA
"158","2,4-dichlorophenoxyacetate degradation","Chloroaromatic Compound Degradation (35 instances)","Chloroaromatic Compound Degradation (35 instances)",NA,NA,NA,NA,NA
"159","2,4-dichlorotoluene degradation","Dichlorotoluene Degradation (3 instances)","Dichlorotoluene Degradation (3 instances)",NA,NA,NA,NA,NA
"160","2,4-dinitroanisole degradation","Nitroaromatic Compound Degradation (20 instances)",NA,NA,NA,NA,NA,NA
"161","2,4-dinitrotoluene degradation","Dinitrotoluene Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"162","2,4-xylenol degradation to protocatechuate","Toluene Degradation (14 instances)",NA,NA,NA,NA,NA,NA
"163","2,4,5-trichlorophenoxyacetate degradation","Chloroaromatic Compound Degradation (35 instances)","Chloroaromatic Compound Degradation (35 instances)",NA,NA,NA,NA,NA
"164","2,4,6-trichlorophenol degradation","Chloroaromatic Compound Degradation (35 instances)","Chloroaromatic Compound Degradation (35 instances)",NA,NA,NA,NA,NA
"165","2,4,6-trinitrophenol and 2,4-dinitrophenol degradation","Nitrophenol Degradation (4 instances)","Nitrophenol Degradation (4 instances)",NA,NA,NA,NA,NA
"166","2,4,6-trinitrotoluene degradation","Nitrotoluene Degradation (4 instances)",NA,NA,NA,NA,NA,NA
"167","2,5-dichlorotoluene degradation","Dichlorotoluene Degradation (3 instances)","Dichlorotoluene Degradation (3 instances)",NA,NA,NA,NA,NA
"168","2,5-xylenol and 3,5-xylenol degradation","Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"169","2,6-dinitrotoluene degradation","Dinitrotoluene Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"170","24-epi-campesterol, fucosterol, and clionasterol biosynthesis (diatoms)","Sterol Biosynthesis (28 instances)","Triterpenoid Biosynthesis (32 instances)",NA,NA,NA,NA,NA
"171","2alpha,7beta-dihydroxylation of taxusin","Diterpenoid Biosynthesis (44 instances)",NA,NA,NA,NA,NA,NA
"172","3-(4-hydroxyphenyl)pyruvate biosynthesis","Aromatic Compound Biosynthesis (51 instances)",NA,NA,NA,NA,NA,NA
"173","3-(4-sulfophenyl)butanoate degradation","Sulfoaromatic Compound Degradation (5 instances)",NA,NA,NA,NA,NA,NA
"174","3-(imidazol-5-yl)lactate salvage","L-histidine Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"175","3-[(E)-2-isocyanoethenyl]-1H-indole biosynthesis","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"176","3-amino-4,7-dihydroxy-coumarin biosynthesis","Coumarins Biosynthesis (14 instances)",NA,NA,NA,NA,NA,NA
"177","3-amino-5-hydroxybenzoate biosynthesis","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"178","3-carene biosynthesis","Monoterpenoid Biosynthesis (24 instances)",NA,NA,NA,NA,NA,NA
"179","3-Chlorobenzoate Degradation (3 instances)","Chlorobenzoate Degradation (6 instances)","Chlorobenzoate Degradation (6 instances)",NA,NA,NA,NA,NA
"180","3-chlorobenzoate degradation I (via chlorocatechol)","3-Chlorobenzoate Degradation (3 instances)","3-Chlorobenzoate Degradation (3 instances)",NA,NA,NA,NA,NA
"181","3-chlorobenzoate degradation II (via protocatechuate)","3-Chlorobenzoate Degradation (3 instances)","3-Chlorobenzoate Degradation (3 instances)",NA,NA,NA,NA,NA
"182","3-chlorobenzoate degradation III (via gentisate)","3-Chlorobenzoate Degradation (3 instances)","3-Chlorobenzoate Degradation (3 instances)",NA,NA,NA,NA,NA
"183","3-Chlorocatechol Degradation (3 instances)","Chlorocatechol Degradation (7 instances)","Chlorocatechol Degradation (7 instances)",NA,NA,NA,NA,NA
"184","3-chlorocatechol degradation I (ortho)","3-Chlorocatechol Degradation (3 instances)","3-Chlorocatechol Degradation (3 instances)",NA,NA,NA,NA,NA
"185","3-chlorocatechol degradation II (ortho)","3-Chlorocatechol Degradation (3 instances)","3-Chlorocatechol Degradation (3 instances)",NA,NA,NA,NA,NA
"186","3-chlorocatechol degradation III (meta pathway)","3-Chlorocatechol Degradation (3 instances)","3-Chlorocatechol Degradation (3 instances)",NA,NA,NA,NA,NA
"187","3-chlorotoluene degradation I","3 Chlorotoluene Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"188","3-chlorotoluene degradation II",NA,"3 Chlorotoluene Degradation (2 instances)",NA,NA,NA,NA,NA
"189","3-Dehydroquinate Biosynthesis (2 instances)","Aromatic Compound Biosynthesis (51 instances)",NA,NA,NA,NA,NA,NA
"190","3-dehydroquinate biosynthesis I","3-Dehydroquinate Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"191","3-dehydroquinate biosynthesis II (archaea)","3-Dehydroquinate Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"192","3-hydroxy-4-methyl-anthranilate biosynthesis (2 instances)","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"193","3-hydroxy-4-methyl-anthranilate biosynthesis I","3-hydroxy-4-methyl-anthranilate biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"194","3-hydroxy-4-methyl-anthranilate biosynthesis II","3-hydroxy-4-methyl-anthranilate biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"195","3-hydroxy-4-methyl-proline biosynthesis","Other Amino Acid Biosynthesis (24 instances)",NA,NA,NA,NA,NA,NA
"196","3-hydroxy-L-homotyrosine biosynthesis","Other Amino Acid Biosynthesis (24 instances)",NA,NA,NA,NA,NA,NA
"197","3-hydroxypropanoate cycle","Autotrophic CO2 Fixation (12 instances)",NA,NA,NA,NA,NA,NA
"198","3-hydroxypropanoate/4-hydroxybutanate cycle","Autotrophic CO2 Fixation (12 instances)",NA,NA,NA,NA,NA,NA
"199","3-hydroxyquinaldate biosynthesis","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"200","3-methyl-branched fatty acid alpha-oxidation","Fatty Acid Degradation (20 instances)",NA,NA,NA,NA,NA,NA
"201","3-methylarginine biosynthesis","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"202","3-methylbutanol biosynthesis (engineered)","Other Biosynthesis (18 instances)",NA,NA,NA,NA,NA,NA
"203","3-methylquinoline degradation","Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"204","3-methylthiopropanoate biosynthesis","Sulfur-Containing Secondary Compound Biosynthesis (13 instances)",NA,NA,NA,NA,NA,NA
"205","3-oxoadipate degradation","Carboxylate Degradation (101 instances)",NA,NA,NA,NA,NA,NA
"206","3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation","Aromatic Compound Degradation (227 instances)","Superpathways (382 instances)",NA,NA,NA,NA,NA
