L1 = Terminal Pathway,Splay,L2,L3,L4
8-oxo-(d)GTP detoxification II,L2A,8-oxo-GTP and 8-oxo-dGTP Detoxification (2 instances),Detoxification (65 instances),NA
A series fagopyritols biosynthesis,L2A,Cyclitol Degradation (6 instances),Sugar Derivative Degradation (56 instances),Secondary Metabolite Degradation (127 instances)
ABH and Lewis epitopes biosynthesis from type 1 precursor disaccharide,L2A,Protein Glycosylation (22 instances),Glycan Biosynthesis (99 instances),Carbohydrate Biosynthesis (228 instances)
ABH and Lewis epitopes biosynthesis from type 2 precursor disaccharide,L2A,Protein Glycosylation (22 instances),Glycan Biosynthesis (99 instances),Carbohydrate Biosynthesis (228 instances)
abscisic acid biosynthesis,L2A,Abscisic Acid Biosynthesis (2 instances),Plant Hormone Biosynthesis (37 instances),Hormone Biosynthesis (68 instances)
Abscisic Acid Biosynthesis (2 instances),L2A,Plant Hormone Biosynthesis (37 instances),Hormone Biosynthesis (68 instances),Secondary Metabolite Biosynthesis (911 instances)
abscisic acid biosynthesis shunt,L2A,Abscisic Acid Biosynthesis (2 instances),Plant Hormone Biosynthesis (37 instances),Hormone Biosynthesis (68 instances)
Abscisic Acid Degradation (4 instances),L2A,Plant Hormone Degradation (11 instances),Hormone Degradation (20 instances),Degradation/Utilization/Assimilation (1104 instances)
abscisic acid degradation by glucosylation,L2A,Abscisic Acid Degradation (4 instances),Plant Hormone Degradation (11 instances),Hormone Degradation (20 instances)
abscisic acid degradation to 7'-hydroxyabscisate,L2A,Abscisic Acid Degradation (4 instances),Plant Hormone Degradation (11 instances),Hormone Degradation (20 instances)
abscisic acid degradation to neophaseic acid,L2A,Abscisic Acid Degradation (4 instances),Plant Hormone Degradation (11 instances),Hormone Degradation (20 instances)
abscisic acid degradation to phaseic acid,L2A,Abscisic Acid Degradation (4 instances),Plant Hormone Degradation (11 instances),Hormone Degradation (20 instances)
Abscisic acid derivative Biosynthesis (0 instances),L2A,Abscisic Acid Biosynthesis (2 instances),Plant Hormone Biosynthesis (37 instances),Hormone Biosynthesis (68 instances)
Ac/N-end rule pathway,L2A,Metabolic Clusters (69 instances),NA,NA
acetaldehyde biosynthesis II,L2A,Acetaldehyde Biosynthesis (2 instances),Carbohydrate Biosynthesis (228 instances),Biosynthesis (1993 instances)
acetan biosynthesis,L2A,Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances),Carbohydrate Biosynthesis (228 instances)
acetate and ATP formation from acetyl-CoA I,L2A,Fermentation to Acetate (21 instances),Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
acetate and ATP formation from acetyl-CoA II,L2A,Fermentation to Acetate (21 instances),Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
acetate formation from acetyl-CoA (succinate),L2A,Fermentation to Acetate (21 instances),Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
acetyl-CoA fermentation to butanoate,L2A,Fermentation to Butanoate (8 instances),Fermentation to Short-Chain Fatty Acids (40 instances),Fermentation (81 instances)
acetylene degradation (anaerobic),L2A,Fermentation to Acetate (21 instances),Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
acyl carrier protein activation,L2A,Activation (13 instances),Activation/Inactivation/Interconversion (53 instances),NA
acyl carrier protein metabolism,L2A,Carrier Biosynthesis (137 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",Biosynthesis (1993 instances)
Adenosine Deoxyribonucleotide De Novo Biosynthesis (2 instances),L2A,Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances),2'-Deoxyribonucleotide Biosynthesis (11 instances),Nucleoside and Nucleotide Biosynthesis (57 instances)
adenosine deoxyribonucleotides de novo biosynthesis I,L2A,Adenosine Deoxyribonucleotide De Novo Biosynthesis (2 instances),Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances),2'-Deoxyribonucleotide Biosynthesis (11 instances)
adenosine deoxyribonucleotides de novo biosynthesis II,L2A,Adenosine Deoxyribonucleotide De Novo Biosynthesis (2 instances),Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances),2'-Deoxyribonucleotide Biosynthesis (11 instances)
adenosylcobalamin biosynthesis I (anaerobic),L2A,Adenosylcobalamin de novo Biosynthesis (2 instances),Adenosylcobamide Biosynthesis (13 instances),Cobamide de novo Biosynthesis (21 instances)
adenosylcobalamin biosynthesis II (aerobic),L2A,Adenosylcobalamin de novo Biosynthesis (2 instances),Adenosylcobamide Biosynthesis (13 instances),Cobamide de novo Biosynthesis (21 instances)
aerobic respiration I (cytochrome c),L2A,Aerobic Respiration (23 instances),Respiration (65 instances),Generation of Precursor Metabolites and Energy (240 instances)
aerobic respiration II (cytochrome c) (yeast),L2A,Aerobic Respiration (23 instances),Respiration (65 instances),Generation of Precursor Metabolites and Energy (240 instances)
aerobic respiration III (alternative oxidase pathway),L2A,Aerobic Respiration (23 instances),Respiration (65 instances),Generation of Precursor Metabolites and Energy (240 instances)
afrormosin conjugates interconversion,L2A,Interconversions (22 instances),Activation/Inactivation/Interconversion (53 instances),NA
agarose degradation,L2A,Polysaccharide Degradation (47 instances),Carbohydrate Degradation (134 instances),Degradation/Utilization/Assimilation (1104 instances)
ajmaline and sarpagine biosynthesis,L2A,Indole Alkaloid Biosynthesis (11 instances),Alkaloid Biosynthesis (89 instances),Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)
ajugose biosynthesis I (galactinol-dependent),L2A,Glycan Pathways (121 instances),NA,NA
ajugose biosynthesis II (galactinol-independent),L2A,Glycan Pathways (121 instances),NA,NA
Alginate Biosynthesis (2 instances),L2A,Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances),Carbohydrate Biosynthesis (228 instances)
alginate biosynthesis I (algal),L2A,Alginate Biosynthesis (2 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
alginate biosynthesis II (bacterial),L2A,Alginate Biosynthesis (2 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
alginate degradation,L2A,Polysaccharide Degradation (47 instances),Carbohydrate Degradation (134 instances),Degradation/Utilization/Assimilation (1104 instances)
allantoin degradation IV (anaerobic),L2A,Allantoin Degradation (8 instances),Amine and Polyamine Degradation (62 instances),Degradation/Utilization/Assimilation (1104 instances)
allantoin degradation to glyoxylate I,L2A,Allantoin Degradation (8 instances),Amine and Polyamine Degradation (62 instances),Degradation/Utilization/Assimilation (1104 instances)
allantoin degradation to glyoxylate II,L2A,Allantoin Degradation (8 instances),Amine and Polyamine Degradation (62 instances),Degradation/Utilization/Assimilation (1104 instances)
allantoin degradation to glyoxylate III,L2A,Allantoin Degradation (8 instances),Amine and Polyamine Degradation (62 instances),Degradation/Utilization/Assimilation (1104 instances)
alpha-carotene biosynthesis,L2A,C40 Carotenoid Biosynthesis (37 instances),Carotenoid Biosynthesis (43 instances),Terpenoid Biosynthesis (203 instances)
alpha-dystroglycan glycosylation,L2A,Protein Glycosylation (22 instances),Glycan Biosynthesis (99 instances),Carbohydrate Biosynthesis (228 instances)
ammonia assimilation cycle I,L2A,Ammonia Assimilation (5 instances),Nitrogen Compound Metabolism (33 instances),Inorganic Nutrient Metabolism (142 instances)
ammonia oxidation I (aerobic),L2A,Ammonia Oxidation (5 instances),Nitrogen Compound Metabolism (33 instances),Inorganic Nutrient Metabolism (142 instances)
ammonia oxidation II (anaerobic),L2A,Ammonia Oxidation (5 instances),Nitrogen Compound Metabolism (33 instances),Inorganic Nutrient Metabolism (142 instances)
ammonia oxidation IV (autotrophic ammonia oxidizers),L2A,Ammonia Oxidation (5 instances),Nitrogen Compound Metabolism (33 instances),Inorganic Nutrient Metabolism (142 instances)
anaerobic aromatic compound degradation (Thauera aromatica),L2A,Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances),NA
"anaerobic energy metabolism (invertebrates, mitochondrial)",L2A,Fermentation to Short-Chain Fatty Acids (40 instances),Fermentation (81 instances),Generation of Precursor Metabolites and Energy (240 instances)
ansatrienin biosynthesis,L2A,Antibiotic Biosynthesis (123 instances),Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances)
anthocyanidin 3-malylglucoside biosynthesis (acyl-glucose dependent),L2A,Anthocyanin Biosynthesis (28 instances),Flavonoid Biosynthesis (128 instances),Phenylpropanoid Derivative Biosynthesis (211 instances)
anthocyanidin acylglucoside and acylsambubioside biosynthesis,L2A,Anthocyanin Biosynthesis (28 instances),Flavonoid Biosynthesis (128 instances),Phenylpropanoid Derivative Biosynthesis (211 instances)
anthocyanidin sambubioside biosynthesis,L2A,Anthocyanin Biosynthesis (28 instances),Flavonoid Biosynthesis (128 instances),Phenylpropanoid Derivative Biosynthesis (211 instances)
anthocyanidin sophoroside metabolism,L2A,Anthocyanin Biosynthesis (28 instances),Flavonoid Biosynthesis (128 instances),Phenylpropanoid Derivative Biosynthesis (211 instances)
Apocarotenoid Biosynthesis (4 instances),L2A,C40 Carotenoid Biosynthesis (37 instances),Carotenoid Biosynthesis (43 instances),Terpenoid Biosynthesis (203 instances)
"arachidonate biosynthesis III (6-desaturase, mammals)",L2A,Arachidonate Biosynthesis (5 instances),Polyunsaturated Fatty Acid Biosynthesis (29 instances),Unsaturated Fatty Acid Biosynthesis (60 instances)
archaetidylinositol biosynthesis,L2A,Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances)
archaetidylserine and archaetidylethanolamine biosynthesis,L2A,Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances)
Arg/N-end rule pathway (eukaryotic),L2A,Metabolic Clusters (69 instances),NA,NA
aromatic compounds degradation via beta-ketoadipate,L2A,Catechol Degradation (7 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
aromatic glucosinolate activation,L2A,Glucosinolate Activation (4 instances),Activation (13 instances),Activation/Inactivation/Interconversion (53 instances)
arsenite to oxygen electron transfer,L2A,Aerobic Respiration (23 instances),Respiration (65 instances),Generation of Precursor Metabolites and Energy (240 instances)
arsenite to oxygen electron transfer (via azurin),L2A,Aerobic Respiration (23 instances),Respiration (65 instances),Generation of Precursor Metabolites and Energy (240 instances)
Ascorbate Biosynthesis (8 instances),L2A,Enzyme Cofactor Biosynthesis (137 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",Biosynthesis (1993 instances)
assimilatory sulfate reduction I,L2A,Assimilatory Sulfate Reduction (4 instances),Sulfur Compound Metabolism (87 instances),Inorganic Nutrient Metabolism (142 instances)
"astaxanthin biosynthesis (bacteria, fungi, algae)",L2A,C40 Carotenoid Biosynthesis (37 instances),Carotenoid Biosynthesis (43 instances),Terpenoid Biosynthesis (203 instances)
astaxanthin biosynthesis (flowering plants),L2A,C40 Carotenoid Biosynthesis (37 instances),Carotenoid Biosynthesis (43 instances),Terpenoid Biosynthesis (203 instances)
astaxanthin dirhamnoside biosynthesis,L2A,C40 Carotenoid Biosynthesis (37 instances),Carotenoid Biosynthesis (43 instances),Terpenoid Biosynthesis (203 instances)
B series fagopyritols biosynthesis,L2A,Cyclitol Degradation (6 instances),Sugar Derivative Degradation (56 instances),Secondary Metabolite Degradation (127 instances)
bacillibactin biosynthesis,L2A,Siderophore and Metallophore Biosynthesis (29 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
baicalein degradation (hydrogen peroxide detoxification),L2A,Phenylpropanoid Derivative Degradation (10 instances),Phenolic Compound Degradation (27 instances),Aromatic Compound Degradation (227 instances)
base-degraded thiamine salvage,L2A,thiamine Diphosphate Salvage (7 instances),Thiamine Biosynthesis (20 instances),Enzyme Cofactor Biosynthesis (137 instances)
"benzoate biosynthesis I (CoA-dependent, beta-oxidative)",L2A,Benzoate Biosynthesis (3 instances),Aromatic Compound Biosynthesis (51 instances),Biosynthesis (1993 instances)
"benzoate biosynthesis III (CoA-dependent, non-beta-oxidative)",L2A,Benzoate Biosynthesis (3 instances),Aromatic Compound Biosynthesis (51 instances),Biosynthesis (1993 instances)
benzoate fermentation (to acetate and cyclohexane carboxylate),L2A,Fermentation (81 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
"beta-(1,4)-mannan degradation",L2A,Polysaccharide Degradation (47 instances),Carbohydrate Degradation (134 instances),Degradation/Utilization/Assimilation (1104 instances)
beta-alanine betaine biosynthesis,L2A,Betaine Biosynthesis (6 instances),Amine and Polyamine Biosynthesis (38 instances),Biosynthesis (1993 instances)
beta-carotene biosynthesis,L2A,C40 Carotenoid Biosynthesis (37 instances),Carotenoid Biosynthesis (43 instances),Terpenoid Biosynthesis (203 instances)
beta-carotene biosynthesis (engineered),L2A,C40 Carotenoid Biosynthesis (37 instances),Carotenoid Biosynthesis (43 instances),Terpenoid Biosynthesis (203 instances)
beta-D-glucuronide and D-glucuronate degradation,L2A,D-Glucuronate Degradation (4 instances),Sugar Acid Degradation (19 instances),Carboxylate Degradation (101 instances)
Betaine Biosynthesis (6 instances),L2A,Amine and Polyamine Biosynthesis (38 instances),Biosynthesis (1993 instances),NA
Bifidobacterium shunt,L2A,Fermentation to Acetate (21 instances),Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
bile acid 7alpha-dehydroxylation,L2A,Bile Acid Degradation (7 instances),Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
bile acid 7beta-dehydroxylation,L2A,Bile Acid Degradation (7 instances),Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
Bile Acid Degradation (7 instances),L2A,Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances),NA
bile acids 12-O-epimerization,L2A,Bile Acid Degradation (7 instances),Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
bile acids 3-O-epimerization,L2A,Bile Acid Degradation (7 instances),Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
bile acids 7-O epimerization,L2A,Bile Acid Degradation (7 instances),Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
bile acids deconjugation,L2A,Bile Acid Degradation (7 instances),Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
bile acids epimerization,L2A,Bile Acid Degradation (7 instances),Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
biochanin A conjugates interconversion,L2A,Interconversions (22 instances),Activation/Inactivation/Interconversion (53 instances),NA
biosynthesis of Lewis epitopes (H. pylori),L2A,Protein Glycosylation (22 instances),Glycan Biosynthesis (99 instances),Carbohydrate Biosynthesis (228 instances)
biotin biosynthesis I,L2A,Biotin Biosynthesis (5 instances),Enzyme Cofactor Biosynthesis (137 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)"
biotin biosynthesis II,L2A,Biotin Biosynthesis (5 instances),Enzyme Cofactor Biosynthesis (137 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)"
bixin biosynthesis,L2A,Apocarotenoid Biosynthesis (4 instances),C40 Carotenoid Biosynthesis (37 instances),Carotenoid Biosynthesis (43 instances)
bombykol biosynthesis,L2A,Hormone Biosynthesis (68 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
brassinosteroids inactivation,L2A,Inactivation (19 instances),Activation/Inactivation/Interconversion (53 instances),NA
