"","L1...Terminal.Pathway","L3","L4","L2A","L2B","L2C","L2D","L2E","L2F","L2G"
"20","2-nitrophenol degradation","Nitrophenol Degradation (4 instances)","Nitroaromatic Compound Degradation (20 instances)","2-Nitrophenol Degradation (1 instances)",NA,NA,NA,NA,NA,NA
"21","2-Nitrophenol Degradation (1 instances)","Nitroaromatic Compound Degradation (20 instances)","Aromatic Compound Degradation (227 instances)","Nitrophenol Degradation (4 instances)",NA,NA,NA,NA,NA,NA
"22","2,2'-dihydroxyketocarotenoids biosynthesis","Carotenoid Biosynthesis (43 instances)","Terpenoid Biosynthesis (203 instances)","C40 Carotenoid Biosynthesis (37 instances)",NA,NA,NA,NA,NA,NA
"23","2,4-dichlorophenoxyacetate degradation","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Chloroaromatic Compound Degradation (35 instances)",NA,NA,NA,NA,NA,NA
"24","2,4-dichlorotoluene degradation","Chlorotoluene Degradation (5 instances)","Chloroaromatic Compound Degradation (35 instances)","Dichlorotoluene Degradation (3 instances)","Dichlorotoluene Degradation (3 instances)",NA,NA,NA,NA,NA
"25","2,4,5-trichlorophenoxyacetate degradation","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Chloroaromatic Compound Degradation (35 instances)",NA,NA,NA,NA,NA,NA
"26","2,4,6-trichlorophenol degradation","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Chloroaromatic Compound Degradation (35 instances)",NA,NA,NA,NA,NA,NA
"27","2,4,6-trinitrophenol and 2,4-dinitrophenol degradation","Nitroaromatic Compound Degradation (20 instances)","Aromatic Compound Degradation (227 instances)","Nitrophenol Degradation (4 instances)",NA,NA,NA,NA,NA,NA
"28","2,5-dichlorotoluene degradation","Chlorotoluene Degradation (5 instances)","Chloroaromatic Compound Degradation (35 instances)","Dichlorotoluene Degradation (3 instances)","Dichlorotoluene Degradation (3 instances)",NA,NA,NA,NA,NA
"29","24-epi-campesterol, fucosterol, and clionasterol biosynthesis (diatoms)","Fatty Acid and Lipid Biosynthesis (224 instances)","Biosynthesis (1993 instances)","Sterol Biosynthesis (28 instances)",NA,NA,NA,NA,NA,NA
"30","3 Chlorotoluene Degradation (2 instances)","Chloroaromatic Compound Degradation (35 instances)","Aromatic Compound Degradation (227 instances)","Chlorotoluene Degradation (5 instances)",NA,NA,NA,NA,NA,NA
"31","3-Chlorobenzoate Degradation (3 instances)","Chloroaromatic Compound Degradation (35 instances)","Aromatic Compound Degradation (227 instances)","Chlorobenzoate Degradation (6 instances)",NA,NA,NA,NA,NA,NA
"32","3-chlorobenzoate degradation I (via chlorocatechol)","Chlorobenzoate Degradation (6 instances)","Chloroaromatic Compound Degradation (35 instances)","3-Chlorobenzoate Degradation (3 instances)","3-Chlorobenzoate Degradation (3 instances)",NA,NA,NA,NA,NA
"33","3-chlorobenzoate degradation II (via protocatechuate)","Chlorobenzoate Degradation (6 instances)","Chloroaromatic Compound Degradation (35 instances)","3-Chlorobenzoate Degradation (3 instances)","3-Chlorobenzoate Degradation (3 instances)",NA,NA,NA,NA,NA
"34","3-chlorobenzoate degradation III (via gentisate)","Chlorobenzoate Degradation (6 instances)","Chloroaromatic Compound Degradation (35 instances)","3-Chlorobenzoate Degradation (3 instances)","3-Chlorobenzoate Degradation (3 instances)",NA,NA,NA,NA,NA
"35","3-Chlorocatechol Degradation (3 instances)","Chloroaromatic Compound Degradation (35 instances)","Aromatic Compound Degradation (227 instances)","Chlorocatechol Degradation (7 instances)",NA,NA,NA,NA,NA,NA
"36","3-chlorocatechol degradation I (ortho)","Chlorocatechol Degradation (7 instances)","Chloroaromatic Compound Degradation (35 instances)","3-Chlorocatechol Degradation (3 instances)","3-Chlorocatechol Degradation (3 instances)",NA,NA,NA,NA,NA
"37","3-chlorocatechol degradation II (ortho)","Chlorocatechol Degradation (7 instances)","Chloroaromatic Compound Degradation (35 instances)","3-Chlorocatechol Degradation (3 instances)","3-Chlorocatechol Degradation (3 instances)",NA,NA,NA,NA,NA
"38","3-chlorocatechol degradation III (meta pathway)","Chlorocatechol Degradation (7 instances)","Chloroaromatic Compound Degradation (35 instances)","3-Chlorocatechol Degradation (3 instances)","3-Chlorocatechol Degradation (3 instances)",NA,NA,NA,NA,NA
"39","3-chlorotoluene degradation I","Chlorotoluene Degradation (5 instances)","Chloroaromatic Compound Degradation (35 instances)","3 Chlorotoluene Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"40","3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"41","3-phenylpropanoate degradation","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Phenolic Compound Degradation (27 instances)",NA,NA,NA,NA,NA,NA
"42","3,4-dichlorobenzoate degradation","Chloroaromatic Compound Degradation (35 instances)","Aromatic Compound Degradation (227 instances)","Chlorobenzoate Degradation (6 instances)",NA,NA,NA,NA,NA,NA
"43","3,4-dichlorotoluene degradation","Chlorotoluene Degradation (5 instances)","Chloroaromatic Compound Degradation (35 instances)","Dichlorotoluene Degradation (3 instances)","Dichlorotoluene Degradation (3 instances)",NA,NA,NA,NA,NA
"44","3,4,6-trichlorocatechol degradation","Chloroaromatic Compound Degradation (35 instances)","Aromatic Compound Degradation (227 instances)","Chlorocatechol Degradation (7 instances)",NA,NA,NA,NA,NA,NA
"45","3,5-dichlorocatechol degradation","Chloroaromatic Compound Degradation (35 instances)","Aromatic Compound Degradation (227 instances)","Chlorocatechol Degradation (7 instances)",NA,NA,NA,NA,NA,NA
"46","3,5-dimethoxytoluene biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Aroma Compound Biosynthesis (13 instances)",NA,NA,NA,NA,NA,NA
"47","3,5,6-trichloro-2-pyridinol degradation","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Chloroaromatic Compound Degradation (35 instances)",NA,NA,NA,NA,NA,NA
"48","4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis (2 instances)","Enzyme Cofactor Biosynthesis (137 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Thiamine Biosynthesis (20 instances)",NA,NA,NA,NA,NA,NA
"49","4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis I","Thiamine Biosynthesis (20 instances)","Enzyme Cofactor Biosynthesis (137 instances)","4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"50","4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II","Thiamine Biosynthesis (20 instances)","Enzyme Cofactor Biosynthesis (137 instances)","4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"51","4-aminobutanoate degradation V","Amine and Polyamine Degradation (62 instances)","Degradation/Utilization/Assimilation (1104 instances)","4-Aminobutanoate Degradation (7 instances)",NA,NA,NA,NA,NA,NA
"52","4-chloro-2-methylphenoxyacetate degradation","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Chloroaromatic Compound Degradation (35 instances)",NA,NA,NA,NA,NA,NA
"53","4-chlorobenzoate degradation","Chloroaromatic Compound Degradation (35 instances)","Aromatic Compound Degradation (227 instances)","Chlorobenzoate Degradation (6 instances)",NA,NA,NA,NA,NA,NA
"54","4-chlorocatechol degradation","Chloroaromatic Compound Degradation (35 instances)","Aromatic Compound Degradation (227 instances)","Chlorocatechol Degradation (7 instances)",NA,NA,NA,NA,NA,NA
"55","4-coumarate degradation (aerobic)","Phenolic Compound Degradation (27 instances)","Aromatic Compound Degradation (227 instances)","Phenylpropanoid Derivative Degradation (10 instances)",NA,NA,NA,NA,NA,NA
"56","4-coumarate degradation (anaerobic)","Phenolic Compound Degradation (27 instances)","Aromatic Compound Degradation (227 instances)","Phenylpropanoid Derivative Degradation (10 instances)",NA,NA,NA,NA,NA,NA
"57","4-hydroxycoumarin and dicoumarol biosynthesis","Toxin Biosynthesis (205 instances)","Secondary Metabolite Biosynthesis (911 instances)","Phytoalexin Biosynthesis (38 instances)",NA,NA,NA,NA,NA,NA
"58","4-Nitrophenol Degradation (2 instances)","Nitroaromatic Compound Degradation (20 instances)","Aromatic Compound Degradation (227 instances)","Nitrophenol Degradation (4 instances)",NA,NA,NA,NA,NA,NA
"59","4-nitrophenol degradation I","Nitrophenol Degradation (4 instances)","Nitroaromatic Compound Degradation (20 instances)","4-Nitrophenol Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"60","4-nitrophenol degradation II","Nitrophenol Degradation (4 instances)","Nitroaromatic Compound Degradation (20 instances)","4-Nitrophenol Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"61","4,4'-diapolycopenedioate biosynthesis","Carotenoid Biosynthesis (43 instances)","Terpenoid Biosynthesis (203 instances)","C30 Carotenoid Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"62","4,5-dichlorocatechol degradation","Chloroaromatic Compound Degradation (35 instances)","Aromatic Compound Degradation (227 instances)","Chlorocatechol Degradation (7 instances)",NA,NA,NA,NA,NA,NA
"63","5-chloro-3-methyl-catechol degradation","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Chloroaromatic Compound Degradation (35 instances)",NA,NA,NA,NA,NA,NA
"64","6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances)","Single Carbon Carrier Biosynthesis (23 instances)","Carrier Biosynthesis (137 instances)","Folate Biosynthesis (14 instances)",NA,NA,NA,NA,NA,NA
"65","6-hydroxymethyl-dihydropterin diphosphate biosynthesis I","Folate Biosynthesis (14 instances)","Single Carbon Carrier Biosynthesis (23 instances)","6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"66","6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (Methanocaldococcus)","Folate Biosynthesis (14 instances)","Single Carbon Carrier Biosynthesis (23 instances)","6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"67","6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)","Folate Biosynthesis (14 instances)","Single Carbon Carrier Biosynthesis (23 instances)","6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"68","6-hydroxymethyl-dihydropterin diphosphate biosynthesis IV (Plasmodium)","Folate Biosynthesis (14 instances)","Single Carbon Carrier Biosynthesis (23 instances)","6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"69","6-hydroxymethyl-dihydropterin diphosphate biosynthesis V (Pyrococcus)","Folate Biosynthesis (14 instances)","Single Carbon Carrier Biosynthesis (23 instances)","6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"70","6-methoxymellein biosynthesis","Phytoalexin Biosynthesis (38 instances)","Toxin Biosynthesis (205 instances)","Coumarin Phytoalexin Biosynthesis (1 instances)",NA,NA,NA,NA,NA,NA
"71","8-oxo-(d)GTP detoxification I","Detoxification (65 instances)",NA,"8-oxo-GTP and 8-oxo-dGTP Detoxification (2 instances)",NA,NA,NA,NA,NA,NA
"72","8-oxo-(d)GTP detoxification II","Detoxification (65 instances)",NA,"8-oxo-GTP and 8-oxo-dGTP Detoxification (2 instances)",NA,NA,NA,NA,NA,NA
"73","A series fagopyritols biosynthesis","Sugar Derivative Degradation (56 instances)","Secondary Metabolite Degradation (127 instances)","Cyclitol Degradation (6 instances)",NA,NA,NA,NA,NA,NA
"74","ABH and Lewis epitopes biosynthesis from type 1 precursor disaccharide","Glycan Biosynthesis (99 instances)","Carbohydrate Biosynthesis (228 instances)","Protein Glycosylation (22 instances)",NA,NA,NA,NA,NA,NA
"75","ABH and Lewis epitopes biosynthesis from type 2 precursor disaccharide","Glycan Biosynthesis (99 instances)","Carbohydrate Biosynthesis (228 instances)","Protein Glycosylation (22 instances)",NA,NA,NA,NA,NA,NA
"76","abscisic acid biosynthesis","Plant Hormone Biosynthesis (37 instances)","Hormone Biosynthesis (68 instances)","Abscisic Acid Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"77","Abscisic Acid Biosynthesis (2 instances)","Hormone Biosynthesis (68 instances)","Secondary Metabolite Biosynthesis (911 instances)","Plant Hormone Biosynthesis (37 instances)",NA,NA,NA,NA,NA,NA
"78","abscisic acid biosynthesis shunt","Plant Hormone Biosynthesis (37 instances)","Hormone Biosynthesis (68 instances)","Abscisic Acid Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"79","Abscisic Acid Degradation (4 instances)","Hormone Degradation (20 instances)","Degradation/Utilization/Assimilation (1104 instances)","Plant Hormone Degradation (11 instances)",NA,NA,NA,NA,NA,NA
"80","abscisic acid degradation by glucosylation","Plant Hormone Degradation (11 instances)","Hormone Degradation (20 instances)","Abscisic Acid Degradation (4 instances)",NA,NA,NA,NA,NA,NA
"81","abscisic acid degradation to 7'-hydroxyabscisate","Plant Hormone Degradation (11 instances)","Hormone Degradation (20 instances)","Abscisic Acid Degradation (4 instances)",NA,NA,NA,NA,NA,NA
"82","abscisic acid degradation to neophaseic acid","Plant Hormone Degradation (11 instances)","Hormone Degradation (20 instances)","Abscisic Acid Degradation (4 instances)",NA,NA,NA,NA,NA,NA
"83","abscisic acid degradation to phaseic acid","Plant Hormone Degradation (11 instances)","Hormone Degradation (20 instances)","Abscisic Acid Degradation (4 instances)",NA,NA,NA,NA,NA,NA
"84","Abscisic acid derivative Biosynthesis (0 instances)","Plant Hormone Biosynthesis (37 instances)","Hormone Biosynthesis (68 instances)","Abscisic Acid Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"85","Ac/N-end rule pathway",NA,NA,"Metabolic Clusters (69 instances)",NA,NA,NA,NA,NA,NA
"86","acetaldehyde biosynthesis II","Carbohydrate Biosynthesis (228 instances)","Biosynthesis (1993 instances)","Acetaldehyde Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"87","acetan biosynthesis","Glycan Biosynthesis (99 instances)","Carbohydrate Biosynthesis (228 instances)","Polysaccharide Biosynthesis (73 instances)",NA,NA,NA,NA,NA,NA
"88","acetate and ATP formation from acetyl-CoA I","Carboxylate Degradation (101 instances)","Degradation/Utilization/Assimilation (1104 instances)","Fermentation to Acetate (21 instances)",NA,NA,NA,NA,NA,NA
"89","acetate and ATP formation from acetyl-CoA II","Carboxylate Degradation (101 instances)","Degradation/Utilization/Assimilation (1104 instances)","Fermentation to Acetate (21 instances)",NA,NA,NA,NA,NA,NA
"90","acetate formation from acetyl-CoA (succinate)","Carboxylate Degradation (101 instances)","Degradation/Utilization/Assimilation (1104 instances)","Fermentation to Acetate (21 instances)",NA,NA,NA,NA,NA,NA
"91","acetyl-CoA fermentation to butanoate","Fermentation to Short-Chain Fatty Acids (40 instances)","Fermentation (81 instances)","Fermentation to Butanoate (8 instances)",NA,NA,NA,NA,NA,NA
"92","acetylene degradation (anaerobic)","Carboxylate Degradation (101 instances)","Degradation/Utilization/Assimilation (1104 instances)","Fermentation to Acetate (21 instances)",NA,NA,NA,NA,NA,NA
"93","acyl carrier protein activation","Activation/Inactivation/Interconversion (53 instances)",NA,"Activation (13 instances)",NA,NA,NA,NA,NA,NA
"94","acyl carrier protein metabolism","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Biosynthesis (1993 instances)","Carrier Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"95","Adenosine Deoxyribonucleotide De Novo Biosynthesis (2 instances)","2'-Deoxyribonucleotide Biosynthesis (11 instances)","Nucleoside and Nucleotide Biosynthesis (57 instances)","Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"96","adenosine deoxyribonucleotides de novo biosynthesis I","Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)","2'-Deoxyribonucleotide Biosynthesis (11 instances)","Adenosine Deoxyribonucleotide De Novo Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"97","adenosine deoxyribonucleotides de novo biosynthesis II","Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)","2'-Deoxyribonucleotide Biosynthesis (11 instances)","Adenosine Deoxyribonucleotide De Novo Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"98","adenosylcobalamin biosynthesis I (anaerobic)","Adenosylcobamide Biosynthesis (13 instances)","Cobamide de novo Biosynthesis (21 instances)","Adenosylcobalamin de novo Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"99","adenosylcobalamin biosynthesis II (aerobic)","Adenosylcobamide Biosynthesis (13 instances)","Cobamide de novo Biosynthesis (21 instances)","Adenosylcobalamin de novo Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"100","aerobic respiration I (cytochrome c)","Respiration (65 instances)","Generation of Precursor Metabolites and Energy (240 instances)","Aerobic Respiration (23 instances)",NA,NA,NA,NA,NA,NA
"101","aerobic respiration II (cytochrome c) (yeast)","Respiration (65 instances)","Generation of Precursor Metabolites and Energy (240 instances)","Aerobic Respiration (23 instances)",NA,NA,NA,NA,NA,NA
"102","aerobic respiration III (alternative oxidase pathway)","Respiration (65 instances)","Generation of Precursor Metabolites and Energy (240 instances)","Aerobic Respiration (23 instances)",NA,NA,NA,NA,NA,NA
"103","afrormosin conjugates interconversion","Activation/Inactivation/Interconversion (53 instances)",NA,"Interconversions (22 instances)",NA,NA,NA,NA,NA,NA
"104","agarose degradation","Carbohydrate Degradation (134 instances)","Degradation/Utilization/Assimilation (1104 instances)","Polysaccharide Degradation (47 instances)",NA,NA,NA,NA,NA,NA
"105","ajmaline and sarpagine biosynthesis","Alkaloid Biosynthesis (89 instances)","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Indole Alkaloid Biosynthesis (11 instances)","Terpenoid Alkaloid Biosynthesis (4 instances)",NA,NA,NA,NA,NA
"106","ajugose biosynthesis I (galactinol-dependent)",NA,NA,"Glycan Pathways (121 instances)",NA,NA,NA,NA,NA,NA
"107","ajugose biosynthesis II (galactinol-independent)",NA,NA,"Glycan Pathways (121 instances)",NA,NA,NA,NA,NA,NA
"108","Alginate Biosynthesis (2 instances)","Glycan Biosynthesis (99 instances)","Carbohydrate Biosynthesis (228 instances)","Polysaccharide Biosynthesis (73 instances)",NA,NA,NA,NA,NA,NA
"109","alginate biosynthesis I (algal)","Polysaccharide Biosynthesis (73 instances)","Glycan Biosynthesis (99 instances)","Alginate Biosynthesis (2 instances)",NA,"Alginate Biosynthesis (2 instances)",NA,NA,NA,NA
"110","alginate biosynthesis II (bacterial)","Polysaccharide Biosynthesis (73 instances)","Glycan Biosynthesis (99 instances)","Alginate Biosynthesis (2 instances)",NA,"Alginate Biosynthesis (2 instances)",NA,NA,NA,NA
"111","alginate degradation","Carbohydrate Degradation (134 instances)","Degradation/Utilization/Assimilation (1104 instances)","Polysaccharide Degradation (47 instances)",NA,NA,NA,NA,NA,NA
"112","allantoin degradation IV (anaerobic)","Amine and Polyamine Degradation (62 instances)","Degradation/Utilization/Assimilation (1104 instances)","Allantoin Degradation (8 instances)",NA,NA,NA,NA,NA,NA
"113","allantoin degradation to glyoxylate I","Amine and Polyamine Degradation (62 instances)","Degradation/Utilization/Assimilation (1104 instances)","Allantoin Degradation (8 instances)",NA,NA,NA,NA,NA,NA
"114","allantoin degradation to glyoxylate II","Amine and Polyamine Degradation (62 instances)","Degradation/Utilization/Assimilation (1104 instances)","Allantoin Degradation (8 instances)",NA,NA,NA,NA,NA,NA
"115","allantoin degradation to glyoxylate III","Amine and Polyamine Degradation (62 instances)","Degradation/Utilization/Assimilation (1104 instances)","Allantoin Degradation (8 instances)",NA,NA,NA,NA,NA,NA
"116","alpha-carotene biosynthesis","Carotenoid Biosynthesis (43 instances)","Terpenoid Biosynthesis (203 instances)","C40 Carotenoid Biosynthesis (37 instances)",NA,NA,NA,NA,NA,NA
"117","alpha-dystroglycan glycosylation","Glycan Biosynthesis (99 instances)","Carbohydrate Biosynthesis (228 instances)","Protein Glycosylation (22 instances)",NA,NA,NA,NA,NA,NA
"118","ammonia assimilation cycle I","Nitrogen Compound Metabolism (33 instances)","Inorganic Nutrient Metabolism (142 instances)","Ammonia Assimilation (5 instances)",NA,NA,NA,NA,NA,NA
"119","ammonia oxidation I (aerobic)","Nitrogen Compound Metabolism (33 instances)","Inorganic Nutrient Metabolism (142 instances)","Ammonia Oxidation (5 instances)",NA,NA,NA,NA,NA,NA
"120","ammonia oxidation II (anaerobic)","Nitrogen Compound Metabolism (33 instances)","Inorganic Nutrient Metabolism (142 instances)","Ammonia Oxidation (5 instances)",NA,NA,NA,NA,NA,NA
"121","ammonia oxidation IV (autotrophic ammonia oxidizers)","Nitrogen Compound Metabolism (33 instances)","Inorganic Nutrient Metabolism (142 instances)","Ammonia Oxidation (5 instances)",NA,NA,NA,NA,NA,NA
"122","anaerobic aromatic compound degradation (Thauera aromatica)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"123","anaerobic energy metabolism (invertebrates, mitochondrial)","Fermentation (81 instances)","Generation of Precursor Metabolites and Energy (240 instances)","Fermentation to Short-Chain Fatty Acids (40 instances)",NA,NA,NA,NA,NA,NA
"124","ansatrienin biosynthesis","Toxin Biosynthesis (205 instances)","Secondary Metabolite Biosynthesis (911 instances)","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"125","anthocyanidin 3-malylglucoside biosynthesis (acyl-glucose dependent)","Flavonoid Biosynthesis (128 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)","Anthocyanin Biosynthesis (28 instances)",NA,NA,NA,NA,NA,NA
"126","anthocyanidin acylglucoside and acylsambubioside biosynthesis","Flavonoid Biosynthesis (128 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)","Anthocyanin Biosynthesis (28 instances)",NA,NA,NA,NA,NA,NA
"127","anthocyanidin sambubioside biosynthesis","Flavonoid Biosynthesis (128 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)","Anthocyanin Biosynthesis (28 instances)",NA,NA,NA,NA,NA,NA
"128","anthocyanidin sophoroside metabolism","Flavonoid Biosynthesis (128 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)","Anthocyanin Biosynthesis (28 instances)",NA,NA,NA,NA,NA,NA
"129","Apocarotenoid Biosynthesis (4 instances)","Carotenoid Biosynthesis (43 instances)","Terpenoid Biosynthesis (203 instances)","C40 Carotenoid Biosynthesis (37 instances)",NA,NA,NA,NA,NA,NA
"130","arachidonate biosynthesis III (6-desaturase, mammals)","Polyunsaturated Fatty Acid Biosynthesis (29 instances)","Unsaturated Fatty Acid Biosynthesis (60 instances)","Arachidonate Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"131","archaetidylinositol biosynthesis","Fatty Acid and Lipid Biosynthesis (224 instances)","Biosynthesis (1993 instances)","Phospholipid Biosynthesis (38 instances)",NA,NA,NA,NA,NA,NA
"132","archaetidylserine and archaetidylethanolamine biosynthesis","Fatty Acid and Lipid Biosynthesis (224 instances)","Biosynthesis (1993 instances)","Phospholipid Biosynthesis (38 instances)",NA,NA,NA,NA,NA,NA
"133","Arg/N-end rule pathway (eukaryotic)",NA,NA,"Metabolic Clusters (69 instances)",NA,NA,NA,NA,NA,NA
