2021-08-13 05:06:57 INFO::Writing function arguments to log file
2021-08-13 05:06:57 DEBUG::Function arguments
2021-08-13 05:06:57 DEBUG::Output folder: LogCLR-MucosalColon-Maaslin-SeqRunSexSite_General-1-Line-MsID
2021-08-13 05:06:57 DEBUG::Min Abundance: 0.000000
2021-08-13 05:06:57 DEBUG::Min Prevalence: 0.100000
2021-08-13 05:06:57 DEBUG::Normalization: CLR
2021-08-13 05:06:57 DEBUG::Transform: LOG
2021-08-13 05:06:57 DEBUG::Analysis method: LM
2021-08-13 05:06:57 DEBUG::Max significance: 0.250000
2021-08-13 05:06:57 DEBUG::Random effects: Line,MouseID_Line
2021-08-13 05:06:57 DEBUG::Fixed effects: Sequencing_Run,Sex,Site
2021-08-13 05:06:57 DEBUG::Correction method: BH
2021-08-13 05:06:57 DEBUG::Standardize: TRUE
2021-08-13 05:06:57 DEBUG::Cores: 8
2021-08-13 05:06:57 INFO::Verifying options selected are valid
2021-08-13 05:06:57 INFO::Determining format of input files
2021-08-13 05:06:57 INFO::Input format is data samples as columns and metadata samples as rows
2021-08-13 05:06:57 DEBUG::Transformed data so samples are rows
2021-08-13 05:06:57 DEBUG::A total of 138 samples were found in both the data and metadata
2021-08-13 05:06:57 DEBUG::Reordering data/metadata to use same sample ordering
2021-08-13 05:06:57 INFO::Formula for random effects: expr ~ (1 | Line) + (1 | MouseID_Line)
2021-08-13 05:06:57 INFO::Formula for fixed effects: expr ~  Sequencing_Run + Sex + Site
2021-08-13 05:06:57 INFO::Running selected normalization method: CLR
2021-08-13 05:06:57 INFO::Filter data based on min abundance and min prevalence
2021-08-13 05:06:57 INFO::Total samples in data: 138
2021-08-13 05:06:57 INFO::Min samples required with min abundance for a feature not to be filtered: 13.800000
2021-08-13 05:06:57 INFO::Total filtered features: 51
2021-08-13 05:06:57 INFO::Filtered feature names: X9bc2935704d00be01387e4b91d0ec358, e9caa943f6467ffd09889cd0df61cb45, b3ef12a80d40902556c2fd4de5924438, c0d5395792eadbf5f62e8ffb14fa0262, a30dd65fa0f17c9ffe88b70cc66d024b, X99e3ef8d6af1702f3a43e8f3e4976956, X832fb872172e67da702355444f34bc1c, e5450be8d98da604aa4a1fa0ed722fe1, X5287908182825be751d21ae4e6f44c79, X5df1f0b75fac3063662bc77afb6c4bf8, X94adac1e5690b5aef26d6014e471f458, X97e775c94445b62cef898d8ab38f8cb7, X0c1914abfb8acde52c282afa8e27a1fd, b45093ff0a5e7aac10c4f9f4513e7613, X8fde870b4c3464dbd28fb743c07f36f1, e4cb1b90e54f9ffc8f098a80d459512e, X4aa01b032f6f21994f27fd7c9ef08933, a355ffad67ad78b1bdbd4ad765a6f5cf, X59cb2b356649752e276dd7f74cee4321, X55fa67427af49d0e149b71f3e492fc2f, X263274421870217476d2449c7184e666, c739108a8fb66e778057d21c15128eaf, X30f0b16d39680d27d771da5b475ce546, X3d54a53e5412fd82769620a4792a9b31, dae1fbaad10a121a9e71c35d8c230bc2, dbec9c5165f7fd71fcfcee0766f056e9, X3a863e8d613146295f1169d6d3e462e8, d5bac6e328e0b91ff267e366898fb100, X07f9cf5cd15f1e6c3b5f4c0b6b8addc4, X3eeb6fa3850d5ab2864e37931dc1781b, f6fdab15a19dca0441b10f8c0969cb4d, d727291c9abb47ba09d6fba2de9836d0, X6a0efe866edcb457cbf296d6f70a0e86, X7c7bb1ff540acdb32e9310a6f5147b66, X9682035e00a33066c8a20a5728864160, X548b9f02eb5f8d9c273fea608c89123c, X84b12c5f4618dbf894915076b08799fa, ce4ac6a458d20598f8330e3ffe655960, bc9b892d9d458357ca91a3d6489d621c, X9c84f3a63bb2ae197d33f6cf57d34377, X5b239ea4225a1366ac283394a91ec211, X05e5fd65c9186b5d17260e49ce648e3a, b472d29ebb2e4b918cf5f7e0d7b46ce9, a8f7a4c4fa926673d7a1b6e3bd4c8925, X52ea162f982093e6b9b3bcdc2fc0b119, X793c5551e5eee756319c35a9a48a7edf, cccad67fb5ce1b4f76ed38e69a6c2556, X26fdedbab1c7064845c123af942ae31e, e6d53e67eb96231b465269ad8c15fe3c, X07680e846679f3a15354d617a37f5aea, X44be4a73cb6fbe694ec6cbbdba4bd3b3
2021-08-13 05:06:57 INFO::Applying z-score to standardize continuous metadata
2021-08-13 05:06:57 INFO::Running selected transform method: LOG
2021-08-13 05:06:57 INFO::Running selected analysis method: LM
2021-08-13 05:06:57 INFO::Creating cluster of 8 R processes
2021-08-13 05:08:04 INFO::Counting total values for each feature
2021-08-13 05:08:04 INFO::Writing residuals to file LogCLR-MucosalColon-Maaslin-SeqRunSexSite_General-1-Line-MsID/residuals.rds
2021-08-13 05:08:04 INFO::Writing all results to file (ordered by increasing q-values): LogCLR-MucosalColon-Maaslin-SeqRunSexSite_General-1-Line-MsID/all_results.tsv
2021-08-13 05:08:04 INFO::Writing the significant results (those which are less than or equal to the threshold of 0.250000 ) to file (ordered by increasing q-values): LogCLR-MucosalColon-Maaslin-SeqRunSexSite_General-1-Line-MsID/significant_results.tsv
2021-08-13 05:08:04 INFO::Writing heatmap of significant results to file: LogCLR-MucosalColon-Maaslin-SeqRunSexSite_General-1-Line-MsID/heatmap.pdf
2021-08-13 05:08:08 INFO::Creating boxplot for categorical data, Site vs d4582580d27b0dcaff88f316edc6795c
2021-08-13 05:08:08 INFO::Creating boxplot for categorical data, Site vs c42634f8d1aad4956aa9638465e86565
2021-08-13 05:08:08 INFO::Creating boxplot for categorical data, Site vs X8b317947d610fc3e351d94e2466ab1ab
2021-08-13 05:08:09 INFO::Creating boxplot for categorical data, Site vs b818498a79e2d7a40cdaf0d29b43c7c0
2021-08-13 05:08:09 INFO::Creating boxplot for categorical data, Site vs X861fb4882b4c65b68e5998bb89ad59e8
2021-08-13 05:08:09 INFO::Creating boxplot for categorical data, Site vs a0f4041ccc6a3b1f6512919ebe00613d
2021-08-13 05:08:09 INFO::Creating boxplot for categorical data, Site vs X204736c3bd4a4c1f840e9fc99a5155d2
2021-08-13 05:08:09 INFO::Creating boxplot for categorical data, Site vs X483176e085c4e4eeee22409a02f2c0ef
2021-08-13 05:08:09 INFO::Creating boxplot for categorical data, Site vs X2e11ee45d4ccab0775222da825d3bd42
2021-08-13 05:08:09 INFO::Creating boxplot for categorical data, Site vs X64864a4b76fc5cccc00f4e44f8dbcff4
2021-08-13 05:08:09 INFO::Creating boxplot for categorical data, Site vs a8bb13e9e2b548216ed9a9619c1767a0
2021-08-13 05:08:09 INFO::Creating boxplot for categorical data, Site vs X0f7e30a9c413799c28abaf3bf8186888
2021-08-13 05:08:09 INFO::Creating boxplot for categorical data, Site vs f745d265f36ea7eac26d97280e690796
2021-08-13 05:08:10 INFO::Creating boxplot for categorical data, Site vs X9ff8565480eb4d1ae1feec02a0dfce35
2021-08-13 05:08:10 INFO::Creating boxplot for categorical data, Site vs efe64b2cd066392c8b5379c583817500
2021-08-13 05:08:10 INFO::Creating boxplot for categorical data, Site vs a8bb13e9e2b548216ed9a9619c1767a0
2021-08-13 05:08:10 INFO::Creating boxplot for categorical data, Site vs X73e42306e185be6f0c6060d4ed924469
2021-08-13 05:08:10 INFO::Creating boxplot for categorical data, Site vs X25dbbc91dd4c739873039ece738737a5
2021-08-13 05:08:10 INFO::Creating boxplot for categorical data, Site vs X21f3474eb0a2647e96181ab06ed9b764
2021-08-13 05:08:10 INFO::Creating boxplot for categorical data, Site vs X564a2d40353ba6af46b47a2d367a3d56
2021-08-13 05:08:10 INFO::Creating boxplot for categorical data, Site vs d4582580d27b0dcaff88f316edc6795c
2021-08-13 05:08:10 INFO::Creating boxplot for categorical data, Site vs e6b0f68e8f6db48ea780944a44ac99a1
2021-08-13 05:08:10 INFO::Creating boxplot for categorical data, Site vs X028e2c1b650e2e2b5847154a153e0166
2021-08-13 05:08:11 INFO::Creating boxplot for categorical data, Site vs X1355705d5f5537fdd6063e8aef08650d
2021-08-13 05:08:11 INFO::Creating boxplot for categorical data, Site vs eee9bab26577ab7978a3c7bb4a082922
2021-08-13 05:08:11 INFO::Creating boxplot for categorical data, Site vs X5167710b7280856d9e512a4f58068687
2021-08-13 05:08:11 INFO::Creating boxplot for categorical data, Site vs X17bccd87573679acdd1eda74fc49bde7
2021-08-13 05:08:11 INFO::Creating boxplot for categorical data, Site vs X178d4eb06bd14fca2d3c300f9f05e384
2021-08-13 05:08:11 INFO::Creating boxplot for categorical data, Site vs fbbeae3dceada6928b2cdc472f5d9901
2021-08-13 05:08:11 INFO::Creating boxplot for categorical data, Site vs X44585e66f2af08e85803b2e5689b1eeb
2021-08-13 05:08:11 INFO::Creating boxplot for categorical data, Site vs fe74cb6ed6d5951071824943319e1724
2021-08-13 05:08:11 INFO::Creating boxplot for categorical data, Site vs X78efb9db740a56e0b2bc4d4778d4d3fc
2021-08-13 05:08:11 INFO::Creating boxplot for categorical data, Site vs X7f2a284a722c1b4a8d548cf5635d9d6e
2021-08-13 05:08:12 INFO::Creating boxplot for categorical data, Site vs cb48af0355580e3a4cfe6d22f05b6b14
2021-08-13 05:08:12 INFO::Creating boxplot for categorical data, Site vs X397aa1ad0378774f826b9825c958427e
2021-08-13 05:08:12 INFO::Creating boxplot for categorical data, Site vs be50260bd56c9b191a9e0845fc908179
2021-08-13 05:08:12 INFO::Creating boxplot for categorical data, Site vs X332d720adc8e107df05b716fd88b601c
2021-08-13 05:08:12 INFO::Creating boxplot for categorical data, Site vs a93ecb34623d57ce5a83ac109551229b
2021-08-13 05:08:12 INFO::Creating boxplot for categorical data, Site vs X9558d82710beac18e454f983c9db7cca
2021-08-13 05:08:12 INFO::Creating boxplot for categorical data, Site vs X5e7454ae5bc6cea5edbfbe42b2d24477
2021-08-13 05:08:12 INFO::Creating boxplot for categorical data, Site vs X45a75b7a373e7061619148bdc0cd48fa
2021-08-13 05:08:12 INFO::Creating boxplot for categorical data, Site vs X0758746de870fac931a39b11205ea4f6
2021-08-13 05:08:12 INFO::Creating boxplot for categorical data, Site vs X9ff8565480eb4d1ae1feec02a0dfce35
2021-08-13 05:08:13 INFO::Creating boxplot for categorical data, Site vs X762fd96b2d1336974fba68fedd33fefa
2021-08-13 05:08:13 INFO::Creating boxplot for categorical data, Site vs eee9bab26577ab7978a3c7bb4a082922
2021-08-13 05:08:13 INFO::Creating boxplot for categorical data, Site vs X84a1034f71767fa92491aebf1bdf7fdc
2021-08-13 05:08:13 INFO::Creating boxplot for categorical data, Site vs X5880c5d1b7cc98fab46a044a247525a2
2021-08-13 05:08:13 INFO::Creating boxplot for categorical data, Site vs fbbeae3dceada6928b2cdc472f5d9901
2021-08-13 05:08:13 INFO::Creating boxplot for categorical data, Site vs X76d6be90e19a660c9a84b35fa31d801c
2021-08-13 05:08:13 INFO::Creating boxplot for categorical data, Site vs fd127481a7a3b20d6d476f8d15c8b746
2021-08-13 05:08:13 INFO::Creating boxplot for categorical data, Site vs X80f2643f29f72653e1dcb14d6a129d8b
2021-08-13 05:08:13 INFO::Creating boxplot for categorical data, Site vs X5b74065cc4963be8f6447b2c9ffcbc87
2021-08-13 05:08:13 INFO::Creating boxplot for categorical data, Site vs X25dbbc91dd4c739873039ece738737a5
2021-08-13 05:08:14 INFO::Creating boxplot for categorical data, Site vs b92f84c206887ecd667f142dd3606ac3
2021-08-13 05:08:14 INFO::Creating boxplot for categorical data, Site vs X1ab3b71e73441e341b02e15407e5b9e5
2021-08-13 05:08:14 INFO::Creating boxplot for categorical data, Site vs X9e39af3708ad41aca6e8d5ab47b4efa2
2021-08-13 05:08:14 INFO::Creating boxplot for categorical data, Site vs a92e897782ca8cc6b9da539cb6a4176f
2021-08-13 05:08:14 INFO::Creating boxplot for categorical data, Site vs e16b103da2aa64c71cfe99afc4405912
2021-08-13 05:08:14 INFO::Creating boxplot for categorical data, Site vs X2e11ee45d4ccab0775222da825d3bd42
2021-08-13 05:08:14 INFO::Creating boxplot for categorical data, Site vs X6d5171bbc6ef97262119e6d152d82164
2021-08-13 05:08:14 INFO::Creating boxplot for categorical data, Site vs X6f0b4058c92e83c77533a218739a0e38
2021-08-13 05:08:14 INFO::Creating boxplot for categorical data, Site vs X8064a19ea488e28609ef25daab20653e
2021-08-13 05:08:14 INFO::Creating boxplot for categorical data, Site vs X235c319ab46f87d377a28a34ba10bfa1
2021-08-13 05:08:15 INFO::Creating boxplot for categorical data, Site vs X435716953baae002e22a8d28e14c0aec
2021-08-13 05:08:15 INFO::Creating boxplot for categorical data, Site vs X150d478c05efdb9ff36e5260c80c6f20
2021-08-13 05:08:15 INFO::Creating boxplot for categorical data, Site vs X0247032b5537cfe290e9fe3067f9257e
2021-08-13 05:08:15 INFO::Creating boxplot for categorical data, Site vs X108627a3879bcb1138b2c54c39e9f4a1
2021-08-13 05:08:15 INFO::Creating boxplot for categorical data, Site vs X0daddf1b0a2e7ae6c3add7261ca7b510
2021-08-13 05:08:15 INFO::Creating boxplot for categorical data, Site vs d33d037914391243a664e78b0865819d
2021-08-13 05:08:15 INFO::Creating boxplot for categorical data, Site vs e10905e9870f08c9b02a8165eab1723e
2021-08-13 05:08:15 INFO::Creating boxplot for categorical data, Site vs e10905e9870f08c9b02a8165eab1723e
2021-08-13 05:08:15 INFO::Creating boxplot for categorical data, Site vs X2721883a2b4af04bdb995e3e78d70426
2021-08-13 05:08:15 INFO::Creating boxplot for categorical data, Site vs X55b5e18dcec6eaff69b53b2c4cbb0a16
2021-08-13 05:08:15 INFO::Creating boxplot for categorical data, Site vs b5c61551098444f976845a271dd33f4f
2021-08-13 05:08:16 INFO::Creating boxplot for categorical data, Site vs a2afdab2db82e62d5de07d2f29111f10
2021-08-13 05:08:16 INFO::Creating boxplot for categorical data, Site vs X028e2c1b650e2e2b5847154a153e0166
2021-08-13 05:08:16 INFO::Creating boxplot for categorical data, Site vs X869038dbbe0844710dfe8cda1f4c41fd
2021-08-13 05:08:16 INFO::Creating boxplot for categorical data, Site vs X8064a19ea488e28609ef25daab20653e
2021-08-13 05:08:16 INFO::Creating boxplot for categorical data, Site vs e8ed0e081283c5963ce9860944f651c6
2021-08-13 05:08:16 INFO::Creating boxplot for categorical data, Site vs X759abfc82a4b189214d7e148d4aef180
2021-08-13 05:08:16 INFO::Creating boxplot for categorical data, Site vs dcd0c235615b718f89bb8cc76b5a627f
2021-08-13 05:08:16 INFO::Creating boxplot for categorical data, Site vs X5fc2d4103e27f399113f1fc7c954ef66
2021-08-13 05:08:16 INFO::Creating boxplot for categorical data, Site vs X2dca81caa7e1886c0bd386ff62108db9
2021-08-13 05:08:16 INFO::Creating boxplot for categorical data, Site vs c42634f8d1aad4956aa9638465e86565
2021-08-13 05:08:17 INFO::Creating boxplot for categorical data, Site vs X49ca472812887fdafb9786d9995aa406
2021-08-13 05:08:17 INFO::Creating boxplot for categorical data, Site vs X65553cd263bb61cf36d1a75d750952f3
2021-08-13 05:08:17 INFO::Creating boxplot for categorical data, Site vs ce374e4ecf9d37933b614c569ea2250e
2021-08-13 05:08:17 INFO::Creating boxplot for categorical data, Site vs e895ba3e92642f6c374d12d4ba87bf0a
2021-08-13 05:08:17 INFO::Creating boxplot for categorical data, Site vs X598a513a3552c092cd8b71a429c45ab1
2021-08-13 05:08:17 INFO::Creating boxplot for categorical data, Site vs eca7ea65dbc52bdbc9ade7f98e109a1e
2021-08-13 05:08:17 INFO::Creating boxplot for categorical data, Site vs X184d1c27d9866996ffbca04cfad3ded3
2021-08-13 05:08:17 INFO::Creating boxplot for categorical data, Site vs X7f2a284a722c1b4a8d548cf5635d9d6e
2021-08-13 05:08:17 INFO::Creating boxplot for categorical data, Site vs X2dca81caa7e1886c0bd386ff62108db9
2021-08-13 05:08:17 INFO::Creating boxplot for categorical data, Site vs X818cea4720b8bc475ccdf73579b06278
2021-08-13 05:08:18 INFO::Creating boxplot for categorical data, Site vs X977eb5e61f5d9a0c3618c4f129859cd3
2021-08-13 05:08:18 INFO::Creating boxplot for categorical data, Site vs e78a270ccd8d01d326e840cd85e1c1e2
2021-08-13 05:08:18 INFO::Creating boxplot for categorical data, Site vs X3dc32de6cc2afb83c56da803d4ae8054
2021-08-13 05:08:18 INFO::Creating boxplot for categorical data, Site vs a2afdab2db82e62d5de07d2f29111f10
2021-08-13 05:08:18 INFO::Creating boxplot for categorical data, Site vs X0e1ed618e78c277a6e33fd639749410c
2021-08-13 05:08:18 INFO::Creating boxplot for categorical data, Site vs f5fb42e8863737981eb6e04a3de22e29
2021-08-13 05:08:18 INFO::Creating boxplot for categorical data, Site vs X1355705d5f5537fdd6063e8aef08650d
2021-08-13 05:08:18 INFO::Creating boxplot for categorical data, Site vs cc0efa1a2c7dca25dd6dc2dc55fe6697
2021-08-13 05:08:18 INFO::Creating boxplot for categorical data, Site vs X46864a6aa122ecb439eb59a3c0542ee6
2021-08-13 05:08:18 INFO::Creating boxplot for categorical data, Site vs ae7aa9c977dea18de5954b3f29c80278
2021-08-13 05:08:19 INFO::Creating boxplot for categorical data, Site vs bf0c4ab9e25d5cb0066ba56a34272e6a
2021-08-13 05:08:19 INFO::Creating boxplot for categorical data, Site vs f5fb42e8863737981eb6e04a3de22e29
2021-08-13 05:08:19 INFO::Creating boxplot for categorical data, Site vs a5641950b2a3a47827849d91242f0ead
2021-08-13 05:08:19 INFO::Creating boxplot for categorical data, Site vs X5b74065cc4963be8f6447b2c9ffcbc87
2021-08-13 05:08:19 INFO::Creating boxplot for categorical data, Site vs f5bf4e20e8a4c371b702c2cf491f56e8
2021-08-13 05:08:19 INFO::Creating boxplot for categorical data, Site vs X978c4b2965a576a78cac987d12c9e0a0
