NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
AMINO SUGAR AND NUCLEOTIDE SUGAR METABOLISM	AMINO SUGAR AND NUCLEOTIDE SUGAR METABOLISM	Details ...	60	0.22297478	2.0523806	0.002016129	0.014955616	0.174	1340	tags=65%, list=43%, signal=112%	
BASE EXCISION REPAIR	BASE EXCISION REPAIR	Details ...	13	0.46307895	1.9883444	0.0	0.021929616	0.259	1196	tags=85%, list=38%, signal=137%	
"ALANINE, ASPARTATE AND GLUTAMATE METABOLISM"	"ALANINE, ASPARTATE AND GLUTAMATE METABOLISM"	Details ...	35	0.27913374	1.9737598	0.007920792	0.02268209	0.284	1184	tags=66%, list=38%, signal=105%	
PROTEIN EXPORT	PROTEIN EXPORT		18	0.37355766	1.9563973	0.007936508	0.024107493	0.309	917	tags=67%, list=29%, signal=94%	
LYSOSOME	LYSOSOME		8	0.56598675	1.9537512	0.005976096	0.023324758	0.312	187	tags=63%, list=6%, signal=66%	
CELL CYCLE - CAULOBACTER	CELL CYCLE - CAULOBACTER		13	0.456619	1.9499176	0.010288066	0.023051413	0.32	1216	tags=85%, list=39%, signal=138%	
CENTRAL CARBON METABOLISM IN CANCER	CENTRAL CARBON METABOLISM IN CANCER		8	0.54434055	1.8961972	0.012121212	0.029657539	0.408	1420	tags=100%, list=46%, signal=184%	
GLYCOLYSIS / GLUCONEOGENESIS	GLYCOLYSIS / GLUCONEOGENESIS		45	0.22864085	1.8132317	0.019880716	0.044327646	0.558	2062	tags=89%, list=66%, signal=260%	
LIPOPOLYSACCHARIDE BIOSYNTHESIS	LIPOPOLYSACCHARIDE BIOSYNTHESIS		22	0.3110257	1.7768279	0.010729614	0.051456425	0.635	876	tags=59%, list=28%, signal=82%	
OTHER GLYCAN DEGRADATION	OTHER GLYCAN DEGRADATION		9	0.4768459	1.7289685	0.022821577	0.06342549	0.726	248	tags=56%, list=8%, signal=60%	
FATTY ACID BIOSYNTHESIS	FATTY ACID BIOSYNTHESIS		14	0.38511425	1.7186154	0.034136545	0.06377418	0.74	1694	tags=93%, list=54%, signal=203%	
BIOTIN METABOLISM	BIOTIN METABOLISM		11	0.41554672	1.6922551	0.033797216	0.07070606	0.782	1538	tags=91%, list=49%, signal=179%	
RNA POLYMERASE	RNA POLYMERASE		5	0.58447164	1.6802053	0.023060797	0.072989166	0.804	672	tags=80%, list=22%, signal=102%	
DRUG METABOLISM - OTHER ENZYMES	DRUG METABOLISM - OTHER ENZYMES		9	0.45634407	1.6490797	0.03515625	0.082895264	0.847	657	tags=67%, list=21%, signal=84%	
RNA DEGRADATION	RNA DEGRADATION		16	0.3291505	1.5828749	0.04389313	0.1085955	0.909	1507	tags=81%, list=48%, signal=157%	
STAPHYLOCOCCUS AUREUS INFECTION	STAPHYLOCOCCUS AUREUS INFECTION		6	0.5301322	1.5779747	0.04296875	0.10770877	0.913	1463	tags=100%, list=47%, signal=189%	
PYRUVATE METABOLISM	PYRUVATE METABOLISM		52	0.18177703	1.5600573	0.057377048	0.11480983	0.933	2074	tags=85%, list=67%, signal=250%	
D-GLUTAMINE AND D-GLUTAMATE METABOLISM	D-GLUTAMINE AND D-GLUTAMATE METABOLISM		5	0.5619201	1.5365257	0.046783626	0.123820595	0.959	742	tags=80%, list=24%, signal=105%	
HIF-1 SIGNALING PATHWAY	HIF-1 SIGNALING PATHWAY		5	0.5438145	1.5268166	0.064257026	0.12536365	0.961	1420	tags=100%, list=46%, signal=184%	
HISTIDINE METABOLISM	HISTIDINE METABOLISM		19	0.2896781	1.5158103	0.047916666	0.12841178	0.965	1722	tags=84%, list=55%, signal=188%	
VITAMIN B6 METABOLISM	VITAMIN B6 METABOLISM		9	0.39709675	1.4637724	0.07321773	0.15748107	0.985	1877	tags=100%, list=60%, signal=252%	
CYANOAMINO ACID METABOLISM	CYANOAMINO ACID METABOLISM		7	0.43773606	1.4079334	0.10950413	0.19404459	0.996	1306	tags=86%, list=42%, signal=147%	
CARBON METABOLISM	CARBON METABOLISM		126	0.1092913	1.3987962	0.0989899	0.19661814	0.998	1795	tags=68%, list=58%, signal=155%	
GLYCEROPHOSPHOLIPID METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM		24	0.24058618	1.3898667	0.11623246	0.19956227	0.999	1459	tags=71%, list=47%, signal=132%	
GALACTOSE METABOLISM	GALACTOSE METABOLISM		38	0.189909	1.3835604	0.119140625	0.19998588	0.999	1543	tags=68%, list=50%, signal=134%	
"GLYCINE, SERINE AND THREONINE METABOLISM"	"GLYCINE, SERINE AND THREONINE METABOLISM"		34	0.19809659	1.3832059	0.106299214	0.19573647	0.999	1493	tags=68%, list=48%, signal=129%	
GLYCEROLIPID METABOLISM	GLYCEROLIPID METABOLISM		19	0.259053	1.3517914	0.13608247	0.21862261	1.0	1653	tags=79%, list=53%, signal=168%	
D-ALANINE METABOLISM	D-ALANINE METABOLISM		5	0.48717785	1.3509285	0.13765182	0.2145433	1.0	974	tags=80%, list=31%, signal=116%	
VANCOMYCIN RESISTANCE	VANCOMYCIN RESISTANCE		7	0.40158427	1.346684	0.13840155	0.21314055	1.0	974	tags=71%, list=31%, signal=104%	
PENTOSE PHOSPHATE PATHWAY	PENTOSE PHOSPHATE PATHWAY		31	0.19803388	1.3209558	0.12684989	0.22983322	1.0	1997	tags=84%, list=64%, signal=232%	
BETA-LACTAM RESISTANCE	BETA-LACTAM RESISTANCE		14	0.2899377	1.3158982	0.15564202	0.22928204	1.0	212	tags=36%, list=7%, signal=38%	
UBIQUINONE AND OTHER TERPENOID-QUINONE BIOSYNTHESIS	UBIQUINONE AND OTHER TERPENOID-QUINONE BIOSYNTHESIS		17	0.25268245	1.2827165	0.18737672	0.2535938	1.0	315	tags=35%, list=10%, signal=39%	
"VALINE, LEUCINE AND ISOLEUCINE DEGRADATION"	"VALINE, LEUCINE AND ISOLEUCINE DEGRADATION"		14	0.27198246	1.2457918	0.19215687	0.2849486	1.0	1600	tags=79%, list=51%, signal=161%	
TAURINE AND HYPOTAURINE METABOLISM	TAURINE AND HYPOTAURINE METABOLISM		7	0.3767616	1.225986	0.20696722	0.30089	1.0	1051	tags=71%, list=34%, signal=108%	
CARBON FIXATION IN PHOTOSYNTHETIC ORGANISMS	CARBON FIXATION IN PHOTOSYNTHETIC ORGANISMS		19	0.2265713	1.1899073	0.24015749	0.33427694	1.0	1917	tags=84%, list=62%, signal=218%	
THIAMINE METABOLISM	THIAMINE METABOLISM		13	0.2677152	1.1640238	0.2411215	0.35824114	1.0	2040	tags=92%, list=66%, signal=267%	
SPHINGOLIPID METABOLISM	SPHINGOLIPID METABOLISM		7	0.34926778	1.1537079	0.25387597	0.3628218	1.0	248	tags=43%, list=8%, signal=46%	
PHOSPHONATE AND PHOSPHINATE METABOLISM	PHOSPHONATE AND PHOSPHINATE METABOLISM		11	0.27751043	1.1334742	0.2741021	0.38148433	1.0	1683	tags=82%, list=54%, signal=178%	
FATTY ACID METABOLISM	FATTY ACID METABOLISM		17	0.22072141	1.0979298	0.33855185	0.4197711	1.0	1694	tags=76%, list=54%, signal=167%	
PANTOTHENATE AND COA BIOSYNTHESIS	PANTOTHENATE AND COA BIOSYNTHESIS		18	0.21370287	1.0950719	0.3223684	0.4158441	1.0	2102	tags=89%, list=68%, signal=273%	
CHLOROALKANE AND CHLOROALKENE DEGRADATION	CHLOROALKANE AND CHLOROALKENE DEGRADATION		10	0.26689258	1.0394373	0.36960986	0.4831689	1.0	1970	tags=90%, list=63%, signal=245%	
INSULIN SIGNALING PATHWAY	INSULIN SIGNALING PATHWAY		5	0.3718428	1.0367955	0.4	0.47955793	1.0	1332	tags=80%, list=43%, signal=140%	
NICOTINATE AND NICOTINAMIDE METABOLISM	NICOTINATE AND NICOTINAMIDE METABOLISM		22	0.1854257	1.0310001	0.4	0.47954208	1.0	1829	tags=77%, list=59%, signal=186%	
CARBON FIXATION PATHWAYS IN PROKARYOTES	CARBON FIXATION PATHWAYS IN PROKARYOTES		53	0.11616493	1.00382	0.45052633	0.51093924	1.0	2753	tags=100%, list=89%, signal=858%	
FRUCTOSE AND MANNOSE METABOLISM	FRUCTOSE AND MANNOSE METABOLISM		44	0.11867866	0.9240883	0.5091278	0.6217692	1.0	1967	tags=75%, list=63%, signal=201%	
TYROSINE METABOLISM	TYROSINE METABOLISM		14	0.19639973	0.898363	0.5885827	0.6521259	1.0	2056	tags=86%, list=66%, signal=252%	
DEGRADATION OF AROMATIC COMPOUNDS	DEGRADATION OF AROMATIC COMPOUNDS		8	0.24165593	0.8378594	0.6334012	0.74037886	1.0	1970	tags=88%, list=63%, signal=238%	
"TROPANE, PIPERIDINE AND PYRIDINE ALKALOID BIOSYNTHESIS"	"TROPANE, PIPERIDINE AND PYRIDINE ALKALOID BIOSYNTHESIS"		7	0.25158885	0.83457893	0.68154156	0.73439705	1.0	551	tags=43%, list=18%, signal=52%	
PROPANOATE METABOLISM	PROPANOATE METABOLISM		39	0.112653494	0.8345268	0.6750524	0.72348136	1.0	2523	tags=92%, list=81%, signal=484%	
CITRATE CYCLE (TCA CYCLE)	CITRATE CYCLE (TCA CYCLE)		37	0.11555989	0.83349615	0.72121215	0.71435654	1.0	2753	tags=100%, list=89%, signal=863%	
VIBRIO CHOLERAE PATHOGENIC CYCLE	VIBRIO CHOLERAE PATHOGENIC CYCLE		5	0.2958763	0.8092497	0.67474747	0.7413866	1.0	946	tags=60%, list=30%, signal=86%	
CYSTEINE AND METHIONINE METABOLISM	CYSTEINE AND METHIONINE METABOLISM		39	0.111851685	0.80316424	0.7099391	0.7399347	1.0	1808	tags=69%, list=58%, signal=163%	
NOVOBIOCIN BIOSYNTHESIS	NOVOBIOCIN BIOSYNTHESIS		7	0.23533212	0.7672646	0.7613636	0.7801349	1.0	2378	tags=100%, list=76%, signal=424%	
FATTY ACID DEGRADATION	FATTY ACID DEGRADATION		11	0.18487003	0.7427218	0.7830375	0.802384	1.0	1970	tags=82%, list=63%, signal=223%	
STARCH AND SUCROSE METABOLISM	STARCH AND SUCROSE METABOLISM		45	0.0849797	0.6752402	0.8685259	0.87155575	1.0	2364	tags=84%, list=76%, signal=347%	
