feature,Enzyme_name,Description,Pathway_ID,Pathway_Name,L2 (Superpathway)
K00003,E1.1.1.3,homoserine dehydrogenase [EC:1.1.1.3],ko00260,"Glycine, serine and threonine metabolism",Amino Acid Metabolism
K00003,E1.1.1.3,homoserine dehydrogenase [EC:1.1.1.3],ko00270,Cysteine and methionine metabolism,Amino Acid Metabolism
K00003,E1.1.1.3,homoserine dehydrogenase [EC:1.1.1.3],ko00300,Lysine biosynthesis,Amino Acid Metabolism
K00003,E1.1.1.3,homoserine dehydrogenase [EC:1.1.1.3],ko01230,Biosynthesis of amino acids,#N/A
K00004,"BDH, butB","(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]",ko00650,Butanoate metabolism,Carbohydrate Metabolism
K00005,gldA,glycerol dehydrogenase [EC:1.1.1.6],ko00561,Glycerolipid metabolism,Lipid Metabolism
K00005,gldA,glycerol dehydrogenase [EC:1.1.1.6],ko00640,Propanoate metabolism,Carbohydrate Metabolism
K00007,dalD,D-arabinitol 4-dehydrogenase [EC:1.1.1.11],ko00040,Pentose and glucuronate interconversions,Carbohydrate Metabolism
K00007,dalD,D-arabinitol 4-dehydrogenase [EC:1.1.1.11],ko00051,Fructose and mannose metabolism,Carbohydrate Metabolism
K00008,"SORD, gutB",L-iditol 2-dehydrogenase [EC:1.1.1.14],ko00040,Pentose and glucuronate interconversions,Carbohydrate Metabolism
K00008,"SORD, gutB",L-iditol 2-dehydrogenase [EC:1.1.1.14],ko00051,Fructose and mannose metabolism,Carbohydrate Metabolism
K00009,mtlD,mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17],ko00051,Fructose and mannose metabolism,Carbohydrate Metabolism
K00010,iolG,myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369],ko00521,Streptomycin biosynthesis,Biosynthesis of Other Secondary Metabolites
K00010,iolG,myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369],ko00562,Inositol phosphate metabolism,Carbohydrate Metabolism
K00011,"E1.1.1.21, AKR1",aldehyde reductase [EC:1.1.1.21],ko00040,Pentose and glucuronate interconversions,Carbohydrate Metabolism
K00011,"E1.1.1.21, AKR1",aldehyde reductase [EC:1.1.1.21],ko00051,Fructose and mannose metabolism,Carbohydrate Metabolism
K00011,"E1.1.1.21, AKR1",aldehyde reductase [EC:1.1.1.21],ko00052,Galactose metabolism,Carbohydrate Metabolism
K00011,"E1.1.1.21, AKR1",aldehyde reductase [EC:1.1.1.21],ko00561,Glycerolipid metabolism,Lipid Metabolism
K00012,"UGDH, ugd",UDPglucose 6-dehydrogenase [EC:1.1.1.22],ko00040,Pentose and glucuronate interconversions,Carbohydrate Metabolism
K00012,"UGDH, ugd",UDPglucose 6-dehydrogenase [EC:1.1.1.22],ko00053,Ascorbate and aldarate metabolism,Carbohydrate Metabolism
K00012,"UGDH, ugd",UDPglucose 6-dehydrogenase [EC:1.1.1.22],ko00500,Starch and sucrose metabolism,Carbohydrate Metabolism
K00012,"UGDH, ugd",UDPglucose 6-dehydrogenase [EC:1.1.1.22],ko00520,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism
K00013,hisD,histidinol dehydrogenase [EC:1.1.1.23],ko00340,Histidine metabolism,Amino Acid Metabolism
K00013,hisD,histidinol dehydrogenase [EC:1.1.1.23],ko01230,Biosynthesis of amino acids,#N/A
K00014,aroE,shikimate dehydrogenase [EC:1.1.1.25],ko00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino Acid Metabolism
K00014,aroE,shikimate dehydrogenase [EC:1.1.1.25],ko01230,Biosynthesis of amino acids,#N/A
K00015,gyaR,glyoxylate reductase [EC:1.1.1.26],ko00630,Glyoxylate and dicarboxylate metabolism,Carbohydrate Metabolism
K00016,"LDH, ldh",L-lactate dehydrogenase [EC:1.1.1.27],ko00010,Glycolysis / Gluconeogenesis,Carbohydrate Metabolism
K00016,"LDH, ldh",L-lactate dehydrogenase [EC:1.1.1.27],ko00270,Cysteine and methionine metabolism,Amino Acid Metabolism
K00016,"LDH, ldh",L-lactate dehydrogenase [EC:1.1.1.27],ko00620,Pyruvate metabolism,Carbohydrate Metabolism
K00016,"LDH, ldh",L-lactate dehydrogenase [EC:1.1.1.27],ko00640,Propanoate metabolism,Carbohydrate Metabolism
K00018,hprA,glycerate dehydrogenase [EC:1.1.1.29],ko00260,"Glycine, serine and threonine metabolism",Amino Acid Metabolism
K00018,hprA,glycerate dehydrogenase [EC:1.1.1.29],ko00630,Glyoxylate and dicarboxylate metabolism,Carbohydrate Metabolism
K00018,hprA,glycerate dehydrogenase [EC:1.1.1.29],ko00680,Methane metabolism,Energy Metabolism
K00018,hprA,glycerate dehydrogenase [EC:1.1.1.29],ko01200,Carbon metabolism,#N/A
K00019,"E1.1.1.30, bdh",3-hydroxybutyrate dehydrogenase [EC:1.1.1.30],ko00072,Synthesis and degradation of ketone bodies,Lipid Metabolism
K00019,"E1.1.1.30, bdh",3-hydroxybutyrate dehydrogenase [EC:1.1.1.30],ko00650,Butanoate metabolism,Carbohydrate Metabolism
K00020,"E1.1.1.31, mmsB",3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31],ko00280,"Valine, leucine and isoleucine degradation",Amino Acid Metabolism
K00021,HMGCR,hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34],ko00900,Terpenoid backbone biosynthesis,Metabolism of Terpenoids and Polyketides
K00021,HMGCR,hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34],ko04152,AMPK signaling pathway,#N/A
K00021,HMGCR,hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34],ko04976,Bile secretion,Digestive System
K00022,HADH,3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],ko00062,Fatty acid elongation,Lipid Metabolism
K00022,HADH,3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],ko00071,Fatty acid degradation,Lipid Metabolism
K00022,HADH,3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],ko00280,"Valine, leucine and isoleucine degradation",Amino Acid Metabolism
K00022,HADH,3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],ko00281,Geraniol degradation,Metabolism of Terpenoids and Polyketides
K00022,HADH,3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],ko00310,Lysine degradation,Amino Acid Metabolism
K00022,HADH,3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],ko00380,Tryptophan metabolism,Amino Acid Metabolism
K00022,HADH,3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],ko00650,Butanoate metabolism,Carbohydrate Metabolism
K00022,HADH,3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],ko00930,Caprolactam degradation,Xenobiotics Biodegradation and Metabolism
K00022,HADH,3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],ko01212,Fatty acid metabolism,Lipid Metabolism
K00023,"E1.1.1.36, phbB",acetoacetyl-CoA reductase [EC:1.1.1.36],ko00630,Glyoxylate and dicarboxylate metabolism,Carbohydrate Metabolism
K00023,"E1.1.1.36, phbB",acetoacetyl-CoA reductase [EC:1.1.1.36],ko00650,Butanoate metabolism,Carbohydrate Metabolism
K00024,mdh,malate dehydrogenase [EC:1.1.1.37],ko00020,Citrate cycle (TCA cycle),Carbohydrate Metabolism
K00024,mdh,malate dehydrogenase [EC:1.1.1.37],ko00270,Cysteine and methionine metabolism,Amino Acid Metabolism
K00024,mdh,malate dehydrogenase [EC:1.1.1.37],ko00620,Pyruvate metabolism,Carbohydrate Metabolism
K00024,mdh,malate dehydrogenase [EC:1.1.1.37],ko00630,Glyoxylate and dicarboxylate metabolism,Carbohydrate Metabolism
K00024,mdh,malate dehydrogenase [EC:1.1.1.37],ko00680,Methane metabolism,Energy Metabolism
K00024,mdh,malate dehydrogenase [EC:1.1.1.37],ko00710,Carbon fixation in photosynthetic organisms,Energy Metabolism
K00024,mdh,malate dehydrogenase [EC:1.1.1.37],ko00720,Carbon fixation pathways in prokaryotes,Energy Metabolism
K00024,mdh,malate dehydrogenase [EC:1.1.1.37],ko01200,Carbon metabolism,#N/A
K00025,MDH1,malate dehydrogenase [EC:1.1.1.37],ko00020,Citrate cycle (TCA cycle),Carbohydrate Metabolism
K00025,MDH1,malate dehydrogenase [EC:1.1.1.37],ko00270,Cysteine and methionine metabolism,Amino Acid Metabolism
K00025,MDH1,malate dehydrogenase [EC:1.1.1.37],ko00620,Pyruvate metabolism,Carbohydrate Metabolism
K00025,MDH1,malate dehydrogenase [EC:1.1.1.37],ko00630,Glyoxylate and dicarboxylate metabolism,Carbohydrate Metabolism
K00025,MDH1,malate dehydrogenase [EC:1.1.1.37],ko00710,Carbon fixation in photosynthetic organisms,Energy Metabolism
K00025,MDH1,malate dehydrogenase [EC:1.1.1.37],ko01200,Carbon metabolism,#N/A
K00025,MDH1,malate dehydrogenase [EC:1.1.1.37],ko04964,Proximal tubule bicarbonate reclamation,Excretory System
K00026,MDH2,malate dehydrogenase [EC:1.1.1.37],ko00020,Citrate cycle (TCA cycle),Carbohydrate Metabolism
K00026,MDH2,malate dehydrogenase [EC:1.1.1.37],ko00270,Cysteine and methionine metabolism,Amino Acid Metabolism
K00026,MDH2,malate dehydrogenase [EC:1.1.1.37],ko00620,Pyruvate metabolism,Carbohydrate Metabolism
K00026,MDH2,malate dehydrogenase [EC:1.1.1.37],ko00630,Glyoxylate and dicarboxylate metabolism,Carbohydrate Metabolism
K00026,MDH2,malate dehydrogenase [EC:1.1.1.37],ko00710,Carbon fixation in photosynthetic organisms,Energy Metabolism
K00026,MDH2,malate dehydrogenase [EC:1.1.1.37],ko01200,Carbon metabolism,#N/A
K00027,"ME2, sfcA, maeA",malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38],ko00620,Pyruvate metabolism,Carbohydrate Metabolism
K00027,"ME2, sfcA, maeA",malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38],ko01200,Carbon metabolism,#N/A
K00027,"ME2, sfcA, maeA",malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38],ko02020,Two-component system,Signal Transduction
K00028,E1.1.1.39,malate dehydrogenase (decarboxylating) [EC:1.1.1.39],ko00620,Pyruvate metabolism,Carbohydrate Metabolism
K00028,E1.1.1.39,malate dehydrogenase (decarboxylating) [EC:1.1.1.39],ko00710,Carbon fixation in photosynthetic organisms,Energy Metabolism
K00028,E1.1.1.39,malate dehydrogenase (decarboxylating) [EC:1.1.1.39],ko01200,Carbon metabolism,#N/A
K00029,"E1.1.1.40, maeB",malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40],ko00620,Pyruvate metabolism,Carbohydrate Metabolism
K00029,"E1.1.1.40, maeB",malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40],ko00710,Carbon fixation in photosynthetic organisms,Energy Metabolism
K00029,"E1.1.1.40, maeB",malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40],ko01200,Carbon metabolism,#N/A
K00030,IDH3,isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],ko00020,Citrate cycle (TCA cycle),Carbohydrate Metabolism
K00030,IDH3,isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],ko01200,Carbon metabolism,#N/A
K00030,IDH3,isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],ko01210,2-Oxocarboxylic acid metabolism,#N/A
K00030,IDH3,isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],ko01230,Biosynthesis of amino acids,#N/A
K00031,"IDH1, IDH2, icd",isocitrate dehydrogenase [EC:1.1.1.42],ko00020,Citrate cycle (TCA cycle),Carbohydrate Metabolism
K00031,"IDH1, IDH2, icd",isocitrate dehydrogenase [EC:1.1.1.42],ko00480,Glutathione metabolism,Metabolism of Other Amino Acids
K00031,"IDH1, IDH2, icd",isocitrate dehydrogenase [EC:1.1.1.42],ko00720,Carbon fixation pathways in prokaryotes,Energy Metabolism
K00031,"IDH1, IDH2, icd",isocitrate dehydrogenase [EC:1.1.1.42],ko01200,Carbon metabolism,#N/A
K00031,"IDH1, IDH2, icd",isocitrate dehydrogenase [EC:1.1.1.42],ko01210,2-Oxocarboxylic acid metabolism,#N/A
K00031,"IDH1, IDH2, icd",isocitrate dehydrogenase [EC:1.1.1.42],ko01230,Biosynthesis of amino acids,#N/A
K00031,"IDH1, IDH2, icd",isocitrate dehydrogenase [EC:1.1.1.42],ko04146,Peroxisome,Transport and Catabolism
K00032,E1.1.1.43,phosphogluconate 2-dehydrogenase [EC:1.1.1.43],ko00030,Pentose phosphate pathway,Carbohydrate Metabolism
K00032,E1.1.1.43,phosphogluconate 2-dehydrogenase [EC:1.1.1.43],ko00480,Glutathione metabolism,Metabolism of Other Amino Acids
K00033,"PGD, gnd",6-phosphogluconate dehydrogenase [EC:1.1.1.44],ko00030,Pentose phosphate pathway,Carbohydrate Metabolism
K00033,"PGD, gnd",6-phosphogluconate dehydrogenase [EC:1.1.1.44],ko00480,Glutathione metabolism,Metabolism of Other Amino Acids
K00033,"PGD, gnd",6-phosphogluconate dehydrogenase [EC:1.1.1.44],ko01200,Carbon metabolism,#N/A
K00034,gdh,glucose 1-dehydrogenase [EC:1.1.1.47],ko00030,Pentose phosphate pathway,Carbohydrate Metabolism
K00034,gdh,glucose 1-dehydrogenase [EC:1.1.1.47],ko01200,Carbon metabolism,#N/A
K00035,gal,D-galactose 1-dehydrogenase [EC:1.1.1.48],ko00052,Galactose metabolism,Carbohydrate Metabolism
K00036,"G6PD, zwf",glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49],ko00030,Pentose phosphate pathway,Carbohydrate Metabolism
K00036,"G6PD, zwf",glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49],ko00480,Glutathione metabolism,Metabolism of Other Amino Acids
K00036,"G6PD, zwf",glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49],ko01200,Carbon metabolism,#N/A
K00036,"G6PD, zwf",glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49],ko05230,Central carbon metabolism in cancer,#N/A
K00037,E1.1.1.50,3-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.50],ko00120,Primary bile acid biosynthesis,Lipid Metabolism
K00037,E1.1.1.50,3-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.50],ko00140,Steroid hormone biosynthesis,Lipid Metabolism
K00038,E1.1.1.53,3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53],ko00140,Steroid hormone biosynthesis,Lipid Metabolism
K00039,rbtD,ribitol 2-dehydrogenase [EC:1.1.1.56],ko00040,Pentose and glucuronate interconversions,Carbohydrate Metabolism
K00040,uxuB,fructuronate reductase [EC:1.1.1.57],ko00040,Pentose and glucuronate interconversions,Carbohydrate Metabolism
K00041,uxaB,tagaturonate reductase [EC:1.1.1.58],ko00040,Pentose and glucuronate interconversions,Carbohydrate Metabolism
K00042,"E1.1.1.60, garR",2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60],ko00630,Glyoxylate and dicarboxylate metabolism,Carbohydrate Metabolism
K00043,gbd,4-hydroxybutyrate dehydrogenase [EC:1.1.1.61],ko00650,Butanoate metabolism,Carbohydrate Metabolism
K00043,gbd,4-hydroxybutyrate dehydrogenase [EC:1.1.1.61],ko01200,Carbon metabolism,#N/A
K00044,HSD17B1,17beta-estradiol 17-dehydrogenase [EC:1.1.1.62],ko00140,Steroid hormone biosynthesis,Lipid Metabolism
K00044,HSD17B1,17beta-estradiol 17-dehydrogenase [EC:1.1.1.62],ko04913,Ovarian steroidogenesis,#N/A
K00045,"E1.1.1.67, mtlK",mannitol 2-dehydrogenase [EC:1.1.1.67],ko00051,Fructose and mannose metabolism,Carbohydrate Metabolism
K00048,fucO,lactaldehyde reductase [EC:1.1.1.77],ko00630,Glyoxylate and dicarboxylate metabolism,Carbohydrate Metabolism
K00048,fucO,lactaldehyde reductase [EC:1.1.1.77],ko00640,Propanoate metabolism,Carbohydrate Metabolism
K00049,GRHPR,glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81],ko00260,"Glycine, serine and threonine metabolism",Amino Acid Metabolism
K00049,GRHPR,glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81],ko00620,Pyruvate metabolism,Carbohydrate Metabolism
K00049,GRHPR,glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81],ko00630,Glyoxylate and dicarboxylate metabolism,Carbohydrate Metabolism
K00050,ttuD,hydroxypyruvate reductase [EC:1.1.1.81],ko00260,"Glycine, serine and threonine metabolism",Amino Acid Metabolism
K00050,ttuD,hydroxypyruvate reductase [EC:1.1.1.81],ko00630,Glyoxylate and dicarboxylate metabolism,Carbohydrate Metabolism
K00051,E1.1.1.82,malate dehydrogenase (NADP+) [EC:1.1.1.82],ko00620,Pyruvate metabolism,Carbohydrate Metabolism
K00051,E1.1.1.82,malate dehydrogenase (NADP+) [EC:1.1.1.82],ko00710,Carbon fixation in photosynthetic organisms,Energy Metabolism
K00051,E1.1.1.82,malate dehydrogenase (NADP+) [EC:1.1.1.82],ko01200,Carbon metabolism,#N/A
K00052,leuB,3-isopropylmalate dehydrogenase [EC:1.1.1.85],ko00290,"Valine, leucine and isoleucine biosynthesis",Amino Acid Metabolism
K00052,leuB,3-isopropylmalate dehydrogenase [EC:1.1.1.85],ko00660,C5-Branched dibasic acid metabolism,Carbohydrate Metabolism
K00052,leuB,3-isopropylmalate dehydrogenase [EC:1.1.1.85],ko01210,2-Oxocarboxylic acid metabolism,#N/A
K00052,leuB,3-isopropylmalate dehydrogenase [EC:1.1.1.85],ko01230,Biosynthesis of amino acids,#N/A
K00053,ilvC,ketol-acid reductoisomerase [EC:1.1.1.86],ko00290,"Valine, leucine and isoleucine biosynthesis",Amino Acid Metabolism
K00053,ilvC,ketol-acid reductoisomerase [EC:1.1.1.86],ko00770,Pantothenate and CoA biosynthesis,Metabolism of Cofactors and Vitamins
K00053,ilvC,ketol-acid reductoisomerase [EC:1.1.1.86],ko01210,2-Oxocarboxylic acid metabolism,#N/A
K00053,ilvC,ketol-acid reductoisomerase [EC:1.1.1.86],ko01230,Biosynthesis of amino acids,#N/A
K00054,mvaA,hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88],ko00900,Terpenoid backbone biosynthesis,Metabolism of Terpenoids and Polyketides
K00055,E1.1.1.90,aryl-alcohol dehydrogenase [EC:1.1.1.90],ko00350,Tyrosine metabolism,Amino Acid Metabolism
K00055,E1.1.1.90,aryl-alcohol dehydrogenase [EC:1.1.1.90],ko00360,Phenylalanine metabolism,Amino Acid Metabolism
K00055,E1.1.1.90,aryl-alcohol dehydrogenase [EC:1.1.1.90],ko00622,Xylene degradation,Xenobiotics Biodegradation and Metabolism
K00055,E1.1.1.90,aryl-alcohol dehydrogenase [EC:1.1.1.90],ko00623,Toluene degradation,Xenobiotics Biodegradation and Metabolism
K00055,E1.1.1.90,aryl-alcohol dehydrogenase [EC:1.1.1.90],ko00930,Caprolactam degradation,Xenobiotics Biodegradation and Metabolism
K00055,E1.1.1.90,aryl-alcohol dehydrogenase [EC:1.1.1.90],ko01220,Degradation of aromatic compounds,#N/A
K00057,gpsA,glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94],ko00564,Glycerophospholipid metabolism,Lipid Metabolism
K00058,"serA, PHGDH",D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95],ko00260,"Glycine, serine and threonine metabolism",Amino Acid Metabolism
K00058,"serA, PHGDH",D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95],ko00680,Methane metabolism,Energy Metabolism
K00058,"serA, PHGDH",D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95],ko01200,Carbon metabolism,#N/A
K00058,"serA, PHGDH",D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95],ko01230,Biosynthesis of amino acids,#N/A
K00059,fabG,3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],ko00061,Fatty acid biosynthesis,Lipid Metabolism
K00059,fabG,3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],ko00780,Biotin metabolism,Metabolism of Cofactors and Vitamins
K00059,fabG,3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],ko01040,Biosynthesis of unsaturated fatty acids,Lipid Metabolism
K00059,fabG,3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],ko01212,Fatty acid metabolism,Lipid Metabolism
K00060,tdh,threonine 3-dehydrogenase [EC:1.1.1.103],ko00260,"Glycine, serine and threonine metabolism",Amino Acid Metabolism
K00064,E1.1.1.122,D-threo-aldose 1-dehydrogenase [EC:1.1.1.122],ko00051,Fructose and mannose metabolism,Carbohydrate Metabolism
K00064,E1.1.1.122,D-threo-aldose 1-dehydrogenase [EC:1.1.1.122],ko00053,Ascorbate and aldarate metabolism,Carbohydrate Metabolism
K00065,kduD,2-deoxy-D-gluconate 3-dehydrogenase [EC:1.1.1.125],ko00040,Pentose and glucuronate interconversions,Carbohydrate Metabolism
K00066,algD,GDP-mannose 6-dehydrogenase [EC:1.1.1.132],ko00051,Fructose and mannose metabolism,Carbohydrate Metabolism
K00066,algD,GDP-mannose 6-dehydrogenase [EC:1.1.1.132],ko00520,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism
K00066,algD,GDP-mannose 6-dehydrogenase [EC:1.1.1.132],ko02020,Two-component system,Signal Transduction
K00067,"rfbD, rmlD",dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133],ko00521,Streptomycin biosynthesis,Biosynthesis of Other Secondary Metabolites
K00067,"rfbD, rmlD",dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133],ko00523,Polyketide sugar unit biosynthesis,Metabolism of Terpenoids and Polyketides
K00068,srlD,sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140],ko00051,Fructose and mannose metabolism,Carbohydrate Metabolism
K00071,HSD11B2,corticosteroid 11-beta-dehydrogenase isozyme 2 [EC:1.1.1.-],ko00140,Steroid hormone biosynthesis,Lipid Metabolism
K00071,HSD11B2,corticosteroid 11-beta-dehydrogenase isozyme 2 [EC:1.1.1.-],ko04960,Aldosterone-regulated sodium reabsorption,Excretory System
K00073,allD,ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350],ko00230,Purine metabolism,Nucleotide Metabolism
K00074,"paaH, hbd, fadB, mmgB",3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157],ko00360,Phenylalanine metabolism,Amino Acid Metabolism
K00074,"paaH, hbd, fadB, mmgB",3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157],ko00362,Benzoate degradation,Xenobiotics Biodegradation and Metabolism
K00074,"paaH, hbd, fadB, mmgB",3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157],ko00650,Butanoate metabolism,Carbohydrate Metabolism
K00075,murB,UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98],ko00520,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism
K00075,murB,UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98],ko00550,Peptidoglycan biosynthesis,Glycan Biosynthesis and Metabolism
K00077,"panE, apbA",2-dehydropantoate 2-reductase [EC:1.1.1.169],ko00770,Pantothenate and CoA biosynthesis,Metabolism of Cofactors and Vitamins
K00078,DHDH,dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179],ko00040,Pentose and glucuronate interconversions,Carbohydrate Metabolism
K00078,DHDH,dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179],ko00980,Metabolism of xenobiotics by cytochrome P450,Xenobiotics Biodegradation and Metabolism
K00079,CBR1,carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197],ko00590,Arachidonic acid metabolism,Lipid Metabolism
K00079,CBR1,carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197],ko00980,Metabolism of xenobiotics by cytochrome P450,Xenobiotics Biodegradation and Metabolism
K00079,CBR1,carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197],ko05204,Chemical carcinogenesis,#N/A
K00082,ribD2,5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193],ko00740,Riboflavin metabolism,Metabolism of Cofactors and Vitamins
K00083,E1.1.1.195,cinnamyl-alcohol dehydrogenase [EC:1.1.1.195],ko00940,Phenylpropanoid biosynthesis,Biosynthesis of Other Secondary Metabolites
K00084,CBR3,carbonyl reductase 3 [EC:1.1.1.184],ko00590,Arachidonic acid metabolism,Lipid Metabolism
K00084,CBR3,carbonyl reductase 3 [EC:1.1.1.184],ko00980,Metabolism of xenobiotics by cytochrome P450,Xenobiotics Biodegradation and Metabolism
K00086,dhaT,"1,3-propanediol dehydrogenase [EC:1.1.1.202]",ko00561,Glycerolipid metabolism,Lipid Metabolism
K00086,dhaT,"1,3-propanediol dehydrogenase [EC:1.1.1.202]",ko00640,Propanoate metabolism,Carbohydrate Metabolism
K00087,"ygeS, xdhA",xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4],ko00230,Purine metabolism,Nucleotide Metabolism
K00088,guaB,IMP dehydrogenase [EC:1.1.1.205],ko00230,Purine metabolism,Nucleotide Metabolism
