OTU.ID	TL1a_DTT_268_Repeat	TL1a_DTT_269_Repeat	TL1a_DTT_127_Repeat	TL1a_DTT_157_Repeat	TL1a_DTT_130_Repeat	TL1a_DTT_196_Repeat	TL1a_DTT_90_Repeat	TL1a_DTT_198_Repeat	TL1a_DTT_88_Repeat	TL1a_DTT_89_Re_extracted	TL1a_DTT_197_Repeat	TL1a_DTT_270_Repeat	TL1a_DTT_284	TL1a_DTT_231	TL1a_DTT_267	TL1a_DTT_160	TL1a_DTT_234	TL1a_DTT_158	TL1a_DTT_129	TL1a_DTT_265	TL1a_DTT_285	TL1a_DTT_159	TL1a_DTT_287	TL1a_DTT_233	TL1a_DTT_195	TL1a_DTT_85	TL1a_DTT_86	TL1a_DTT_193	TL1a_DTT_286	TL1a_DTT_230	TL1a_DTT_128	TL1a_DTT_283	TL1a_DTT_194	TL1a_DTT_229	TL1a_DTT_87	TL1a_DTT_266	TL1a_DTT_232	TL1A_DTT_673	TL1A_DTT_675	TL1A_DTT_626	TL1A_DTT_629	TL1A_DTT_674	TL1A_DTT_627	TL1A_DTT_630	TL1A_DTT_628	taxonomy
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	82	0	16	5	0	0	29	30	0	387	19	0	0	0	0	0	0	0	0	41	37	0	0	2	0	2	0	0	0	0	0	89	0	2	0	0	34	17	0	0	0	0	0	2	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter	48	27	663	1134	109	51	294	475	294	370	67	372	1222	1008	1097	264	90	252	566	244	686	586	127	306	960	892	1006	202	205	1528	647	882	807	45	1806	528	17	21	104	98	0	261	296	75	159	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dielma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	4	0	0	3	0	0	6	2	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575	13	0	86	217	0	0	13	169	70	67	3	84	1757	27	307	62	98	39	62	93	596	132	54	75	39	136	241	40	113	17	36	318	54	59	275	122	0	21	29	5	4	12	134	0	5	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Clostridium] innocuum group	4	0	0	0	0	0	0	0	0	36	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	163	0	18	0	6	0	0	21	0	0	20	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia	3	0	140	2	4	0	43	0	76	16	0	0	0	262	0	0	330	0	245	0	0	0	10	111	10	153	70	1	0	77	169	0	44	36	359	3	53	7	0	13	1	0	3	6	17	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-001	310	292	11	0	0	0	0	0	0	38	0	3353	34320	0	12957	0	4	0	2	1336	577	0	373	0	1	0	0	0	27	0	9	358	0	40	0	3127	0	0	5	0	0	5	4	34	19	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__	0	0	0	0	0	0	0	0	0	0	0	23	0	13	0	4	7	0	0	0	0	0	0	0	0	6	11	0	3	4	0	0	0	18	44	3	0	4	0	3	27	0	5	11	6	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	811	0	150	39	330	0	364	131	685	53	4	505	2	0	22	158	22	15	43	9	26	222	0	0	0	229	22	0	5	0	266	26	0	0	96	0	17	4	4	4	0	0	1	0	33	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	2	0	0	0	0	2	0	0	7	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Candidatus Stoquefichus	12	0	0	11	5	0	0	0	0	28	0	44	0	33	0	22	22	0	0	0	0	9	0	0	0	0	0	13	0	0	0	0	0	506	0	30	0	13	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium	0	0	43	43	0	0	0	0	0	25	0	0	1	1	14	168	4	25	18	0	82	54	13	6	3	0	0	35	0	3	41	32	8	234	0	14	0	12	0	5	3	0	0	2	5	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Paludicola	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	3	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter	51	0	481	405	14	27	120	238	286	58	59	228	952	982	1082	65	111	48	812	375	422	181	36	109	1164	471	621	273	117	657	617	566	450	43	1301	525	13	8	166	106	0	192	599	22	59	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	0	0	0	14	0	0	0	0	0	135	0	0	0	6	0	13	3	0	0	0	0	12	0	0	0	0	0	79	0	0	0	0	0	357	0	85	0	40	0	0	0	0	0	16	20	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus	16	0	2	63	0	0	0	0	7	7	0	0	13	4	14	60	16	31	14	16	36	43	14	6	88	0	6	14	3	6	0	11	87	6	6	15	0	18	0	3	39	0	16	14	4	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	24	0	20	0	0	0	7	0	15	410	0	4	26	22	101	38	0	4	9	53	131	57	0	0	16	186	68	77	6	3	0	70	77	1173	185	402	0	547	30	62	3805	24	73	947	252	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium	350	31	334	588	608	62	107	317	228	577	63	854	2983	917	1866	405	753	381	517	862	1650	547	218	502	520	156	176	318	155	1021	464	1101	206	1622	492	1335	54	189	61	82	179	148	309	186	117	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-004	52	0	52	149	2	0	41	67	0	25	3	387	1143	322	622	104	14	151	89	170	584	346	48	61	174	51	63	52	35	397	6	175	57	18	49	323	8	3	21	18	0	22	40	12	23	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__	0	0	121	73	0	8	0	96	0	0	4	0	133	0	93	32	0	56	56	30	74	41	0	0	158	45	70	106	23	0	69	93	56	0	43	114	0	13	17	31	0	40	50	6	10	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas	23	1	324	565	21	8	22	212	27	18	0	222	751	321	725	117	45	123	574	190	449	281	30	23	578	149	172	190	94	313	656	315	243	35	891	210	7	5	41	31	0	68	40	14	34	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae Sedis	54	0	247	544	24	14	45	522	18	68	48	561	458	224	654	274	306	294	356	196	410	273	45	167	771	308	292	294	58	225	278	194	352	40	772	89	11	26	54	36	6	46	232	36	33	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor	20	15	635	189	0	0	0	0	0	2	0	189	1356	1456	489	62	9	81	1047	63	177	234	77	107	0	0	0	0	105	294	787	87	12	84	0	142	13	4	10	2	0	6	0	19	28	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella	0	0	10	135	0	0	43	0	0	0	0	7	0	0	0	263	0	25	0	48	0	226	0	0	0	51	6	16	0	0	0	0	0	4735	0	785	0	493	0	29	5740	4	23	1925	509	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella	0	0	0	0	0	0	0	0	0	105	0	6	0	21	0	0	64	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	30	0	12	0	17	0	0	0	0	0	9	0	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum	113	114	107	67	110	180	97	134	66	100	52	68	91	55	39	614	12	53	47	4	306	99	26	22	41	121	199	54	49	11	47	568	135	3	113	363	31	21	73	0	1	38	0	5	6	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter	27	0	402	211	16	0	9	103	0	2	10	41	50	0	210	80	0	17	313	65	77	105	80	0	18	197	98	19	98	0	269	140	16	47	367	43	0	29	95	72	100	56	151	66	68	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia	71	0	9	3	9	0	14	0	0	0	0	0	0	0	0	82	0	4	0	0	0	2	0	0	0	13	0	0	0	3	0	0	0	103	0	21	31	30	0	0	0	3	0	6	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family XIII UCG-001	0	0	45	0	0	0	0	0	0	0	0	0	140	238	82	0	1	0	48	0	60	0	52	7	0	0	0	3	5	132	67	98	14	48	0	72	1	13	9	17	4	12	193	2	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Candidatus Arthromitus	4680	6952	33	1060	12	11	9	79	1486	40	5	558	52	4	47	4	2	12	4	70	5309	88	4254	36	2	53	3	4	6765	6	8	35	5	17	77	8	2	28	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	7	0	0	15	0	0	13	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae ND3007 group	0	0	0	18	0	0	0	0	0	30	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella	489	18	0	7	0	0	50	0	19	34	0	225	1	0	16	50	0	4	0	0	0	37	0	0	0	0	0	6	0	0	0	0	0	1493	0	109	0	124	15	48	202	12	8	608	214	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	472	98	44	0	0	4820	0	397	0	290	533	0	25	1	0	0	1696	0	10	0	774	0	295	7108	1040	0	0	52	4174	207	18	1114	1171	0	0	0	71891	39	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum	4	78	21	0	0	0	0	0	0	12	0	47	64	43	14	3	0	0	12	0	384	12	5	0	1	38	4	3	7	2	11	179	2	0	36	57	2	5	4	35	0	6	20	0	20	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae UCG-001	0	0	0	0	0	0	48	33	0	29	0	0	0	6	0	0	1	0	0	0	0	0	0	7	0	315	193	0	3	48	0	0	11	0	212	18	1	10	9	44	0	6	28	6	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__	3	62	518	239	14	2	55	0	108	53	9	75	485	82	416	20	3	28	558	134	158	127	0	72	218	69	66	36	64	188	838	189	140	69	187	82	1	12	80	20	0	180	151	11	37	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae FCS020 group	23	0	153	311	20	7	12	296	8	28	86	133	1167	33	399	128	0	174	155	414	735	173	42	0	5226	45	32	1914	26	31	101	1200	1130	16	96	116	0	4	1	19	0	0	12	0	10	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	14	271	1431	484	28	11	134	0	30	362	0	193	252	456	1082	228	122	100	717	620	77	373	227	149	273	1896	926	260	618	786	556	606	441	418	3005	355	32	116	113	299	905	98	185	398	282	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	6	0	8	123	0	0	0	0	0	214	0	14	0	112	0	23	81	0	0	0	0	2	0	0	0	9	0	3	0	0	0	8	0	305	2	51	5	32	0	0	56	0	0	86	2	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia	55	1987	351	0	115	3	0	0	0	803	0	454	176	286	355	0	239	0	340	96	83	0	72	416	0	0	0	0	47	412	303	54	19	27	0	175	162	4	0	0	0	0	5	0	28	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__	97	0	8	26	13	0	14	54	175	17	24	45	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	11	24	0	0	0	5	0	0	0	0	0	6	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium] nodatum group	0	0	0	61	0	0	0	0	0	38	0	0	7	14	81	39	0	14	5	50	10	102	0	0	1	14	2	3	6	0	0	47	5	25	47	18	0	5	3	10	10	13	18	20	11	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010;g__	0	0	4	0	0	2	0	0	0	13	3	56	1	2	38	0	1	0	16	0	30	0	0	0	2	0	0	25	1	2	4	25	28	0	0	0	0	1	3	1	0	1	1	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Harryflintia	0	0	0	0	0	0	0	0	0	0	0	0	1	1	33	1	0	0	0	5	0	0	0	0	1	0	0	0	1	5	0	1	0	0	0	1	1	0	1	1	0	4	1	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus	0	0	0	65	0	13	0	7	0	4	0	0	55	30	32	27	2	31	0	9	65	22	0	0	35	0	0	3	6	18	0	75	23	0	0	2	1	0	4	6	0	0	28	0	4	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Alicyclobacillales;f__Alicyclobacillaceae;g__Tumebacillus	58	3	29	62	25	17	18	0	47	419	0	0	0	0	0	0	1	0	0	26	0	0	14	19	0	45	0	1	0	0	0	7	0	0	30	0	0	72	3	0	0	4	0	16	96	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium] brachy group	10	11	38	0	0	6	56	0	1	0	0	28	36	17	38	9	9	6	79	2	37	17	0	15	20	18	6	11	5	21	21	6	6	0	16	34	3	0	0	0	0	8	10	0	0	
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	467	420	3	5	0	0	328	0	123	604	14	369	26	1229	0	193	1329	10	3	20	25	94	18	24	17	318	205	418	2	0	0	6	14	4245	750	258	470	666	354	736	2594	353	1028	2135	472	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	12	0	1723	2766	148	24	425	0	369	672	61	272	6547	488	2370	3182	3	1286	1127	415	14100	4529	588	36	1461	9151	6458	2675	66	275	1089	8773	3672	54	11588	2069	1	116	215	163	0	175	34	0	43	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus] torques group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus	17	1	0	0	2	56	0	0	0	3	15	56	1	1	10	4	6	0	4	3	22	0	21	0	1	0	0	2	11	0	0	5	12	0	9	4	8	0	0	0	0	2	0	0	4	
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	27	0	12	0	0	12	0	0	0	28	0	0	1	7	0	7	1	0	3	0	49	0	34	8	0	9	0	1	40	0	0	52	11	0	18	43	28	0	0	3	0	0	2	0	13	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1819	0	0	0	0	0	0	0	0	0	95	0	5	0	8	0	0	2	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	11	81	0	12	0	0	0	0	31	0	2	12	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-003	0	0	0	0	0	0	0	0	0	18	0	0	13	177	20	0	1	0	7	14	12	0	0	5	0	0	0	0	11	66	9	9	8	0	0	6	2	3	26	28	0	20	73	5	16	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-005	0	0	55	0	0	0	0	0	0	26	0	6	0	98	60	0	1	0	46	65	0	0	0	39	0	192	109	0	6	86	37	0	6	16	321	35	3	0	9	0	0	27	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tuzzerella	0	0	157	87	0	3	0	0	32	34	0	37	272	72	120	55	0	33	81	2	237	53	36	10	26	6	8	40	16	13	88	132	30	203	21	109	0	59	8	33	0	25	80	14	13	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__Peptococcus	0	17	13	0	0	0	4	0	27	0	0	0	7	1	38	0	0	4	8	26	6	6	0	0	3	10	10	1	0	5	0	18	15	0	5	16	1	0	6	14	0	11	51	0	25	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium sensu stricto 1	76	78	26	0	402	0	0	0	0	23	0	427	0	6	84	3	205	0	44	0	6	0	0	106	7	64	0	0	7	3	11	0	7	0	0	0	96	0	0	0	1	0	0	16	0	
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	1532	78	0	89	0	6	14	0	0	23	0	1362	0	117	198	543	52	53	0	45	0	97	0	330	0	131	176	0	0	626	0	0	43	37	207	84	34	34	247	46	1	221	51	6	201	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-010	0	0	18	32	0	0	4	0	0	0	0	0	8	7	16	0	0	6	18	0	25	14	0	0	9	18	2	0	4	3	18	3	0	0	0	7	0	7	2	2	0	6	12	0	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus	6818	1002	170	100	5541	452	21	268	102	109	41	9698	52	35	1077	103	503	14	305	431	273	94	208	1887	67	294	66	169	345	27	244	616	221	6	291	72	608	4	3	5	0	7	2	10	25	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] xylanophilum group	3	0	0	345	0	8	0	0	0	92	21	265	702	0	670	162	0	39	0	195	542	419	129	0	257	0	0	83	845	0	0	1752	206	0	0	112	0	4	18	38	1	20	78	31	83	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania	30	0	0	0	0	0	0	0	0	33	0	16	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	14	2	0	0	0	4	0	0	8	4	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Sellimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	17	0	0	11	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor	0	0	0	0	0	0	0	0	0	27	0	0	0	16	0	0	8	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0	0	39	0	11	0	0	0	0	17	0	0	3	2	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-006	0	0	4	0	0	0	0	48	0	0	7	18	0	1	8	5	9	7	10	2	0	16	0	0	6	0	0	4	4	0	18	14	5	0	21	5	0	0	0	0	0	0	0	0	5	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella	0	0	0	0	0	0	24	0	6	0	0	0	0	1	0	0	1	0	0	0	0	0	15	20	0	96	106	0	0	15	0	0	0	0	227	0	0	0	20	14	1	22	46	18	23	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	3	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__UCG-009	0	0	44	56	0	4	0	0	0	0	0	0	182	32	105	29	7	19	33	14	250	65	32	0	67	87	35	21	7	37	0	127	25	0	97	29	0	8	9	12	0	39	50	7	22	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Cuneatibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	15	0	0	2	0	
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	1265	0	131	0	73	0	0	171	0	1	214	32	
