NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
BISPHENOL DEGRADATION	11		Rejected!	
BUTANOATE METABOLISM	67	36		
BUTIROSIN AND NEOMYCIN BIOSYNTHESIS	2		Rejected!	
C5-BRANCHED DIBASIC ACID METABOLISM	16	8		
CAFFEINE METABOLISM	3		Rejected!	
CALCIUM SIGNALING PATHWAY	9		Rejected!	
CAMP SIGNALING PATHWAY	6		Rejected!	
CAPROLACTAM DEGRADATION	11		Rejected!	
CARBAPENEM BIOSYNTHESIS	2		Rejected!	
CARBOHYDRATE DIGESTION AND ABSORPTION	5		Rejected!	
CARBON FIXATION IN PHOTOSYNTHETIC ORGANISMS	30	19		
CARBON FIXATION PATHWAYS IN PROKARYOTES	71	49		
CARBON METABOLISM	232	123		
CARDIAC MUSCLE CONTRACTION	7		Rejected!	
CAROTENOID BIOSYNTHESIS	26		Rejected!	
CELL CYCLE - CAULOBACTER	31	12		
CENTRAL CARBON METABOLISM IN CANCER	8	7		
CGMP-PKG SIGNALING PATHWAY	3		Rejected!	
CHAGAS DISEASE (AMERICAN TRYPANOSOMIASIS)	3		Rejected!	
CHEMICAL CARCINOGENESIS	8		Rejected!	
CHLOROALKANE AND CHLOROALKENE DEGRADATION	22	11		
CHLOROCYCLOHEXANE AND CHLOROBENZENE DEGRADATION	20		Rejected!	
CHOLINE METABOLISM IN CANCER	5		Rejected!	
CHOLINERGIC SYNAPSE	2		Rejected!	
CIRCADIAN ENTRAINMENT	5		Rejected!	
CITRATE CYCLE (TCA CYCLE)	45	39		
CLAVULANIC ACID BIOSYNTHESIS	2		Rejected!	
COCAINE ADDICTION	3		Rejected!	
COMPLEMENT AND COAGULATION CASCADES	3		Rejected!	
CYANOAMINO ACID METABOLISM	14	7		
CYSTEINE AND METHIONINE METABOLISM	60	37		
CYTOSOLIC DNA-SENSING PATHWAY	3		Rejected!	
D-ALANINE METABOLISM	5	5		
D-ARGININE AND D-ORNITHINE METABOLISM	2		Rejected!	
D-GLUTAMINE AND D-GLUTAMATE METABOLISM	6	5		
DDT DEGRADATION	4		Rejected!	
DEGRADATION OF AROMATIC COMPOUNDS	106	10		
DILATED CARDIOMYOPATHY	2		Rejected!	
DIOXIN DEGRADATION	10		Rejected!	
DNA REPLICATION	32	16		
DOPAMINERGIC SYNAPSE	7		Rejected!	
DRUG METABOLISM - CYTOCHROME P450	8		Rejected!	
DRUG METABOLISM - OTHER ENZYMES	19	10		
ECM-RECEPTOR INTERACTION	2		Rejected!	
ENDOCRINE AND OTHER FACTOR-REGULATED CALCIUM REABSORPTION	2		Rejected!	
ENDOCYTOSIS	2		Rejected!	
EPITHELIAL CELL SIGNALING IN HELICOBACTER PYLORI INFECTION	31		Rejected!	
EPSTEIN-BARR VIRUS INFECTION	10		Rejected!	
ESTROGEN SIGNALING PATHWAY	3		Rejected!	
ETHER LIPID METABOLISM	8		Rejected!	
ETHYLBENZENE DEGRADATION	8		Rejected!	
FANCONI ANEMIA PATHWAY	4		Rejected!	
FAT DIGESTION AND ABSORPTION	3		Rejected!	
FATTY ACID BIOSYNTHESIS	21	15		
FATTY ACID DEGRADATION	34	13		
FATTY ACID ELONGATION	5		Rejected!	
FATTY ACID METABOLISM	43	18		
FC GAMMA R-MEDIATED PHAGOCYTOSIS	5		Rejected!	
FLAGELLAR ASSEMBLY	41	34		
FLAVONOID BIOSYNTHESIS	3		Rejected!	
FLUOROBENZOATE DEGRADATION	13		Rejected!	
FOCAL ADHESION	3		Rejected!	
FOLATE BIOSYNTHESIS	29	22		
FOXO SIGNALING PATHWAY	5		Rejected!	
FRUCTOSE AND MANNOSE METABOLISM	71	43		
GABAERGIC SYNAPSE	5		Rejected!	
GALACTOSE METABOLISM	51	38		
GASTRIC ACID SECRETION	4		Rejected!	
GERANIOL DEGRADATION	16		Rejected!	
GLIOMA	2		Rejected!	
GLUTAMATERGIC SYNAPSE	3		Rejected!	
GLUTATHIONE METABOLISM	23	14		
GLYCEROLIPID METABOLISM	30	18		
GLYCEROPHOSPHOLIPID METABOLISM	49	25		
"GLYCINE, SERINE AND THREONINE METABOLISM"	71	34		
GLYCOLYSIS / GLUCONEOGENESIS	72	47		
GLYCOSAMINOGLYCAN BIOSYNTHESIS - CHONDROITIN SULFATE / DERMATAN SULFATE	2		Rejected!	
GLYCOSAMINOGLYCAN DEGRADATION	10		Rejected!	
GLYCOSPHINGOLIPID BIOSYNTHESIS - GLOBO SERIES	3		Rejected!	
GLYCOSYLPHOSPHATIDYLINOSITOL(GPI)-ANCHOR BIOSYNTHESIS	2		Rejected!	
GLYOXYLATE AND DICARBOXYLATE METABOLISM	65	36		
GNRH SIGNALING PATHWAY	3		Rejected!	
HEPATITIS B	2		Rejected!	
HEPATITIS C	2		Rejected!	
HERPES SIMPLEX INFECTION	4		Rejected!	
HIF-1 SIGNALING PATHWAY	8		Rejected!	
HIPPO SIGNALING PATHWAY	2		Rejected!	
HIPPO SIGNALING PATHWAY - FLY	2		Rejected!	
HISTIDINE METABOLISM	30	19		
HOMOLOGOUS RECOMBINATION	32	22		
HTLV-I INFECTION	5		Rejected!	
HUNTINGTON'S DISEASE	23		Rejected!	
HYPERTROPHIC CARDIOMYOPATHY (HCM)	3		Rejected!	
INDOLE ALKALOID BIOSYNTHESIS	2		Rejected!	
INFLAMMATORY MEDIATOR REGULATION OF TRP CHANNELS	2		Rejected!	
INFLUENZA A	7		Rejected!	
INOSITOL PHOSPHATE METABOLISM	20	11		
INSULIN SECRETION	3		Rejected!	
INSULIN SIGNALING PATHWAY	11		Rejected!	
ISOQUINOLINE ALKALOID BIOSYNTHESIS	12		Rejected!	
LEGIONELLOSIS	10		Rejected!	
LEISHMANIASIS	2		Rejected!	
LIMONENE AND PINENE DEGRADATION	13		Rejected!	
LINOLEIC ACID METABOLISM	6		Rejected!	
LIPOIC ACID METABOLISM	3		Rejected!	
LIPOPOLYSACCHARIDE BIOSYNTHESIS	32	22		
LONG-TERM DEPRESSION	2		Rejected!	
LONG-TERM POTENTIATION	2		Rejected!	
LYSINE BIOSYNTHESIS	34	21		
LYSINE DEGRADATION	27	12		
LYSOSOME	20	7		
MEASLES	2		Rejected!	
MEIOSIS - YEAST	3		Rejected!	
MELANOGENESIS	3		Rejected!	
METABOLISM OF XENOBIOTICS BY CYTOCHROME P450	10		Rejected!	
METHANE METABOLISM	122	41		
MICRORNAS IN CANCER	5		Rejected!	
MINERAL ABSORPTION	4		Rejected!	
MISMATCH REPAIR	28	20		
MRNA SURVEILLANCE PATHWAY	5		Rejected!	
N-GLYCAN BIOSYNTHESIS	9		Rejected!	
NAPHTHALENE DEGRADATION	21	5		
NEUROACTIVE LIGAND-RECEPTOR INTERACTION	3		Rejected!	
NEUROTROPHIN SIGNALING PATHWAY	2		Rejected!	
NICOTINATE AND NICOTINAMIDE METABOLISM	35	22		
NITROGEN METABOLISM	44	24		
NITROTOLUENE DEGRADATION	17	13		
NOD-LIKE RECEPTOR SIGNALING PATHWAY	5		Rejected!	
NON-ALCOHOLIC FATTY LIVER DISEASE (NAFLD)	14		Rejected!	
NON-HOMOLOGOUS END-JOINING	3		Rejected!	
NOVOBIOCIN BIOSYNTHESIS	9	6		
NUCLEOTIDE EXCISION REPAIR	14	7		
OLFACTORY TRANSDUCTION	2		Rejected!	
ONE CARBON POOL BY FOLATE	23	17		
OOCYTE MEIOSIS	3		Rejected!	
OTHER GLYCAN DEGRADATION	11	9		
OVARIAN STEROIDOGENESIS	3		Rejected!	
OXIDATIVE PHOSPHORYLATION	109	46		
OXYTOCIN SIGNALING PATHWAY	9		Rejected!	
P53 SIGNALING PATHWAY	3		Rejected!	
PANCREATIC SECRETION	8		Rejected!	
PANTOTHENATE AND COA BIOSYNTHESIS	30	20		
PARKINSON'S DISEASE	19		Rejected!	
PATHOGENIC ESCHERICHIA COLI INFECTION	13		Rejected!	
PATHWAYS IN CANCER	7		Rejected!	
PENICILLIN AND CEPHALOSPORIN BIOSYNTHESIS	8		Rejected!	
PENTOSE AND GLUCURONATE INTERCONVERSIONS	45	23		
PENTOSE PHOSPHATE PATHWAY	51	33		
PEPTIDOGLYCAN BIOSYNTHESIS	37	33		
PEROXISOME	27	7		
PERTUSSIS	21		Rejected!	
PHAGOSOME	4		Rejected!	
PHENYLALANINE METABOLISM	49	18		
"PHENYLALANINE, TYROSINE AND TRYPTOPHAN BIOSYNTHESIS"	52	32		
PHENYLPROPANOID BIOSYNTHESIS	10		Rejected!	
PHOSPHATIDYLINOSITOL SIGNALING SYSTEM	6		Rejected!	
PHOSPHONATE AND PHOSPHINATE METABOLISM	17	12		
PHOSPHOTRANSFERASE SYSTEM (PTS)	75	44		
PHOTOSYNTHESIS	56	8		
PHOTOSYNTHESIS - ANTENNA PROTEINS	29		Rejected!	
PHOTOTRANSDUCTION - FLY	3		Rejected!	
PI3K-AKT SIGNALING PATHWAY	8		Rejected!	
PLANT-PATHOGEN INTERACTION	15		Rejected!	
PLATELET ACTIVATION	2		Rejected!	
POLYCYCLIC AROMATIC HYDROCARBON DEGRADATION	22		Rejected!	
POLYKETIDE SUGAR UNIT BIOSYNTHESIS	7		Rejected!	
PORPHYRIN AND CHLOROPHYLL METABOLISM	89	42		
PPAR SIGNALING PATHWAY	9		Rejected!	
PRIMARY BILE ACID BIOSYNTHESIS	4		Rejected!	
PRIMARY IMMUNODEFICIENCY	2		Rejected!	
PROPANOATE METABOLISM	63	40		
PROSTATE CANCER	2		Rejected!	
PROTEASOME	4		Rejected!	
PROTEIN DIGESTION AND ABSORPTION	8		Rejected!	
PROTEIN EXPORT	24	18		
PROTEIN PROCESSING IN ENDOPLASMIC RETICULUM	12		Rejected!	
PROTEOGLYCANS IN CANCER	6		Rejected!	
PROXIMAL TUBULE BICARBONATE RECLAMATION	5		Rejected!	
PURINE METABOLISM	155	79		
PYRIMIDINE METABOLISM	110	55		
PYRUVATE METABOLISM	78	57		
RAP1 SIGNALING PATHWAY	2		Rejected!	
RAS SIGNALING PATHWAY	3		Rejected!	
REGULATION OF ACTIN CYTOSKELETON	3		Rejected!	
RENIN-ANGIOTENSIN SYSTEM	4		Rejected!	
RETINOL METABOLISM	9		Rejected!	
RETROGRADE ENDOCANNABINOID SIGNALING	3		Rejected!	
RIBOFLAVIN METABOLISM	21	8		
RIBOSOME	96	55		
RIBOSOME BIOGENESIS IN EUKARYOTES	11		Rejected!	
RIG-I-LIKE RECEPTOR SIGNALING PATHWAY	2		Rejected!	
RNA DEGRADATION	24	16		
RNA POLYMERASE	25	5		
RNA TRANSPORT	18		Rejected!	
SALIVARY SECRETION	5		Rejected!	
SALMONELLA INFECTION	16		Rejected!	
SEROTONERGIC SYNAPSE	6		Rejected!	
SESQUITERPENOID AND TRITERPENOID BIOSYNTHESIS	7		Rejected!	
SHIGELLOSIS	19		Rejected!	
SMALL CELL LUNG CANCER	3		Rejected!	
SPHINGOLIPID METABOLISM	18	6		
SPHINGOLIPID SIGNALING PATHWAY	7		Rejected!	
SPLICEOSOME	4		Rejected!	
STAPHYLOCOCCUS AUREUS INFECTION	26	6		
STARCH AND SUCROSE METABOLISM	74	46		
STEROID BIOSYNTHESIS	13		Rejected!	
STEROID DEGRADATION	4		Rejected!	
STEROID HORMONE BIOSYNTHESIS	13		Rejected!	
"STILBENOID, DIARYLHEPTANOID AND GINGEROL BIOSYNTHESIS"	2		Rejected!	
STREPTOMYCIN BIOSYNTHESIS	16	9		
STYRENE DEGRADATION	14		Rejected!	
SULFUR METABOLISM	44	26		
SULFUR RELAY SYSTEM	17	13		
SYNAPTIC VESICLE CYCLE	2		Rejected!	
SYNTHESIS AND DEGRADATION OF KETONE BODIES	8		Rejected!	
TAURINE AND HYPOTAURINE METABOLISM	15	6		
TERPENOID BACKBONE BIOSYNTHESIS	33	22		
TETRACYCLINE BIOSYNTHESIS	6		Rejected!	
THIAMINE METABOLISM	22	13		
THYROID HORMONE SIGNALING PATHWAY	3		Rejected!	
THYROID HORMONE SYNTHESIS	3		Rejected!	
TIGHT JUNCTION	2		Rejected!	
TOLUENE DEGRADATION	21		Rejected!	
TOXOPLASMOSIS	4		Rejected!	
"TROPANE, PIPERIDINE AND PYRIDINE ALKALOID BIOSYNTHESIS"	13	7		
TRYPTOPHAN METABOLISM	35	10		
TUBERCULOSIS	8		Rejected!	
TWO-COMPONENT SYSTEM	355	113		
TYPE I DIABETES MELLITUS	2		Rejected!	
TYPE I POLYKETIDE STRUCTURES	10		Rejected!	
TYPE II DIABETES MELLITUS	2		Rejected!	
TYROSINE METABOLISM	44	15		
UBIQUINONE AND OTHER TERPENOID-QUINONE BIOSYNTHESIS	32	19		
"VALINE, LEUCINE AND ISOLEUCINE BIOSYNTHESIS"	16	13		
"VALINE, LEUCINE AND ISOLEUCINE DEGRADATION"	53	16		
VANCOMYCIN RESISTANCE	7	7		
VARIOUS TYPES OF N-GLYCAN BIOSYNTHESIS	5		Rejected!	
VASCULAR SMOOTH MUSCLE CONTRACTION	2		Rejected!	
VASOPRESSIN-REGULATED WATER REABSORPTION	3		Rejected!	
VEGF SIGNALING PATHWAY	2		Rejected!	
VIBRIO CHOLERAE INFECTION	16		Rejected!	
VIBRIO CHOLERAE PATHOGENIC CYCLE	42	5		
VIRAL CARCINOGENESIS	6		Rejected!	
VIRAL MYOCARDITIS	2		Rejected!	
VITAMIN B6 METABOLISM	13	9		
WNT SIGNALING PATHWAY	2		Rejected!	
XYLENE DEGRADATION	23		Rejected!	
ZEATIN BIOSYNTHESIS	2		Rejected!	
