"","Site","metadata","value","coef","stderr","N","N.not.0","pval","qval","Pathway","L2","L2A","L2B","L2C","L3","Site","metadata","value","coef","stderr","N","N.not.0","pval","qval","Pathway","L2","L2A","L3","Site.1","metadata.1","value.1","coef.1","stderr.1","N.1","N.not.0.1","pval.1","qval.1","Terminal.Pathway","L2.1","L2A.1","L2B","L2C","L3.1"
"GLUCONEO-PWY","Proximal_Colon","Type","Mucosal",-0.1054183325,0.01416606594,95,95,0,0.000000009291767131,"gluconeogenesis I","Gluconeogenesis (3 instances)","","","","Sugar Biosynthesis (107 instances)","Cecum","Type","Mucosal",-0.06740583789,0.01606547615,95,95,0.00006514036856,0.00307607296,"gluconeogenesis I","Gluconeogenesis (3 instances)","","Sugar Biosynthesis (107 instances)","Distal_Colon","Type","Mucosal",-0.1634432976,0.01521568783,89,89,0,0,"gluconeogenesis I","Gluconeogenesis (3 instances)","","","","Sugar Biosynthesis (107 instances)"
"GLYCOCAT-PWY","Proximal_Colon","Type","Mucosal",-0.04754541911,0.01554653282,95,95,0.002959421142,0.02081542434,"glycogen degradation I","Glycogen Degradation (3 instances)","","","","Polysaccharide Degradation (47 instances)","Cecum","Type","Mucosal",-0.05212319812,0.01735747807,95,95,0.003491686971,0.03157376517,"glycogen degradation I","Glycan Degradation (11 instances)","Glycogen Degradation (3 instances)","Polysaccharide Degradation (47 instances)","Distal_Colon","Type","Mucosal",-0.1595471028,0.01553741812,89,89,0,0,"glycogen degradation I","Glycan Degradation (11 instances)","Glycogen Degradation (3 instances)","","","Polysaccharide Degradation (47 instances)"
"GLYCOGENSYNTH-PWY","Proximal_Colon","Type","Mucosal",-0.07315932666,0.01777603705,95,95,0.00008757465459,0.0007967389771,"glycogen biosynthesis I (from ADP-D-Glucose)","Glycogen and Starch Biosynthesis (4 instances)","Glycan Degradation (11 instances)","","","Polysaccharide Biosynthesis (73 instances)","Cecum","Type","Mucosal",-0.06806223969,0.01854542398,95,95,0.0004170328483,0.008534419305,"glycogen biosynthesis I (from ADP-D-Glucose)","Glycogen and Starch Biosynthesis (4 instances)","","Polysaccharide Biosynthesis (73 instances)","Distal_Colon","Type","Mucosal",-0.1698766187,0.0191047641,89,89,0,0,"glycogen biosynthesis I (from ADP-D-Glucose)","Glycogen and Starch Biosynthesis (4 instances)","","","","Polysaccharide Biosynthesis (73 instances)"
"GLYCOLYSIS","Proximal_Colon","Type","Mucosal",-0.07527866106,0.01379640165,95,95,0.0000004521344964,0.00001051212704,"glycolysis I (from glucose 6-phosphate)","Glycolysis (5 instances)","","","","Generation of Precursor Metabolites and Energy (240 instances)","Cecum","Type","Mucosal",-0.06222728611,0.01458744899,95,95,0.00005039305782,0.002677131197,"glycolysis I (from glucose 6-phosphate)","Glycolysis (5 instances)","","Generation of Precursor Metabolites and Energy (240 instances)","Distal_Colon","Type","Mucosal",-0.1464173747,0.01453526724,89,89,0,0,"glycolysis I (from glucose 6-phosphate)","Glycolysis (5 instances)","","","","Generation of Precursor Metabolites and Energy (240 instances)"
"GLYCOLYSIS-E-D","Proximal_Colon","Type","Mucosal",-0.07893793397,0.01785466709,95,93,0.00002822182205,0.0002845983742,"superpathway of glycolysis and the Entner-Doudoroff pathway","Generation of Precursor Metabolites and Energy (240 instances)","","","",NA,"Cecum","Type","Mucosal",-0.1010364712,0.01973268754,95,90,0.000006871048158,0.0005309446304,"superpathway of glycolysis and the Entner-Doudoroff pathway","Generation of Precursor Metabolites and Energy (240 instances)","",NA,"Distal_Colon","Type","Mucosal",-0.1426584008,0.02477270425,89,84,0.0000001352686021,0.0000009468802144,"superpathway of glycolysis and the Entner-Doudoroff pathway","Generation of Precursor Metabolites and Energy (240 instances)","","","",NA
"OANTIGEN-PWY","Proximal_Colon","Type","Mucosal",-0.1362549797,0.03728315601,95,90,0.0004397401788,0.003644183462,"O-antigen building blocks biosynthesis (E. coli)","Sugar Nucleotide Biosynthesis (92 instances)","Metabolic Clusters (69 instances)","","","Sugar Biosynthesis (107 instances)","Cecum","Type","Mucosal",-0.1147955281,0.03750435519,95,90,0.002940734486,0.02777360348,"O-antigen building blocks biosynthesis (E. coli)","Metabolic Clusters (69 instances)","Sugar Nucleotide Biosynthesis (92 instances)",NA,"Distal_Colon","Type","Mucosal",-0.1974557295,0.02734523828,89,83,0.0000000003018536928,0.000000002710121198,"O-antigen building blocks biosynthesis (E. coli)","Sugar Nucleotide Biosynthesis (92 instances)","Metabolic Clusters (69 instances)","","","Sugar Biosynthesis (107 instances)"
"P161-PWY","Proximal_Colon","Type","Mucosal",-0.09220406755,0.01816909372,95,95,0.00000219114365,0.00003558207296,"acetylene degradation (anaerobic)","Fermentation to Acetate (21 instances)","Pyruvate Fermentation to Ethanol (7 instances)","","","Carboxylate Degradation (101 instances)","Cecum","Type","Mucosal",-0.08020004903,0.02068234892,95,94,0.0005165444652,0.008723114418,"acetylene degradation (anaerobic)","Fermentation to Acetate (21 instances)","Pyruvate Fermentation to Ethanol (7 instances)","Carboxylate Degradation (101 instances)","Distal_Colon","Type","Mucosal",-0.1442016492,0.02323717308,89,89,0.00000002070008148,0.0000001513121,"acetylene degradation (anaerobic)","Fermentation to Acetate (21 instances)","Pyruvate Fermentation to Ethanol (7 instances)","","","Carboxylate Degradation (101 instances)"
"P441-PWY","Proximal_Colon","Type","Mucosal",-0.07323629083,0.0153641464,95,95,0.000007455251344,0.0000991025446,"superpathway of N-acetylneuraminate degradation","Carboxylate Degradation (101 instances)","","","","Degradation/Utilization/Assimilation (1104 instances)","Cecum","Type","Mucosal",-0.08682508735,0.0177635733,95,94,0.000004628808884,0.0003934487551,"superpathway of N-acetylneuraminate degradation","Carboxylate Degradation (101 instances)","","Degradation/Utilization/Assimilation (1104 instances)","Distal_Colon","Type","Mucosal",-0.1335021249,0.01959267465,89,88,0.000000001343112284,0.00000001098426482,"superpathway of N-acetylneuraminate degradation","Carboxylate Degradation (101 instances)","","","","Degradation/Utilization/Assimilation (1104 instances)"
"PEPTIDOGLYCANSYN-PWY","Proximal_Colon","Type","Mucosal",-0.08986499709,0.01771997047,95,95,0.000002210594736,0.00003558207296,"peptidoglycan biosynthesis I (meso-diaminopimelate containing)","Cell Wall Biosynthesis (26 instances)","","","","Cell Structure Biosynthesis (104 instances)","Cecum","Type","Mucosal",-0.06655600527,0.01838393681,95,95,0.0004927129576,0.008723114418,"peptidoglycan biosynthesis I (meso-diaminopimelate containing)","Cell Wall Biosynthesis (26 instances)","","Cell Structure Biosynthesis (104 instances)","Distal_Colon","Type","Mucosal",-0.1688711829,0.01913416519,89,89,0,0,"peptidoglycan biosynthesis I (meso-diaminopimelate containing)","Cell Wall Biosynthesis (26 instances)","","","","Cell Structure Biosynthesis (104 instances)"
"PHOSLIPSYN-PWY","Proximal_Colon","Type","Mucosal",-0.07356124747,0.0163350493,95,95,0.00002070306335,0.000231046187,"superpathway of phospholipid biosynthesis I (bacteria)","Phospholipid Biosynthesis (38 instances)","","","","Fatty Acid and Lipid Biosynthesis (224 instances)","Cecum","Type","Mucosal",-0.05773417228,0.01699232228,95,95,0.001025361804,0.01361808646,"superpathway of phospholipid biosynthesis I (bacteria)","Phospholipid Biosynthesis (38 instances)","","Fatty Acid and Lipid Biosynthesis (224 instances)","Distal_Colon","Type","Mucosal",-0.1520131188,0.01817226343,89,89,0,0,"superpathway of phospholipid biosynthesis I (bacteria)","Phospholipid Biosynthesis (38 instances)","","","","Fatty Acid and Lipid Biosynthesis (224 instances)"
"POLYISOPRENSYN-PWY","Proximal_Colon","Type","Mucosal",-0.1514175695,0.02167419355,95,92,0.0000000005376620372,0.00000005000256946,"polyisoprenoid biosynthesis (E. coli)","All-trans Polyprenyl Biosynthesis (13 instances)","","","","Polyprenyl Biosynthesis (18 instances)","Cecum","Type","Mucosal",-0.07618731919,0.02280129662,95,92,0.001227855573,0.01499276142,"polyisoprenoid biosynthesis (E. coli)","All-trans Polyprenyl Biosynthesis (13 instances)","","Polyprenyl Biosynthesis (18 instances)","Distal_Colon","Type","Mucosal",-0.1840972352,0.02412632338,89,87,0,0.000000000376987356,"polyisoprenoid biosynthesis (E. coli)","All-trans Polyprenyl Biosynthesis (13 instances)","","","","Polyprenyl Biosynthesis (18 instances)"
"PRPP-PWY","Proximal_Colon","Type","Mucosal",-0.1855876516,0.02273668955,95,71,0.0000000007730915347,0.00000006470776146,"superpathway of histidine, purine, and pyrimidine biosynthesis","Superpathways (382 instances)","","","",NA,"Cecum","Type","Mucosal",-0.1675366385,0.03035302736,95,69,0.000001649087224,0.0002302644459,"superpathway of histidine, purine, and pyrimidine biosynthesis","Superpathways (382 instances)","",NA,"Distal_Colon","Type","Mucosal",-0.2497267962,0.03195394717,89,58,0,0.0000000001778163947,"superpathway of histidine, purine, and pyrimidine biosynthesis","Superpathways (382 instances)","","","",NA
"PWY-2942","Proximal_Colon","Type","Mucosal",-0.07852022812,0.01625309693,95,95,0.000005791513581,0.00008216096385,"L-lysine biosynthesis III","L-lysine Biosynthesis (6 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)","Cecum","Type","Mucosal",-0.062541659,0.01689854086,95,95,0.0003751478503,0.008037676633,"L-lysine biosynthesis III","L-lysine Biosynthesis (6 instances)","","Proteinogenic Amino Acid Biosynthesis (89 instances)","Distal_Colon","Type","Mucosal",-0.1594304803,0.01720753614,89,89,0,0,"L-lysine biosynthesis III","L-lysine Biosynthesis (6 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)"
"PWY-4984","Proximal_Colon","Type","Mucosal",-0.419703302,0.07990642947,95,26,0.0000823071212,0.0007570446202,"urea cycle","Nitrogen Compound Metabolism (33 instances)","","","","Inorganic Nutrient Metabolism (142 instances)","Cecum","Type","Mucosal",-0.2190783913,0.06865087597,95,24,0.004501570277,0.03751308565,"urea cycle","Nitrogen Compound Metabolism (33 instances)","","Inorganic Nutrient Metabolism (142 instances)","Distal_Colon","Type","Mucosal",-0.3452285733,0.0976744899,89,26,0.001014085277,0.005404093152,"urea cycle","Nitrogen Compound Metabolism (33 instances)","","","","Inorganic Nutrient Metabolism (142 instances)"
"PWY-5097","Proximal_Colon","Type","Mucosal",-0.07842268668,0.01653055019,95,95,0.000008157635368,0.0001050452431,"L-lysine biosynthesis VI","L-lysine Biosynthesis (6 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)","Cecum","Type","Mucosal",-0.06384113912,0.01717706569,95,95,0.0003556862827,0.008037676633,"L-lysine biosynthesis VI","L-lysine Biosynthesis (6 instances)","","Proteinogenic Amino Acid Biosynthesis (89 instances)","Distal_Colon","Type","Mucosal",-0.1601909878,0.01740036712,89,89,0,0,"L-lysine biosynthesis VI","L-lysine Biosynthesis (6 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)"
"PWY-5100","Proximal_Colon","Type","Mucosal",-0.08494765194,0.01842477212,95,95,0.00001371248166,0.0001663383645,"pyruvate fermentation to acetate and lactate II","Pyruvate Fermentation to Acetate (11 instances)","pyruvate fermentation to lactate (4 instances)","","","Fermentation to Acetate (21 instances)","Cecum","Type","Mucosal",-0.07046654242,0.01892614649,95,95,0.0003478210285,0.008037676633,"pyruvate fermentation to acetate and lactate II","Pyruvate Fermentation to Acetate (11 instances)","pyruvate fermentation to lactate (4 instances)","Fermentation to Acetate (21 instances)","Distal_Colon","Type","Mucosal",-0.1610604069,0.02011534777,89,89,0,0,"pyruvate fermentation to acetate and lactate II","Pyruvate Fermentation to Acetate (11 instances)","pyruvate fermentation to lactate (4 instances)","","","Fermentation to Acetate (21 instances)"
"PWY-5121","Proximal_Colon","Type","Mucosal",-0.05961212543,0.01774044419,95,95,0.001158575708,0.008815707886,"superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)","Geranylgeranyl Diphosphate Biosynthesis (3 instances)","Diterpenoid Biosynthesis (44 instances)","","","Polyprenyl Biosynthesis (18 instances)","Cecum","Type","Mucosal",-0.05789159804,0.02055670744,95,93,0.006010134081,0.04730198119,"superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)","Diterpenoid Biosynthesis (44 instances)","Geranylgeranyl Diphosphate Biosynthesis (3 instances)","Terpenoid Biosynthesis (203 instances)","Distal_Colon","Type","Mucosal",-0.1758101603,0.0183941508,89,86,0,0,"superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)","Geranylgeranyl Diphosphate Biosynthesis (3 instances)","Diterpenoid Biosynthesis (44 instances)","","","Polyprenyl Biosynthesis (18 instances)"
"PWY-5154","Proximal_Colon","Type","Mucosal",-0.3440262343,0.05934540587,95,55,0.000000640007816,0.00001373555236,"L-arginine biosynthesis III (via N-acetyl-L-citrulline)","L-arginine Biosynthesis (4 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)","Cecum","Type","Mucosal",-0.1800872747,0.04035772097,95,63,0.00005395416059,0.002697708029,"L-arginine biosynthesis III (via N-acetyl-L-citrulline)","L-arginine Biosynthesis (4 instances)","","Proteinogenic Amino Acid Biosynthesis (89 instances)","Distal_Colon","Type","Mucosal",-0.3117394287,0.0551769421,89,58,0.0000008635053617,0.000005660757371,"L-arginine biosynthesis III (via N-acetyl-L-citrulline)","L-arginine Biosynthesis (4 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)"
"PWY-5484","Proximal_Colon","Type","Mucosal",-0.09115684568,0.01421837207,95,95,0.000000007239864939,0.0000003787354346,"glycolysis II (from fructose 6-phosphate)","Glycolysis (5 instances)","","","","Generation of Precursor Metabolites and Energy (240 instances)","Cecum","Type","Mucosal",-0.06646796443,0.01529678297,95,95,0.00003751122528,0.002125636099,"glycolysis II (from fructose 6-phosphate)","Glycolysis (5 instances)","","Generation of Precursor Metabolites and Energy (240 instances)","Distal_Colon","Type","Mucosal",-0.1516226156,0.01578781506,89,89,0,0,"glycolysis II (from fructose 6-phosphate)","Glycolysis (5 instances)","","","","Generation of Precursor Metabolites and Energy (240 instances)"
"PWY-5667","Proximal_Colon","Type","Mucosal",-0.07619018562,0.01666492316,95,95,0.00001591879117,0.0001850559474,"CDP-diacylglycerol biosynthesis I","CDP-diacylglycerol Biosynthesis (3 instances)","","","","Phospholipid Biosynthesis (38 instances)","Cecum","Type","Mucosal",-0.06127348396,0.01741962009,95,95,0.0006937362125,0.01034518913,"CDP-diacylglycerol biosynthesis I","CDP-diacylglycerol Biosynthesis (3 instances)","","Phospholipid Biosynthesis (38 instances)","Distal_Colon","Type","Mucosal",-0.1575202424,0.0180389959,89,89,0,0,"CDP-diacylglycerol biosynthesis I","CDP-diacylglycerol Biosynthesis (3 instances)","","","","Phospholipid Biosynthesis (38 instances)"
"PWY-5686","Proximal_Colon","Type","Mucosal",-0.08349925697,0.01732518374,95,95,0.000006060223731,0.00008315421742,"UMP biosynthesis I","UMP Biosynthesis (3 instances)","","","","Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances)","Cecum","Type","Mucosal",-0.0665574458,0.01796289194,95,95,0.0003697295289,0.008037676633,"UMP biosynthesis I","UMP Biosynthesis (3 instances)","","Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances)","Distal_Colon","Type","Mucosal",-0.1648537353,0.01845531036,89,89,0,0,"UMP biosynthesis I","UMP Biosynthesis (3 instances)","","","","Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances)"
"PWY-5695","Proximal_Colon","Type","Mucosal",-0.1223078507,0.01394866188,95,95,0,0.0000000001148158163,"inosine 5'-phosphate degradation","Purine Nucleotide Degradation (16 instances)","","","","Nucleoside and Nucleotide Degradation (40 instances)","Cecum","Type","Mucosal",-0.09830257626,0.01487239945,95,95,0.000000002919444946,0.000002481528204,"inosine 5'-phosphate degradation","Purine Nucleotide Degradation (16 instances)","","Nucleoside and Nucleotide Degradation (40 instances)","Distal_Colon","Type","Mucosal",-0.17866776,0.01559333536,89,89,0,0,"inosine 5'-phosphate degradation","Purine Nucleotide Degradation (16 instances)","","","","Nucleoside and Nucleotide Degradation (40 instances)"
"PWY-5973","Proximal_Colon","Type","Mucosal",-0.06611591257,0.01625607525,95,95,0.0001043240529,0.0009289280029,"cis-vaccenate biosynthesis","Unsaturated Fatty Acid Biosynthesis (60 instances)","","","","Fatty Acid Biosynthesis (92 instances)","Cecum","Type","Mucosal",-0.05291790049,0.01723240603,95,95,0.002845581522,0.02717690217,"cis-vaccenate biosynthesis","Unsaturated Fatty Acid Biosynthesis (60 instances)","","Fatty Acid Biosynthesis (92 instances)","Distal_Colon","Type","Mucosal",-0.1517627626,0.01736920128,89,89,0,0,"cis-vaccenate biosynthesis","Unsaturated Fatty Acid Biosynthesis (60 instances)","","","","Fatty Acid Biosynthesis (92 instances)"
"PWY-6121","Proximal_Colon","Type","Mucosal",-0.07335593754,0.01646500073,95,95,0.00002483421759,0.0002631169636,"5-aminoimidazole ribonucleotide biosynthesis I","5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances)","","","","Purine Nucleotide Biosynthesis (33 instances)","Cecum","Type","Mucosal",-0.05366752506,0.01733454345,95,95,0.002637044287,0.02606380981,"5-aminoimidazole ribonucleotide biosynthesis I","5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances)","","Purine Nucleotide Biosynthesis (33 instances)","Distal_Colon","Type","Mucosal",-0.1583006307,0.017218469,89,89,0,0,"5-aminoimidazole ribonucleotide biosynthesis I","5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances)","","","","Purine Nucleotide Biosynthesis (33 instances)"
"PWY-6122","Proximal_Colon","Type","Mucosal",-0.07406897737,0.01733838339,95,95,0.00004936487148,0.0004695272435,"5-aminoimidazole ribonucleotide biosynthesis II","5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances)","","","","Purine Nucleotide Biosynthesis (33 instances)","Cecum","Type","Mucosal",-0.05609262852,0.01817271498,95,95,0.002712869738,0.02620385542,"5-aminoimidazole ribonucleotide biosynthesis II","5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances)","","Purine Nucleotide Biosynthesis (33 instances)","Distal_Colon","Type","Mucosal",-0.160701012,0.01801015147,89,89,0,0,"5-aminoimidazole ribonucleotide biosynthesis II","5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances)","","","","Purine Nucleotide Biosynthesis (33 instances)"
