feature,value,coef,stderr,N,N.not.0,pval,qval,Pathways,L2,L2A,L2B,L2C,L3
GALACTUROCAT-PWY,Mucosal,-0.2285886704,0.07296309352,91,52,0.003731602796,0.02003374458,D-galacturonate degradation I,D-Galacturonate Degradation (3 instances),,,,Sugar Acid Degradation (19 instances)
GLCMANNANAUT-PWY,Mucosal,-0.1137131708,0.01996647554,91,91,8.66E-07,7.28E-06,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",Amine and Polyamine Degradation (62 instances),,,,Degradation/Utilization/Assimilation (1104 instances)
GLUCONEO-PWY,Mucosal,-0.1187417217,0.01521089382,91,91,5.54E-10,1.35E-08,gluconeogenesis I,Gluconeogenesis (3 instances),,,,Sugar Biosynthesis (107 instances)
GLUCUROCAT-PWY,Mucosal,-0.2239144046,0.05951022154,91,53,0.000628316775,0.00373570654,superpathway of beta-D-glucuronosides degradation,D-Glucuronate Degradation (4 instances),,,,Sugar Acid Degradation (19 instances)
GLUTORN-PWY,Mucosal,-0.2784553986,0.033507975,91,64,1.50E-10,3.85E-09,L-ornithine biosynthesis I,L-Ornithine Biosynthesis (3 instances),,,,Other Amino Acid Biosynthesis (24 instances)
GLYCOCAT-PWY,Mucosal,-0.1754304221,0.01707769023,91,90,1.45E-13,1.52E-11,glycogen degradation I,Glycan Degradation (11 instances),Glycogen Degradation (3 instances),,,Polysaccharide Degradation (47 instances)
GLYCOGENSYNTH-PWY,Mucosal,-0.143479162,0.01993286645,91,91,4.49E-09,8.72E-08,glycogen biosynthesis I (from ADP-D-Glucose),Glycogen and Starch Biosynthesis (4 instances),,,,Polysaccharide Biosynthesis (73 instances)
GLYCOLYSIS,Mucosal,-0.1295346656,0.01371644218,91,91,2.45E-12,1.13E-10,glycolysis I (from glucose 6-phosphate),Glycolysis (5 instances),,,,Generation of Precursor Metabolites and Energy (240 instances)
GLYCOLYSIS-E-D,Mucosal,-0.1297115425,0.0193583498,91,89,2.37E-08,2.87E-07,superpathway of glycolysis and the Entner-Doudoroff pathway,Generation of Precursor Metabolites and Energy (240 instances),,,,NA
GLYCOLYSIS-TCA-GLYOX-BYPASS,Mucosal,0.4487864253,0.0006945602356,91,6,1.10E-30,9.65E-28,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",Generation of Precursor Metabolites and Energy (240 instances),,,,NA
HEME-BIOSYNTHESIS-II,Mucosal,0.6979140174,0.0005580466961,91,5,1.87E-22,8.18E-20,heme b biosynthesis I (aerobic),Heme b Biosynthesis (8 instances),,,,Heme Biosynthesis (13 instances)
HEMESYN2-PWY,Mucosal,-0.2114741511,0.0385333778,91,60,1.59E-06,1.28E-05,heme b biosynthesis II (oxygen-independent),Heme b Biosynthesis (8 instances),,,,Heme Biosynthesis (13 instances)
HEXITOLDEGSUPER-PWY,Mucosal,-0.2932807082,0.07452742301,91,43,0.0001889929367,0.001179855905,superpathway of hexitol degradation (bacteria),Sugar Alcohol Degradation (20 instances),,,,Sugar Derivative Degradation (56 instances)
HISTSYN-PWY,Mucosal,-0.2437392843,0.02955323367,91,72,2.07E-10,5.18E-09,L-histidine biosynthesis,L-histidine Biosynthesis (2 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
ILEUSYN-PWY,Mucosal,-0.182833785,0.01802952084,91,89,2.77E-13,2.02E-11,L-isoleucine biosynthesis I (from threonine),L-isoleucine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
LACTOSECAT-PWY,Mucosal,-0.1510462842,0.04691075223,91,78,0.002320726858,0.0131708784,lactose and galactose degradation I,Galactose Degradation (5 instances),Lactose Degradation (3 instances),,,Sugar Degradation (77 instances)
NAGLIPASYN-PWY,Mucosal,-0.1809698899,0.05562655354,91,38,0.003134388841,0.01733851458,lipid IVA biosynthesis (E. coli),Lipid IVA Biosynthesis (5 instances),,,,Lipopolysaccharide Biosynthesis (68 instances)
NONMEVIPP-PWY,Mucosal,-0.1960244031,0.02087606287,91,84,3.09E-12,1.13E-10,methylerythritol phosphate pathway I,Methylerythritol Phosphate Pathways (2 instances),,,,Isopentenyl Diphosphate Biosynthesis (6 instances)
NONOXIPENT-PWY,Mucosal,-0.1554520678,0.01418008801,91,91,1.71E-14,2.49E-12,pentose phosphate pathway (non-oxidative branch) I,Pentose Phosphate Pathways (6 instances),,,,Generation of Precursor Metabolites and Energy (240 instances)
OANTIGEN-PWY,Mucosal,-0.1506889445,0.0206598466,91,86,3.31E-09,6.59E-08,O-antigen building blocks biosynthesis (E. coli),Metabolic Clusters (69 instances),Sugar Nucleotide Biosynthesis (92 instances),,,NA
P122-PWY,Mucosal,-0.1367516274,0.02883233952,91,86,2.08E-05,0.0001442816591,heterolactic fermentation,Fermentation to Lactate (8 instances),Pyruvate Fermentation to Ethanol (7 instances),,,Fermentation to Short-Chain Fatty Acids (40 instances)
P124-PWY,Mucosal,-0.1401293112,0.0281300685,91,86,9.18E-06,6.69E-05,Bifidobacterium shunt,Fermentation to Acetate (21 instances),Fermentation to Lactate (8 instances),Sugar Degradation (77 instances),,Carboxylate Degradation (101 instances)
P161-PWY,Mucosal,-0.09458448644,0.01751629908,91,91,2.51E-06,1.97E-05,acetylene degradation (anaerobic),Fermentation to Acetate (21 instances),Pyruvate Fermentation to Ethanol (7 instances),,,Carboxylate Degradation (101 instances)
P164-PWY,Mucosal,-0.4520521507,0.1072329003,91,24,0.0003042026451,0.00185925253,purine nucleobases degradation I (anaerobic),Fermentation (81 instances),Purine Nucleotide Degradation (16 instances),,,Generation of Precursor Metabolites and Energy (240 instances)
P23-PWY,Mucosal,-0.3539830523,0.06298136547,91,29,1.38E-06,1.13E-05,reductive TCA cycle I,Reductive TCA Cycles (4 instances),,,,Autotrophic CO2 Fixation (12 instances)
P4-PWY,Mucosal,-0.153593533,0.04303885459,91,52,0.0005960034127,0.00359246195,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",Amino Acid Biosynthesis (124 instances),,,,Biosynthesis (1993 instances)
P42-PWY,Mucosal,-0.1316334689,0.04527903771,91,73,0.005597852068,0.02844489946,incomplete reductive TCA cycle,Reductive TCA Cycles (4 instances),,,,Autotrophic CO2 Fixation (12 instances)
P441-PWY,Mucosal,-0.1137480423,0.01564419393,91,91,3.02E-09,6.59E-08,superpathway of N-acetylneuraminate degradation,Carboxylate Degradation (101 instances),,,,Degradation/Utilization/Assimilation (1104 instances)
P461-PWY,Mucosal,-0.1116895645,0.02769470457,91,87,0.0002022716735,0.001253797465,"hexitol fermentation to lactate, formate, ethanol and acetate",Fermentation to Acetate (21 instances),Fermentation to Lactate (8 instances),Pyruvate Fermentation to Ethanol (7 instances),Sugar Alcohol Degradation (20 instances),Carboxylate Degradation (101 instances)
PANTO-PWY,Mucosal,-0.1555151682,0.05333061344,91,61,0.005494398824,0.02808248288,phosphopantothenate biosynthesis I,Phosphopantothenate Biosynthesis (3 instances),,,,Coenzyme A Biosynthesis (8 instances)
PANTOSYN-PWY,Mucosal,-0.152846078,0.03476838626,91,76,6.52E-05,0.0004286718256,superpathway of coenzyme A biosynthesis I (bacteria),Coenzyme A Biosynthesis (8 instances),Vitamin Biosynthesis (66 instances),,,Carrier Biosynthesis (137 instances)
PENTOSE-P-PWY,Mucosal,-0.1437414859,0.02462737636,91,84,5.52E-07,4.87E-06,pentose phosphate pathway,Pentose Phosphate Pathways (6 instances),,,,Generation of Precursor Metabolites and Energy (240 instances)
PEPTIDOGLYCANSYN-PWY,Mucosal,-0.1241632543,0.01843108889,91,91,2.25E-08,2.82E-07,peptidoglycan biosynthesis I (meso-diaminopimelate containing),Cell Wall Biosynthesis (26 instances),,,,Cell Structure Biosynthesis (104 instances)
PHOSLIPSYN-PWY,Mucosal,-0.1192496072,0.01747000971,91,91,1.72E-08,2.31E-07,superpathway of phospholipid biosynthesis I (bacteria),Phospholipid Biosynthesis (38 instances),,,,Fatty Acid and Lipid Biosynthesis (224 instances)
POLYISOPRENSYN-PWY,Mucosal,-0.1163767871,0.01878890532,91,91,1.55E-07,1.47E-06,polyisoprenoid biosynthesis (E. coli),All-trans Polyprenyl Biosynthesis (13 instances),,,,Polyprenyl Biosynthesis (18 instances)
PWY-1861,Mucosal,-0.4268003248,0.04815290478,91,53,4.68E-11,1.36E-09,formaldehyde assimilation II (assimilatory RuMP Cycle),Formaldehyde Assimilation (3 instances),,,,C1 Compound Utilization and Assimilation (39 instances)
PWY-2941,Mucosal,-0.1494888395,0.02642975954,91,86,8.97E-07,7.47E-06,L-lysine biosynthesis II,L-lysine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-2942,Mucosal,-0.1251900157,0.01711980877,91,91,3.10E-09,6.59E-08,L-lysine biosynthesis III,L-lysine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-3001,Mucosal,-0.1517181659,0.01562419014,91,91,8.21E-13,4.48E-11,superpathway of L-isoleucine biosynthesis I,L-isoleucine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-3781,Mucosal,-0.4022211597,0.1054762658,91,33,0.0006003440508,0.003593840414,aerobic respiration I (cytochrome c),Aerobic Respiration (23 instances),Electron Transfer Chains (43 instances),,,Respiration (65 instances)
PWY-4984,Mucosal,-0.194147045,0.06553832663,91,46,0.006181385581,0.0308716057,urea cycle,Nitrogen Compound Metabolism (33 instances),,,,Inorganic Nutrient Metabolism (142 instances)
PWY-5022,Mucosal,-0.5343086108,0.1856231135,91,14,0.006488953436,0.03222355286,4-aminobutanoate degradation V,4-Aminobutanoate Degradation (7 instances),,,,Amine and Polyamine Degradation (62 instances)
PWY-5097,Mucosal,-0.1270130466,0.01733477397,91,91,2.94E-09,6.59E-08,L-lysine biosynthesis VI,L-lysine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-5100,Mucosal,-0.1246960261,0.01920446515,91,91,5.24E-08,5.66E-07,pyruvate fermentation to acetate and lactate II,Pyruvate Fermentation to Acetate (11 instances),pyruvate fermentation to lactate (4 instances),,,Fermentation to Acetate (21 instances)
PWY-5101,Mucosal,-0.178019898,0.01763416406,91,89,3.40E-13,2.28E-11,L-isoleucine biosynthesis II,L-isoleucine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-5103,Mucosal,-0.1951534541,0.02047368366,91,85,2.08E-12,1.07E-10,L-isoleucine biosynthesis III,L-isoleucine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-5104,Mucosal,-0.1816835106,0.01940725584,91,86,3.55E-12,1.19E-10,L-isoleucine biosynthesis IV,L-isoleucine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-5121,Mucosal,-0.1765044409,0.01886950863,91,87,2.96E-12,1.13E-10,superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),Diterpenoid Biosynthesis (44 instances),Geranylgeranyl Diphosphate Biosynthesis (3 instances),,,Terpenoid Biosynthesis (203 instances)
PWY-5188,Mucosal,-0.2965543032,0.06876513771,91,68,0.0001563873033,0.0009833273602,tetrapyrrole biosynthesis I (from glutamate),Tetrapyrrole Biosynthesis (39 instances),,,,Biosynthesis (1993 instances)
PWY-5189,Mucosal,-0.2558398931,0.03752576607,91,66,2.73E-08,3.18E-07,tetrapyrrole biosynthesis II (from glycine),Tetrapyrrole Biosynthesis (39 instances),,,,Biosynthesis (1993 instances)
PWY-5304,Mucosal,-0.752411685,0.2334617845,91,16,0.002855338801,0.01610042653,superpathway of sulfur oxidation (Acidianus ambivalens),Sulfur Oxidation (4 instances),,,,Sulfur Compound Metabolism (87 instances)
PWY-5484,Mucosal,-0.1255363656,0.01334220053,91,91,2.82E-12,1.13E-10,glycolysis II (from fructose 6-phosphate),Glycolysis (5 instances),,,,Generation of Precursor Metabolites and Energy (240 instances)
PWY-5505,Mucosal,-0.3139284112,0.05367018236,91,59,7.42E-07,6.30E-06,L-glutamate and L-glutamine biosynthesis,L-glutamate Biosynthesis (7 instances),L-glutamine Biosynthesis (2 instances),Metabolic Clusters (69 instances),,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-5509,Mucosal,-0.3174163834,0.04108036186,91,58,5.80E-09,1.06E-07,adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I,Adenosylcobamide Biosynthesis (13 instances),,,,Cobamide de novo Biosynthesis (21 instances)
PWY-5659,Mucosal,-0.1099186971,0.03532838579,91,72,0.003378420332,0.01845462106,GDP-mannose biosynthesis,GDP-sugar Biosynthesis (16 instances),,,,Sugar Nucleotide Biosynthesis (92 instances)
PWY-5667,Mucosal,-0.1210799704,0.01774376004,91,91,1.69E-08,2.31E-07,CDP-diacylglycerol biosynthesis I,CDP-diacylglycerol Biosynthesis (3 instances),,,,Phospholipid Biosynthesis (38 instances)
PWY-5686,Mucosal,-0.1290903704,0.0181604766,91,91,6.28E-09,1.08E-07,UMP biosynthesis I,UMP Biosynthesis (3 instances),,,,Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances)
PWY-5695,Mucosal,-0.1072031607,0.01592489865,91,91,2.44E-08,2.92E-07,inosine 5'-phosphate degradation,Purine Nucleotide Degradation (16 instances),,,,Nucleoside and Nucleotide Degradation (40 instances)
PWY-5910,Mucosal,-0.191134221,0.04319490069,91,83,5.64E-05,0.0003733011712,superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),Geranylgeranyl Diphosphate Biosynthesis (3 instances),,,,Polyprenyl Biosynthesis (18 instances)
PWY-5913,Mucosal,-0.1794700756,0.03563250427,91,62,8.66E-06,6.36E-05,partial TCA cycle (obligate autotrophs),TCA cycle (9 instances),,,,Generation of Precursor Metabolites and Energy (240 instances)
PWY-5973,Mucosal,-0.1158306342,0.01787289895,91,91,5.75E-08,6.06E-07,cis-vaccenate biosynthesis,Unsaturated Fatty Acid Biosynthesis (60 instances),,,,Fatty Acid Biosynthesis (92 instances)
PWY-6121,Mucosal,-0.1272374387,0.01711880829,91,91,1.94E-09,4.46E-08,5-aminoimidazole ribonucleotide biosynthesis I,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
PWY-6122,Mucosal,-0.1303980769,0.01792882051,91,91,3.32E-09,6.59E-08,5-aminoimidazole ribonucleotide biosynthesis II,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
PWY-6123,Mucosal,-0.1317868176,0.01858312475,91,91,6.32E-09,1.08E-07,inosine-5'-phosphate biosynthesis I,Inosine-5'-phosphate Biosynthesis (3 instances),,,,Purine Riboucleotide De Novo Biosynthesis (5 instances)
PWY-6125,Mucosal,-0.1002616,0.01803196676,91,91,1.38E-06,1.13E-05,superpathway of guanosine nucleotides de novo biosynthesis II,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
PWY-6126,Mucosal,-0.1172123589,0.01686925414,91,91,1.12E-08,1.75E-07,superpathway of adenosine nucleotides de novo biosynthesis II,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
PWY-6147,Mucosal,-0.1756406823,0.02919365684,91,80,3.03E-07,2.79E-06,6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances),,,,Folate Biosynthesis (14 instances)
PWY-6151,Mucosal,-0.1238823293,0.0196854168,91,91,1.03E-07,1.03E-06,S-adenosyl-L-methionine salvage I,S-adenosyl-L-methionine Biosynthesis (3 instances),,,,Enzyme Cofactor Biosynthesis (137 instances)
PWY-6163,Mucosal,-0.2026247196,0.02390757327,91,83,6.53E-11,1.84E-09,chorismate biosynthesis from 3-dehydroquinate,Chorismate Biosynthesis (3 instances),,,,Aromatic Compound Biosynthesis (51 instances)
PWY-621,Mucosal,-0.1144760375,0.01747395792,91,91,4.38E-08,4.78E-07,sucrose degradation III (sucrose invertase),Sucrose Degradation (7 instances),,,,Sugar Degradation (77 instances)
PWY-6269,Mucosal,-0.3351234538,0.04397552892,91,58,5.14E-09,9.56E-08,superpathway of adenosylcobalamin salvage from cobinamide II,Adenosylcobalamin Salvage from Cobinamide (5 instances),,,,Cobinamide Salvage (7 instances)
PWY-6277,Mucosal,-0.1303980769,0.01792882051,91,91,3.32E-09,6.59E-08,superpathway of 5-aminoimidazole ribonucleotide biosynthesis,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
PWY-6317,Mucosal,-0.1286146372,0.0182837748,91,91,8.15E-09,1.33E-07,D-galactose degradation I (Leloir pathway),Galactose Degradation (5 instances),,,,Sugar Degradation (77 instances)
PWY-6385,Mucosal,-0.122482193,0.01851735624,91,91,3.49E-08,3.91E-07,peptidoglycan biosynthesis III (mycobacteria),Peptidoglycan Biosynthesis (6 instances),,,,Cell Wall Biosynthesis (26 instances)
PWY-6386,Mucosal,-0.1239787855,0.01859555645,91,91,2.87E-08,3.29E-07,UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances),,,,Cell Wall Biosynthesis (26 instances)
PWY-6387,Mucosal,-0.12295859,0.01828162538,91,91,2.34E-08,2.87E-07,UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances),,,,Cell Wall Biosynthesis (26 instances)
PWY-6467,Mucosal,-0.2178753738,0.06645579342,91,35,0.002886329215,0.01617084445,Kdo transfer to lipid IVA III (Chlamydia),Kdo Transfer to Lipid IVA (8 instances),,,,Lipopolysaccharide Biosynthesis (68 instances)
PWY-6471,Mucosal,-0.1448201414,0.02659046335,91,89,1.90E-06,1.51E-05,peptidoglycan biosynthesis IV (Enterococcus faecium),Antibiotic Resistance (8 instances),Peptidoglycan Biosynthesis (6 instances),,,Detoxification (65 instances)
PWY-6507,Mucosal,-0.1505624777,0.05048623823,91,47,0.005025817841,0.026146219,4-deoxy-L-threo-hex-4-enopyranuronate degradation,Sugar Derivative Degradation (56 instances),,,,Secondary Metabolite Degradation (127 instances)
PWY-6545,Mucosal,-0.4686708569,0.09564177187,91,35,1.79E-05,0.0001252382191,pyrimidine deoxyribonucleotides de novo biosynthesis III,Metabolic Clusters (69 instances),Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,NA
PWY-6608,Mucosal,-0.2148671972,0.06783098235,91,34,0.003914013351,0.02064103857,guanosine nucleotides degradation III,Guanosine Nucleotide Degradation (4 instances),,,,Purine Nucleotide Degradation (16 instances)
PWY-6609,Mucosal,-0.1321581709,0.01864314895,91,91,6.27E-09,1.08E-07,adenine and adenosine salvage III,Adenine and Adenosine Salvage (6 instances),,,,Purine Nucleotide Salvage (13 instances)
PWY-6612,Mucosal,-0.18635505,0.02731654718,91,71,1.28E-09,3.02E-08,superpathway of tetrahydrofolate biosynthesis,Folate Biosynthesis (14 instances),,,,Single Carbon Carrier Biosynthesis (23 instances)
PWY-6628,Mucosal,-0.2847119907,0.0536284522,91,51,8.65E-06,6.36E-05,superpathway of L-phenylalanine biosynthesis,L-phenylalanine Biosynthesis (4 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-6630,Mucosal,-0.3001436874,0.05709046365,91,50,1.02E-05,7.37E-05,superpathway of L-tyrosine biosynthesis,L-tyrosine Biosynthesis (5 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-6700,Mucosal,-0.1985966962,0.03141987929,91,68,1.01E-07,1.02E-06,queuosine biosynthesis I (de novo),Queuosine Biosynthesis and Salvage (3 instances),,,,Nucleic Acid Processing (21 instances)
PWY-6703,Mucosal,-0.2987540776,0.08275734889,91,50,0.0008915503063,0.005264965998,preQ0 biosynthesis,Secondary Metabolite Biosynthesis (911 instances),,,,Biosynthesis (1993 instances)
PWY-6737,Mucosal,-0.1867276351,0.01816815814,91,89,1.57E-13,1.52E-11,starch degradation V,Starch Degradation (5 instances),,,,Polysaccharide Degradation (47 instances)
PWY-6897,Mucosal,-0.2048633413,0.03684697762,91,64,1.55E-06,1.25E-05,thiamine diphosphate salvage II,thiamine Diphosphate Salvage (7 instances),,,,Thiamine Biosynthesis (20 instances)
PWY-6969,Mucosal,-0.2470453983,0.06522642431,91,47,0.0004952800815,0.003006074939,TCA cycle V (2-oxoglutarate synthase),Reductive TCA Cycles (4 instances),,,,Autotrophic CO2 Fixation (12 instances)
PWY-7013,Mucosal,-0.1492049537,0.02990504727,91,60,2.94E-05,0.0001994191197,"(S)-propane-1,2-diol degradation",Alcohol Degradation (20 instances),Fermentation to Propanoate (7 instances),,,Degradation/Utilization/Assimilation (1104 instances)
PWY-7111,Mucosal,-0.1709378236,0.0161443499,91,90,7.43E-14,9.28E-12,pyruvate fermentation to isobutanol (engineered),Fermentation of Pyruvate (37 instances),Fermentation to Alcohols (17 instances),,,Fermentation (81 instances)
PWY-7184,Mucosal,-0.09155171278,0.01958606285,91,91,2.69E-05,0.0001838316013,pyrimidine deoxyribonucleotides de novo biosynthesis I,Metabolic Clusters (69 instances),Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,NA
PWY-7187,Mucosal,-0.1130664432,0.01898082248,91,91,3.49E-07,3.14E-06,pyrimidine deoxyribonucleotides de novo biosynthesis II,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,,2'-Deoxyribonucleotide Biosynthesis (11 instances)
PWY-7196,Mucosal,-0.09738771956,0.01635549772,91,91,3.45E-07,3.14E-06,superpathway of pyrimidine ribonucleosides salvage,Pyrimidine Nucleotide Salvage (12 instances),,,,Pyrimidine Nucleotide Biosynthesis (23 instances)
PWY-7197,Mucosal,-0.1020494227,0.02055746046,91,90,1.03E-05,7.39E-05,pyrimidine deoxyribonucleotide phosphorylation,Metabolic Clusters (69 instances),Pyrimidine Nucleotide Salvage (12 instances),,,NA
PWY-7199,Mucosal,-0.1276344526,0.02639981312,91,81,1.49E-05,0.0001050861208,pyrimidine deoxyribonucleosides salvage,Pyrimidine Nucleotide Salvage (12 instances),,,,Pyrimidine Nucleotide Biosynthesis (23 instances)
PWY-7200,Mucosal,-0.09842076751,0.01714913418,91,90,6.97E-07,5.97E-06,superpathway of pyrimidine deoxyribonucleoside salvage,Pyrimidine Nucleotide Salvage (12 instances),,,,Pyrimidine Nucleotide Biosynthesis (23 instances)
PWY-7208,Mucosal,-0.1187628368,0.01757405889,91,91,2.11E-08,2.67E-07,superpathway of pyrimidine nucleobases salvage,Pyrimidine Nucleotide Salvage (12 instances),,,,Pyrimidine Nucleotide Biosynthesis (23 instances)
