Pathway,Site,coef
superpathway of L-threonine biosynthesis,Distal_Colon,-0.1625310104
tRNA charging,Distal_Colon,-0.1677111926
UDP-N-acetyl-D-glucosamine biosynthesis I,Distal_Colon,-0.1744475096
folate transformations III (E. coli),Mucosal,0
homolactic fermentation,Mucosal,0
glycolysis III (from glucose),Mucosal,0
superpathway of L-aspartate and L-asparagine biosynthesis,Mucosal,0
Calvin-Benson-Bassham cycle,Mucosal,0
coenzyme A biosynthesis I (prokaryotic),Mucosal,0
colanic acid building blocks biosynthesis,Mucosal,0
L-lysine biosynthesis I,Mucosal,0
dTDP-beta-L-rhamnose biosynthesis,Mucosal,0
fatty acid elongation -- saturated,Mucosal,0
mixed acid fermentation,Mucosal,0
superpathway of tetrahydrofolate biosynthesis and salvage,Mucosal,0
"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",Mucosal,0
gluconeogenesis I,Mucosal,0
glycogen degradation I,Mucosal,0
glycogen biosynthesis I (from ADP-D-Glucose),Mucosal,0
glycolysis I (from glucose 6-phosphate),Mucosal,0
superpathway of glycolysis and the Entner-Doudoroff pathway,Mucosal,0
O-antigen building blocks biosynthesis (E. coli),Mucosal,0
acetylene degradation (anaerobic),Mucosal,0
superpathway of N-acetylneuraminate degradation,Mucosal,0
peptidoglycan biosynthesis I (meso-diaminopimelate containing),Mucosal,0
superpathway of phospholipid biosynthesis I (bacteria),Mucosal,0
polyisoprenoid biosynthesis (E. coli),Mucosal,0
"superpathway of histidine, purine, and pyrimidine biosynthesis",Mucosal,0
L-lysine biosynthesis III,Mucosal,0
urea cycle,Mucosal,0
L-lysine biosynthesis VI,Mucosal,0
pyruvate fermentation to acetate and lactate II,Mucosal,0
superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),Mucosal,0
L-arginine biosynthesis III (via N-acetyl-L-citrulline),Mucosal,0
glycolysis II (from fructose 6-phosphate),Mucosal,0
CDP-diacylglycerol biosynthesis I,Mucosal,0
UMP biosynthesis I,Mucosal,0
inosine 5'-phosphate degradation,Mucosal,0
cis-vaccenate biosynthesis,Mucosal,0
5-aminoimidazole ribonucleotide biosynthesis I,Mucosal,0
5-aminoimidazole ribonucleotide biosynthesis II,Mucosal,0
inosine-5'-phosphate biosynthesis I,Mucosal,0
superpathway of adenosine nucleotides de novo biosynthesis II,Mucosal,0
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,Mucosal,0
S-adenosyl-L-methionine salvage I,Mucosal,0
sucrose degradation III (sucrose invertase),Mucosal,0
superpathway of 5-aminoimidazole ribonucleotide biosynthesis,Mucosal,0
D-galactose degradation I (Leloir pathway),Mucosal,0
peptidoglycan biosynthesis III (mycobacteria),Mucosal,0
UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),Mucosal,0
UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),Mucosal,0
Kdo transfer to lipid IVA III (Chlamydia),Mucosal,0
peptidoglycan biosynthesis IV (Enterococcus faecium),Mucosal,0
adenine and adenosine salvage III,Mucosal,0
superpathway of tetrahydrofolate biosynthesis,Mucosal,0
starch degradation V,Mucosal,0
superpathway of glucose and xylose degradation,Mucosal,0
superpathway of pyrimidine nucleobases salvage,Mucosal,0
superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,Mucosal,0
adenosine ribonucleotides de novo biosynthesis,Mucosal,0
adenosine deoxyribonucleotides de novo biosynthesis II,Mucosal,0
guanosine ribonucleotides de novo biosynthesis,Mucosal,0
guanosine deoxyribonucleotides de novo biosynthesis II,Mucosal,0
superpathway of adenosine nucleotides de novo biosynthesis I,Mucosal,0
taxadiene biosynthesis (engineered),Mucosal,0
6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),Mucosal,0
gondoate biosynthesis (anaerobic),Mucosal,0
purine ribonucleosides degradation,Mucosal,0
superpathway of purine deoxyribonucleosides degradation,Mucosal,0
superpathway of pyrimidine deoxyribonucleosides degradation,Mucosal,0
CDP-diacylglycerol biosynthesis II,Mucosal,0
peptidoglycan maturation (meso-diaminopimelate containing),Mucosal,0
phosphatidylglycerol biosynthesis I (plastidic),Mucosal,0
phosphatidylglycerol biosynthesis II (non-plastidic),Mucosal,0
poly(glycerol phosphate) wall teichoic acid biosynthesis,Mucosal,0
superpathway of L-threonine biosynthesis,Mucosal,0
tRNA charging,Mucosal,0
UDP-N-acetyl-D-glucosamine biosynthesis I,Mucosal,0
