Pathways,Site,coef,L2,L3
acetylene degradation (anaerobic),Duodenum-Mucosa,-0.09913384054,Fermentation to Acetate (21 instances),Carboxylate Degradation (101 instances)
"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",Duodenum-Mucosa,-0.1900629484,Amino Acid Biosynthesis (124 instances),Biosynthesis (1993 instances)
superpathway of N-acetylneuraminate degradation,Duodenum-Mucosa,-0.09895645426,Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
pentose phosphate pathway,Duodenum-Mucosa,-0.09546055668,Pentose Phosphate Pathways (6 instances),Generation of Precursor Metabolites and Energy (240 instances)
peptidoglycan biosynthesis I (meso-diaminopimelate containing),Duodenum-Mucosa,-0.1183055243,Cell Wall Biosynthesis (26 instances),Cell Structure Biosynthesis (104 instances)
superpathway of phospholipid biosynthesis I (bacteria),Duodenum-Mucosa,-0.1112772509,Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
polyisoprenoid biosynthesis (E. coli),Duodenum-Mucosa,-0.119870656,All-trans Polyprenyl Biosynthesis (13 instances),Polyprenyl Biosynthesis (18 instances)
formaldehyde assimilation II (assimilatory RuMP Cycle),Duodenum-Mucosa,-0.4047480852,Formaldehyde Assimilation (3 instances),C1 Compound Utilization and Assimilation (39 instances)
L-lysine biosynthesis II,Duodenum-Mucosa,-0.1443183777,L-lysine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
L-lysine biosynthesis III,Duodenum-Mucosa,-0.1142139776,L-lysine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
superpathway of L-isoleucine biosynthesis I,Duodenum-Mucosa,-0.1127832512,L-isoleucine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
L-lysine biosynthesis VI,Duodenum-Mucosa,-0.1157655972,L-lysine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
pyruvate fermentation to acetate and lactate II,Duodenum-Mucosa,-0.1240427158,Pyruvate Fermentation to Acetate (11 instances),Fermentation to Acetate (21 instances)
L-isoleucine biosynthesis II,Duodenum-Mucosa,-0.1196456273,L-isoleucine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
L-isoleucine biosynthesis III,Duodenum-Mucosa,-0.1266779721,L-isoleucine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
L-isoleucine biosynthesis IV,Duodenum-Mucosa,-0.1190202692,L-isoleucine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),Duodenum-Mucosa,-0.1144948162,Diterpenoid Biosynthesis (44 instances),Terpenoid Biosynthesis (203 instances)
tetrapyrrole biosynthesis I (from glutamate),Duodenum-Mucosa,-0.2342820088,Tetrapyrrole Biosynthesis (39 instances),Biosynthesis (1993 instances)
tetrapyrrole biosynthesis II (from glycine),Duodenum-Mucosa,-0.2357435633,Tetrapyrrole Biosynthesis (39 instances),Biosynthesis (1993 instances)
glycolysis II (from fructose 6-phosphate),Duodenum-Mucosa,-0.1061872614,Glycolysis (5 instances),Generation of Precursor Metabolites and Energy (240 instances)
L-glutamate and L-glutamine biosynthesis,Duodenum-Mucosa,-0.2339404048,L-glutamate Biosynthesis (7 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I,Duodenum-Mucosa,-0.2926557578,Adenosylcobamide Biosynthesis (13 instances),Cobamide de novo Biosynthesis (21 instances)
CDP-diacylglycerol biosynthesis I,Duodenum-Mucosa,-0.1128898028,CDP-diacylglycerol Biosynthesis (3 instances),Phospholipid Biosynthesis (38 instances)
UMP biosynthesis I,Duodenum-Mucosa,-0.1331705727,UMP Biosynthesis (3 instances),Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances)
inosine 5'-phosphate degradation,Duodenum-Mucosa,-0.08742504651,Purine Nucleotide Degradation (16 instances),Nucleoside and Nucleotide Degradation (40 instances)
superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),Duodenum-Mucosa,-0.2000536188,Geranylgeranyl Diphosphate Biosynthesis (3 instances),Polyprenyl Biosynthesis (18 instances)
partial TCA cycle (obligate autotrophs),Duodenum-Mucosa,-0.1604384168,TCA cycle (9 instances),Generation of Precursor Metabolites and Energy (240 instances)
cis-vaccenate biosynthesis,Duodenum-Mucosa,-0.1022653193,Unsaturated Fatty Acid Biosynthesis (60 instances),Fatty Acid Biosynthesis (92 instances)
5-aminoimidazole ribonucleotide biosynthesis I,Duodenum-Mucosa,-0.1241167653,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),Purine Nucleotide Biosynthesis (33 instances)
5-aminoimidazole ribonucleotide biosynthesis II,Duodenum-Mucosa,-0.1280624278,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),Purine Nucleotide Biosynthesis (33 instances)
inosine-5'-phosphate biosynthesis I,Duodenum-Mucosa,-0.1298518302,Inosine-5'-phosphate Biosynthesis (3 instances),Purine Riboucleotide De Novo Biosynthesis (5 instances)
superpathway of guanosine nucleotides de novo biosynthesis II,Duodenum-Mucosa,-0.1085176622,Purine Nucleotide De Novo Biosynthesis (16 instances),Purine Nucleotide Biosynthesis (33 instances)
superpathway of adenosine nucleotides de novo biosynthesis II,Duodenum-Mucosa,-0.1136139635,Purine Nucleotide De Novo Biosynthesis (16 instances),Purine Nucleotide Biosynthesis (33 instances)
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,Duodenum-Mucosa,-0.1606273114,6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances),Folate Biosynthesis (14 instances)
S-adenosyl-L-methionine salvage I,Duodenum-Mucosa,-0.1288866682,S-adenosyl-L-methionine Biosynthesis (3 instances),Enzyme Cofactor Biosynthesis (137 instances)
chorismate biosynthesis from 3-dehydroquinate,Duodenum-Mucosa,-0.09960214289,Chorismate Biosynthesis (3 instances),Aromatic Compound Biosynthesis (51 instances)
sucrose degradation III (sucrose invertase),Duodenum-Mucosa,-0.118277429,Sucrose Degradation (7 instances),Sugar Degradation (77 instances)
superpathway of adenosylcobalamin salvage from cobinamide II,Duodenum-Mucosa,-0.3095491024,Adenosylcobalamin Salvage from Cobinamide (5 instances),Cobinamide Salvage (7 instances)
superpathway of 5-aminoimidazole ribonucleotide biosynthesis,Duodenum-Mucosa,-0.1280624278,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),Purine Nucleotide Biosynthesis (33 instances)
D-galactose degradation I (Leloir pathway),Duodenum-Mucosa,-0.1324787592,Galactose Degradation (5 instances),Sugar Degradation (77 instances)
peptidoglycan biosynthesis III (mycobacteria),Duodenum-Mucosa,-0.1165827914,Peptidoglycan Biosynthesis (6 instances),Cell Wall Biosynthesis (26 instances)
UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),Duodenum-Mucosa,-0.1176786237,UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances),Cell Wall Biosynthesis (26 instances)
UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),Duodenum-Mucosa,-0.1173996188,UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances),Cell Wall Biosynthesis (26 instances)
peptidoglycan biosynthesis IV (Enterococcus faecium),Duodenum-Mucosa,-0.1644624429,Antibiotic Resistance (8 instances),Detoxification (65 instances)
pyrimidine deoxyribonucleotides de novo biosynthesis III,Duodenum-Mucosa,-0.2119546997,Metabolic Clusters (69 instances),NA
adenine and adenosine salvage III,Duodenum-Mucosa,-0.1203797755,Adenine and Adenosine Salvage (6 instances),Purine Nucleotide Salvage (13 instances)
superpathway of tetrahydrofolate biosynthesis,Duodenum-Mucosa,-0.1329281919,Folate Biosynthesis (14 instances),Single Carbon Carrier Biosynthesis (23 instances)
superpathway of L-phenylalanine biosynthesis,Duodenum-Mucosa,-0.2424711825,L-phenylalanine Biosynthesis (4 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
superpathway of L-tyrosine biosynthesis,Duodenum-Mucosa,-0.2614013682,L-tyrosine Biosynthesis (5 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
queuosine biosynthesis I (de novo),Duodenum-Mucosa,-0.108350198,Queuosine Biosynthesis and Salvage (3 instances),Nucleic Acid Processing (21 instances)
starch degradation V,Duodenum-Mucosa,-0.1379656635,Starch Degradation (5 instances),Polysaccharide Degradation (47 instances)
pyruvate fermentation to isobutanol (engineered),Duodenum-Mucosa,-0.1184236612,Fermentation of Pyruvate (37 instances),Fermentation (81 instances)
pyrimidine deoxyribonucleotides de novo biosynthesis I,Duodenum-Mucosa,-0.1017890023,Metabolic Clusters (69 instances),NA
pyrimidine deoxyribonucleotides de novo biosynthesis II,Duodenum-Mucosa,-0.1169271862,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),2'-Deoxyribonucleotide Biosynthesis (11 instances)
superpathway of pyrimidine ribonucleosides salvage,Duodenum-Mucosa,-0.09669322582,Pyrimidine Nucleotide Salvage (12 instances),Pyrimidine Nucleotide Biosynthesis (23 instances)
pyrimidine deoxyribonucleotide phosphorylation,Duodenum-Mucosa,-0.1115582409,Metabolic Clusters (69 instances),NA
superpathway of pyrimidine deoxyribonucleoside salvage,Duodenum-Mucosa,-0.07957315793,Pyrimidine Nucleotide Salvage (12 instances),Pyrimidine Nucleotide Biosynthesis (23 instances)
superpathway of pyrimidine nucleobases salvage,Duodenum-Mucosa,-0.1136097796,Pyrimidine Nucleotide Salvage (12 instances),Pyrimidine Nucleotide Biosynthesis (23 instances)
adenosine ribonucleotides de novo biosynthesis,Duodenum-Mucosa,-0.1136451691,Purine Riboucleotide De Novo Biosynthesis (5 instances),Purine Nucleotide De Novo Biosynthesis (16 instances)
adenosine deoxyribonucleotides de novo biosynthesis II,Duodenum-Mucosa,-0.1164420328,Adenosine Deoxyribonucleotide De Novo Biosynthesis (2 instances),Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)
guanosine ribonucleotides de novo biosynthesis,Duodenum-Mucosa,-0.1202657584,Purine Riboucleotide De Novo Biosynthesis (5 instances),Purine Nucleotide De Novo Biosynthesis (16 instances)
guanosine deoxyribonucleotides de novo biosynthesis II,Duodenum-Mucosa,-0.1164420328,Guanosine Deoxyribonucleotide De Novo Biosynthesis (2 instances),Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)
superpathway of guanosine nucleotides de novo biosynthesis I,Duodenum-Mucosa,-0.1049220565,Purine Nucleotide De Novo Biosynthesis (16 instances),Purine Nucleotide Biosynthesis (33 instances)
superpathway of adenosine nucleotides de novo biosynthesis I,Duodenum-Mucosa,-0.1122062046,Purine Nucleotide De Novo Biosynthesis (16 instances),Purine Nucleotide Biosynthesis (33 instances)
inosine-5'-phosphate biosynthesis III,Duodenum-Mucosa,-0.1183156967,Inosine-5'-phosphate Biosynthesis (3 instances),Purine Riboucleotide De Novo Biosynthesis (5 instances)
superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,Duodenum-Mucosa,-0.3070751516,UDP-sugar Biosynthesis (31 instances),Sugar Nucleotide Biosynthesis (92 instances)
"cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)",Duodenum-Mucosa,-0.3041644931,"cob(II)yrinate a,c-diamide biosynthesis (2 instances)",Enzyme Cofactor Biosynthesis (137 instances)
taxadiene biosynthesis (engineered),Duodenum-Mucosa,-0.1692566238,Diterpenoid Biosynthesis (44 instances),Terpenoid Biosynthesis (203 instances)
L-arginine biosynthesis IV (archaea),Duodenum-Mucosa,-0.1599001279,L-arginine Biosynthesis (4 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),Duodenum-Mucosa,-0.1687118548,6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances),Folate Biosynthesis (14 instances)
methylerythritol phosphate pathway II,Duodenum-Mucosa,-0.1149405889,Methylerythritol Phosphate Pathways (2 instances),Isopentenyl Diphosphate Biosynthesis (6 instances)
gondoate biosynthesis (anaerobic),Duodenum-Mucosa,-0.1032112886,Unsaturated Fatty Acid Biosynthesis (60 instances),Fatty Acid Biosynthesis (92 instances)
superpathway of purine nucleotides de novo biosynthesis I,Duodenum-Mucosa,-0.1122201425,Purine Nucleotide De Novo Biosynthesis (16 instances),Purine Nucleotide Biosynthesis (33 instances)
mevalonate pathway I (eukaryotes and bacteria),Duodenum-Mucosa,-0.2319300204,Mevalonate Pathways (4 instances),Isopentenyl Diphosphate Biosynthesis (6 instances)
purine ribonucleosides degradation,Duodenum-Mucosa,-0.1235009482,Purine Nucleotide Degradation (16 instances),Nucleoside and Nucleotide Degradation (40 instances)
superpathway of purine deoxyribonucleosides degradation,Duodenum-Mucosa,-0.1196051516,Nucleoside and Nucleotide Degradation (40 instances),Degradation/Utilization/Assimilation (1104 instances)
superpathway of pyrimidine deoxyribonucleosides degrad,Duodenum-Mucosa,-0.1141597419,Pyrimidine Nucleotide Degradation (13 instances),Nucleoside and Nucleotide Degradation (40 instances)
CDP-diacylglycerol biosynthesis II,Duodenum-Mucosa,-0.1128898028,CDP-diacylglycerol Biosynthesis (3 instances),Phospholipid Biosynthesis (38 instances)
peptidoglycan maturation (meso-diaminopimelate containing),Duodenum-Mucosa,-0.1079226254,Peptidoglycan Biosynthesis (6 instances),Cell Wall Biosynthesis (26 instances)
superpathway of pyrimidine ribonucleotides de novo biosynthesis,Duodenum-Mucosa,-0.1164403045,Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances),Pyrimidine Nucleotide De Novo Biosynthesis (11 instances)
superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),Duodenum-Mucosa,-0.1117224825,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),2'-Deoxyribonucleotide Biosynthesis (11 instances)
aspartate superpathway,Duodenum-Mucosa,-0.2091638392,Superpathways (382 instances),NA
nitrate reduction VI (assimilatory),Duodenum-Mucosa,-0.3908566507,Nitrate Reduction (11 instances),Nitrogen Compound Metabolism (33 instances)
phosphatidylglycerol biosynthesis I (plastidic),Duodenum-Mucosa,-0.1129690406,Phosphatidylglycerol Biosynthesis (2 instances),Phospholipid Biosynthesis (38 instances)
phosphatidylglycerol biosynthesis II (non-plastidic),Duodenum-Mucosa,-0.1129690406,Phosphatidylglycerol Biosynthesis (2 instances),Phospholipid Biosynthesis (38 instances)
NAD salvage pathway I (PNC VI cycle),Duodenum-Mucosa,-0.1619650772,NAD Biosynthesis (12 instances),NAD Metabolism (19 instances)
NAD de novo biosynthesis I (from aspartate),Duodenum-Mucosa,-0.1520984864,NAD Biosynthesis (12 instances),NAD Metabolism (19 instances)
flavin biosynthesis I (bacteria and plants),Duodenum-Mucosa,-0.1163346417,Flavin Biosynthesis (5 instances),Electron Carrier Biosynthesis (99 instances)
formaldehyde oxidation I,Duodenum-Mucosa,-0.3732277904,Formaldehyde Oxidation (7 instances),C1 Compound Utilization and Assimilation (39 instances)
superpathway of L-serine and glycine biosynthesis I,Duodenum-Mucosa,-0.142563435,Amino Acid Biosynthesis (124 instances),Biosynthesis (1993 instances)
poly(glycerol phosphate) wall teichoic acid biosynthesis,Duodenum-Mucosa,-0.3163010792,Teichoic Acid Biosynthesis (7 instances),Cell Wall Biosynthesis (26 instances)
superpathway of L-threonine biosynthesis,Duodenum-Mucosa,-0.121116153,L-threonine Biosynthesis (2 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
tRNA charging,Duodenum-Mucosa,-0.1093871088,Aminoacyl-tRNA Charging (4 instances),Biosynthesis (1993 instances)
UDP-N-acetyl-D-glucosamine biosynthesis I,Duodenum-Mucosa,-0.1165256962,UDP-N-acetyl-D-glucosamine Biosynthesis (2 instances),UDP-sugar Biosynthesis (31 instances)
L-valine biosynthesis,Duodenum-Mucosa,-0.1234900677,L-valine Biosynthesis (1 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
homolactic fermentation,Jejunum-Mucosa,-0.1330523946,Fermentation to Lactate (8 instances),Fermentation to Short-Chain Fatty Acids (40 instances)
glycolysis III (from glucose),Jejunum-Mucosa,-0.1189710952,Glycolysis (5 instances),Generation of Precursor Metabolites and Energy (240 instances)
L-arginine biosynthesis I (via L-ornithine),Jejunum-Mucosa,-0.1996908051,L-arginine Biosynthesis (4 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
L-arginine biosynthesis II (acetyl cycle),Jejunum-Mucosa,-0.2210894868,L-arginine Biosynthesis (4 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
chorismate biosynthesis I,Jejunum-Mucosa,-0.2065159072,Chorismate Biosynthesis (3 instances),Aromatic Compound Biosynthesis (51 instances)
superpathway of L-aspartate and L-asparagine biosynthesis,Jejunum-Mucosa,-0.156005149,Amino Acid Biosynthesis (124 instances),Biosynthesis (1993 instances)
superpathway of branched chain amino acid biosynthesis,Jejunum-Mucosa,-0.1883499707,Amino Acid Biosynthesis (124 instances),Biosynthesis (1993 instances)
Calvin-Benson-Bassham cycle,Jejunum-Mucosa,-0.1357433515,Autotrophic CO2 Fixation (12 instances),CO2 Fixation (15 instances)
coenzyme A biosynthesis I (prokaryotic),Jejunum-Mucosa,-0.1296891493,Coenzyme A Biosynthesis (8 instances),Carrier Biosynthesis (137 instances)
superpathway of adenosylcobalamin salvage from cobinamide I,Jejunum-Mucosa,-0.3060089037,Adenosylcobalamin Salvage from Cobinamide (5 instances),Cobinamide Salvage (7 instances)
superpathway of aromatic amino acid biosynthesis,Jejunum-Mucosa,-0.1977684611,Amino Acid Biosynthesis (124 instances),Biosynthesis (1993 instances)
L-lysine biosynthesis I,Jejunum-Mucosa,-0.1679201291,L-lysine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
superpathway of purine nucleotides de novo biosynthesis II,Jejunum-Mucosa,-0.1116336326,Purine Nucleotide De Novo Biosynthesis (16 instances),Purine Nucleotide Biosynthesis (33 instances)
dTDP-beta-L-rhamnose biosynthesis,Jejunum-Mucosa,-0.2028280475,dTDP-sugar Biosynthesis (22 instances),Sugar Nucleotide Biosynthesis (92 instances)
fatty acid elongation -- saturated,Jejunum-Mucosa,-0.1000265074,Fatty Acid Biosynthesis (92 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
mixed acid fermentation,Jejunum-Mucosa,-0.1140263831,Fermentation to Short-Chain Fatty Acids (40 instances),Fermentation (81 instances)
superpathway of tetrahydrofolate biosynthesis and salvage,Jejunum-Mucosa,-0.1620923922,Folate Biosynthesis (14 instances),Single Carbon Carrier Biosynthesis (23 instances)
"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",Jejunum-Mucosa,-0.1137131708,Amine and Polyamine Degradation (62 instances),Degradation/Utilization/Assimilation (1104 instances)
gluconeogenesis I,Jejunum-Mucosa,-0.1187417217,Gluconeogenesis (3 instances),Sugar Biosynthesis (107 instances)
L-ornithine biosynthesis I,Jejunum-Mucosa,-0.2784553986,L-Ornithine Biosynthesis (3 instances),Other Amino Acid Biosynthesis (24 instances)
glycogen degradation I,Jejunum-Mucosa,-0.1754304221,Glycan Degradation (11 instances),Polysaccharide Degradation (47 instances)
glycogen biosynthesis I (from ADP-D-Glucose),Jejunum-Mucosa,-0.143479162,Glycogen and Starch Biosynthesis (4 instances),Polysaccharide Biosynthesis (73 instances)
glycolysis I (from glucose 6-phosphate),Jejunum-Mucosa,-0.1295346656,Glycolysis (5 instances),Generation of Precursor Metabolites and Energy (240 instances)
superpathway of glycolysis and the Entner-Doudoroff pathway,Jejunum-Mucosa,-0.1297115425,Generation of Precursor Metabolites and Energy (240 instances),NA
heme b biosynthesis II (oxygen-independent),Jejunum-Mucosa,-0.2114741511,Heme b Biosynthesis (8 instances),Heme Biosynthesis (13 instances)
L-histidine biosynthesis,Jejunum-Mucosa,-0.2437392843,L-histidine Biosynthesis (2 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
L-isoleucine biosynthesis I (from threonine),Jejunum-Mucosa,-0.182833785,L-isoleucine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
methylerythritol phosphate pathway I,Jejunum-Mucosa,-0.1960244031,Methylerythritol Phosphate Pathways (2 instances),Isopentenyl Diphosphate Biosynthesis (6 instances)
pentose phosphate pathway (non-oxidative branch) I,Jejunum-Mucosa,-0.1554520678,Pentose Phosphate Pathways (6 instances),Generation of Precursor Metabolites and Energy (240 instances)
O-antigen building blocks biosynthesis (E. coli),Jejunum-Mucosa,-0.1506889445,Metabolic Clusters (69 instances),NA
heterolactic fermentation,Jejunum-Mucosa,-0.1367516274,Fermentation to Lactate (8 instances),Fermentation to Short-Chain Fatty Acids (40 instances)
Bifidobacterium shunt,Jejunum-Mucosa,-0.1401293112,Fermentation to Acetate (21 instances),Carboxylate Degradation (101 instances)
acetylene degradation (anaerobic),Jejunum-Mucosa,-0.09458448644,Fermentation to Acetate (21 instances),Carboxylate Degradation (101 instances)
"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",Jejunum-Mucosa,-0.153593533,Amino Acid Biosynthesis (124 instances),Biosynthesis (1993 instances)
superpathway of N-acetylneuraminate degradation,Jejunum-Mucosa,-0.1137480423,Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
pentose phosphate pathway,Jejunum-Mucosa,-0.1437414859,Pentose Phosphate Pathways (6 instances),Generation of Precursor Metabolites and Energy (240 instances)
peptidoglycan biosynthesis I (meso-diaminopimelate containing),Jejunum-Mucosa,-0.1241632543,Cell Wall Biosynthesis (26 instances),Cell Structure Biosynthesis (104 instances)
superpathway of phospholipid biosynthesis I (bacteria),Jejunum-Mucosa,-0.1192496072,Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
polyisoprenoid biosynthesis (E. coli),Jejunum-Mucosa,-0.1163767871,All-trans Polyprenyl Biosynthesis (13 instances),Polyprenyl Biosynthesis (18 instances)
formaldehyde assimilation II (assimilatory RuMP Cycle),Jejunum-Mucosa,-0.4268003248,Formaldehyde Assimilation (3 instances),C1 Compound Utilization and Assimilation (39 instances)
L-lysine biosynthesis II,Jejunum-Mucosa,-0.1494888395,L-lysine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
L-lysine biosynthesis III,Jejunum-Mucosa,-0.1251900157,L-lysine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
superpathway of L-isoleucine biosynthesis I,Jejunum-Mucosa,-0.1517181659,L-isoleucine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
