feature,Site ,metadata,value,coef,stderr,N,N.not.0,pval,qval,Pathway,L2,L2A,L3 
PWY-6123,Cecum,Type,Mucosal,-0.05798985132,0.01861413477,95,95,0.002485970214,0.0254587311,inosine-5'-phosphate biosynthesis I,Inosine-5'-phosphate Biosynthesis (3 instances),,Purine Riboucleotide De Novo Biosynthesis (5 instances)
PWY-6126,Cecum,Type,Mucosal,-0.06630782957,0.01666637065,95,95,0.0001427867456,0.005004863115,superpathway of adenosine nucleotides de novo biosynthesis II,Purine Nucleotide De Novo Biosynthesis (16 instances),,Purine Nucleotide Biosynthesis (33 instances)
PWY-6147,Cecum,Type,Mucosal,-0.1333183828,0.02524333309,95,86,0.0000009417537659,0.0002302644459,6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances),,Folate Biosynthesis (14 instances)
PWY-6151,Cecum,Type,Mucosal,-0.07684843296,0.02356617955,95,93,0.001585213222,0.01823923153,S-adenosyl-L-methionine salvage I,S-adenosyl-L-methionine Biosynthesis (3 instances),,Enzyme Cofactor Biosynthesis (137 instances)
PWY-621,Cecum,Type,Mucosal,-0.05919874501,0.01826648706,95,95,0.00168841016,0.01888353468,sucrose degradation III (sucrose invertase),Sucrose Degradation (7 instances),,Sugar Degradation (77 instances)
PWY-6277,Cecum,Type,Mucosal,-0.05609262852,0.01817271498,95,95,0.002712869738,0.02620385542,superpathway of 5-aminoimidazole ribonucleotide biosynthesis,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),,Purine Nucleotide Biosynthesis (33 instances)
PWY-6317,Cecum,Type,Mucosal,-0.07487021487,0.01870557169,95,95,0.0001311463615,0.004846713359,D-galactose degradation I (Leloir pathway),Galactose Degradation (5 instances),,Sugar Degradation (77 instances)
PWY-6385,Cecum,Type,Mucosal,-0.06614438082,0.018361607,95,95,0.0005233868651,0.008723114418,peptidoglycan biosynthesis III (mycobacteria),Peptidoglycan Biosynthesis (6 instances),,Cell Wall Biosynthesis (26 instances)
PWY-6386,Cecum,Type,Mucosal,-0.06639492298,0.01838480787,95,95,0.0005077188779,0.008723114418,UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances),,Cell Wall Biosynthesis (26 instances)
PWY-6387,Cecum,Type,Mucosal,-0.0660425695,0.01823168027,95,95,0.0004892972959,0.008723114418,UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances),,Cell Wall Biosynthesis (26 instances)
PWY-6467,Cecum,Type,Mucosal,-0.212736179,0.06509167851,95,38,0.002524393918,0.02554446227,Kdo transfer to lipid IVA III (Chlamydia),Kdo Transfer to Lipid IVA (8 instances),,Lipopolysaccharide Biosynthesis (68 instances)
PWY-6471,Cecum,Type,Mucosal,-0.1304721041,0.03872767891,95,88,0.001125824298,0.01407280373,peptidoglycan biosynthesis IV (Enterococcus faecium),Antibiotic Resistance (8 instances),Peptidoglycan Biosynthesis (6 instances),Detoxification (65 instances)
PWY-6507,Cecum,Type,Mucosal,-0.1487253321,0.04516977933,95,73,0.002392976575,0.02511148258,4-deoxy-L-threo-hex-4-enopyranuronate degradation,Sugar Derivative Degradation (56 instances),,Secondary Metabolite Degradation (127 instances)
PWY-6609,Cecum,Type,Mucosal,-0.07637117355,0.01932746186,95,95,0.0001574783121,0.005148329434,adenine and adenosine salvage III,Adenine and Adenosine Salvage (6 instances),,Purine Nucleotide Salvage (13 instances)
PWY-6612,Cecum,Type,Mucosal,-0.07027564359,0.01977951795,95,86,0.0008802752508,0.01226613054,superpathway of tetrahydrofolate biosynthesis,Folate Biosynthesis (14 instances),,Single Carbon Carrier Biosynthesis (23 instances)
PWY-6737,Cecum,Type,Mucosal,-0.05273304687,0.01837546492,95,95,0.005157859786,0.04175410303,starch degradation V,Starch Degradation (5 instances),,Polysaccharide Degradation (47 instances)
PWY-6901,Cecum,Type,Mucosal,-0.1705658147,0.04716185186,95,35,0.0008231679815,0.01185919973,superpathway of glucose and xylose degradation,Sugar Degradation (77 instances),,Carbohydrate Degradation (134 instances)
PWY-7003,Cecum,Type,Mucosal,-0.1241688595,0.04243532263,95,61,0.004481029828,0.03751308565,glycerol degradation to butanol,Fermentation to Alcohols (17 instances),,Fermentation (81 instances)
PWY-7013,Cecum,Type,Mucosal,-0.1625209329,0.05111623167,95,41,0.003641940531,0.0325857837,"(S)-propane-1,2-diol degradation",Alcohol Degradation (20 instances),Fermentation to Propanoate (7 instances),Degradation/Utilization/Assimilation (1104 instances)
PWY-7208,Cecum,Type,Mucosal,-0.06349058902,0.01771611941,95,95,0.0005568159621,0.009101799381,superpathway of pyrimidine nucleobases salvage,Pyrimidine Nucleotide Salvage (12 instances),,Pyrimidine Nucleotide Biosynthesis (23 instances)
PWY-7211,Cecum,Type,Mucosal,-0.2308272185,0.04178975889,95,43,0.000004389622508,0.0003934487551,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,2'-Deoxyribonucleotide Biosynthesis (11 instances)
PWY-7219,Cecum,Type,Mucosal,-0.06184486049,0.01716425746,95,95,0.000521997197,0.008723114418,adenosine ribonucleotides de novo biosynthesis,Purine Riboucleotide De Novo Biosynthesis (5 instances),,Purine Nucleotide De Novo Biosynthesis (16 instances)
PWY-7220,Cecum,Type,Mucosal,-0.07141389099,0.01704829183,95,95,0.0001301977729,0.004846713359,adenosine deoxyribonucleotides de novo biosynthesis II,Adenosine Deoxyribonucleotide De Novo Biosynthesis (2 instances),,Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)
PWY-7221,Cecum,Type,Mucosal,-0.06809498759,0.01880952219,95,95,0.0004928549163,0.008723114418,guanosine ribonucleotides de novo biosynthesis,Purine Riboucleotide De Novo Biosynthesis (5 instances),,Purine Nucleotide De Novo Biosynthesis (16 instances)
PWY-7222,Cecum,Type,Mucosal,-0.07141389099,0.01704829183,95,95,0.0001301977729,0.004846713359,guanosine deoxyribonucleotides de novo biosynthesis II,Guanosine Deoxyribonucleotide De Novo Biosynthesis (2 instances),,Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)
PWY-7229,Cecum,Type,Mucosal,-0.06404932917,0.01627843316,95,95,0.0001668310595,0.00525208891,superpathway of adenosine nucleotides de novo biosynthesis I,Purine Nucleotide De Novo Biosynthesis (16 instances),,Purine Nucleotide Biosynthesis (33 instances)
PWY-7328,Cecum,Type,Mucosal,-0.2031730466,0.0667776547,95,39,0.003909281857,0.03425659359,superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,UDP-sugar Biosynthesis (31 instances),,Sugar Nucleotide Biosynthesis (92 instances)
PWY-7392,Cecum,Type,Mucosal,-0.09036779514,0.02785257043,95,89,0.001671166345,0.01888353468,taxadiene biosynthesis (engineered),Diterpenoid Biosynthesis (44 instances),,Terpenoid Biosynthesis (203 instances)
PWY-7539,Cecum,Type,Mucosal,-0.1275466708,0.02495935498,95,85,0.000001896295437,0.0002302644459,6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances),,Folate Biosynthesis (14 instances)
PWY-7663,Cecum,Type,Mucosal,-0.05360830155,0.01683110742,95,95,0.002007130691,0.02159570996,gondoate biosynthesis (anaerobic),Unsaturated Fatty Acid Biosynthesis (60 instances),,Fatty Acid Biosynthesis (92 instances)
PWY0-1296,Cecum,Type,Mucosal,-0.08883318572,0.02328954255,95,94,0.0002551506724,0.006777439736,purine ribonucleosides degradation,Purine Nucleotide Degradation (16 instances),,Nucleoside and Nucleotide Degradation (40 instances)
PWY0-1297,Cecum,Type,Mucosal,-0.09159311357,0.02243587545,95,94,0.0005776414706,0.009264061321,superpathway of purine deoxyribonucleosides degradation,Nucleoside and Nucleotide Degradation (40 instances),,Degradation/Utilization/Assimilation (1104 instances)
PWY0-1298,Cecum,Type,Mucosal,-0.08763426723,0.02281540487,95,94,0.001076782147,0.01407280373,superpathway of pyrimidine deoxyribonucleosides degradation,Pyrimidine Nucleotide Degradation (13 instances),,Nucleoside and Nucleotide Degradation (40 instances)
PWY0-1319,Cecum,Type,Mucosal,-0.06127348396,0.01741962009,95,95,0.0006937362125,0.01034518913,CDP-diacylglycerol biosynthesis II,CDP-diacylglycerol Biosynthesis (3 instances),,Phospholipid Biosynthesis (38 instances)
PWY0-1586,Cecum,Type,Mucosal,-0.06829515097,0.02133835228,95,94,0.001915064911,0.02086929711,peptidoglycan maturation (meso-diaminopimelate containing),Peptidoglycan Biosynthesis (6 instances),,Cell Wall Biosynthesis (26 instances)
PWY0-781,Cecum,Type,Mucosal,-0.1368872215,0.04427502472,95,58,0.003358276835,0.03094759921,aspartate superpathway,Superpathways (382 instances),,NA
PWY4FS-7,Cecum,Type,Mucosal,-0.05865422958,0.01738995979,95,95,0.001110494167,0.01407280373,phosphatidylglycerol biosynthesis I (plastidic),Phosphatidylglycerol Biosynthesis (2 instances),,Phospholipid Biosynthesis (38 instances)
PWY4FS-8,Cecum,Type,Mucosal,-0.05865422958,0.01738995979,95,95,0.001110494167,0.01407280373,phosphatidylglycerol biosynthesis II (non-plastidic),Phosphatidylglycerol Biosynthesis (2 instances),,Phospholipid Biosynthesis (38 instances)
TEICHOICACID-PWY,Cecum,Type,Mucosal,-0.236156083,0.07605071626,95,58,0.00261002628,0.02606380981,poly(glycerol phosphate) wall teichoic acid biosynthesis,Teichoic Acid Biosynthesis (7 instances),,Cell Wall Biosynthesis (26 instances)
THRESYN-PWY,Cecum,Type,Mucosal,-0.05745943947,0.01667560897,95,95,0.0008777865908,0.01226613054,superpathway of L-threonine biosynthesis,L-threonine Biosynthesis (2 instances),,Proteinogenic Amino Acid Biosynthesis (89 instances)
TRNA-CHARGING-PWY,Cecum,Type,Mucosal,-0.06280540207,0.01719945827,95,95,0.0004438899079,0.008723114418,tRNA charging,Aminoacyl-tRNA Charging (4 instances),Metabolic Clusters (69 instances),Biosynthesis (1993 instances)
UDPNAGSYN-PWY,Cecum,Type,Mucosal,-0.0601597772,0.01996818621,95,95,0.003386031443,0.03094759921,UDP-N-acetyl-D-glucosamine biosynthesis I,UDP-N-acetyl-D-glucosamine Biosynthesis (2 instances),,UDP-sugar Biosynthesis (31 instances)
