"","value","coef","stderr","N","N.not.0","pval","qval","Pathways","L2","L2A","L2B","L2C","L3","value","coef","stderr","N","N.not.0","pval","qval","Pathway","L2","L2A","L2B","L2C","L3","X","Order","Terminal.Pathway","L1...Terminal.Pathway","L2.1","L2A.1","L2B.1","L2C.1","L3.1","L4","X.1","X.2","X.3","X.4","X.5","X.6","ID","Name","value.1","coef.1","stderr.1","N.1","N.not.0.1","pval.1","qval.1","Pathways","L2.2","L2A.2","L2B.2","L2C.2","L3.2"
"COMPLETE-ARO-PWY","Mucosal",-0.1977684611,0.02186481673,91,83,0.00000000000969,0.000000000314,"superpathway of aromatic amino acid biosynthesis","Amino Acid Biosynthesis (124 instances)","","","","Biosynthesis (1993 instances)","Mucosal",-0.1743270691,0.0255105149,86,79,0.0000000238,0.000000586,"superpathway of aromatic amino acid biosynthesis","Amino Acid Biosynthesis (124 instances)","","",NA,"Biosynthesis (1993 instances)",NA,138,"partial TCA cycle (obligate autotrophs)","partial TCA cycle (obligate autotrophs)","TCA cycle (9 instances)","",NA,NA,"Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,NA,NA,NA,NA,NA,"PWY-5971","palmitate biosynthesis (type II fatty acid synthase)","Mucosal",-0.1036769737,0.02398978621,92,89,0.0000813,0.0006105440199,"superpathway of aromatic amino acid biosynthesis","Amino Acid Biosynthesis (124 instances)","","","","Biosynthesis (1993 instances)"
"DAPLYSINESYN-PWY","Mucosal",-0.1679201291,0.01898507533,91,90,0.0000000000153,0.000000000461,"L-lysine biosynthesis I","L-lysine Biosynthesis (6 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)","Mucosal",-0.1487453714,0.01664335663,86,85,0.0000000000301,0.00000000432,"L-lysine biosynthesis I","L-lysine Biosynthesis (6 instances)","","",NA,"Proteinogenic Amino Acid Biosynthesis (89 instances)",NA,139,"pentose phosphate pathway","pentose phosphate pathway","Pentose Phosphate Pathways (6 instances)","",NA,NA,"Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,NA,NA,NA,NA,NA,"PWY-6282","palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)","Mucosal",-0.1260124545,0.02077542379,92,91,0.000000222,0.00000263,"L-lysine biosynthesis I","L-lysine Biosynthesis (6 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)"
"DENOVOPURINE2-PWY","Mucosal",-0.1116336326,0.01736149156,91,91,0.0000000677,0.000000704,"superpathway of purine nucleotides de novo biosynthesis II","Purine Nucleotide De Novo Biosynthesis (16 instances)","","","","Purine Nucleotide Biosynthesis (33 instances)","Mucosal",-0.08549517591,0.01608751725,86,86,0.00000382,0.0000346,"superpathway of purine nucleotides de novo biosynthesis II","Purine Nucleotide De Novo Biosynthesis (16 instances)","","",NA,"Purine Nucleotide Biosynthesis (33 instances)",NA,141,"pentose phosphate pathway (non-oxidative branch) I","pentose phosphate pathway (non-oxidative branch) I","Pentose Phosphate Pathways (6 instances)","",NA,NA,"Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,NA,NA,NA,NA,NA,"PWY-5913","partial TCA cycle (obligate autotrophs)","Mucosal",-0.1148267871,0.01811311562,92,92,0.0000000859,0.0000012,"superpathway of purine nucleotides de novo biosynthesis II","Purine Nucleotide De Novo Biosynthesis (16 instances)","","","","Purine Nucleotide Biosynthesis (33 instances)"
"DTDPRHAMSYN-PWY","Mucosal",-0.2028280475,0.02945222421,91,84,0.0000000137,0.0000002,"dTDP-beta-L-rhamnose biosynthesis","dTDP-sugar Biosynthesis (22 instances)","","","","Sugar Nucleotide Biosynthesis (92 instances)","Mucosal",-0.1981585661,0.0335352992,86,78,0.0000000968,0.00000185,"dTDP-beta-L-rhamnose biosynthesis","dTDP-sugar Biosynthesis (22 instances)","","",NA,"Sugar Nucleotide Biosynthesis (92 instances)",NA,142,"peptidoglycan biosynthesis I (meso-diaminopimelate containing)","peptidoglycan biosynthesis I (meso-diaminopimelate containing)","Cell Wall Biosynthesis (26 instances)","",NA,NA,"Cell Structure Biosynthesis (104 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA,"PENTOSE-P-PWY","pentose phosphate pathway","Mucosal",-0.1648799745,0.02517434335,92,86,0.00000000513,0.000000175,"dTDP-beta-L-rhamnose biosynthesis","dTDP-sugar Biosynthesis (22 instances)","","","","Sugar Nucleotide Biosynthesis (92 instances)"
"FASYN-ELONG-PWY","Mucosal",-0.1000265074,0.01736635613,91,91,0.000000693,0.00000597,"fatty acid elongation -- saturated","Fatty Acid Biosynthesis (92 instances)","","","","Fatty Acid and Lipid Biosynthesis (224 instances)","Mucosal",-0.08114667774,0.01668907872,86,86,0.0000164,0.0001330497639,"fatty acid elongation -- saturated","Fatty Acid Biosynthesis (92 instances)","","",NA,"Fatty Acid and Lipid Biosynthesis (224 instances)",NA,143,"peptidoglycan biosynthesis II (staphylococci)","peptidoglycan biosynthesis II (staphylococci)","Peptidoglycan Biosynthesis (6 instances)","",NA,NA,"Cell Wall Biosynthesis (26 instances)","Cell Structure Biosynthesis (104 instances)",NA,NA,NA,NA,NA,NA,"NONOXIPENT-PWY","pentose phosphate pathway (non-oxidative branch) I","Mucosal",-0.09284651749,0.01859467709,92,92,0.00000866,0.0000751,"fatty acid elongation -- saturated","Fatty Acid Biosynthesis (92 instances)","","","","Fatty Acid and Lipid Biosynthesis (224 instances)"
"FERMENTATION-PWY","Mucosal",-0.1140263831,0.02263394236,91,84,0.00000833,0.0000622,"mixed acid fermentation","Fermentation to Short-Chain Fatty Acids (40 instances)","Pyruvate Fermentation to Ethanol (7 instances)","","","Fermentation (81 instances)","Mucosal",-0.1274134925,0.02288973357,86,80,0.00000136,0.000014,"mixed acid fermentation","Fermentation to Short-Chain Fatty Acids (40 instances)","Pyruvate Fermentation to Ethanol (7 instances)","",NA,"Fermentation (81 instances)",NA,145,"peptidoglycan biosynthesis III (mycobacteria)","peptidoglycan biosynthesis III (mycobacteria)","Peptidoglycan Biosynthesis (6 instances)","",NA,NA,"Cell Wall Biosynthesis (26 instances)","Cell Structure Biosynthesis (104 instances)",NA,NA,NA,NA,NA,NA,"PEPTIDOGLYCANSYN-PWY","peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)","Mucosal",-0.08322548565,0.02500728207,92,86,0.00173832422,0.01124562053,"mixed acid fermentation","Fermentation to Short-Chain Fatty Acids (40 instances)","Pyruvate Fermentation to Ethanol (7 instances)","","","Fermentation (81 instances)"
"FOLSYN-PWY","Mucosal",-0.1620923922,0.01982217323,91,88,0.00000000000266,0.000000000113,"superpathway of tetrahydrofolate biosynthesis and salvage","Folate Biosynthesis (14 instances)","","","","Single Carbon Carrier Biosynthesis (23 instances)","Mucosal",-0.1384212223,0.02264122763,86,81,0.000000196,0.00000311,"superpathway of tetrahydrofolate biosynthesis and salvage","Folate Biosynthesis (14 instances)","","",NA,"Single Carbon Carrier Biosynthesis (23 instances)",NA,148,"peptidoglycan biosynthesis IV (Enterococcus faecium)","peptidoglycan biosynthesis IV (Enterococcus faecium)","Antibiotic Resistance (8 instances)","Peptidoglycan Biosynthesis (6 instances)",NA,NA,"Detoxification (65 instances)",NA,NA,NA,NA,NA,NA,NA,"PWY-5265","peptidoglycan biosynthesis II (staphylococci)","Mucosal",-0.1182926038,0.02064779663,92,90,0.000000726,0.00000753,"superpathway of tetrahydrofolate biosynthesis and salvage","Folate Biosynthesis (14 instances)","","","","Single Carbon Carrier Biosynthesis (23 instances)"
"GLCMANNANAUT-PWY","Mucosal",-0.1137131708,0.01996647554,91,91,0.000000866,0.00000728,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation","Amine and Polyamine Degradation (62 instances)","","","","Degradation/Utilization/Assimilation (1104 instances)","Mucosal",-0.07713608665,0.02058870426,86,86,0.0005267803575,0.003220458639,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation","Amine and Polyamine Degradation (62 instances)","","",NA,"Degradation/Utilization/Assimilation (1104 instances)",NA,153,"phosphatidylglycerol biosynthesis II (non-plastidic)","phosphatidylglycerol biosynthesis II (non-plastidic)","Phosphatidylglycerol Biosynthesis (2 instances)","",NA,NA,"Phospholipid Biosynthesis (38 instances)","Fatty Acid and Lipid Biosynthesis (224 instances)",NA,NA,NA,NA,NA,NA,"PWY0-1586","peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)","Mucosal",-0.109237722,0.0198716268,92,92,0.00000156,0.0000156,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation","Amine and Polyamine Degradation (62 instances)","","","","Degradation/Utilization/Assimilation (1104 instances)"
"GLUCONEO-PWY","Mucosal",-0.1187417217,0.01521089382,91,91,0.000000000554,0.0000000135,"gluconeogenesis I","Gluconeogenesis (3 instances)","","","","Sugar Biosynthesis (107 instances)","Mucosal",-0.1005724541,0.01549172437,86,86,0.0000000674,0.00000142,"gluconeogenesis I","Gluconeogenesis (3 instances)","","",NA,"Sugar Biosynthesis (107 instances)",NA,155,"phosphopantothenate biosynthesis I","phosphopantothenate biosynthesis I","Phosphopantothenate Biosynthesis (3 instances)","",NA,NA,"Coenzyme A Biosynthesis (8 instances)","Carrier Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA,"PWY4FS-7","phosphatidylglycerol biosynthesis I (plastidic)","Mucosal",-0.1125902911,0.01574475122,92,92,0.00000000488,0.000000175,"gluconeogenesis I","Gluconeogenesis (3 instances)","","","","Sugar Biosynthesis (107 instances)"
"GLUTORN-PWY","Mucosal",-0.2784553986,0.033507975,91,64,0.00000000015,0.00000000385,"L-ornithine biosynthesis I","L-Ornithine Biosynthesis (3 instances)","","","","Other Amino Acid Biosynthesis (24 instances)","Mucosal",-0.2569636498,0.02869116276,86,65,0.0000000000548,0.00000000674,"L-ornithine biosynthesis I","L-Ornithine Biosynthesis (3 instances)","","",NA,"Other Amino Acid Biosynthesis (24 instances)",NA,157,"polyisoprenoid biosynthesis (E. coli)","polyisoprenoid biosynthesis (E. coli)","All-trans Polyprenyl Biosynthesis (13 instances)","",NA,NA,"Polyprenyl Biosynthesis (18 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA,"PANTO-PWY","phosphopantothenate biosynthesis I","Mucosal",-0.2035536119,0.04083310984,92,72,0.00000925,0.0000794,"L-ornithine biosynthesis I","L-Ornithine Biosynthesis (3 instances)","","","","Other Amino Acid Biosynthesis (24 instances)"
"GLYCOCAT-PWY","Mucosal",-0.1754304221,0.01707769023,91,90,0.000000000000145,0.0000000000152,"glycogen degradation I","Glycan Degradation (11 instances)","Glycogen Degradation (3 instances)","","","Polysaccharide Degradation (47 instances)","Mucosal",-0.1433918712,0.01600464102,86,86,0.0000000000254,0.00000000432,"glycogen degradation I","Glycan Degradation (11 instances)","Glycogen Degradation (3 instances)","",NA,"Polysaccharide Degradation (47 instances)",NA,159,"preQ0 biosynthesis","preQ0 biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","",NA,NA,"Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA,NA,"TEICHOICACID-PWY","poly(glycerol phosphate) wall teichoic acid biosynthesis","Mucosal",-0.1337994883,0.01607653805,92,92,0.0000000000953,0.00000002,"glycogen degradation I","Glycan Degradation (11 instances)","Glycogen Degradation (3 instances)","","","Polysaccharide Degradation (47 instances)"
"GLYCOGENSYNTH-PWY","Mucosal",-0.143479162,0.01993286645,91,91,0.00000000449,0.0000000872,"glycogen biosynthesis I (from ADP-D-Glucose)","Glycogen and Starch Biosynthesis (4 instances)","","","","Polysaccharide Biosynthesis (73 instances)","Mucosal",-0.1210122158,0.01887419185,86,86,0.000000092,0.0000018,"glycogen biosynthesis I (from ADP-D-Glucose)","Glycogen and Starch Biosynthesis (4 instances)","","",NA,"Polysaccharide Biosynthesis (73 instances)",NA,161,"purine nucleobases degradation I (anaerobic)","purine nucleobases degradation I (anaerobic)","Fermentation (81 instances)","Purine Nucleotide Degradation (16 instances)",NA,NA,"Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,NA,NA,NA,NA,NA,"POLYISOPRENSYN-PWY","polyisoprenoid biosynthesis (<i>E. coli</i>)","Mucosal",-0.1345819533,0.01809745321,92,92,0.00000000184,0.0000000979,"glycogen biosynthesis I (from ADP-D-Glucose)","Glycogen and Starch Biosynthesis (4 instances)","","","","Polysaccharide Biosynthesis (73 instances)"
"GLYCOLYSIS","Mucosal",-0.1295346656,0.01371644218,91,91,0.00000000000245,0.000000000113,"glycolysis I (from glucose 6-phosphate)","Glycolysis (5 instances)","","","","Generation of Precursor Metabolites and Energy (240 instances)","Mucosal",-0.1068018717,0.01437267714,86,86,0.00000000302,0.0000000998,"glycolysis I (from glucose 6-phosphate)","Glycolysis (5 instances)","","",NA,"Generation of Precursor Metabolites and Energy (240 instances)",NA,162,"purine nucleotides degradation II (aerobic)","purine nucleotides degradation II (aerobic)","Purine Nucleotide Degradation (16 instances)","",NA,NA,"Nucleoside and Nucleotide Degradation (40 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA,"PWY-6703","preQ<sub>0</sub> biosynthesis","Mucosal",-0.1071190922,0.01479693994,92,92,0.000000000198,0.0000000333,"glycolysis I (from glucose 6-phosphate)","Glycolysis (5 instances)","","","","Generation of Precursor Metabolites and Energy (240 instances)"
"GLYCOLYSIS-E-D","Mucosal",-0.1297115425,0.0193583498,91,89,0.0000000237,0.000000287,"superpathway of glycolysis and the Entner-Doudoroff pathway","Generation of Precursor Metabolites and Energy (240 instances)","","","",NA,"Mucosal",-0.1086619589,0.0188755029,86,85,0.000000162,0.00000268,"superpathway of glycolysis and the Entner-Doudoroff pathway","Generation of Precursor Metabolites and Energy (240 instances)","","",NA,NA,NA,164,"purine ribonucleosides degradation","purine ribonucleosides degradation","Purine Nucleotide Degradation (16 instances)","",NA,NA,"Nucleoside and Nucleotide Degradation (40 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA,"P164-PWY","purine nucleobases degradation I (anaerobic)","Mucosal",-0.1059833215,0.0171140756,92,91,0.000000159,0.00000194,"superpathway of glycolysis and the Entner-Doudoroff pathway","Generation of Precursor Metabolites and Energy (240 instances)","","","",NA
"HEMESYN2-PWY","Mucosal",-0.2114741511,0.0385333778,91,60,0.00000159,0.0000128,"heme b biosynthesis II (oxygen-independent)","Heme b Biosynthesis (8 instances)","","","","Heme Biosynthesis (13 instances)","Mucosal",-0.1901740545,0.05889445451,86,56,0.002300383629,0.01224031289,"heme b biosynthesis II (oxygen-independent)","Heme b Biosynthesis (8 instances)","","",NA,"Heme Biosynthesis (13 instances)",NA,165,"pyrimidine deoxyribonucleosides salvage","pyrimidine deoxyribonucleosides salvage","Pyrimidine Nucleotide Salvage (12 instances)","",NA,NA,"Pyrimidine Nucleotide Biosynthesis (23 instances)","Nucleoside and Nucleotide Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA,"PWY-6353","purine nucleotides degradation II (aerobic)","Mucosal",-0.1424422161,0.03527571243,92,58,0.0001215955452,0.0008892335088,"heme b biosynthesis II (oxygen-independent)","Heme b Biosynthesis (8 instances)","","","","Heme Biosynthesis (13 instances)"
"HISTSYN-PWY","Mucosal",-0.2437392843,0.02955323367,91,72,0.000000000207,0.00000000518,"L-histidine biosynthesis","L-histidine Biosynthesis (2 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)","Mucosal",-0.2204872479,0.02642324075,86,68,0.000000000329,0.0000000158,"L-histidine biosynthesis","L-histidine Biosynthesis (2 instances)","","",NA,"Proteinogenic Amino Acid Biosynthesis (89 instances)",NA,170,"pyrimidine deoxyribonucleotides de novo biosynthesis I","pyrimidine deoxyribonucleotides de novo biosynthesis I","Metabolic Clusters (69 instances)","Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PWY-7199","pyrimidine deoxyribonucleosides salvage","Mucosal",-0.17001178,0.03426284999,92,77,0.0000101,0.000086,"L-histidine biosynthesis","L-histidine Biosynthesis (2 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)"
"ILEUSYN-PWY","Mucosal",-0.182833785,0.01802952084,91,89,0.000000000000277,0.0000000000202,"L-isoleucine biosynthesis I (from threonine)","L-isoleucine Biosynthesis (6 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)","Mucosal",-0.1504449824,0.01837112876,86,85,0.000000000289,0.0000000156,"L-isoleucine biosynthesis I (from threonine)","L-isoleucine Biosynthesis (6 instances)","","",NA,"Proteinogenic Amino Acid Biosynthesis (89 instances)",NA,171,"pyrimidine deoxyribonucleotides de novo biosynthesis II","pyrimidine deoxyribonucleotides de novo biosynthesis II","Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances)","",NA,NA,"2'-Deoxyribonucleotide Biosynthesis (11 instances)","Nucleoside and Nucleotide Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA,"PWY-7197","pyrimidine deoxyribonucleotide phosphorylation","Mucosal",-0.1234900677,0.01901631303,92,90,0.0000000536,0.000000878,"L-isoleucine biosynthesis I (from threonine)","L-isoleucine Biosynthesis (6 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)"
