feature,value,coef,stderr,N,N.not.0,pval,qval,Pathway,L2,L2A,L2B,L2C,L3,,Order,Terminal Pathway,L1 = Terminal Pathway,L2,L2A,L2B,L2C,L3,L4,,,,,,,ID,Name
FASYN-ELONG-PWY,Mucosal,-0.08114667774,0.01668907872,86,86,1.64E-05,0.0001330497639,fatty acid elongation -- saturated,Fatty Acid Biosynthesis (92 instances),,,,Fatty Acid and Lipid Biosynthesis (224 instances),,143,peptidoglycan biosynthesis II (staphylococci),peptidoglycan biosynthesis II (staphylococci),Peptidoglycan Biosynthesis (6 instances),,,,Cell Wall Biosynthesis (26 instances),Cell Structure Biosynthesis (104 instances),,,,,,,NONOXIPENT-PWY,pentose phosphate pathway (non-oxidative branch) I
FERMENTATION-PWY,Mucosal,-0.1274134925,0.02288973357,86,80,1.36E-06,1.40E-05,mixed acid fermentation,Fermentation to Short-Chain Fatty Acids (40 instances),Pyruvate Fermentation to Ethanol (7 instances),,,Fermentation (81 instances),,145,peptidoglycan biosynthesis III (mycobacteria),peptidoglycan biosynthesis III (mycobacteria),Peptidoglycan Biosynthesis (6 instances),,,,Cell Wall Biosynthesis (26 instances),Cell Structure Biosynthesis (104 instances),,,,,,,PEPTIDOGLYCANSYN-PWY,peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)
FOLSYN-PWY,Mucosal,-0.1384212223,0.02264122763,86,81,1.96E-07,3.11E-06,superpathway of tetrahydrofolate biosynthesis and salvage,Folate Biosynthesis (14 instances),,,,Single Carbon Carrier Biosynthesis (23 instances),,148,peptidoglycan biosynthesis IV (Enterococcus faecium),peptidoglycan biosynthesis IV (Enterococcus faecium),Antibiotic Resistance (8 instances),Peptidoglycan Biosynthesis (6 instances),,,Detoxification (65 instances),NA,,,,,,,PWY-5265,peptidoglycan biosynthesis II (staphylococci)
GALACT-GLUCUROCAT-PWY,Mucosal,-0.2713518476,0.07032577119,86,46,0.0004009627003,0.002560221094,superpathway of hexuronide and hexuronate degradation,Superpathways (382 instances),,,,NA,,150,peptidoglycan maturation (meso-diaminopimelate containing),peptidoglycan maturation (meso-diaminopimelate containing),Peptidoglycan Biosynthesis (6 instances),,,,Cell Wall Biosynthesis (26 instances),Cell Structure Biosynthesis (104 instances),,,,,,,PWY-6385,peptidoglycan biosynthesis III (mycobacteria)
GALACTUROCAT-PWY,Mucosal,-0.1927117521,0.04762871203,86,53,0.0002256304234,0.001507700969,D-galacturonate degradation I,D-Galacturonate Degradation (3 instances),,,,Sugar Acid Degradation (19 instances),,151,phosphatidylglycerol biosynthesis I (plastidic),phosphatidylglycerol biosynthesis I (plastidic),Phosphatidylglycerol Biosynthesis (2 instances),,,,Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances),,,,,,,PWY-6471,peptidoglycan biosynthesis IV (Enterococcus faecium)
GLCMANNANAUT-PWY,Mucosal,-0.07713608665,0.02058870426,86,86,0.0005267803575,0.003220458639,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",Amine and Polyamine Degradation (62 instances),,,,Degradation/Utilization/Assimilation (1104 instances),,153,phosphatidylglycerol biosynthesis II (non-plastidic),phosphatidylglycerol biosynthesis II (non-plastidic),Phosphatidylglycerol Biosynthesis (2 instances),,,,Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances),,,,,,,PWY0-1586,peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)
GLUCONEO-PWY,Mucosal,-0.1005724541,0.01549172437,86,86,6.74E-08,1.42E-06,gluconeogenesis I,Gluconeogenesis (3 instances),,,,Sugar Biosynthesis (107 instances),,155,phosphopantothenate biosynthesis I,phosphopantothenate biosynthesis I,Phosphopantothenate Biosynthesis (3 instances),,,,Coenzyme A Biosynthesis (8 instances),Carrier Biosynthesis (137 instances),,,,,,,PWY4FS-7,phosphatidylglycerol biosynthesis I (plastidic)
GLUCUROCAT-PWY,Mucosal,-0.2100913662,0.04767032525,86,51,8.10E-05,0.0005867366101,superpathway of beta-D-glucuronosides degradation,D-Glucuronate Degradation (4 instances),,,,Sugar Acid Degradation (19 instances),,156,poly(glycerol phosphate) wall teichoic acid biosynthesis,poly(glycerol phosphate) wall teichoic acid biosynthesis,Teichoic Acid Biosynthesis (7 instances),,,,Cell Wall Biosynthesis (26 instances),Cell Structure Biosynthesis (104 instances),,,,,,,PWY4FS-8,phosphatidylglycerol biosynthesis II (non-plastidic)
GLUTORN-PWY,Mucosal,-0.2569636498,0.02869116276,86,65,5.48E-11,6.74E-09,L-ornithine biosynthesis I,L-Ornithine Biosynthesis (3 instances),,,,Other Amino Acid Biosynthesis (24 instances),,157,polyisoprenoid biosynthesis (E. coli),polyisoprenoid biosynthesis (E. coli),All-trans Polyprenyl Biosynthesis (13 instances),,,,Polyprenyl Biosynthesis (18 instances),Biosynthesis (1993 instances),,,,,,,PANTO-PWY,phosphopantothenate biosynthesis I
GLYCOCAT-PWY,Mucosal,-0.1433918712,0.01600464102,86,86,2.54E-11,4.32E-09,glycogen degradation I,Glycan Degradation (11 instances),Glycogen Degradation (3 instances),,,Polysaccharide Degradation (47 instances),,159,preQ0 biosynthesis,preQ0 biosynthesis,Secondary Metabolite Biosynthesis (911 instances),,,,Biosynthesis (1993 instances),NA,,,,,,,TEICHOICACID-PWY,poly(glycerol phosphate) wall teichoic acid biosynthesis
GLYCOGENSYNTH-PWY,Mucosal,-0.1210122158,0.01887419185,86,86,9.20E-08,1.80E-06,glycogen biosynthesis I (from ADP-D-Glucose),Glycogen and Starch Biosynthesis (4 instances),,,,Polysaccharide Biosynthesis (73 instances),,161,purine nucleobases degradation I (anaerobic),purine nucleobases degradation I (anaerobic),Fermentation (81 instances),Purine Nucleotide Degradation (16 instances),,,Generation of Precursor Metabolites and Energy (240 instances),NA,,,,,,,POLYISOPRENSYN-PWY,polyisoprenoid biosynthesis (<i>E. coli</i>)
GLYCOLYSIS,Mucosal,-0.1068018717,0.01437267714,86,86,3.02E-09,9.98E-08,glycolysis I (from glucose 6-phosphate),Glycolysis (5 instances),,,,Generation of Precursor Metabolites and Energy (240 instances),,162,purine nucleotides degradation II (aerobic),purine nucleotides degradation II (aerobic),Purine Nucleotide Degradation (16 instances),,,,Nucleoside and Nucleotide Degradation (40 instances),Degradation/Utilization/Assimilation (1104 instances),,,,,,,PWY-6703,preQ<sub>0</sub> biosynthesis
GLYCOLYSIS-E-D,Mucosal,-0.1086619589,0.0188755029,86,85,1.62E-07,2.68E-06,superpathway of glycolysis and the Entner-Doudoroff pathway,Generation of Precursor Metabolites and Energy (240 instances),,,,NA,,164,purine ribonucleosides degradation,purine ribonucleosides degradation,Purine Nucleotide Degradation (16 instances),,,,Nucleoside and Nucleotide Degradation (40 instances),Degradation/Utilization/Assimilation (1104 instances),,,,,,,P164-PWY,purine nucleobases degradation I (anaerobic)
HEMESYN2-PWY,Mucosal,-0.1901740545,0.05889445451,86,56,0.002300383629,0.01224031289,heme b biosynthesis II (oxygen-independent),Heme b Biosynthesis (8 instances),,,,Heme Biosynthesis (13 instances),,165,pyrimidine deoxyribonucleosides salvage,pyrimidine deoxyribonucleosides salvage,Pyrimidine Nucleotide Salvage (12 instances),,,,Pyrimidine Nucleotide Biosynthesis (23 instances),Nucleoside and Nucleotide Biosynthesis (57 instances),,,,,,,PWY-6353,purine nucleotides degradation II (aerobic)
HEXITOLDEGSUPER-PWY,Mucosal,-0.1322860379,0.04509361584,86,39,0.005717909921,0.0276901031,superpathway of hexitol degradation (bacteria),Sugar Alcohol Degradation (20 instances),,,,Sugar Derivative Degradation (56 instances),,167,pyrimidine deoxyribonucleotide phosphorylation,pyrimidine deoxyribonucleotide phosphorylation,Metabolic Clusters (69 instances),Pyrimidine Nucleotide Salvage (12 instances),,,NA,NA,,,,,,,PWY0-1296,purine ribonucleosides degradation
HISTSYN-PWY,Mucosal,-0.2204872479,0.02642324075,86,68,3.29E-10,1.58E-08,L-histidine biosynthesis,L-histidine Biosynthesis (2 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances),,170,pyrimidine deoxyribonucleotides de novo biosynthesis I,pyrimidine deoxyribonucleotides de novo biosynthesis I,Metabolic Clusters (69 instances),Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,NA,NA,,,,,,,PWY-7199,pyrimidine deoxyribonucleosides salvage
ILEUSYN-PWY,Mucosal,-0.1504449824,0.01837112876,86,85,2.89E-10,1.56E-08,L-isoleucine biosynthesis I (from threonine),L-isoleucine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances),,171,pyrimidine deoxyribonucleotides de novo biosynthesis II,pyrimidine deoxyribonucleotides de novo biosynthesis II,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,,2'-Deoxyribonucleotide Biosynthesis (11 instances),Nucleoside and Nucleotide Biosynthesis (57 instances),,,,,,,PWY-7197,pyrimidine deoxyribonucleotide phosphorylation
NAGLIPASYN-PWY,Mucosal,-0.311045225,0.07121808424,86,43,8.87E-05,0.0006369592695,lipid IVA biosynthesis (E. coli),Lipid IVA Biosynthesis (5 instances),,,,Lipopolysaccharide Biosynthesis (68 instances),,175,pyrimidine deoxyribonucleotides de novo biosynthesis III,pyrimidine deoxyribonucleotides de novo biosynthesis III,Metabolic Clusters (69 instances),Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,NA,NA,,,,,,,PWY-7184,pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I
NONMEVIPP-PWY,Mucosal,-0.1828949611,0.02474195358,86,80,3.24E-09,9.98E-08,methylerythritol phosphate pathway I,Methylerythritol Phosphate Pathways (2 instances),,,,Isopentenyl Diphosphate Biosynthesis (6 instances),,176,pyruvate fermentation to acetate and lactate II,pyruvate fermentation to acetate and lactate II,Pyruvate Fermentation to Acetate (11 instances),pyruvate fermentation to lactate (4 instances),,,Fermentation to Acetate (21 instances),Carboxylate Degradation (101 instances),,,,,,,PWY-7187,pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II
NONOXIPENT-PWY,Mucosal,-0.1239411397,0.01580454816,86,86,5.87E-10,2.41E-08,pentose phosphate pathway (non-oxidative branch) I,Pentose Phosphate Pathways (6 instances),,,,Generation of Precursor Metabolites and Energy (240 instances),,182,pyruvate fermentation to isobutanol (engineered),pyruvate fermentation to isobutanol (engineered),Fermentation of Pyruvate (37 instances),Fermentation to Alcohols (17 instances),,,Fermentation (81 instances),Generation of Precursor Metabolites and Energy (240 instances),,,,,,,PWY-6545,pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III
OANTIGEN-PWY,Mucosal,-0.1355682317,0.02161639688,86,80,1.35E-07,2.34E-06,O-antigen building blocks biosynthesis (E. coli),Metabolic Clusters (69 instances),Sugar Nucleotide Biosynthesis (92 instances),,,NA,,184,pyruvate fermentation to propanoate I,pyruvate fermentation to propanoate I,Pyruvate Fermentation to Propanoate (2 instances),,,,Fermentation of Pyruvate (37 instances),Fermentation (81 instances),,,,,,,PWY-5100,pyruvate fermentation to acetate and lactate II
P108-PWY,Mucosal,-0.2356047394,0.07016172921,86,52,0.001791282223,0.009711228155,pyruvate fermentation to propanoate I,Pyruvate Fermentation to Propanoate (2 instances),,,,Fermentation of Pyruvate (37 instances),,186,queuosine biosynthesis I (de novo),queuosine biosynthesis I (de novo),Queuosine Biosynthesis and Salvage (3 instances),,,,Nucleic Acid Processing (21 instances),Macromolecule Modification (64 instances),,,,,,,PWY-7111,pyruvate fermentation to isobutanol (engineered)
P122-PWY,Mucosal,-0.1061813939,0.04017028021,86,81,0.01119150478,0.04947219037,heterolactic fermentation,Fermentation to Lactate (8 instances),Pyruvate Fermentation to Ethanol (7 instances),,,Fermentation to Short-Chain Fatty Acids (40 instances),,187,reductive TCA cycle I,reductive TCA cycle I,Reductive TCA Cycles (4 instances),,,,Autotrophic CO2 Fixation (12 instances),CO2 Fixation (15 instances),,,,,,,P108-PWY,pyruvate fermentation to propanoate I
P124-PWY,Mucosal,-0.1465276978,0.0496498824,86,81,0.004947186196,0.02409307628,Bifidobacterium shunt,Fermentation to Acetate (21 instances),Fermentation to Lactate (8 instances),Sugar Degradation (77 instances),,Carboxylate Degradation (101 instances),,188,S-adenosyl-L-methionine salvage I,S-adenosyl-L-methionine salvage I,S-adenosyl-L-methionine Biosynthesis (3 instances),,,,Enzyme Cofactor Biosynthesis (137 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",,,,,,,PWY-6700,queuosine biosynthesis I (<i>de novo</i>)
P161-PWY,Mucosal,-0.05836072357,0.01749168884,86,86,0.001817812628,0.009793465534,acetylene degradation (anaerobic),Fermentation to Acetate (21 instances),Pyruvate Fermentation to Ethanol (7 instances),,,Carboxylate Degradation (101 instances),,189,starch degradation V,starch degradation V,Starch Degradation (5 instances),,,,Polysaccharide Degradation (47 instances),Carbohydrate Degradation (134 instances),,,,,,,P23-PWY,reductive TCA cycle I
P23-PWY,Mucosal,-0.3313181602,0.0391835111,86,28,9.88E-10,3.87E-08,reductive TCA cycle I,Reductive TCA Cycles (4 instances),,,,Autotrophic CO2 Fixation (12 instances),,191,stearate biosynthesis II (bacteria and plants),stearate biosynthesis II (bacteria and plants),Stearate Biosynthesis (4 instances),,,,Fatty Acid Biosynthesis (92 instances),Fatty Acid and Lipid Biosynthesis (224 instances),,,,,,,PWY-6737,starch degradation V
P341-PWY,Mucosal,-0.6195433589,0.1424327101,86,3,0.006391485595,0.03010634198,glycolysis V (Pyrococcus),Glycolysis (5 instances),,,,Generation of Precursor Metabolites and Energy (240 instances),,192,sucrose degradation III (sucrose invertase),sucrose degradation III (sucrose invertase),Sucrose Degradation (7 instances),,,,Sugar Degradation (77 instances),Carbohydrate Degradation (134 instances),,,,,,,PWY-5989,stearate biosynthesis II (bacteria and plants)
P4-PWY,Mucosal,-0.1480636521,0.03146695863,86,52,2.55E-05,0.0001995271056,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",Amino Acid Biosynthesis (124 instances),,,,Biosynthesis (1993 instances),,193,sucrose degradation IV (sucrose phosphorylase),sucrose degradation IV (sucrose phosphorylase),Sucrose Degradation (7 instances),,,,Sugar Degradation (77 instances),Carbohydrate Degradation (134 instances),,,,,,,PWY-621,sucrose degradation III (sucrose invertase)
P42-PWY,Mucosal,-0.2129301434,0.05113378132,86,71,0.0001386819626,0.0009640633209,incomplete reductive TCA cycle,Reductive TCA Cycles (4 instances),,,,Autotrophic CO2 Fixation (12 instances),,194,"superpathway of 2,3-butanediol biosynthesis","superpathway of 2,3-butanediol biosynthesis",Butanediol Biosynthesis (6 instances),,,,Other Biosynthesis (18 instances),Biosynthesis (1993 instances),,,,,,,PWY-5384,sucrose degradation IV (sucrose phosphorylase)
P441-PWY,Mucosal,-0.07051031073,0.02365423871,86,85,0.00383536357,0.01933382104,superpathway of N-acetylneuraminate degradation,Carboxylate Degradation (101 instances),,,,Degradation/Utilization/Assimilation (1104 instances),,196,superpathway of 5-aminoimidazole ribonucleotide biosynthesis,superpathway of 5-aminoimidazole ribonucleotide biosynthesis,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),,,,Purine Nucleotide Biosynthesis (33 instances),Nucleoside and Nucleotide Biosynthesis (57 instances),,,,,,,GLUCUROCAT-PWY,superpathway of &beta;-D-glucuronosides degradation
PANTO-PWY,Mucosal,-0.2025286269,0.03193642121,86,61,2.08E-07,3.11E-06,phosphopantothenate biosynthesis I,Phosphopantothenate Biosynthesis (3 instances),,,,Coenzyme A Biosynthesis (8 instances),,198,superpathway of adenosine nucleotides de novo biosynthesis I,superpathway of adenosine nucleotides de novo biosynthesis I,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances),Nucleoside and Nucleotide Biosynthesis (57 instances),,,,,,,PWY-6396,"superpathway of 2,3-butanediol biosynthesis"
PANTOSYN-PWY,Mucosal,-0.1484044536,0.02447036486,86,75,3.24E-07,4.36E-06,superpathway of coenzyme A biosynthesis I (bacteria),Coenzyme A Biosynthesis (8 instances),Vitamin Biosynthesis (66 instances),,,Carrier Biosynthesis (137 instances),,200,superpathway of adenosine nucleotides de novo biosynthesis II,superpathway of adenosine nucleotides de novo biosynthesis II,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances),Nucleoside and Nucleotide Biosynthesis (57 instances),,,,,,,PWY-6277,superpathway of 5-aminoimidazole ribonucleotide biosynthesis
PENTOSE-P-PWY,Mucosal,-0.1165583371,0.02292981164,86,84,6.87E-06,5.98E-05,pentose phosphate pathway,Pentose Phosphate Pathways (6 instances),,,,Generation of Precursor Metabolites and Energy (240 instances),,202,superpathway of adenosylcobalamin salvage from cobinamide I,superpathway of adenosylcobalamin salvage from cobinamide I,Adenosylcobalamin Salvage from Cobinamide (5 instances),,,,Cobinamide Salvage (7 instances),Cobamide Biosynthesis (28 instances),,,,,,,GLCMANNANAUT-PWY,"superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation"
PEPTIDOGLYCANSYN-PWY,Mucosal,-0.1021339362,0.01731632413,86,86,5.05E-07,6.21E-06,peptidoglycan biosynthesis I (meso-diaminopimelate containing),Cell Wall Biosynthesis (26 instances),,,,Cell Structure Biosynthesis (104 instances),,204,superpathway of adenosylcobalamin salvage from cobinamide II,superpathway of adenosylcobalamin salvage from cobinamide II,Adenosylcobalamin Salvage from Cobinamide (5 instances),,,,Cobinamide Salvage (7 instances),Cobamide Biosynthesis (28 instances),,,,,,,P441-PWY,superpathway of <i>N</i>-acetylneuraminate degradation
PHOSLIPSYN-PWY,Mucosal,-0.09349911225,0.01674679983,86,86,1.52E-06,1.54E-05,superpathway of phospholipid biosynthesis I (bacteria),Phospholipid Biosynthesis (38 instances),,,,Fatty Acid and Lipid Biosynthesis (224 instances),,206,superpathway of arginine and polyamine biosynthesis,superpathway of arginine and polyamine biosynthesis,Amine and Polyamine Biosynthesis (38 instances),,,,Biosynthesis (1993 instances),NA,,,,,,,PWY-7229,superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I
POLYAMSYN-PWY,Mucosal,0.573233795,0.1643337737,86,4,0.01015288516,0.04558222399,superpathway of polyamine biosynthesis I,Amine and Polyamine Biosynthesis (38 instances),,,,Biosynthesis (1993 instances),,208,superpathway of aromatic amino acid biosynthesis,superpathway of aromatic amino acid biosynthesis,Amino Acid Biosynthesis (124 instances),,,,Biosynthesis (1993 instances),NA,,,,,,,PWY-6126,superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II
POLYISOPRENSYN-PWY,Mucosal,-0.08180154876,0.01761798843,86,86,3.28E-05,0.0002505556885,polyisoprenoid biosynthesis (E. coli),All-trans Polyprenyl Biosynthesis (13 instances),,,,Polyprenyl Biosynthesis (18 instances),,210,superpathway of beta-D-glucuronosides degradation,superpathway of beta-D-glucuronosides degradation,D-Glucuronate Degradation (4 instances),,,,Sugar Acid Degradation (19 instances),Carboxylate Degradation (101 instances),,,,,,,COBALSYN-PWY,superpathway of adenosylcobalamin salvage from cobinamide I
PRPP-PWY,Mucosal,-0.1448686523,0.03260965125,86,64,5.97E-05,0.0004363989501,"superpathway of histidine, purine, and pyrimidine biosynthesis",Superpathways (382 instances),,,,NA,,213,superpathway of branched chain amino acid biosynthesis,superpathway of branched chain amino acid biosynthesis,Amino Acid Biosynthesis (124 instances),,,,Biosynthesis (1993 instances),NA,,,,,,,PWY-6269,superpathway of adenosylcobalamin salvage from cobinamide II
