feature,Site ,metadata,value,coef,stderr,N,N.not.0,pval,qval,Terminal Pathway ,L2,L2A,L2B,L2C,L3
NAGLIPASYN-PWY,Distal_Colon,Type,Mucosal,-0.5237955848,0.1182250217,89,46,0.00003070165309,0.0001824429169,lipid IVA biosynthesis (E. coli),Lipid IVA Biosynthesis (5 instances),,,,Lipopolysaccharide Biosynthesis (68 instances)
NONMEVIPP-PWY,Distal_Colon,Type,Mucosal,-0.1757411084,0.01856429123,89,87,0,0,methylerythritol phosphate pathway I,Methylerythritol Phosphate Pathways (2 instances),,,,Isopentenyl Diphosphate Biosynthesis (6 instances)
NONOIPENT-PWY,Distal_Colon,Type,Mucosal,-0.1136118904,0.01369780725,89,89,0,0,pentose phosphate pathway (non-oxidative branch) I,Pentose Phosphate Pathways (6 instances),,,,Generation of Precursor Metabolites and Energy (240 instances)
OANTIGEN-PWY,Distal_Colon,Type,Mucosal,-0.1974557295,0.02734523828,89,83,0.0000000003018536928,0.000000002710121198,O-antigen building blocks biosynthesis (E. coli),Sugar Nucleotide Biosynthesis (92 instances),Metabolic Clusters (69 instances),,,Sugar Biosynthesis (107 instances)
P108-PWY,Distal_Colon,Type,Mucosal,-0.3843187956,0.06315737597,89,58,0.00000004518812805,0.0000003190204596,pyruvate fermentation to propanoate I,Pyruvate Fermentation to Propanoate (2 instances),,,,Fermentation of Pyruvate (37 instances)
P122-PWY,Distal_Colon,Type,Mucosal,-0.2205260752,0.03954320965,89,76,0.0000003445988294,0.00000233310355,heterolactic fermentation,Pyruvate Fermentation to Ethanol (7 instances),Fermentation to Lactate (8 instances),,,Fermentation of Pyruvate (37 instances)
P124-PWY,Distal_Colon,Type,Mucosal,-0.2752297606,0.05792226752,89,82,0.000008901011798,0.00005486743093,Bifidobacterium shunt,Sugar Degradation (77 instances),Fermentation to Acetate (21 instances),,,Carbohydrate Degradation (134 instances)
P161-PWY,Distal_Colon,Type,Mucosal,-0.1442016492,0.02323717308,89,89,0.00000002070008148,0.0000001513121,acetylene degradation (anaerobic),Fermentation to Acetate (21 instances),Pyruvate Fermentation to Ethanol (7 instances),,,Carboxylate Degradation (101 instances)
P23-PWY,Distal_Colon,Type,Mucosal,-0.2417675633,0.0439986334,89,28,0.000003289991525,0.0000209041,reductive TCA cycle I,Reductive TCA Cycles (4 instances),,,,Autotrophic CO2 Fixation (12 instances)
P4-PWY,Distal_Colon,Type,Mucosal,-0.1073818715,0.0361986499,89,56,0.004827012919,0.02431166263,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",Amino Acid Biosynthesis (124 instances),,,,Biosynthesis (1993 instances)
P42-PWY,Distal_Colon,Type,Mucosal,-0.2564971282,0.02380958034,89,76,0,0,incomplete reductive TCA cycle,Reductive TCA Cycles (4 instances),,,,Autotrophic CO2 Fixation (12 instances)
P441-PWY,Distal_Colon,Type,Mucosal,-0.1335021249,0.01959267465,89,88,0.000000001343112284,0.00000001098426482,superpathway of N-acetylneuraminate degradation,Carboxylate Degradation (101 instances),,,,Degradation/Utilization/Assimilation (1104 instances)
P461-PWY,Distal_Colon,Type,Mucosal,-0.1470378931,0.04596886712,89,62,0.00512330216,0.02564756112,"hexitol fermentation to lactate, formate, ethanol and acetate",Fermentation to Acetate (21 instances),Sugar Alcohol Degradation (20 instances),Pyruvate Fermentation to Ethanol (7 instances),Fermentation to Lactate (8 instances),Carboxylate Degradation (101 instances)
PANTO-PWY,Distal_Colon,Type,Mucosal,-0.2232235272,0.02746903792,89,68,0.0000000002102370329,0.000000001908305375,phosphopantothenate biosynthesis I,Phosphopantothenate Biosynthesis (3 instances),,,,Coenzyme A Biosynthesis (8 instances)
PANTOSYN-PWY,Distal_Colon,Type,Mucosal,-0.2018704809,0.01998827534,89,77,0,0,superpathway of coenzyme A biosynthesis I (bacteria),Coenzyme A Biosynthesis (8 instances),Vitamin Biosynthesis (66 instances),,,Carrier Biosynthesis (137 instances)
PENTOSE-P-PWY,Distal_Colon,Type,Mucosal,-0.1285878753,0.01608656315,89,89,0.0000000003093207233,0.000000002747300187,pentose phosphate pathway,Pentose Phosphate Pathways (6 instances),,,,Generation of Precursor Metabolites and Energy (240 instances)
PEPTIDOGLYCANSYN-PWY,Distal_Colon,Type,Mucosal,-0.1688711829,0.01913416519,89,89,0,0,peptidoglycan biosynthesis I (meso-diaminopimelate containing),Cell Wall Biosynthesis (26 instances),,,,Cell Structure Biosynthesis (104 instances)
PHOSLIPSYN-PWY,Distal_Colon,Type,Mucosal,-0.1520131188,0.01817226343,89,89,0,0,superpathway of phospholipid biosynthesis I (bacteria),Phospholipid Biosynthesis (38 instances),,,,Fatty Acid and Lipid Biosynthesis (224 instances)
POLYISOPRENSYN-PWY,Distal_Colon,Type,Mucosal,-0.1840972352,0.02412632338,89,87,0,0.000000000376987356,polyisoprenoid biosynthesis (E. coli),All-trans Polyprenyl Biosynthesis (13 instances),,,,Polyprenyl Biosynthesis (18 instances)
PRPP-PWY,Distal_Colon,Type,Mucosal,-0.2497267962,0.03195394717,89,58,0,0.0000000001778163947,"superpathway of histidine, purine, and pyrimidine biosynthesis",Superpathways (382 instances),,,,NA
PWY-1269,Distal_Colon,Type,Mucosal,-0.5824743216,0.09466161996,89,47,0.00000002745257795,0.0000001989107841,CMP-3-deoxy-D-manno-octulosonate biosynthesis,CMP-3-deoxy-D-manno-octulosonate Biosynthesis (2 instances),,,,CMP-sugar Biosynthesis (12 instances)
PWY-1861,Distal_Colon,Type,Mucosal,-0.2466976254,0.05749110282,89,57,0.00005177899126,0.0003011932872,formaldehyde assimilation II (assimilatory RuMP Cycle),Formaldehyde Assimilation (3 instances),,,,C1 Compound Utilization and Assimilation (39 instances)
PWY-2941,Distal_Colon,Type,Mucosal,-0.2245225794,0.03553590608,89,81,0.00000001503265077,0.0000001118645904,L-lysine biosynthesis II,L-lysine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-2942,Distal_Colon,Type,Mucosal,-0.1594304803,0.01720753614,89,89,0,0,L-lysine biosynthesis III,L-lysine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-3001,Distal_Colon,Type,Mucosal,-0.1530615042,0.0153094337,89,89,0,0,superpathway of L-isoleucine biosynthesis I,L-isoleucine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-4984,Distal_Colon,Type,Mucosal,-0.3452285733,0.0976744899,89,26,0.001014085277,0.005404093152,urea cycle,Nitrogen Compound Metabolism (33 instances),,,,Inorganic Nutrient Metabolism (142 instances)
PWY-5097,Distal_Colon,Type,Mucosal,-0.1601909878,0.01740036712,89,89,0,0,L-lysine biosynthesis VI,L-lysine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-5100,Distal_Colon,Type,Mucosal,-0.1610604069,0.02011534777,89,89,0,0,pyruvate fermentation to acetate and lactate II,Pyruvate Fermentation to Acetate (11 instances),pyruvate fermentation to lactate (4 instances),,,Fermentation to Acetate (21 instances)
PWY-5101,Distal_Colon,Type,Mucosal,-0.1426892536,0.01519237557,89,89,0,0,L-isoleucine biosynthesis II,L-isoleucine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-5103,Distal_Colon,Type,Mucosal,-0.1539573947,0.01624356273,89,88,0,0,L-isoleucine biosynthesis III,L-isoleucine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-5104,Distal_Colon,Type,Mucosal,-0.147159529,0.01618895768,89,89,0,0,L-isoleucine biosynthesis IV,L-isoleucine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-5121,Distal_Colon,Type,Mucosal,-0.1758101603,0.0183941508,89,86,0,0,superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),Geranylgeranyl Diphosphate Biosynthesis (3 instances),Diterpenoid Biosynthesis (44 instances),,,Polyprenyl Biosynthesis (18 instances)
PWY-5154,Distal_Colon,Type,Mucosal,-0.3117394287,0.0551769421,89,58,0.0000008635053617,0.000005660757371,L-arginine biosynthesis III (via N-acetyl-L-citrulline),L-arginine Biosynthesis (4 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-5188,Distal_Colon,Type,Mucosal,-0.2182502,0.04838424233,89,58,0.00004546651915,0.000268252463,tetrapyrrole biosynthesis I (from glutamate),Tetrapyrrole Biosynthesis (39 instances),,,,Biosynthesis (1993 instances)
PWY-5189,Distal_Colon,Type,Mucosal,-0.2155433124,0.04779385026,89,57,0.00004642329033,0.0002719548781,tetrapyrrole biosynthesis II (from glycine),Tetrapyrrole Biosynthesis (39 instances),,,,Biosynthesis (1993 instances)
PWY-5484,Distal_Colon,Type,Mucosal,-0.1516226156,0.01578781506,89,89,0,0,glycolysis II (from fructose 6-phosphate),Glycolysis (5 instances),,,,Generation of Precursor Metabolites and Energy (240 instances)
PWY-5505,Distal_Colon,Type,Mucosal,-0.1680050064,0.02944112323,89,75,0.0000009346256983,0.000006078746668,L-glutamate and L-glutamine biosynthesis,L-glutamate Biosynthesis (7 instances),L-glutamine Biosynthesis (2 instances),Metabolic Clusters (69 instances),,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-5509,Distal_Colon,Type,Mucosal,-0.1779782867,0.04261932441,89,51,0.0001400408762,0.0007922860532,adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I,Adenosylcobamide Biosynthesis (13 instances),,,,Cobamide de novo Biosynthesis (21 instances)
PWY-5659,Distal_Colon,Type,Mucosal,-0.187908354,0.0192863366,89,82,0,0,GDP-mannose biosynthesis,GDP-sugar Biosynthesis (16 instances),,,,Sugar Nucleotide Biosynthesis (92 instances)
PWY-5667,Distal_Colon,Type,Mucosal,-0.1575202424,0.0180389959,89,89,0,0,CDP-diacylglycerol biosynthesis I,CDP-diacylglycerol Biosynthesis (3 instances),,,,Phospholipid Biosynthesis (38 instances)
PWY-5686,Distal_Colon,Type,Mucosal,-0.1648537353,0.01845531036,89,89,0,0,UMP biosynthesis I,UMP Biosynthesis (3 instances),,,,Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances)
PWY-5695,Distal_Colon,Type,Mucosal,-0.17866776,0.01559333536,89,89,0,0,inosine 5'-phosphate degradation,Purine Nucleotide Degradation (16 instances),,,,Nucleoside and Nucleotide Degradation (40 instances)
PWY-5910,Distal_Colon,Type,Mucosal,-0.241686428,0.06507608501,89,70,0.0003859105461,0.00212508074,superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),Geranylgeranyl Diphosphate Biosynthesis (3 instances),Diterpenoid Biosynthesis (44 instances),,,Polyprenyl Biosynthesis (18 instances)
PWY-5913,Distal_Colon,Type,Mucosal,-0.2895260824,0.04712955582,89,51,0.0000002077986275,0.000001430347219,partial TCA cycle (obligate autotrophs),TCA cycle (9 instances),,,,Generation of Precursor Metabolites and Energy (240 instances)
PWY-5973,Distal_Colon,Type,Mucosal,-0.1517627626,0.01736920128,89,89,0,0,cis-vaccenate biosynthesis,Unsaturated Fatty Acid Biosynthesis (60 instances),,,,Fatty Acid Biosynthesis (92 instances)
PWY-6121,Distal_Colon,Type,Mucosal,-0.1583006307,0.017218469,89,89,0,0,5-aminoimidazole ribonucleotide biosynthesis I,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
PWY-6122,Distal_Colon,Type,Mucosal,-0.160701012,0.01801015147,89,89,0,0,5-aminoimidazole ribonucleotide biosynthesis II,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
PWY-6123,Distal_Colon,Type,Mucosal,-0.1685910718,0.01885201454,89,89,0,0,inosine-5'-phosphate biosynthesis I,Inosine-5'-phosphate Biosynthesis (3 instances),,,,Purine Riboucleotide De Novo Biosynthesis (5 instances)
PWY-6125,Distal_Colon,Type,Mucosal,-0.1610096807,0.02498043351,89,89,0.000000007349347564,0.00000005620889896,superpathway of guanosine nucleotides de novo biosynthesis II,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
PWY-6126,Distal_Colon,Type,Mucosal,-0.1571184141,0.01767675997,89,89,0,0,superpathway of adenosine nucleotides de novo biosynthesis II,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
PWY-6147,Distal_Colon,Type,Mucosal,-0.2220939679,0.02470410389,89,75,0,0.0000000001465747794,6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances),,,,Folate Biosynthesis (14 instances)
PWY-6151,Distal_Colon,Type,Mucosal,-0.1779185416,0.02047173288,89,89,0,0,S-adenosyl-L-methionine salvage I,S-adenosyl-L-methionine Biosynthesis (3 instances),,,,Enzyme Cofactor Biosynthesis (137 instances)
PWY-6163,Distal_Colon,Type,Mucosal,-0.1605585425,0.01813546622,89,86,0,0.0000000002421559015,chorismate biosynthesis from 3-dehydroquinate,Chorismate Biosynthesis (3 instances),,,,Aromatic Compound Biosynthesis (51 instances)
PWY-621,Distal_Colon,Type,Mucosal,-0.1509022831,0.01865406322,89,89,0,0,sucrose degradation III (sucrose invertase),Sucrose Degradation (7 instances),,,,Sugar Degradation (77 instances)
PWY-6269,Distal_Colon,Type,Mucosal,-0.2693970235,0.06218526482,89,52,0.00008073431167,0.0004599071824,superpathway of adenosylcobalamin salvage from cobinamide II,Adenosylcobalamin Salvage from Cobinamide (5 instances),,,,Cobinamide Salvage (7 instances)
PWY-6277,Distal_Colon,Type,Mucosal,-0.160701012,0.01801015147,89,89,0,0,superpathway of 5-aminoimidazole ribonucleotide biosynthesis,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
PWY-6317,Distal_Colon,Type,Mucosal,-0.1689931222,0.01876451053,89,89,0,0,D-galactose degradation I (Leloir pathway),Galactose Degradation (5 instances),,,,Sugar Degradation (77 instances)
PWY-6385,Distal_Colon,Type,Mucosal,-0.1694009858,0.01935876821,89,89,0,0,peptidoglycan biosynthesis III (mycobacteria),Peptidoglycan Biosynthesis (6 instances),,,,Cell Wall Biosynthesis (26 instances)
PWY-6386,Distal_Colon,Type,Mucosal,-0.1706887848,0.01938815379,89,89,0,0,UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances),,,,Cell Wall Biosynthesis (26 instances)
PWY-6387,Distal_Colon,Type,Mucosal,-0.1674134043,0.01901833539,89,89,0,0,UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances),,,,Cell Wall Biosynthesis (26 instances)
PWY-6467,Distal_Colon,Type,Mucosal,-0.4559052535,0.1082738974,89,43,0.00007352251877,0.0004217333368,Kdo transfer to lipid IVA III (Chlamydia),Kdo Transfer to Lipid IVA (8 instances),,,,Lipopolysaccharide Biosynthesis (68 instances)
PWY-6471,Distal_Colon,Type,Mucosal,-0.2559876799,0.05127450514,89,83,0.00000345282156,0.00002177122602,peptidoglycan biosynthesis IV (Enterococcus faecium),Peptidoglycan Biosynthesis (6 instances),Antibiotic Resistance (8 instances),,,Cell Wall Biosynthesis (26 instances)
PWY-6507,Distal_Colon,Type,Mucosal,-0.2767156011,0.04831725377,89,63,0.0000001631272314,0.0000011322949,4-deoxy-L-threo-hex-4-enopyranuronate degradation,Sugar Derivative Degradation (56 instances),,,,Secondary Metabolite Degradation (127 instances)
PWY-6609,Distal_Colon,Type,Mucosal,-0.1652817663,0.0186239972,89,89,0,0,adenine and adenosine salvage III,Adenine and Adenosine Salvage (6 instances),,,,Purine Nucleotide Salvage (13 instances)
PWY-6612,Distal_Colon,Type,Mucosal,-0.1471979097,0.02185684946,89,70,0.000000002097203806,0.00000001681835285,superpathway of tetrahydrofolate biosynthesis,Folate Biosynthesis (14 instances),,,,Single Carbon Carrier Biosynthesis (23 instances)
PWY-6628,Distal_Colon,Type,Mucosal,-0.2667976825,0.03560206241,89,51,0.000000002550348253,0.00000002025565054,superpathway of L-phenylalanine biosynthesis,L-phenylalanine Biosynthesis (4 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-6630,Distal_Colon,Type,Mucosal,-0.2663192807,0.03594824667,89,50,0.000000003374151374,0.00000002654332414,superpathway of L-tyrosine biosynthesis,L-tyrosine Biosynthesis (5 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-6700,Distal_Colon,Type,Mucosal,-0.2677827085,0.02926560498,89,72,0,0,queuosine biosynthesis I (de novo),Queuosine Biosynthesis and Salvage (3 instances),,,,Nucleic Acid Processing (21 instances)
PWY-6703,Distal_Colon,Type,Mucosal,-0.2741096985,0.05232355275,89,56,0.000003840077597,0.00002402957648,preQ0 biosynthesis,Secondary Metabolite Biosynthesis (911 instances),,,,Biosynthesis (1993 instances)
PWY-6737,Distal_Colon,Type,Mucosal,-0.1657853357,0.01634164509,89,89,0,0,starch degradation V,Starch Degradation (5 instances),,,,Polysaccharide Degradation (47 instances)
PWY-6892,Distal_Colon,Type,Mucosal,-0.2242941013,0.03216664483,89,63,0.00000001220876265,0.00000009167670863,thiazole component of thiamine diphosphate biosynthesis I,Thiazole Biosynthesis (4 instances),,,,Thiamine Biosynthesis (20 instances)
PWY-6897,Distal_Colon,Type,Mucosal,-0.1838976235,0.02164884017,89,75,0,0.0000000007382906487,thiamine diphosphate salvage II,thiamine Diphosphate Salvage (7 instances),,,,Thiamine Biosynthesis (20 instances)
PWY-6901,Distal_Colon,Type,Mucosal,-0.3334898705,0.06028622364,89,51,0.0000003652215905,0.000002452626291,superpathway of glucose and xylose degradation,Sugar Degradation (77 instances),,,,Carbohydrate Degradation (134 instances)
PWY-6969,Distal_Colon,Type,Mucosal,-0.2065128365,0.02957333542,89,66,0.000000009077578492,0.00000006878972325,TCA cycle V (2-oxoglutarate synthase),Reductive TCA Cycles (4 instances),TCA cycle (9 instances),,,Autotrophic CO2 Fixation (12 instances)
PWY-7003,Distal_Colon,Type,Mucosal,-0.2594570927,0.05557144599,89,41,0.00001336326244,0.00008176336868,glycerol degradation to butanol,Fermentation to Alcohols (17 instances),,,,Fermentation (81 instances)
PWY-7111,Distal_Colon,Type,Mucosal,-0.1321038325,0.01378823836,89,89,0,0,pyruvate fermentation to isobutanol (engineered),Fermentation of Pyruvate (37 instances),Fermentation to Alcohols (17 instances),,,Fermentation (81 instances)
PWY-7184,Distal_Colon,Type,Mucosal,-0.1752022472,0.03120426546,89,81,0.0000002485053113,0.000001696408158,pyrimidine deoxyribonucleotides de novo biosynthesis I,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),Metabolic Clusters (69 instances),,,2'-Deoxyribonucleotide Biosynthesis (11 instances)
