feature,Site,metadata,value,coef,stderr,N,N.not.0,pval,qval,Pathway,L2,L2A,L2B,L2C,L3
FOLSYN-PWY,Proximal_Colon,Type,Mucosal,-0.06052024575,0.01328918417,95,93,0.00003803535038,0.0003745363326,superpathway of tetrahydrofolate biosynthesis and salvage,Folate Biosynthesis (14 instances),,,,Single Carbon Carrier Biosynthesis (23 instances)
FUCCAT-PWY,Proximal_Colon,Type,Mucosal,0.3326916367,0.09735284099,95,9,0.00189059447,0.01380727123,fucose degradation,Sugar Degradation (77 instances),,,,Carbohydrate Degradation (134 instances)
GLCMANNANAUT-PWY,Proximal_Colon,Type,Mucosal,-0.09444347578,0.01959220626,95,94,0.000006040045619,0.00008315421742,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",Amine and Polyamine Degradation (62 instances),,,,Degradation/Utilization/Assimilation (1104 instances)
GLUCONEO-PWY,Proximal_Colon,Type,Mucosal,-0.1054183325,0.01416606594,95,95,0,0.000000009291767131,gluconeogenesis I,Gluconeogenesis (3 instances),,,,Sugar Biosynthesis (107 instances)
GLYCOCAT-PWY,Proximal_Colon,Type,Mucosal,-0.04754541911,0.01554653282,95,95,0.002959421142,0.02081542434,glycogen degradation I,Glycogen Degradation (3 instances),,,,Polysaccharide Degradation (47 instances)
GLYCOGENSYNTH-PWY,Proximal_Colon,Type,Mucosal,-0.07315932666,0.01777603705,95,95,0.00008757465459,0.0007967389771,glycogen biosynthesis I (from ADP-D-Glucose),Glycogen and Starch Biosynthesis (4 instances),Glycan Degradation (11 instances),,,Polysaccharide Biosynthesis (73 instances)
GLYCOLYSIS,Proximal_Colon,Type,Mucosal,-0.07527866106,0.01379640165,95,95,0.0000004521344964,0.00001051212704,glycolysis I (from glucose 6-phosphate),Glycolysis (5 instances),,,,Generation of Precursor Metabolites and Energy (240 instances)
GLYCOLYSIS-E-D,Proximal_Colon,Type,Mucosal,-0.07893793397,0.01785466709,95,93,0.00002822182205,0.0002845983742,superpathway of glycolysis and the Entner-Doudoroff pathway,Generation of Precursor Metabolites and Energy (240 instances),,,,NA
HEMESYN2-PWY,Proximal_Colon,Type,Mucosal,-0.07624827753,0.02305454427,95,69,0.001869098896,0.01380727123,heme b biosynthesis II (oxygen-independent),Heme b Biosynthesis (8 instances),,,,Heme Biosynthesis (13 instances)
METH-ACETATE-PWY,Proximal_Colon,Type,Mucosal,0.2677502861,0.05352460417,95,4,0.0008930360537,0.006921029416,methanogenesis from acetate,Methanogenesis (15 instances),,,,Anaerobic Respiration (40 instances)
NAGLIPASYN-PWY,Proximal_Colon,Type,Mucosal,-0.4739602403,0.07505067201,95,37,0.0000002116442863,0.000006560972875,lipid IVA biosynthesis (E. coli),Lipid IVA Biosynthesis (5 instances),,,,Lipopolysaccharide Biosynthesis (68 instances)
NONOXIPENT-PWY,Proximal_Colon,Type,Mucosal,-0.03771959718,0.01365618683,95,95,0.007007788328,0.04546913822,pentose phosphate pathway (non-oxidative branch) I,Pentose Phosphate Pathways (6 instances),,,,Generation of Precursor Metabolites and Energy (240 instances)
OANTIGEN-PWY,Proximal_Colon,Type,Mucosal,-0.1362549797,0.03728315601,95,90,0.0004397401788,0.003644183462,O-antigen building blocks biosynthesis (E. coli),Sugar Nucleotide Biosynthesis (92 instances),Metabolic Clusters (69 instances),,,Sugar Biosynthesis (107 instances)
P108-PWY,Proximal_Colon,Type,Mucosal,-0.3051019723,0.03681272977,95,62,0.000000000379164872,0.00000004518344688,pyruvate fermentation to propanoate I,Pyruvate Fermentation to Propanoate (2 instances),,,,Fermentation of Pyruvate (37 instances)
P122-PWY,Proximal_Colon,Type,Mucosal,-0.2254453987,0.05180671122,95,86,0.00003781934362,0.0003745363326,heterolactic fermentation,Pyruvate Fermentation to Ethanol (7 instances),Fermentation to Lactate (8 instances),,,Fermentation of Pyruvate (37 instances)
P124-PWY,Proximal_Colon,Type,Mucosal,-0.160939342,0.03722407967,95,89,0.00004196323794,0.000408409653,Bifidobacterium shunt,Sugar Degradation (77 instances),Fermentation to Acetate (21 instances),Fermentation to Lactate (8 instances),,Carbohydrate Degradation (134 instances)
P161-PWY,Proximal_Colon,Type,Mucosal,-0.09220406755,0.01816909372,95,95,0.00000219114365,0.00003558207296,acetylene degradation (anaerobic),Fermentation to Acetate (21 instances),Pyruvate Fermentation to Ethanol (7 instances),,,Carboxylate Degradation (101 instances)
P23-PWY,Proximal_Colon,Type,Mucosal,-0.1520968881,0.05192669659,95,35,0.005870884665,0.03869236586,reductive TCA cycle I,Reductive TCA Cycles (4 instances),,,,Autotrophic CO2 Fixation (12 instances)
P42-PWY,Proximal_Colon,Type,Mucosal,-0.1993807397,0.02255303864,95,85,0,0.000000004496973688,incomplete reductive TCA cycle,Reductive TCA Cycles (4 instances),,,,Autotrophic CO2 Fixation (12 instances)
P441-PWY,Proximal_Colon,Type,Mucosal,-0.07323629083,0.0153641464,95,95,0.000007455251344,0.0000991025446,superpathway of N-acetylneuraminate degradation,Carboxylate Degradation (101 instances),,,,Degradation/Utilization/Assimilation (1104 instances)
P461-PWY,Proximal_Colon,Type,Mucosal,-0.08702561654,0.02808478023,95,74,0.003350086616,0.02317373965,"hexitol fermentation to lactate, formate, ethanol and acetate",Fermentation to Acetate (21 instances),Sugar Alcohol Degradation (20 instances),Pyruvate Fermentation to Ethanol (7 instances),Fermentation to Lactate (8 instances),Carboxylate Degradation (101 instances)
P562-PWY,Proximal_Colon,Type,Mucosal,0.4311071886,0.1042670618,95,2,0.0006967349415,0.00550157685,myo-inositol degradation I,Sugar Alcohol Degradation (20 instances),,,,Sugar Derivative Degradation (56 instances)
PANTO-PWY,Proximal_Colon,Type,Mucosal,-0.08991988623,0.02111238287,95,84,0.00009823230896,0.0008840907807,phosphopantothenate biosynthesis I,Phosphopantothenate Biosynthesis (3 instances),,,,Coenzyme A Biosynthesis (8 instances)
PANTOSYN-PWY,Proximal_Colon,Type,Mucosal,-0.08900460793,0.01811289087,95,90,0.00001130758326,0.0001407796282,superpathway of coenzyme A biosynthesis I (bacteria),Coenzyme A Biosynthesis (8 instances),Vitamin Biosynthesis (66 instances),,,Carrier Biosynthesis (137 instances)
PENTOSE-P-PWY,Proximal_Colon,Type,Mucosal,-0.09004845626,0.01710948478,95,92,0.000007571885727,0.0000991025446,pentose phosphate pathway,Pentose Phosphate Pathways (6 instances),,,,Generation of Precursor Metabolites and Energy (240 instances)
PEPTIDOGLYCANSYN-PWY,Proximal_Colon,Type,Mucosal,-0.08986499709,0.01771997047,95,95,0.000002210594736,0.00003558207296,peptidoglycan biosynthesis I (meso-diaminopimelate containing),Cell Wall Biosynthesis (26 instances),,,,Cell Structure Biosynthesis (104 instances)
PHOSLIPSYN-PWY,Proximal_Colon,Type,Mucosal,-0.07356124747,0.0163350493,95,95,0.00002070306335,0.000231046187,superpathway of phospholipid biosynthesis I (bacteria),Phospholipid Biosynthesis (38 instances),,,,Fatty Acid and Lipid Biosynthesis (224 instances)
POLYISOPRENSYN-PWY,Proximal_Colon,Type,Mucosal,-0.1514175695,0.02167419355,95,92,0.0000000005376620372,0.00000005000256946,polyisoprenoid biosynthesis (E. coli),All-trans Polyprenyl Biosynthesis (13 instances),,,,Polyprenyl Biosynthesis (18 instances)
PRPP-PWY,Proximal_Colon,Type,Mucosal,-0.1855876516,0.02273668955,95,71,0.0000000007730915347,0.00000006470776146,"superpathway of histidine, purine, and pyrimidine biosynthesis",Superpathways (382 instances),,,,NA
PWY-1269,Proximal_Colon,Type,Mucosal,-0.3615086754,0.09369079581,95,40,0.000369105715,0.003089414834,CMP-3-deoxy-D-manno-octulosonate biosynthesis,CMP-3-deoxy-D-manno-octulosonate Biosynthesis (2 instances),,,,CMP-sugar Biosynthesis (12 instances)
PWY-2941,Proximal_Colon,Type,Mucosal,-0.1488774972,0.02686203439,95,88,0.0000003429589653,0.000008698686483,L-lysine biosynthesis II,L-lysine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-2942,Proximal_Colon,Type,Mucosal,-0.07852022812,0.01625309693,95,95,0.000005791513581,0.00008216096385,L-lysine biosynthesis III,L-lysine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-3001,Proximal_Colon,Type,Mucosal,-0.05222834139,0.01582887923,95,95,0.00140526156,0.01050182077,superpathway of L-isoleucine biosynthesis I,L-isoleucine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-4984,Proximal_Colon,Type,Mucosal,-0.419703302,0.07990642947,95,26,0.0000823071212,0.0007570446202,urea cycle,Nitrogen Compound Metabolism (33 instances),,,,Inorganic Nutrient Metabolism (142 instances)
PWY-5097,Proximal_Colon,Type,Mucosal,-0.07842268668,0.01653055019,95,95,0.000008157635368,0.0001050452431,L-lysine biosynthesis VI,L-lysine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-5100,Proximal_Colon,Type,Mucosal,-0.08494765194,0.01842477212,95,95,0.00001371248166,0.0001663383645,pyruvate fermentation to acetate and lactate II,Pyruvate Fermentation to Acetate (11 instances),pyruvate fermentation to lactate (4 instances),,,Fermentation to Acetate (21 instances)
PWY-5121,Proximal_Colon,Type,Mucosal,-0.05961212543,0.01774044419,95,95,0.001158575708,0.008815707886,superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),Geranylgeranyl Diphosphate Biosynthesis (3 instances),Diterpenoid Biosynthesis (44 instances),,,Polyprenyl Biosynthesis (18 instances)
PWY-5154,Proximal_Colon,Type,Mucosal,-0.3440262343,0.05934540587,95,55,0.000000640007816,0.00001373555236,L-arginine biosynthesis III (via N-acetyl-L-citrulline),L-arginine Biosynthesis (4 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-5484,Proximal_Colon,Type,Mucosal,-0.09115684568,0.01421837207,95,95,0.000000007239864939,0.0000003787354346,glycolysis II (from fructose 6-phosphate),Glycolysis (5 instances),,,,Generation of Precursor Metabolites and Energy (240 instances)
PWY-5659,Proximal_Colon,Type,Mucosal,-0.08017173629,0.01704895959,95,89,0.000023010623,0.0002469216853,GDP-mannose biosynthesis,GDP-sugar Biosynthesis (16 instances),,,,Sugar Nucleotide Biosynthesis (92 instances)
PWY-5667,Proximal_Colon,Type,Mucosal,-0.07619018562,0.01666492316,95,95,0.00001591879117,0.0001850559474,CDP-diacylglycerol biosynthesis I,CDP-diacylglycerol Biosynthesis (3 instances),,,,Phospholipid Biosynthesis (38 instances)
PWY-5686,Proximal_Colon,Type,Mucosal,-0.08349925697,0.01732518374,95,95,0.000006060223731,0.00008315421742,UMP biosynthesis I,UMP Biosynthesis (3 instances),,,,Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances)
PWY-5695,Proximal_Colon,Type,Mucosal,-0.1223078507,0.01394866188,95,95,0,0.0000000001148158163,inosine 5'-phosphate degradation,Purine Nucleotide Degradation (16 instances),,,,Nucleoside and Nucleotide Degradation (40 instances)
PWY-5910,Proximal_Colon,Type,Mucosal,-0.1840691476,0.03503165731,95,70,0.000005669100784,0.00008181098891,superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),Geranylgeranyl Diphosphate Biosynthesis (3 instances),Diterpenoid Biosynthesis (44 instances),,,Polyprenyl Biosynthesis (18 instances)
PWY-5913,Proximal_Colon,Type,Mucosal,-0.2490908398,0.03764996537,95,51,0.00000006096649076,0.000002429950132,partial TCA cycle (obligate autotrophs),TCA cycle (9 instances),,,,Generation of Precursor Metabolites and Energy (240 instances)
PWY-5973,Proximal_Colon,Type,Mucosal,-0.06611591257,0.01625607525,95,95,0.0001043240529,0.0009289280029,cis-vaccenate biosynthesis,Unsaturated Fatty Acid Biosynthesis (60 instances),,,,Fatty Acid Biosynthesis (92 instances)
PWY-6121,Proximal_Colon,Type,Mucosal,-0.07335593754,0.01646500073,95,95,0.00002483421759,0.0002631169636,5-aminoimidazole ribonucleotide biosynthesis I,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
PWY-6122,Proximal_Colon,Type,Mucosal,-0.07406897737,0.01733838339,95,95,0.00004936487148,0.0004695272435,5-aminoimidazole ribonucleotide biosynthesis II,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
PWY-6123,Proximal_Colon,Type,Mucosal,-0.07901543104,0.01776351647,95,95,0.00002550714071,0.0002639588263,inosine-5'-phosphate biosynthesis I,Inosine-5'-phosphate Biosynthesis (3 instances),,,,Purine Riboucleotide De Novo Biosynthesis (5 instances)
PWY-6125,Proximal_Colon,Type,Mucosal,-0.1360684729,0.02217522957,95,92,0.0000002760232654,0.000007841454983,superpathway of guanosine nucleotides de novo biosynthesis II,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
PWY-6126,Proximal_Colon,Type,Mucosal,-0.09440392369,0.01560272966,95,95,0.0000000355778593,0.000001694681782,superpathway of adenosine nucleotides de novo biosynthesis II,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
PWY-6147,Proximal_Colon,Type,Mucosal,-0.08654277532,0.02330980209,95,88,0.0005494804701,0.004508972093,6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances),,,,Folate Biosynthesis (14 instances)
PWY-6151,Proximal_Colon,Type,Mucosal,-0.09618113892,0.01878860799,95,95,0.000001820151381,0.00003384436409,S-adenosyl-L-methionine salvage I,S-adenosyl-L-methionine Biosynthesis (3 instances),,,,Enzyme Cofactor Biosynthesis (137 instances)
PWY-621,Proximal_Colon,Type,Mucosal,-0.07161375072,0.01717170462,95,95,0.00007176919771,0.0006674535387,sucrose degradation III (sucrose invertase),Sucrose Degradation (7 instances),,,,Sugar Degradation (77 instances)
PWY-6277,Proximal_Colon,Type,Mucosal,-0.07406897737,0.01733838339,95,95,0.00004936487148,0.0004695272435,superpathway of 5-aminoimidazole ribonucleotide biosynthesis,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
PWY-6317,Proximal_Colon,Type,Mucosal,-0.08982150445,0.01738540578,95,95,0.000001502146441,0.00002857492207,D-galactose degradation I (Leloir pathway),Galactose Degradation (5 instances),,,,Sugar Degradation (77 instances)
PWY-6385,Proximal_Colon,Type,Mucosal,-0.08876353907,0.0177127161,95,95,0.000002818583327,0.00004451234425,peptidoglycan biosynthesis III (mycobacteria),Peptidoglycan Biosynthesis (6 instances),,,,Cell Wall Biosynthesis (26 instances)
PWY-6386,Proximal_Colon,Type,Mucosal,-0.08807005618,0.01777481008,95,95,0.000003536997187,0.00005382666628,UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances),,,,Cell Wall Biosynthesis (26 instances)
PWY-6387,Proximal_Colon,Type,Mucosal,-0.08943653673,0.01758403019,95,95,0.00000208137464,0.00003498263972,UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances),,,,Cell Wall Biosynthesis (26 instances)
PWY-6467,Proximal_Colon,Type,Mucosal,-0.3778760973,0.04808729081,95,33,0.00000000158598442,0.0000001206789963,Kdo transfer to lipid IVA III (Chlamydia),Kdo Transfer to Lipid IVA (8 instances),,,,Lipopolysaccharide Biosynthesis (68 instances)
PWY-6471,Proximal_Colon,Type,Mucosal,-0.1569174293,0.03369395094,95,89,0.00001143729357,0.0001407796282,peptidoglycan biosynthesis IV (Enterococcus faecium),Peptidoglycan Biosynthesis (6 instances),Antibiotic Resistance (8 instances),,,Cell Wall Biosynthesis (26 instances)
PWY-6478,Proximal_Colon,Type,Mucosal,0.4204155291,0.07492935031,95,15,0.00002146207033,0.0002363651693,GDP-D-glycero-alpha-D-manno-heptose biosynthesis,GDP-sugar Biosynthesis (16 instances),,,,Sugar Nucleotide Biosynthesis (92 instances)
PWY-6609,Proximal_Colon,Type,Mucosal,-0.07892200326,0.01744776666,95,95,0.0000191737603,0.0002168707752,adenine and adenosine salvage III,Adenine and Adenosine Salvage (6 instances),,,,Purine Nucleotide Salvage (13 instances)
PWY-6612,Proximal_Colon,Type,Mucosal,-0.05818764503,0.01436506283,95,86,0.0001935019782,0.001669702637,superpathway of tetrahydrofolate biosynthesis,Folate Biosynthesis (14 instances),,,,Single Carbon Carrier Biosynthesis (23 instances)
PWY-6628,Proximal_Colon,Type,Mucosal,-0.2013991893,0.03248207584,95,52,0.0000002270907168,0.000006788390357,superpathway of L-phenylalanine biosynthesis,L-phenylalanine Biosynthesis (4 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-6630,Proximal_Colon,Type,Mucosal,-0.1992810913,0.03258932714,95,52,0.0000002997927831,0.000007841454983,superpathway of L-tyrosine biosynthesis,L-tyrosine Biosynthesis (5 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-6700,Proximal_Colon,Type,Mucosal,-0.1129694233,0.02074970208,95,86,0.000001860024789,0.00003384436409,queuosine biosynthesis I (de novo),Queuosine Biosynthesis and Salvage (3 instances),,,,Nucleic Acid Processing (21 instances)
PWY-6703,Proximal_Colon,Type,Mucosal,-0.1040769046,0.02573034804,95,73,0.000198464635,0.001695049995,preQ0 biosynthesis,Secondary Metabolite Biosynthesis (911 instances),,,,Biosynthesis (1993 instances)
PWY-6737,Proximal_Colon,Type,Mucosal,-0.04822670875,0.01621625798,95,95,0.003804967274,0.02589233828,starch degradation V,Starch Degradation (5 instances),,,,Polysaccharide Degradation (47 instances)
PWY-6901,Proximal_Colon,Type,Mucosal,-0.261491867,0.04972385404,95,42,0.000003836491157,0.00005734184104,superpathway of glucose and xylose degradation,Sugar Degradation (77 instances),,,,Carbohydrate Degradation (134 instances)
PWY-6969,Proximal_Colon,Type,Mucosal,-0.1395423608,0.01895982812,95,80,0.000000002452902964,0.0000001579292139,TCA cycle V (2-oxoglutarate synthase),Reductive TCA Cycles (4 instances),TCA cycle (9 instances),,,Autotrophic CO2 Fixation (12 instances)
PWY-7013,Proximal_Colon,Type,Mucosal,-0.2703386113,0.08963493722,95,34,0.005635099128,0.0374331585,"(S)-propane-1,2-diol degradation",Alcohol Degradation (20 instances),Fermentation to Propanoate (7 instances),,,Degradation/Utilization/Assimilation (1104 instances)
PWY-7184,Proximal_Colon,Type,Mucosal,-0.1666588253,0.02705801715,95,88,0.0000004732950139,0.00001070670072,pyrimidine deoxyribonucleotides de novo biosynthesis I,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),Metabolic Clusters (69 instances),,,2'-Deoxyribonucleotide Biosynthesis (11 instances)
PWY-7187,Proximal_Colon,Type,Mucosal,-0.1410330133,0.02184891867,95,91,0.000000005938248367,0.0000003313542589,pyrimidine deoxyribonucleotides de novo biosynthesis II,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,,2'-Deoxyribonucleotide Biosynthesis (11 instances)
PWY-7196,Proximal_Colon,Type,Mucosal,-0.1259215053,0.02094458022,95,92,0.0000004264682036,0.00001019868247,superpathway of pyrimidine ribonucleosides salvage,Pyrimidine Nucleotide Salvage (12 instances),,,,Pyrimidine Nucleotide Biosynthesis (23 instances)
PWY-7197,Proximal_Colon,Type,Mucosal,-0.1739118197,0.02910692337,95,88,0.0000009996318109,0.00002091729564,pyrimidine deoxyribonucleotide phosphorylation,Pyrimidine Nucleotide Salvage (12 instances),Metabolic Clusters (69 instances),,,Pyrimidine Nucleotide Biosynthesis (23 instances)
PWY-7199,Proximal_Colon,Type,Mucosal,-0.08489862518,0.0214143242,95,90,0.0002504060483,0.002117069317,pyrimidine deoxyribonucleosides salvage,Pyrimidine Nucleotide Salvage (12 instances),,,,Pyrimidine Nucleotide Biosynthesis (23 instances)
PWY-7200,Proximal_Colon,Type,Mucosal,-0.1493557957,0.02238048663,95,90,0.00000004386324747,0.000001835676907,superpathway of pyrimidine deoxyribonucleoside salvage,Pyrimidine Nucleotide Salvage (12 instances),,,,Pyrimidine Nucleotide Biosynthesis (23 instances)
PWY-7208,Proximal_Colon,Type,Mucosal,-0.08639541583,0.01696033341,95,95,0.00000201714813,0.00003498263972,superpathway of pyrimidine nucleobases salvage,Pyrimidine Nucleotide Salvage (12 instances),,,,Pyrimidine Nucleotide Biosynthesis (23 instances)
PWY-7211,Proximal_Colon,Type,Mucosal,-0.312991393,0.05640339457,95,39,0.000001374456265,0.00002675395102,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,,2'-Deoxyribonucleotide Biosynthesis (11 instances)
PWY-7219,Proximal_Colon,Type,Mucosal,-0.0807322004,0.01647206373,95,95,0.000004383035707,0.00006436141907,adenosine ribonucleotides de novo biosynthesis,Purine Riboucleotide De Novo Biosynthesis (5 instances),,,,Purine Nucleotide De Novo Biosynthesis (16 instances)
PWY-7220,Proximal_Colon,Type,Mucosal,-0.1151357502,0.01540132784,95,95,0,0.000000009291767131,adenosine deoxyribonucleotides de novo biosynthesis II,Adenosine Deoxyribonucleotide De Novo Biosynthesis (2 instances),,,,Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)
PWY-7221,Proximal_Colon,Type,Mucosal,-0.09214712417,0.01805659538,95,95,0.000001943991269,0.0000346195892,guanosine ribonucleotides de novo biosynthesis,Purine Riboucleotide De Novo Biosynthesis (5 instances),,,,Purine Nucleotide De Novo Biosynthesis (16 instances)
PWY-7222,Proximal_Colon,Type,Mucosal,-0.1151357502,0.01540132784,95,95,0,0.000000009291767131,guanosine deoxyribonucleotides de novo biosynthesis II,Guanosine Deoxyribonucleotide De Novo Biosynthesis (2 instances),,,,Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)
PWY-7228,Proximal_Colon,Type,Mucosal,-0.1432000597,0.02326676732,95,92,0.0000002942067155,0.000007841454983,superpathway of guanosine nucleotides de novo biosynthesis I,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
PWY-7229,Proximal_Colon,Type,Mucosal,-0.08883190969,0.01543347839,95,95,0.0000001272208071,0.000004259352622,superpathway of adenosine nucleotides de novo biosynthesis I,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
PWY-7234,Proximal_Colon,Type,Mucosal,-0.135183578,0.02227147184,95,93,0.0000004257194878,0.00001019868247,inosine-5'-phosphate biosynthesis III,Inosine-5'-phosphate Biosynthesis (3 instances),,,,Purine Riboucleotide De Novo Biosynthesis (5 instances)
PWY-7323,Proximal_Colon,Type,Mucosal,-0.1377906802,0.02295216451,95,76,0.0000002942489757,0.000007841454983,superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis,GDP-sugar Biosynthesis (16 instances),,,,Sugar Nucleotide Biosynthesis (92 instances)
PWY-7377,Proximal_Colon,Type,Mucosal,-0.3174636176,0.06108520809,95,21,0.0001066456472,0.0009396042813,"cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)","cob(II)yrinate a,c-diamide biosynthesis (2 instances)",,,,Enzyme Cofactor Biosynthesis (137 instances)
PWY-7392,Proximal_Colon,Type,Mucosal,-0.1123720675,0.0214446366,95,88,0.000001109623617,0.00002265256019,taxadiene biosynthesis (engineered),Diterpenoid Biosynthesis (44 instances),,,,Terpenoid Biosynthesis (203 instances)
PWY-7539,Proximal_Colon,Type,Mucosal,-0.08491442494,0.02294278537,95,87,0.0005694933201,0.004583326047,6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances),,,,Folate Biosynthesis (14 instances)
PWY-7663,Proximal_Colon,Type,Mucosal,-0.06703844445,0.01590376664,95,95,0.00006086845472,0.0005724370404,gondoate biosynthesis (anaerobic),Unsaturated Fatty Acid Biosynthesis (60 instances),,,,Fatty Acid Biosynthesis (92 instances)
PWY-841,Proximal_Colon,Type,Mucosal,-0.1162426815,0.01935874598,95,95,0.00000004339568834,0.000001835676907,superpathway of purine nucleotides de novo biosynthesis I,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
