feature,value,coef,stderr,N,N.not.0,pval,qval,Pathways,L2,L2A,L2B,L2C,L3
PWY-7187,Mucosal,-0.1169271862,0.0200470961,92,91,5.02E-07,5.41E-06,pyrimidine deoxyribonucleotides de novo biosynthesis II,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,,2'-Deoxyribonucleotide Biosynthesis (11 instances)
PWY-7196,Mucosal,-0.09669322582,0.01826683984,92,91,3.18E-06,2.97E-05,superpathway of pyrimidine ribonucleosides salvage,Pyrimidine Nucleotide Salvage (12 instances),,,,Pyrimidine Nucleotide Biosynthesis (23 instances)
PWY-7197,Mucosal,-0.1115582409,0.02335439692,92,89,1.87E-05,0.0001542091868,pyrimidine deoxyribonucleotide phosphorylation,Metabolic Clusters (69 instances),Pyrimidine Nucleotide Salvage (12 instances),,,NA
PWY-7200,Mucosal,-0.07957315793,0.02156464178,92,89,0.0005802202396,0.003903721772,superpathway of pyrimidine deoxyribonucleoside salvage,Pyrimidine Nucleotide Salvage (12 instances),,,,Pyrimidine Nucleotide Biosynthesis (23 instances)
PWY-7208,Mucosal,-0.1136097796,0.01761079495,92,92,5.57E-08,8.78E-07,superpathway of pyrimidine nucleobases salvage,Pyrimidine Nucleotide Salvage (12 instances),,,,Pyrimidine Nucleotide Biosynthesis (23 instances)
PWY-7219,Mucosal,-0.1136451691,0.0174578668,92,92,4.53E-08,8.65E-07,adenosine ribonucleotides de novo biosynthesis,Purine Riboucleotide De Novo Biosynthesis (5 instances),,,,Purine Nucleotide De Novo Biosynthesis (16 instances)
PWY-7220,Mucosal,-0.1164420328,0.01628714121,92,92,5.12E-09,1.75E-07,adenosine deoxyribonucleotides de novo biosynthesis II,Adenosine Deoxyribonucleotide De Novo Biosynthesis (2 instances),,,,Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)
PWY-7221,Mucosal,-0.1202657584,0.01871038934,92,92,6.00E-08,9.17E-07,guanosine ribonucleotides de novo biosynthesis,Purine Riboucleotide De Novo Biosynthesis (5 instances),,,,Purine Nucleotide De Novo Biosynthesis (16 instances)
PWY-7222,Mucosal,-0.1164420328,0.01628714121,92,92,5.12E-09,1.75E-07,guanosine deoxyribonucleotides de novo biosynthesis II,Guanosine Deoxyribonucleotide De Novo Biosynthesis (2 instances),,,,Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)
PWY-7228,Mucosal,-0.1049220565,0.01946594467,92,91,2.38E-06,2.25E-05,superpathway of guanosine nucleotides de novo biosynthesis I,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
PWY-7229,Mucosal,-0.1122062046,0.01665106594,92,92,2.06E-08,5.12E-07,superpathway of adenosine nucleotides de novo biosynthesis I,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
PWY-7234,Mucosal,-0.1183156967,0.02196479975,92,91,2.28E-06,2.18E-05,inosine-5'-phosphate biosynthesis III,Inosine-5'-phosphate Biosynthesis (3 instances),,,,Purine Riboucleotide De Novo Biosynthesis (5 instances)
PWY-7328,Mucosal,-0.3070751516,0.08644124163,92,19,0.00102077058,0.006759591003,superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,UDP-sugar Biosynthesis (31 instances),,,,Sugar Nucleotide Biosynthesis (92 instances)
PWY-7377,Mucosal,-0.3041644931,0.06355773273,92,35,0.0001942604392,0.001372882599,"cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)","cob(II)yrinate a,c-diamide biosynthesis (2 instances)",,,,Enzyme Cofactor Biosynthesis (137 instances)
PWY-7392,Mucosal,-0.1692566238,0.04056401418,92,86,7.29E-05,0.0005520920917,taxadiene biosynthesis (engineered),Diterpenoid Biosynthesis (44 instances),,,,Terpenoid Biosynthesis (203 instances)
PWY-7400,Mucosal,-0.1599001279,0.01863715139,92,90,4.32E-11,1.21E-08,L-arginine biosynthesis IV (archaea),L-arginine Biosynthesis (4 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-7539,Mucosal,-0.1687118548,0.03157641636,92,76,3.34E-06,3.09E-05,6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances),,,,Folate Biosynthesis (14 instances)
PWY-7560,Mucosal,-0.1149405889,0.02385933442,92,90,6.33E-06,5.60E-05,methylerythritol phosphate pathway II,Methylerythritol Phosphate Pathways (2 instances),,,,Isopentenyl Diphosphate Biosynthesis (6 instances)
PWY-7663,Mucosal,-0.1032112886,0.01741357768,92,92,3.50E-07,3.92E-06,gondoate biosynthesis (anaerobic),Unsaturated Fatty Acid Biosynthesis (60 instances),,,,Fatty Acid Biosynthesis (92 instances)
PWY-841,Mucosal,-0.1122201425,0.01802288617,92,92,1.29E-07,1.62E-06,superpathway of purine nucleotides de novo biosyn,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
PWY-922,Mucosal,-0.2319300204,0.03212954122,92,81,8.69E-09,2.52E-07,mevalonate pathway I (eukaryotes and bacteria),Mevalonate Pathways (4 instances),,,,Isopentenyl Diphosphate Biosynthesis (6 instances)
PWY0-1296,Mucosal,-0.1235009482,0.01921167151,92,92,6.28E-08,9.43E-07,purine ribonucleosides degradation,Purine Nucleotide Degradation (16 instances),,,,Nucleoside and Nucleotide Degradation (40 instances)
PWY0-1297,Mucosal,-0.1196051516,0.01910875935,92,92,1.12E-07,1.45E-06,superpathway of purine deoxyribonucleosides degradation,Nucleoside and Nucleotide Degradation (40 instances),,,,Degradation/Utilization/Assimilation (1104 instances)
PWY0-1298,Mucosal,-0.1141597419,0.01948258848,92,92,4.58E-07,5.00E-06,superpathway of pyrimidine deoxyribonucleosides degradation,Pyrimidine Nucleotide Degradation (13 instances),,,,Nucleoside and Nucleotide Degradation (40 instances)
PWY0-1319,Mucosal,-0.1128898028,0.0175047589,92,92,5.64E-08,8.78E-07,CDP-diacylglycerol biosynthesis II,CDP-diacylglycerol Biosynthesis (3 instances),,,,Phospholipid Biosynthesis (38 instances)
PWY0-1586,Mucosal,-0.1079226254,0.01630183237,92,92,3.21E-08,6.75E-07,peptidoglycan maturation (meso-diaminopimelate containing),Peptidoglycan Biosynthesis (6 instances),,,,Cell Wall Biosynthesis (26 instances)
