NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
UBIQUINONE AND OTHER TERPENOID-QUINONE BIOSYNTHESIS	UBIQUINONE AND OTHER TERPENOID-QUINONE BIOSYNTHESIS		17	-0.25140178	-1.276996	0.17898832	0.50430876	1.0	2007	tags=94%, list=69%, signal=303%	
PHOSPHOTRANSFERASE SYSTEM (PTS)	PHOSPHOTRANSFERASE SYSTEM (PTS)		40	-0.17236197	-1.2728869	0.16565657	0.48865685	1.0	1394	tags=65%, list=48%, signal=123%	
PYRUVATE METABOLISM	PYRUVATE METABOLISM		51	-0.15221353	-1.2604321	0.18571429	0.48918328	1.0	1331	tags=61%, list=46%, signal=110%	
NOVOBIOCIN BIOSYNTHESIS	NOVOBIOCIN BIOSYNTHESIS		6	-0.40653777	-1.2517632	0.19391635	0.48419234	1.0	1242	tags=83%, list=43%, signal=145%	
PANTOTHENATE AND COA BIOSYNTHESIS	PANTOTHENATE AND COA BIOSYNTHESIS		20	-0.2327897	-1.2448936	0.20392157	0.47589514	1.0	636	tags=45%, list=22%, signal=57%	
STAPHYLOCOCCUS AUREUS INFECTION	STAPHYLOCOCCUS AUREUS INFECTION		6	-0.3982505	-1.2190948	0.24565217	0.5030423	1.0	1266	tags=83%, list=44%, signal=148%	
TERPENOID BACKBONE BIOSYNTHESIS	TERPENOID BACKBONE BIOSYNTHESIS		22	-0.20770203	-1.1822307	0.23908919	0.55119604	1.0	2041	tags=91%, list=70%, signal=304%	
NITROTOLUENE DEGRADATION	NITROTOLUENE DEGRADATION		14	-0.25766712	-1.1705095	0.25	0.55362225	1.0	86	tags=29%, list=3%, signal=29%	
BIOTIN METABOLISM	BIOTIN METABOLISM		11	-0.28917328	-1.1620507	0.26774848	0.54993224	1.0	2067	tags=100%, list=71%, signal=346%	
PENTOSE PHOSPHATE PATHWAY	PENTOSE PHOSPHATE PATHWAY		31	-0.16989696	-1.1303077	0.2696177	0.5908201	1.0	2228	tags=94%, list=77%, signal=398%	
"PHENYLALANINE, TYROSINE AND TRYPTOPHAN BIOSYNTHESIS"	"PHENYLALANINE, TYROSINE AND TRYPTOPHAN BIOSYNTHESIS"		33	-0.16143306	-1.1233804	0.30241936	0.58275354	1.0	769	tags=42%, list=26%, signal=57%	
CELL CYCLE - CAULOBACTER	CELL CYCLE - CAULOBACTER		12	-0.26614764	-1.1182958	0.3106796	0.5734691	1.0	1892	tags=92%, list=65%, signal=262%	
NITROGEN METABOLISM	NITROGEN METABOLISM		23	-0.19348507	-1.117402	0.3125	0.55731624	1.0	201	tags=26%, list=7%, signal=28%	
FATTY ACID DEGRADATION	FATTY ACID DEGRADATION		10	-0.28077456	-1.0769292	0.36647174	0.61537766	1.0	2091	tags=100%, list=72%, signal=357%	
TAURINE AND HYPOTAURINE METABOLISM	TAURINE AND HYPOTAURINE METABOLISM		7	-0.3256353	-1.0643919	0.36526945	0.6205587	1.0	302	tags=43%, list=10%, signal=48%	
"TROPANE, PIPERIDINE AND PYRIDINE ALKALOID BIOSYNTHESIS"	"TROPANE, PIPERIDINE AND PYRIDINE ALKALOID BIOSYNTHESIS"		5	-0.37300655	-1.0463667	0.37869823	0.6383985	1.0	1242	tags=80%, list=43%, signal=140%	
CYSTEINE AND METHIONINE METABOLISM	CYSTEINE AND METHIONINE METABOLISM		38	-0.14378123	-1.0442394	0.38877755	0.6246883	1.0	2033	tags=84%, list=70%, signal=278%	
STREPTOMYCIN BIOSYNTHESIS	STREPTOMYCIN BIOSYNTHESIS		9	-0.28102317	-1.0398829	0.3598485	0.61581	1.0	2090	tags=100%, list=72%, signal=356%	
ABC TRANSPORTERS	ABC TRANSPORTERS		127	-0.076421954	-1.0175226	0.4473161	0.63995665	1.0	1000	tags=42%, list=34%, signal=61%	
PROTEIN EXPORT	PROTEIN EXPORT		18	-0.2033056	-1.0144839	0.45041323	0.6297889	1.0	1833	tags=83%, list=63%, signal=225%	
C5-BRANCHED DIBASIC ACID METABOLISM	C5-BRANCHED DIBASIC ACID METABOLISM		8	-0.29647547	-1.0105026	0.43259558	0.62141675	1.0	594	tags=50%, list=20%, signal=63%	
STARCH AND SUCROSE METABOLISM	STARCH AND SUCROSE METABOLISM		42	-0.1321179	-0.9965334	0.44147843	0.63059795	1.0	1696	tags=71%, list=58%, signal=169%	
BENZOATE DEGRADATION	BENZOATE DEGRADATION		8	-0.28334486	-0.99512064	0.4493927	0.6186379	1.0	2083	tags=100%, list=72%, signal=353%	
RNA DEGRADATION	RNA DEGRADATION		16	-0.20361227	-0.99477184	0.43625498	0.60524535	1.0	2134	tags=94%, list=74%, signal=352%	
TYROSINE METABOLISM	TYROSINE METABOLISM		14	-0.21710522	-0.97772586	0.46385542	0.61904114	1.0	825	tags=50%, list=28%, signal=70%	
VITAMIN B6 METABOLISM	VITAMIN B6 METABOLISM		9	-0.2651995	-0.97135603	0.4612326	0.6151527	1.0	846	tags=56%, list=29%, signal=78%	
DEGRADATION OF AROMATIC COMPOUNDS	DEGRADATION OF AROMATIC COMPOUNDS		8	-0.28058052	-0.96483546	0.47782257	0.61320424	1.0	2091	tags=100%, list=72%, signal=357%	
GLYCOLYSIS / GLUCONEOGENESIS	GLYCOLYSIS / GLUCONEOGENESIS		42	-0.12500833	-0.95812714	0.50286806	0.6110948	1.0	2200	tags=88%, list=76%, signal=359%	
GLYCEROPHOSPHOLIPID METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM		20	-0.1810895	-0.9578693	0.48686868	0.5989597	1.0	2236	tags=95%, list=77%, signal=411%	
PROPANOATE METABOLISM	PROPANOATE METABOLISM		35	-0.13502418	-0.9330543	0.5502008	0.62849057	1.0	1438	tags=63%, list=50%, signal=123%	
PHENYLALANINE METABOLISM	PHENYLALANINE METABOLISM		16	-0.18282224	-0.88698745	0.56405354	0.69171035	1.0	2194	tags=94%, list=76%, signal=382%	
TRYPTOPHAN METABOLISM	TRYPTOPHAN METABOLISM		9	-0.2304413	-0.8527796	0.6208252	0.7353676	1.0	1269	tags=67%, list=44%, signal=118%	
INOSITOL PHOSPHATE METABOLISM	INOSITOL PHOSPHATE METABOLISM		11	-0.20244642	-0.82062954	0.6725838	0.77454084	1.0	471	tags=36%, list=16%, signal=43%	
THIAMINE METABOLISM	THIAMINE METABOLISM		13	-0.18771467	-0.8147787	0.71057886	0.76915425	1.0	1691	tags=77%, list=58%, signal=184%	
CARBON FIXATION IN PHOTOSYNTHETIC ORGANISMS	CARBON FIXATION IN PHOTOSYNTHETIC ORGANISMS		19	-0.14699599	-0.764003	0.7705545	0.8295326	1.0	2021	tags=84%, list=70%, signal=276%	
GALACTOSE METABOLISM	GALACTOSE METABOLISM		34	-0.10441792	-0.72325593	0.83495146	0.8730395	1.0	299	tags=21%, list=10%, signal=23%	
NICOTINATE AND NICOTINAMIDE METABOLISM	NICOTINATE AND NICOTINAMIDE METABOLISM		21	-0.11239484	-0.6054484	0.9224652	0.98598015	1.0	2441	tags=95%, list=84%, signal=595%	
GLYCEROLIPID METABOLISM	GLYCEROLIPID METABOLISM		18	-0.11689015	-0.5930341	0.946281	0.9795031	1.0	470	tags=28%, list=16%, signal=33%	
FRUCTOSE AND MANNOSE METABOLISM	FRUCTOSE AND MANNOSE METABOLISM		41	-0.07345206	-0.5502358	0.9752066	0.98709905	1.0	711	tags=32%, list=25%, signal=41%	
BETA-ALANINE METABOLISM	BETA-ALANINE METABOLISM		8	-0.13674845	-0.4744788	0.99220276	0.99314326	1.0	1419	tags=63%, list=49%, signal=122%	
