"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","annotation","detailed_annotation","condensed_annotation","Hierarchy_L1","Hierarchy_L2","Map","Map2_ammonia","Map3_carbon_dioxide","X","X.1","X.2","X.3"
"11","MF0021","Site_General","SI",-0.500722379348957,0.082395967607878,48,46,0.000000404798592698653,0.00000364318733428788,"xylose degradation","","xylose degradation","carbohydrate degradation","monosaccharide degradation","monosaccharides","#N/A","#N/A",NA,NA,"",""
"12","MF0022","Site_General","SI",0.644996545804307,0.102725574880417,48,48,0.000000212356615517299,0.00000199808270054913,"galacturonate degradation I","","D-galacturonate degradation","carbohydrate degradation","sugar acid degradation","sugar acid","#N/A","#N/A",NA,NA,"",""
"13","MF0029","Site_General","SI",0.967404020662849,0.162019437286422,48,48,0.000000568387912049282,0.00000490234574142506,"aspartate degradation II","aspartate degradation (fumarate pathway)","aspartate degradation","amino acid degradation","negatively charged amino acid degradation","proteolytic fermentation","ammonia","#N/A",NA,NA,"",""
"14","MF0031","Site_General","SI",1.07764612632771,0.108862174005123,48,42,0.00000000000340681084485313,0.0000000000641099858985998,"glutamate degradation II","glutamate degradation (methylaspartate pathway)","glutamate degradation","amino acid degradation","negatively charged amino acid degradation","proteolytic fermentation","ammonia","#N/A",NA,NA,"",""
"15","MF0033","Site_General","SI",0.194751930459451,0.0694495896409126,48,48,0.00782232615529158,0.0414845643649272,"alanine degradation I","alanine degradation (racemase pathway)","alanine degradation","amino acid degradation","nonpolar, aliphatic amino acid degradation","proteolytic fermentation","ammonia","#N/A",NA,NA,"",""
"16","MF0034","Site_General","SI",0.554592781470376,0.104629601429743,48,48,0.00000483274451850317,0.0000344957970803502,"alanine degradation II","","alanine degradation","amino acid degradation","nonpolar, aliphatic amino acid degradation","proteolytic fermentation","#N/A","#N/A",NA,NA,"",""
"17","MF0036","Site_General","SI",-0.578495453766596,0.105159355110173,48,39,0.0000025510296389908,0.0000195578938989295,"isoleucine degradation","isoleucine degradation","isoleucine degradation","amino acid degradation","nonpolar, aliphatic amino acid degradation","proteolytic fermentation","#N/A","carbon dioxide",NA,NA,"",""
"18","MF0038","Site_General","SI",-0.184654447179213,0.0619392132680624,48,48,0.00492619230622561,0.0268354375701423,"methionine degradation I","methionine degradation (mercaptan pathway)","methionine degradation","amino acid degradation","nonpolar, aliphatic amino acid degradation","proteolytic fermentation","ammonia","#N/A",NA,NA,"",""
"19","MF0040","Site_General","SI",-1.39372084214552,0.248773667529412,48,11,0.00000184666886595477,0.0000152904182101055,"proline degradation","","proline degradation","amino acid degradation","nonpolar, aliphatic amino acid degradation","proteolytic fermentation","#N/A","#N/A",NA,NA,"",""
"20","MF0041","Site_General","SI",-0.324566124501717,0.099288111320689,48,43,0.00225877680134141,0.0137519646434609,"valine degradation I","valine degradation","valine degradation","amino acid degradation","nonpolar, aliphatic amino acid degradation","proteolytic fermentation","#N/A","carbon dioxide",NA,NA,"",""
"21","MF0044","Site_General","SI",0.237076192883952,0.0721305637833699,48,48,0.00214992667532261,0.01348590369066,"cysteine degradation I","","cysteine degradation","amino acid degradation","polar, uncharged amino acid degradation","proteolytic fermentation","#N/A","#N/A",NA,NA,"",""
"22","MF0046","Site_General","SI",1.15850407972824,0.0844420775146304,48,46,0.000000000000000164895880305074,0.0000000000000113778157410501,"glutamine degradation I","glutamine degradation (ammonia pathway)","glutamine degradation","amino acid degradation","polar, uncharged amino acid degradation","proteolytic fermentation","ammonia","#N/A",NA,NA,"",""
"23","MF0049","Site_General","SI",-0.661439414324762,0.074507952128278,48,48,0.0000000000666219538311626,0.000000000919382962870043,"threonine degradation I","threonine degradation (formate pathway)","threonine degradation","amino acid degradation","polar, uncharged amino acid degradation","proteolytic fermentation","ammonia","#N/A",NA,NA,"",""
"24","MF0055","Site_General","SI",-1.30662372168774,0.164483756903531,48,27,0.000000000485867613650379,0.00000000591615270738991,"arginine degradation V","arginine degradation (agmatine deiminase pathway)","arginine degradation","amino acid degradation","positively charged amino acid degradation","proteolytic fermentation","ammonia","carbon dioxide",NA,NA,"",""
"25","MF0056","Site_General","SI",-2.51075879933206,0.190578425001007,48,28,0.000000000000000609471694921758,0.000000000000031540160212201,"histidine degradation","histidine degradation","histidine degradation","amino acid degradation","positively charged amino acid degradation","proteolytic fermentation","ammonia","#N/A",NA,NA,"",""
"26","MF0063","Site_General","SI",-1.17568145547411,0.122706503257932,48,40,0.00000000000847227447862053,0.000000000146146734756204,"glyoxylate bypass","glyoxylate bypass","glyoxylate bypass","lipid degradation","glyoxylate bypass","lipolytic fermentation","#N/A","carbon dioxide",NA,NA,"",""
"27","MF0066","Site_General","SI",1.16600542835355,0.0772359460152598,48,47,0.00000000000000000704360145800292,0.000000000000000729012750903302,"Entner-Doudoroff pathway","","Entner-Doudoroff pathway","central metabolism","energy metabolism","central metabolism","#N/A","#N/A",NA,NA,"",""
"28","MF0070","Site_General","SI",1.51538967156607,0.099395857282252,48,45,0.000000000000000000358375458453278,0.0000000000000000741837198998286,"pentose phosphate pathway (oxidative phase)","pentose phosphate pathway (oxidative branch)","pentose phosphate pathway","central metabolism","energy metabolism","central metabolism","#N/A","carbon dioxide",NA,NA,"",""
"29","MF0072","Site_General","SI",0.963510922027262,0.181283830215144,48,22,0.00000461649162304721,0.0000341290630703848,"pyruvate dehydrogenase complex","pyruvate dehydrogenase complex","pyruvate dehydrogenase complex","central metabolism","energy metabolism","central metabolism","#N/A","carbon dioxide",NA,NA,"",""
"30","MF0073","Site_General","SI",-0.490620600080793,0.0702730388490657,48,48,0.0000000227119957702567,0.000000223875386878245,"pyruvate:ferredoxin oxidoreductase","pyruvate:ferredoxin oxidoreductase","pyruvate:ferredoxin oxidoreductase","central metabolism","energy metabolism","central metabolism","#N/A","carbon dioxide",NA,NA,"",""
"31","MF0074","Site_General","SI",-1.006168254011,0.108727947701679,48,48,0.0000000000219327164588513,0.000000000324290879070158,"pyruvate:formate lyase","","pyruvate:formate lyase","central metabolism","energy metabolism","central metabolism","#N/A","#N/A",NA,NA,"",""
"32","MF0076","Site_General","SI",1.36535289570815,0.18348049879031,48,13,0.00000000534945459998576,0.0000000615187278998362,"4-aminobutyrate degradation","","4-aminobutyrate degradation","amino acid degradation","positively charged amino acid degradation","proteolytic fermentation","#N/A","#N/A",NA,NA,"",""
"33","MF0087","Site_General","SI",-1.72744409802203,0.184474927630834,48,29,0.0000000000159014727142872,0.000000000253200373219803,"acetyl-CoA to crotonyl-CoA","","acetyl-CoA to crotonyl-CoA","organic acid metabolism","butyrate metabolism","butyrate","#N/A","#N/A",NA,NA,"",""
"34","MF0088","Site_General","SI",-2.46200525863327,0.190299903954704,48,28,0.00000000000000108756582460216,0.0000000000000450252251385295,"butyrate production I","","butyrate production","organic acid metabolism","butyrate metabolism","butyrate","#N/A","#N/A",NA,NA,"",""
"35","MF0090","Site_General","SI",0.750330711746103,0.103661469821859,48,47,0.0000000101125116664722,0.000000104664495747987,"ethanol production I","ethanol production (CO2 pathway)","ethanol production","alcohol metabolism","ethanol metabolism","ethanol","#N/A","carbon dioxide",NA,NA,"",""
"36","MF0092","Site_General","SI",1.03624132613523,0.143086000712031,48,48,0.0000000099922108050039,0.000000104664495747987,"lactate production","","lactate production","organic acid metabolism","lactate metabolism","cross-feeding","#N/A","#N/A",NA,NA,"",""
"37","MF0095","Site_General","SI",0.500915034398623,0.105038933916751,48,48,0.000025900346161148,0.000172947472753472,"propionate production III","propionate production (succinate pathway)","propionate production","organic acid metabolism","propionate metabolism","propionate","#N/A","carbon dioxide",NA,NA,"",""
"38","MF0098","Site_General","SI",1.49050304347237,0.148085462805705,48,9,0.00000000000212836224762262,0.0000000000440570985257882,"hydrogen metabolism","","hydrogen metabolism","gas metabolism","hydrogen metabolism","hydrogen","#N/A","#N/A",NA,NA,"",""
"39","MF0101","Site_General","SI",-2.00612111616443,0.156043398579402,48,28,0.0000000000000013288183653724,0.0000000000000458442336053476,"nitrate reduction (dissimilatory)","nitrate reduction (dissimilatory)","nitrate reduction (dissimilatory)","inorganic nutrient metabolism","nitrogen","nitrate reduction","ammonia","#N/A",NA,NA,"",""
