,metadata,feature,value,coef,stderr,N,N.not.0,pval,qval,Site
481,Type,MF0075,Mucosal,0.17804699,0.157353314,18,18,0.290994536,0.684498511,Ileum
NA2,NA,MF0040,NA,NA,NA,NA,NA,NA,NA,Ileum
29,Type,MF0077,Mucosal,0.395862271,0.230237375,18,11,0.124836258,0.569571921,Ileum
1,Type,MF0090,Mucosal,-0.703953621,0.112034784,18,18,0.000353564,0.073187844,Ileum
NA.1,NA,MF0025,NA,NA,NA,NA,NA,NA,NA,Ileum
22,Type,MF0070,Mucosal,-0.284008996,0.173606412,18,18,0.141440482,0.569571921,Ileum
52,Type,MF0004,Mucosal,1.248595042,1.217281509,18,16,0.332940887,0.728525645,Ileum
20,Type,MF0066,Mucosal,-0.220812335,0.141759021,18,18,0.158387706,0.569571921,Ileum
53,Type,MF0008,Mucosal,-0.332981575,0.342008758,18,15,0.358651859,0.77334307,Ileum
92,Type,MF0092,Mucosal,-0.51150752,0.199902676,18,18,0.034518404,0.534148355,Ileum
11,Type,MF0075,Mucosal,0.549765106,0.050541081,18,18,9.70322E-06,0.001979457,Cecum
2,Type,MF0040,Mucosal,2.112881752,0.288437364,18,7,6.57356E-05,0.006705033,Cecum
3,Type,MF0077,Mucosal,1.310772302,0.206789203,18,7,0.000219798,0.014946267,Cecum
8,Type,MF0090,Mucosal,-0.685149374,0.198842933,18,17,0.007281158,0.185669534,Cecum
NA11,NA,MF0025,NA,NA,NA,NA,NA,NA,NA,Cecum
141,Type,MF0070,Mucosal,-0.756766604,0.258532051,18,16,0.017231855,0.236432755,Cecum
71,Type,MF0004,Mucosal,-0.600462754,0.157585238,18,16,0.006100899,0.17779763,Cecum
91,Type,MF0066,Mucosal,-0.576173454,0.177122458,18,17,0.010137999,0.192417784,Cecum
291,Type,MF0008,Mucosal,-0.697524441,0.350662429,18,4,0.077891839,0.397248377,Cecum
16,Type,MF0092,Mucosal,-0.735209965,0.282464577,18,18,0.020861714,0.236432755,Cecum
64,Type,MF0075,Mucosal,0.029211875,0.168171885,18,18,0.864585871,0.959125923,Proximal_Colon
NA3,NA,MF0040,NA,NA,NA,NA,NA,NA,NA,Proximal_Colon
NA.11,NA,MF0077,NA,NA,NA,NA,NA,NA,NA,Proximal_Colon
12,Type,MF0090,Mucosal,-0.625593379,0.078501966,18,18,5.27378E-05,0.010600305,Proximal_Colon
23,Type,MF0025,Mucosal,-0.563300039,0.100613739,18,4,0.000479197,0.017657367,Proximal_Colon
32,Type,MF0070,Mucosal,-0.613816873,0.107428523,18,18,0.000459769,0.017657367,Proximal_Colon
4,Type,MF0004,Mucosal,-0.633672187,0.119895042,18,17,0.000610146,0.017657367,Proximal_Colon
5,Type,MF0066,Mucosal,-0.470212215,0.103782093,18,18,0.001538888,0.019717651,Proximal_Colon
6,Type,MF0008,Mucosal,-0.621342719,0.14563041,18,6,0.002290031,0.024226114,Proximal_Colon
73,Type,MF0092,Mucosal,-0.50186951,0.147347997,18,18,0.004261594,0.040789546,Proximal_Colon
57,Type,MF0075,Mucosal,-0.064216601,0.12913055,18,18,0.63258379,0.952011426,Distal_Colon
611,Type,MF0040,Mucosal,1.011289207,0.365259609,18,3,0.015081109,0.357506559,Distal_Colon
161,Type,MF0077,Mucosal,0.472074255,0.251027707,18,2,0.080997413,0.810418264,Distal_Colon
711,Type,MF0090,Mucosal,-0.485723256,0.176892283,18,18,0.015772348,0.357506559,Distal_Colon
111,Type,MF0025,Mucosal,-0.612350774,0.140929884,18,5,0.000672354,0.137160229,Distal_Colon
10,Type,MF0070,Mucosal,-0.510469055,0.189696284,18,17,0.029143662,0.540482465,Distal_Colon
211,Type,MF0004,Mucosal,-0.631355973,0.174606679,18,18,0.002808618,0.286479009,Distal_Colon
31,Type,MF0066,Mucosal,-0.50734421,0.148242326,18,18,0.00850953,0.345555066,Distal_Colon
81,Type,MF0008,Mucosal,-0.443948097,0.147609983,18,7,0.015430339,0.357506559,Distal_Colon
51,Type,MF0092,Mucosal,-0.399962438,0.122196444,18,18,0.005551494,0.345555066,Distal_Colon
