"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","annotation","detailed_annotation","condensed_annotation","Hierarchy_L1","Hierarchy_L2","Map","Map2_ammonia","Map3_carbon_dioxide","X","X.1","X.2","X.3"
"13","MF0031","Type","Mucosal",-0.469696946996457,0.0876548610466049,54,48,0.00000282910415303192,0.000123773306695147,"glutamate degradation II","glutamate degradation (methylaspartate pathway)","glutamate degradation","amino acid degradation","negatively charged amino acid degradation","proteolytic fermentation","ammonia","#N/A",NA,NA,"",""
"14","MF0040","Type","Mucosal",1.30808856238177,0.205322364440353,54,11,0.0000000678492551087569,0.00000593680982201623,"proline degradation","","proline degradation","amino acid degradation","nonpolar, aliphatic amino acid degradation","proteolytic fermentation","#N/A","#N/A",NA,NA,"",""
"15","MF0044","Type","Mucosal",-0.202468151083844,0.0626011968498995,54,54,0.00232371114182616,0.0280447896427295,"cysteine degradation I","","cysteine degradation","amino acid degradation","polar, uncharged amino acid degradation","proteolytic fermentation","#N/A","#N/A",NA,NA,"",""
"16","MF0046","Type","Mucosal",-0.514672683435439,0.100284382132498,54,52,0.00000639464587498083,0.000248680672915921,"glutamine degradation I","glutamine degradation (ammonia pathway)","glutamine degradation","amino acid degradation","polar, uncharged amino acid degradation","proteolytic fermentation","ammonia","#N/A",NA,NA,"",""
"17","MF0066","Type","Mucosal",-0.526482034849136,0.0774186497909247,54,53,0.0000000225771185147887,0.00000263399716005868,"Entner-Doudoroff pathway","","Entner-Doudoroff pathway","central metabolism","energy metabolism","central metabolism","#N/A","#N/A",NA,NA,"",""
"18","MF0070","Type","Mucosal",-0.644978318662007,0.102534144718993,54,51,0.00000013193114536489,0.00000923518017554233,"pentose phosphate pathway (oxidative phase)","pentose phosphate pathway (oxidative branch)","pentose phosphate pathway","central metabolism","energy metabolism","central metabolism","#N/A","carbon dioxide",NA,NA,"",""
"19","MF0077","Type","Mucosal",0.717954617420724,0.163913377264366,54,10,0.000068556944224654,0.00184576388297146,"formate conversion","formate conversion","formate conversion","organic acid metabolism","formate metabolism","carbon dioxide","#N/A","carbon dioxide",NA,NA,"",""
"20","MF0078","Type","Mucosal",-0.389862109489412,0.0633266982223769,54,50,0.000000188174091784753,0.0000109768220207773,"lactaldehyde degradation","","lactaldehyde degradation","organic compound metabolism","aldehyde degradation","#N/A","#N/A","#N/A",NA,NA,"",""
"21","MF0087","Type","Mucosal",0.569361329987666,0.154973627224248,54,43,0.00063634622975073,0.011722167390145,"acetyl-CoA to crotonyl-CoA","","acetyl-CoA to crotonyl-CoA","organic acid metabolism","butyrate metabolism","butyrate","#N/A","#N/A",NA,NA,"",""
"22","MF0090","Type","Mucosal",-0.611471353786191,0.0856309025522011,54,53,0.00000000734346625482351,0.00000128510659459411,"ethanol production I","ethanol production (CO2 pathway)","ethanol production","alcohol metabolism","ethanol metabolism","ethanol","#N/A","carbon dioxide",NA,NA,"",""
"23","MF0092","Type","Mucosal",-0.545680637832299,0.109518128534104,54,54,0.00000855483244282677,0.000299419135498937,"lactate production","","lactate production","organic acid metabolism","lactate metabolism","cross-feeding","#N/A","#N/A",NA,NA,"",""
"24","MF0097","Type","Mucosal",0.749208170164241,0.168680463271893,54,6,0.0000597172201406642,0.0017417522541027,"homoacetogenesis","","homoacetogenesis","gas metabolism","acetogenesis","acetogenesis","#N/A","#N/A",NA,NA,"",""
