feature,MetaCyc_ID,L1...Terminal.Pathway,L2A,L3A ,L4A,L2B,L2C,L2D,L2E,L2F,L2G,L3B,L3C,L3D,L3E,L3F,L3G,L4B,L2C,L2D,L2E,L2F,L2G
AST.PWY,AST-PWY,L-arginine degradation II (AST pathway),L-arginine Degradation,Proteinogenic Amino Acid Degradation,Amino Acid Degradation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIOTIN.BIOSYNTHESIS.PWY,BIOTIN-BIOSYNTHESIS-PWY,biotin biosynthesis I,Biotin Biosynthesis,Enzyme Cofactor Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRANCHED.CHAIN.AA.SYN.PWY,BRANCHED-CHAIN-AA-SYN-PWY,superpathway of branched chain amino acid biosynthesis,Amino Acid Biosynthesis,Biosynthesis,NA,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CALVIN.PWY,CALVIN-PWY,Calvin-Benson-Bassham cycle,Autotrophic CO2 Fixation,CO2 Fixation,C1 Compound Utilization and Assimilation,Sugar Biosynthesis (107 instances),NA,NA,NA,NA,NA,Carbohydrate Biosynthesis (228 instances),NA,NA,NA,NA,NA,Biosynthesis (1993 instances),NA,NA,NA,NA,NA
CENTFERM.PWY,CENTFERM-PWY,pyruvate fermentation to butanoate,Fermentation of Pyruvate,Fermentation,Generation of Precursor Metabolites and Energy,Fermentation to Butanoate (8 instances),NA,NA,NA,NA,NA,Fermentation to Short-Chain Fatty Acids (40 instances),NA,NA,NA,NA,NA,Fermentation (81 instances),NA,NA,NA,NA,NA
COA.PWY,COA-PWY,coenzyme A biosynthesis I (prokaryotic),Coenzyme A Biosynthesis,Carrier Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COBALSYN.PWY,COBALSYN-PWY,superpathway of adenosylcobalamin salvage from cobinamide I,Adenosylcobalamin Salvage from Cobinamide,Cobinamide Salvage,Cobamide Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CODH.PWY,CODH-PWY,reductive acetyl coenzyme A pathway I (homoacetogenic bacteria),Autotrophic CO2 Fixation,CO2 Fixation,C1 Compound Utilization and Assimilation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COLANSYN.PWY,COLANSYN-PWY,colanic acid building blocks biosynthesis,Carbohydrate Biosynthesis,Biosynthesis,NA,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COMPLETE.ARO.PWY,COMPLETE-ARO-PWY,superpathway of aromatic amino acid biosynthesis,Amino Acid Biosynthesis,Biosynthesis,NA,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAPLYSINESYN.PWY,DAPLYSINESYN-PWY,L-lysine biosynthesis I,L-lysine Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Amino Acid Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DENOVOPURINE2.PWY,DENOVOPURINE2-PWY,superpathway of purine nucleotides de novo biosynthesis II,Purine Nucleotide De Novo Biosynthesis,Purine Nucleotide Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DTDPRHAMSYN.PWY,DTDPRHAMSYN-PWY,dTDP-beta-L-rhamnose biosynthesis,dTDP-sugar Biosynthesis,Sugar Nucleotide Biosynthesis,Sugar Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECASYN.PWY,ECASYN-PWY,enterobacterial common antigen biosynthesis,Polysaccharide Biosynthesis,Glycan Biosynthesis,Carbohydrate Biosynthesis,Polysaccharide Biosynthesis (73 instances),Polysaccharide Biosynthesis (73 instances),NA,NA,NA,NA,Carbohydrate Biosynthesis (228 instances),Glycan Biosynthesis (99 instances),NA,NA,NA,NA,Biosynthesis (1993 instances),Glycan Pathways (121 instances),NA,NA,NA,NA
ENTBACSYN.PWY,ENTBACSYN-PWY,enterobactin biosynthesis,Siderophore and Metallophore Biosynthesis,Secondary Metabolite Biosynthesis,Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FAO.PWY,FAO-PWY,fatty acid beta-oxidation I (generic),Fatty Acid Degradation,Fatty Acid and Lipid Degradation,Degradation/Utilization/Assimilation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FASYN.ELONG.PWY,FASYN-ELONG-PWY,fatty acid elongation -- saturated,Fatty Acid Biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FASYN.INITIAL.PWY,FASYN-INITIAL-PWY,superpathway of fatty acid biosynthesis initiation (E. coli),Fatty Acid Biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FERMENTATION.PWY,FERMENTATION-PWY,mixed acid fermentation,Fermentation to Short-Chain Fatty Acids,Fermentation,Generation of Precursor Metabolites and Energy,Pyruvate Fermentation to Ethanol (7 instances),Pyruvate Fermentation to Ethanol (7 instances),NA,NA,NA,NA,Fermentation of Pyruvate (37 instances),Fermentation to Alcohols (17 instances),NA,NA,NA,NA,Fermentation (81 instances),Fermentation (81 instances),NA,NA,NA,NA
FOLSYN.PWY,FOLSYN-PWY,superpathway of tetrahydrofolate biosynthesis and salvage,Folate Biosynthesis,Single Carbon Carrier Biosynthesis,Carrier Biosynthesis,Folate Biosynthesis (14 instances),Superpathways (382 instances),NA,NA,NA,NA,Vitamin Biosynthesis (66 instances),NA,NA,NA,NA,NA,"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA
FUC.RHAMCAT.PWY,FUC-RHAMCAT-PWY,superpathway of fucose and rhamnose degradation,Superpathways,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FUCCAT.PWY,FUCCAT-PWY,L-fucose degradation,Sugar Degradation ,Carbohydrate Degradation ,Degradation/Utilization/Assimilation ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
GALACT.GLUCUROCAT.PWY,GALACT-GLUCUROCAT-PWY,superpathway of hexuronide and hexuronate degradation,Superpathways,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GALACTARDEG.PWY,GALACTARDEG-PWY,D-galactarate degradation I,D-Galactarate Degradation,Sugar Acid Degradation,Carboxylate Degradation,D-Galactarate Degradation (2 instances),NA,NA,NA,NA,NA,Sugar Acid Degradation (19 instances),NA,NA,NA,NA,NA,Sugar Derivative Degradation (56 instances),NA,NA,NA,NA,NA
GALACTUROCAT.PWY,GALACTUROCAT-PWY,D-galacturonate degradation I,D-Galacturonate Degradation,Sugar Acid Degradation,Carboxylate Degradation,D-Galacturonate Degradation (3 instances),NA,NA,NA,NA,NA,Sugar Acid Degradation (19 instances),NA,NA,NA,NA,NA,Sugar Derivative Degradation (56 instances),NA,NA,NA,NA,NA
GLCMANNANAUT.PWY,GLCMANNANAUT-PWY,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",Amine and Polyamine Degradation,Degradation/Utilization/Assimilation,NA,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLUCARDEG.PWY,GLUCARDEG-PWY,D-glucarate degradation I,D-Glucarate Degradation,Sugar Acid Degradation,Carboxylate Degradation,D-Glucarate Degradation (2 instances),NA,NA,NA,NA,NA,Sugar Acid Degradation (19 instances),NA,NA,NA,NA,NA,Sugar Derivative Degradation (56 instances),NA,NA,NA,NA,NA
GLUCARGALACTSUPER.PWY,GLUCARGALACTSUPER-PWY,superpathway of D-glucarate and D-galactarate degradation,Superpathways,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLUCONEO.PWY,GLUCONEO-PWY,gluconeogenesis I,Gluconeogenesis,Sugar Biosynthesis,Carbohydrate Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLUCOSE1PMETAB.PWY,GLUCOSE1PMETAB-PWY,glucose and glucose-1-phosphate degradation,Sugar Degradation,Carbohydrate Degradation,Degradation/Utilization/Assimilation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLUCUROCAT.PWY,GLUCUROCAT-PWY,superpathway of beta-D-glucuronosides degradation,D-Glucuronate Degradation,Sugar Acid Degradation,Carboxylate Degradation,D-Glucuronate Degradation (4 instances),Superpathways (382 instances),NA,NA,NA,NA,Sugar Acid Degradation (19 instances),NA,NA,NA,NA,NA,Sugar Derivative Degradation (56 instances),NA,NA,NA,NA,NA
GLUTORN.PWY,GLUTORN-PWY,L-ornithine biosynthesis I,L-Ornithine Biosynthesis,Other Amino Acid Biosynthesis,Amino Acid Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLYCOCAT.PWY,GLYCOCAT-PWY,glycogen degradation I,Glycan Degradation,Polysaccharide Degradation,Carbohydrate Degradation,Glycan Degradation (11 instances),Glycan Degradation (11 instances),Glycogen Degradation (3 instances),Glycogen Degradation (3 instances),NA,NA,Polysaccharide Degradation (47 instances),Glycan Pathways (121 instances),Polysaccharide Degradation (47 instances),Polysaccharide Degradation (47 instances),NA,NA,Polymeric Compound Degradation (52 instances),NA,Carbohydrate Degradation (134 instances),Polymeric Compound Degradation (52 instances),NA,NA
GLYCOGENSYNTH.PWY,GLYCOGENSYNTH-PWY,glycogen biosynthesis I (from ADP-D-Glucose),Glycogen and Starch Biosynthesis,Polysaccharide Biosynthesis,Glycan Biosynthesis,Glycogen and Starch Biosynthesis (4 instances),Glycogen and Starch Biosynthesis (4 instances),NA,NA,NA,NA,Polysaccharide Biosynthesis (73 instances),Polysaccharide Biosynthesis (73 instances),NA,NA,NA,NA,Carbohydrate Biosynthesis (228 instances),Glycan Biosynthesis (99 instances),NA,NA,NA,NA
GLYCOL.GLYOXDEG.PWY,GLYCOL-GLYOXDEG-PWY,superpathway of glycol metabolism and degradation,Alcohol Degradation,Degradation/Utilization/Assimilation,NA,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLYCOLYSIS,GLYCOLYSIS,glycolysis I (from glucose 6-phosphate),Glycolysis,Generation of Precursor Metabolites and Energy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLYCOLYSIS.E.D,GLYCOLYSIS-E-D,superpathway of glycolysis and the Entner-Doudoroff pathway,Generation of Precursor Metabolites and Energy,NA,NA,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLYCOLYSIS.TCA.GLYOX.BYPASS,GLYCOLYSIS-TCA-GLYOX-BYPASS,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",Generation of Precursor Metabolites and Energy,NA,NA,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLYOXYLATE.BYPASS,GLYOXYLATE-BYPASS,glyoxylate cycle,Generation of Precursor Metabolites and Energy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOLPDLCAT.PWY,GOLPDLCAT-PWY,"superpathway of glycerol degradation to 1,3-propanediol",Glycerol Degradation,Alcohol Degradation,Degradation/Utilization/Assimilation,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HCAMHPDEG.PWY,HCAMHPDEG-PWY,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate,Phenolic Compound Degradation,Aromatic Compound Degradation,Degradation/Utilization/Assimilation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HEME.BIOSYNTHESIS.II,HEME-BIOSYNTHESIS-II,heme b biosynthesis I (aerobic),Heme b Biosynthesis,Heme Biosynthesis,Enzyme Cofactor Biosynthesis,Heme b Biosynthesis (8 instances),NA,NA,NA,NA,NA,Heme Biosynthesis (13 instances),NA,NA,NA,NA,NA,Porphyrin Compound Biosynthesis (37 instances),NA,NA,NA,NA,NA
HEMESYN2.PWY,HEMESYN2-PWY,heme b biosynthesis II (oxygen-independent),Heme b Biosynthesis,Heme Biosynthesis,Enzyme Cofactor Biosynthesis,Heme b Biosynthesis (8 instances),NA,NA,NA,NA,NA,Heme Biosynthesis (13 instances),NA,NA,NA,NA,NA,Porphyrin Compound Biosynthesis (37 instances),NA,NA,NA,NA,NA
HEXITOLDEGSUPER.PWY,HEXITOLDEGSUPER-PWY,superpathway of hexitol degradation (bacteria),Sugar Alcohol Degradation,Sugar Derivative Degradation,Secondary Metabolite Degradation,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HISDEG.PWY,HISDEG-PWY,L-histidine degradation I,L-histidine Degradation,Proteinogenic Amino Acid Degradation,Amino Acid Degradation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HISTSYN.PWY,HISTSYN-PWY,L-histidine biosynthesis,L-histidine Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Amino Acid Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOMOSER.METSYN.PWY,HOMOSER-METSYN-PWY,L-methionine biosynthesis I,L-methionine De Novo Biosynthesis,L-methionine Biosynthesis,Proteinogenic Amino Acid Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HSERMETANA.PWY,HSERMETANA-PWY,L-methionine biosynthesis III,L-methionine De Novo Biosynthesis,L-methionine Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ILEUSYN.PWY,ILEUSYN-PWY,L-isoleucine biosynthesis I (from threonine),L-isoleucine Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Amino Acid Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KDO.NAGLIPASYN.PWY,KDO-NAGLIPASYN-PWY,superpathway of (Kdo)2-lipid A biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis,NA,Lipopolysaccharide Biosynthesis (68 instances),Superpathways (382 instances),NA,NA,NA,NA,Cell Structure Biosynthesis (104 instances),NA,NA,NA,NA,NA,Biosynthesis (1993 instances),NA,NA,NA,NA,NA
KETOGLUCONMET.PWY,KETOGLUCONMET-PWY,ketogluconate metabolism,Sugar Acid Degradation,Carboxylate Degradation,Degradation/Utilization/Assimilation,Sugar Acid Degradation (19 instances),Superpathways (382 instances),NA,NA,NA,NA,Sugar Derivative Degradation (56 instances),NA,NA,NA,NA,NA,Secondary Metabolite Degradation (127 instances),NA,NA,NA,NA,NA
LACTOSECAT.PWY,LACTOSECAT-PWY,lactose and galactose degradation I,Galactose Degradation,Sugar Degradation,Carbohydrate Degradation,Lactose Degradation (3 instances),NA,NA,NA,NA,NA,Sugar Degradation (77 instances),NA,NA,NA,NA,NA,Carbohydrate Degradation (134 instances),NA,NA,NA,NA,NA
LEU.DEG2.PWY,LEU-DEG2-PWY,L-leucine degradation I,L-leucine Degradation,Proteinogenic Amino Acid Degradation,Amino Acid Degradation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MET.SAM.PWY,MET-SAM-PWY,superpathway of S-adenosyl-L-methionine biosynthesis,Superpathways,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
METH.ACETATE.PWY,METH-ACETATE-PWY,methanogenesis from acetate,Methanogenesis,Anaerobic Respiration,Respiration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
METHGLYUT.PWY,METHGLYUT-PWY,superpathway of methylglyoxal degradation,Aldehyde Degradation,Degradation/Utilization/Assimilation,NA,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NAD.BIOSYNTHESIS.II,NAD-BIOSYNTHESIS-II,NAD salvage pathway III (to nicotinamide riboside),NAD Biosynthesis,NAD Metabolism,Electron Carrier Biosynthesis,NAD Biosynthesis (12 instances),NAD Biosynthesis (12 instances),NA,NA,NA,NA,Enzyme Cofactor Biosynthesis (137 instances),NAD Metabolism (19 instances),NA,NA,NA,NA,"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",Enzyme Cofactor Biosynthesis (137 instances),NA,NA,NA,NA
NAGLIPASYN.PWY,NAGLIPASYN-PWY,lipid IVA biosynthesis (E. coli),Lipid IVA Biosynthesis,Lipopolysaccharide Biosynthesis,Cell Structure Biosynthesis,Lipid IVA Biosynthesis (5 instances),NA,NA,NA,NA,NA,Fatty Acid and Lipid Biosynthesis (224 instances),NA,NA,NA,NA,NA,Biosynthesis (1993 instances),NA,NA,NA,NA,NA
NONMEVIPP.PWY,NONMEVIPP-PWY,methylerythritol phosphate pathway I,Methylerythritol Phosphate Pathways,Isopentenyl Diphosphate Biosynthesis,Hemiterpene Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NONOXIPENT.PWY,NONOXIPENT-PWY,pentose phosphate pathway (non-oxidative branch) I,Pentose Phosphate Pathways,Generation of Precursor Metabolites and Energy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OANTIGEN.PWY,OANTIGEN-PWY,O-antigen building blocks biosynthesis (E. coli),Metabolic Clusters,NA,NA,Sugar Nucleotide Biosynthesis (92 instances),Superpathways (382 instances),NA,NA,NA,NA,Sugar Biosynthesis (107 instances),NA,NA,NA,NA,NA,Carbohydrate Biosynthesis (228 instances),NA,NA,NA,NA,NA
ORNARGDEG.PWY,ORNARGDEG-PWY,superpathway of L-arginine and L-ornithine degradation,L-arginine Degradation,Proteinogenic Amino Acid Degradation,Amino Acid Degradation,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ORNDEG.PWY,ORNDEG-PWY,superpathway of ornithine degradation,Amine and Polyamine Degradation,Degradation/Utilization/Assimilation,NA,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P105.PWY,P105-PWY,TCA cycle IV (2-oxoglutarate decarboxylase),TCA cycle,Generation of Precursor Metabolites and Energy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P108.PWY,P108-PWY,pyruvate fermentation to propanoate I,Pyruvate Fermentation to Propanoate,Fermentation of Pyruvate,Fermentation,Pyruvate Fermentation to Propanoate (2 instances),NA,NA,NA,NA,NA,Fermentation to Propanoate (7 instances),NA,NA,NA,NA,NA,Fermentation to Short-Chain Fatty Acids (40 instances),NA,NA,NA,NA,NA
P122.PWY,P122-PWY,heterolactic fermentation,Fermentation to Lactate,Fermentation to Short-Chain Fatty Acids,Fermentation,Pyruvate Fermentation to Ethanol (7 instances),Pyruvate Fermentation to Ethanol (7 instances),NA,NA,NA,NA,Fermentation of Pyruvate (37 instances),Fermentation to Alcohols (17 instances),NA,NA,NA,NA,Fermentation (81 instances),Fermentation (81 instances),NA,NA,NA,NA
P124.PWY,P124-PWY,Bifidobacterium shunt,Fermentation to Acetate,Carboxylate Degradation,Degradation/Utilization/Assimilation,Fermentation to Acetate (21 instances),Fermentation to Lactate (8 instances),Sugar Degradation (77 instances),NA,NA,NA,Fermentation to Short-Chain Fatty Acids (40 instances),Fermentation to Short-Chain Fatty Acids (40 instances),Carbohydrate Degradation (134 instances),NA,NA,NA,Fermentation (81 instances),Fermentation (81 instances),Degradation/Utilization/Assimilation (1104 instances),NA,NA,NA
P125.PWY,P125-PWY,"superpathway of (R,R)-butanediol biosynthesis",Butanediol Biosynthesis,Other Biosynthesis,Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P161.PWY,P161-PWY,acetylene degradation (anaerobic),Fermentation to Acetate,Carboxylate Degradation,Degradation/Utilization/Assimilation,Fermentation to Acetate (21 instances),Pyruvate Fermentation to Ethanol (7 instances),Pyruvate Fermentation to Ethanol (7 instances),NA,NA,NA,Fermentation to Short-Chain Fatty Acids (40 instances),Fermentation of Pyruvate (37 instances),Fermentation to Alcohols (17 instances),NA,NA,NA,Fermentation (81 instances),Fermentation (81 instances),Fermentation (81 instances),NA,NA,NA
P162.PWY,P162-PWY,L-glutamate degradation V (via hydroxyglutarate),Fermentation to Acetate,Carboxylate Degradation,Degradation/Utilization/Assimilation,Fermentation to Acetate (21 instances),Fermentation to Butanoate (8 instances),L-glutamate Degradation (10 instances),NA,NA,NA,Fermentation to Short-Chain Fatty Acids (40 instances),Fermentation to Short-Chain Fatty Acids (40 instances),Proteinogenic Amino Acid Degradation (113 instances),NA,NA,NA,Fermentation (81 instances),Fermentation (81 instances),Amino Acid Degradation (127 instances),NA,NA,NA
P163.PWY,P163-PWY,L-lysine fermentation to acetate and butanoate,Fermentation to Acetate,Carboxylate Degradation,Degradation/Utilization/Assimilation,Fermentation to Acetate (21 instances),Fermentation to Butanoate (8 instances),L-lysine Degradation (13 instances),NA,NA,NA,Fermentation to Short-Chain Fatty Acids (40 instances),Fermentation to Short-Chain Fatty Acids (40 instances),Proteinogenic Amino Acid Degradation (113 instances),NA,NA,NA,Fermentation (81 instances),Fermentation (81 instances),Amino Acid Degradation (127 instances),NA,NA,NA
P164.PWY,P164-PWY,purine nucleobases degradation I (anaerobic),Fermentation,Generation of Precursor Metabolites and Energy,NA,Purine Nucleotide Degradation (16 instances),NA,NA,NA,NA,NA,Nucleoside and Nucleotide Degradation (40 instances),NA,NA,NA,NA,NA,Degradation/Utilization/Assimilation (1104 instances),NA,NA,NA,NA,NA
P23.PWY,P23-PWY,reductive TCA cycle I,Reductive TCA Cycles,Autotrophic CO2 Fixation,CO2 Fixation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P341.PWY,P341-PWY,glycolysis V (Pyrococcus),Glycolysis,Generation of Precursor Metabolites and Energy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P4.PWY,P4-PWY,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",Amino Acid Biosynthesis,Biosynthesis,NA,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P42.PWY,P42-PWY,incomplete reductive TCA cycle,Reductive TCA Cycles,Autotrophic CO2 Fixation,CO2 Fixation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
